# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;smiekli;seja|smaids|smiekli
😃;plats smaids un lielas acis;atvērts|mute|plats smaids un lielas acis|seja|smaids
😄;smaidoša seja ar atvērtu muti un smaidošām acīm;atvērts|mute|seja|smaidoša seja ar atvērtu muti un smaidošām acīm|smaids
😁;plats smaids un smaidošas acis;plats smaids un smaidošas acis|seja|smaids|smīns
😆;smaidoša seja ar atvērtu muti un aizmiegtām acīm;atvērts|laimīgs|mute|seja|smaidoša seja ar atvērtu muti un aizmiegtām acīm|smaids|smiekli
😅;plats smaids ar sviedru lāsi;atvērts|auksts|plats smaids ar sviedru lāsi|seja|smaids|sviedri
🤣;vārtās smieklos pa grīdu;grīda|seja|smieties|vārtās smieklos pa grīdu
😂;seja ar prieka asarām;asaras|prieks|seja|seja ar prieka asarām|smiekli
🙂;seja ar vieglu smaidu;seja|seja ar vieglu smaidu|smaids
🙃;apgriezta seja;apgriezta seja|apgriezts|otrādi|seja
🫠;kūstoša seja;izkausēt|izšķīst|kūstoša seja|pazūd|šķidrums
😉;seja ar piemiegtu aci;acs|miegt|mirkšķināt|seja|seja ar piemiegtu aci
😊;smaidoša seja ar smaidošām acīm;nosarkt|prieks|seja|smaidoša seja ar smaidošām acīm|smaids
😇;smaidoša seja ar nimbu;eņģelis|nevainīgs|nimbs|seja|smaidoša seja ar nimbu|smaids|svētais
🥰;smaidoša seja ar sirsniņām;aizrāvies|dievināt|iemīlējies|sirdis|smaidoša seja ar sirsniņām
😍;smaidoša seja ar sirds formas acīm;acs|mīlestība|seja|sirds|smaidoša seja ar sirds formas acīm|smaids
🤩;zvaigžņu pārņemts;acis|seja|smaidīt|zvaigznes|zvaigžņu pārņemts
😘;skūpstoša seja;seja|sirds|skūpstoša seja|skūpsts
😗;seja sniedz skūpstu;seja|seja sniedz skūpstu|skūpsts
☺️;smaidoša seja;mierīgs|prieks|seja|smaidoša seja|smaids
😚;seja ar aizvērtām acīm sniedz skūpstu;acs|aizvērts|seja|seja ar aizvērtām acīm sniedz skūpstu|skūpsts|smaids
😙;seja ar smaidošām acīm sniedz skūpstu;seja|seja ar smaidošām acīm sniedz skūpstu|skūpsts|smaids
🥲;smaidoša seja ar asaru;aizkustināts|asara|atvieglots|lepns|pateicīgs|smaidoša seja ar asaru|smaidošs
😋;ēdienu baudoša seja;ēdienu baudoša seja|garšīgs|ņamm|seja|smaids
😛;seja ar izbāztu mēli;mēle|seja|seja ar izbāztu mēli
😜;seja ar izbāztu mēli un piemiegtu aci;acs|mēle|miegt|mirkšķināt|seja|seja ar izbāztu mēli un piemiegtu aci
🤪;traka seja;acs|liels|mazs|traka seja
😝;seja ar izbāztu mēli un aizmiegtām acīm;acs|garša|mēle|negaršīgs|seja|seja ar izbāztu mēli un aizmiegtām acīm
🤑;seja ar naudu mutē;mute|nauda|seja|seja ar naudu mutē
🤗;seja ar apskāvienu;apskaut|apskāviens|seja|seja ar apskāvienu
🤭;seja ar roku pār muti;seja ar roku pār muti|vai
🫢;seja ar atvērtām acīm un roku pār muti;apkaunot|bijība|izbrīns|neticība|nobijies|pārsteigums|seja ar atvērtām acīm un roku pār muti
🫣;seja ar lūrošu aci;blenzt|palūrēt|seja ar lūrošu aci|valdzināts
🤫;šušinoša seja;klusēt|klusināt|kuš|šušināt|šušinoša seja
🤔;domīga seja;domāt|domīga seja|seja
🫡;salutējoša seja;karavīri|labi|salutējoša seja|salutēt|saulains
🤐;seja ar rāvējslēdzēju mutes vietā;ciet|mute|rāvējslēdzējs|seja|seja ar rāvējslēdzēju mutes vietā
🤨;seja ar paceltām uzacīm;neuzticīgs|seja ar paceltām uzacīm|skeptisks
😐;neitrāla seja;bez izteiksmes|neitrāla seja|neitrāls|neizteiksmīgs|seja
😑;seja bez izteiksmes;bez izteiksmes|neizteiksmīgs|seja|seja bez izteiksmes
😶;seja bez mutes;kluss|mute|seja|seja bez mutes
🫥;punktētas līnijas seja;intraverts|neredzams|nomākts|pazūd|punktētas līnijas seja|slēpt
😶‍🌫️;seja mākoņos;galva mākoņos|pārdomas|seja mākoņos|seja miglā
😏;smīnoša seja;seja|smīnoša seja|smīns|viltīgs
😒;saīgusi seja;dusmas|dusmīgs|saīdzis|saīgusi seja|seja
🙄;seja ar pārgrieztām acīm;acis|neapmierināts|pārgriezt|seja|seja ar pārgrieztām acīm
😬;saviebta seja;grimase|saviebta seja|seja
😮‍💨;nopūta;atvieglojums|čuksti|izelpa|nopūta|seja nopūšas|svilpošana|vaids
🤥;melojoša seja;meli|melojoša seja|pinokio|seja
🫨;trīcoša seja;seja|šoks|trīcoša seja|trīcošs|vibrācija|zemestrīce
🙂‍↔️;krata galvu horizontāli;krata galvu horizontāli|kratīt|nē
🙂‍↕️;krata galvu vertikāli;krata galvu vertikāli|pamāt jā
😌;seja ar atvieglojuma izteiksmi;atvieglojums|seja|seja ar atvieglojuma izteiksmi
😔;domās iegrimusi seja;domās iegrimusi seja|domīgs|pārdomas|seja
😪;miegaina seja;gulēt|miegaina seja|miegs|seja
🤤;siekalojas;seja|siekalas|siekalojas
😴;guļoša seja;gulēt|guļoša seja|seja|žāvāties
😷;seja ar medicīnas masku;ārsts|maska|medicīna|seja|seja ar medicīnas masku|slims
🤒;seja ar termometru;seja|seja ar termometru|slims|termometrs
🤕;seja ar galvas apsēju;apsējs|ievainojums|seja|seja ar galvas apsēju
🤢;nelabums;nelabums|seja|slimība
🤮;vemjoša seja;nelabums|slimība|vemjoša seja
🤧;šķauda;seja|šķauda
🥵;piesārtusi seja;drudzī|karstuma dūriens|nosvīdis|piesārtusi seja|sarkanu seju|saules dūriens
🥶;nosalusi seja;apsaldējies|auksts|lāstekas|nosalusi seja|nozilējis|stindzinošs
🥴;noreibusi seja;apreibis|noreibusi seja|piedzēries|šķībām acīm|šķību muti
😵;apreibusi seja;apreibis|apreibusi seja|seja
😵‍💫;seja ar spirālēm acu vietā;apreibis|hipnozē|nepatikšanas|oho|seja ar spirālēm acu vietā|spirāles
🤯;eksplodējoša galva;eksplodējoša galva|šokēts
🤠;seja kovboja cepurē;cepure|kovbojs|seja|seja ar kovboja cepuri|seja kovboja cepurē
🥳;ballīšu seja;ballīšu seja|ballīte|cepure|svinības|taurīte
🥸;paslēpta seja;brilles|deguns|inkognito|maska|paslēpta seja|seja
😎;smaidoša seja ar saulesbrillēm;saulesbrilles|seja|smaidoša seja ar saulesbrillēm|smaids|stilīgs
🤓;gudrītis;briļļainais|gudrītis|seja
🧐;seja ar monokli;seja ar monokli|vecmodīga
😕;apjukusi seja;apjucis|apjukums|apjukusi seja|seja
🫤;seja ar diagonālu muti;meh|nezinu|seja ar diagonālu muti|skeptiski|vīlies
😟;noraizējusies seja;noraizējies|noraizējusies seja|rūpes|seja
🙁;nedaudz bēdīga seja;bēdas|bēdīgs|nedaudz bēdīga seja|seja
☹️;bēdīga seja;bēdas|bēdīga seja|bēdīgs|seja
😮;seja ar atvērtu muti;atvērts|mute|pārsteigt|seja|seja ar atvērtu muti
😯;pārsteigta seja;apklusināt|pārsteigt|pārsteigta seja|seja
😲;šokēta seja;pārsteigts|seja|šokēta seja|šokēts
😳;nosarkusi seja;apmulsis|nosarkt|nosarkusi seja|seja
🥺;lūdzoša seja;kucēna acis|lūdzoša seja|lūgšanās|žēlastība
🥹;seja ar aizturētām asarām;dusmīgs|lepns|pretoties|raudāt|seja ar aizturētām asarām|skumji
😦;bēdīga seja ar atvērtu muti;atvērts|bēdas|bēdīga seja ar atvērtu muti|mute|seja
😧;sāpjpilna seja;pārsteigt|sāpes|sāpināt|sāpjpilna seja|seja
😨;nobijusies seja;bailes|bailīgs|nobijies|nobijusies seja|seja
😰;seja ar atvērtu muti un aukstiem sviedriem;atvērts|auksts|mute|seja|seja ar atvērtu muti un aukstiem sviedriem|sviedri|zils
😥;vīlusies un atvieglota seja;atvieglojums|seja|sviedri|vīlies|vilties|vīlusies un atvieglota seja
😢;raudoša seja;asaras|bēdīgs|raudāt|raudoša seja|seja|skumjas
😭;aizgūtnēm raudoša seja;aizgūtnēm raudoša seja|asaras|bēdas|raudāt|seja|skumjš
😱;bailēs kliedzoša seja;bailes|bailēs kliedzoša seja|kliedziens|Munks|nobijies|seja
😖;apmulsusi seja;apmulsis|apmulsums|apmulsusi seja|seja
😣;piepūlēta seja;neatlaidīgs|pacietīgs|piepūle|piepūlēta seja|seja
😞;vīlusies seja;seja|vīlies|vīlusies seja
😓;seja ar aukstu sviedru lāsi;auksts|seja|seja ar aukstu sviedru lāsi|sviedri
😩;nogurdināta seja;nogurdināta seja|noguris|seja
😫;nogurusi seja;nogurums|nogurusi seja|seja
🥱;seja žāvājas;garlaikots|nogurdināts|seja žāvājas|žāvas
😤;seja ar tvaiku no deguna;dusmas|seja|seja ar tvaiku no deguna|tvaiks
😡;sabozusies seja;dusmas|dusmīgs|sabozies|sabozusies seja|seja
😠;dusmīga seja;dusmīga seja|dusmīgs|seja
🤬;seja ar simboliem uz mutes;lamāšanās|seja ar simboliem uz mutes
😈;smaidoša seja ar ragiem;ragi|seja|smaidoša seja ar ragiem|smaids|velns
👿;velniņš;dēmons|seja|velniņš|velns
💀;galvaskauss;galva|galvaskauss|nāve
☠️;miroņgalva;galva|galvaskauss|jautrais Rodžers|kauli|miroņgalva|nāve
💩;ekskrementi;briesmonis|ekskrementi|kakas|mēslu čupa|smieklīgs
🤡;klauna seja;klauna seja|klauns|seja
👹;cilvēkēdājs;cilvēkēdājs|fantāzija|monstrs|pasaka|radījums|seja
👺;goblins;fantāzija|goblins|monstrs|pasaka|radījums|seja
👻;spoks;fantāzija|monstrs|pasaka|radījums|seja|spoks
👽;citplanētietis;briesmonis|citplanētietis|kosmoss|NLO|visums
👾;citplanētiešu briesmonis;briesmonis|citplanētiešu briesmonis|citplanētietis|kosmoss|NLO|visums
🤖;robots;monstrs|robots|seja
😺;plati smaidošs kaķis;atvērts|galva|kaķis|mute|plati smaidošs kaķis|plats smaids|smaids
😸;plati smaidošs kaķis ar smaidošām acīm;acis|kaķis|plati smaidošs kaķis ar smaidošām acīm|plats smaids|seja|smaids
😹;kaķis ar prieka asarām;asaras|kaķis|kaķis ar prieka asarām|prieks|seja
😻;smaidošs kaķis ar sirds formas acīm;acis|kaķis|mīlestība|sirds|smaidošs kaķis ar sirds formas acīm|smaids
😼;kaķis ar viltīgu smaidu;ironisks|kaķis|kaķis ar viltīgu smaidu|sājš|seja|smaids
😽;kaķis sniedz skūpstu;acis|kaķis|kaķis sniedz skūpstu|seja|skūpsts
🙀;noraizējies kaķis;ak|kaķis|noraizējies|pārsteigts|seja
😿;raudošs kaķis;asaras|kaķis|raudāt|raudošs kaķis|seja|skumjš
😾;sabozies kaķis;kaķis|sabozies|seja
🙈;neko neredzu;aizliegts|galva|ļauns|nē|nedrīkst|neko neredzu|pērtiķis|redzēt|žests
🙉;neko nedzirdu;aizliegts|dzirdēt|galva|ļauns|nē|nedrīkst|neko nedzirdu|pērtiķis|žests
🙊;neko nesaku;aizliegts|galva|ļauns|nē|nedrīkst|neko nesaku|pērtiķis|runāt|žests
💌;mīlestības vēstule;mīlestība|mīlestības vēstule|pasts|romantika|sirds|vēstule
💘;sirds ar bultu;bulta|romantika|sirds|sirds ar bultu
💝;sirds ar lentīti;lentīte|sirds|sirds ar lentīti|Valentīndiena
💖;mirdzoša sirds;mirdzēt|mirdzoša sirds|sirds|spīdēt
💗;augoša sirds;augoša sirds|sirds|sirdspuksti
💓;pukstoša sirds;pukstēt|pukstoša sirds|sirds|sirdspuksti
💞;rotējošas sirdis;rotējošas sirdis|sirds
💕;divas sirdis;divas sirdis|mīlestība|sirds
💟;sirds rotājums;sirds|sirds rotājums
❣️;izsaukuma zīme sirds formā;izsaukuma zīme sirds formā|izsaukums|pieturzīme|sirds
💔;salauzta sirds;salauzt|salauzta sirds|sirds
❤️‍🔥;degoša sirds;degoša sirds|kaisle|liesmas|mīla|sirds|svēta sirds
❤️‍🩹;pārsieta sirds;atkopties|atspirgt|labi|pārsiet|pārsieta sirds|uzlabot|veselību
❤️;sarkana sirds;sarkana sirds|sarkans|sirds
🩷;rozā sirds;jauka|mīlestība|patīk|rozā|sirds
🧡;oranža sirds;oranža sirds|oranžs|sirds
💛;dzeltena sirds;dzeltena sirds|dzeltens|sirds
💚;zaļa sirds;sirds|zaļa sirds|zaļš
💙;zila sirds;sirds|zila sirds|zils
🩵;gaiši zila sirds;ciānzils|gaiši zila sirds|gaiši zils|sirds|zilganzaļš
💜;violeta sirds;sirds|violeta sirds|violets
🤎;brūna sirds;brūna|sirds
🖤;melna sirds;ļaunums|melna|sirds
🩶;pelēka sirds;pelēka sirds|pelēks|šīferis|sirds|sudrabs
🤍;balta sirds;balta|sirds
💋;skūpsta nospiedums;lūpas|lūpukrāsa|nospiedums|skūpsta nospiedums|skūpsts
💯;simt punktu;100|simt|simt punktu|simts
💢;dusmu simbols;dusmīgs|dusmu simbols
💥;sadursme;bums|sadursme|troksnis
💫;apdullis;apdullis|zvaigzne
💦;sviedru lāses;lāses|sviedri|sviedru lāses
💨;bēgšana;bēgšana|bēgt|skriešana
🕳️;caurums;caurums
💬;runas burbulis;burbulis|dialogs|runa|runas burbulis
👁️‍🗨️;liecinieka zīme;acs|liecinieka zīme|liecinieks|runas burbulis
🗨️;pa kreisi vērsts runas burbulis;burbulis|dialogs|pa kreisi vērsts runas burbulis|runa
🗯️;pa labi vērsts dusmu burbulis;burbulis|dialogs|dusmīgs|pa labi vērsts dusmu burbulis|runa
💭;domu burbulis;burbulis|domas|domu burbulis
💤;zzz;gulēt|miegs|zzz

[people_body]
👋;mājoša roka;ķermenis|mājoša roka|māt|roka
	👋🏻;mājoša roka: gaišs ādas tonis;gaišs ādas tonis|ķermenis|mājoša roka|mājoša roka: gaišs ādas tonis|māt|roka
	👋🏼;mājoša roka: vidēji gaišs ādas tonis;ķermenis|mājoša roka|mājoša roka: vidēji gaišs ādas tonis|māt|roka|vidēji gaišs ādas tonis
	👋🏽;mājoša roka: vidējs ādas tonis;ķermenis|mājoša roka|mājoša roka: vidējs ādas tonis|māt|roka|vidējs ādas tonis
	👋🏾;mājoša roka: vidēji tumšs ādas tonis;ķermenis|mājoša roka|mājoša roka: vidēji tumšs ādas tonis|māt|roka|vidēji tumšs ādas tonis
	👋🏿;mājoša roka: tumšs ādas tonis;ķermenis|mājoša roka|mājoša roka: tumšs ādas tonis|māt|roka|tumšs ādas tonis
🤚;pacelta plauksta;pacelta|pacelta plauksta|roka
	🤚🏻;pacelta plauksta: gaišs ādas tonis;gaišs ādas tonis|pacelta|pacelta plauksta|pacelta plauksta: gaišs ādas tonis|roka
	🤚🏼;pacelta plauksta: vidēji gaišs ādas tonis;pacelta|pacelta plauksta|pacelta plauksta: vidēji gaišs ādas tonis|roka|vidēji gaišs ādas tonis
	🤚🏽;pacelta plauksta: vidējs ādas tonis;pacelta|pacelta plauksta|pacelta plauksta: vidējs ādas tonis|roka|vidējs ādas tonis
	🤚🏾;pacelta plauksta: vidēji tumšs ādas tonis;pacelta|pacelta plauksta|pacelta plauksta: vidēji tumšs ādas tonis|roka|vidēji tumšs ādas tonis
	🤚🏿;pacelta plauksta: tumšs ādas tonis;pacelta|pacelta plauksta|pacelta plauksta: tumšs ādas tonis|roka|tumšs ādas tonis
🖐️;pacelta roka ar izvērstiem pirkstiem;izvērsts|ķermenis|pacelta roka ar izvērstiem pirkstiem|pirksts|roka
	🖐🏻;pacelta roka ar izvērstiem pirkstiem: gaišs ādas tonis;gaišs ādas tonis|izvērsts|ķermenis|pacelta roka ar izvērstiem pirkstiem|pacelta roka ar izvērstiem pirkstiem: gaišs ādas tonis|pirksts|roka
	🖐🏼;pacelta roka ar izvērstiem pirkstiem: vidēji gaišs ādas tonis;izvērsts|ķermenis|pacelta roka ar izvērstiem pirkstiem|pacelta roka ar izvērstiem pirkstiem: vidēji gaišs ādas tonis|pirksts|roka|vidēji gaišs ādas tonis
	🖐🏽;pacelta roka ar izvērstiem pirkstiem: vidējs ādas tonis;izvērsts|ķermenis|pacelta roka ar izvērstiem pirkstiem|pacelta roka ar izvērstiem pirkstiem: vidējs ādas tonis|pirksts|roka|vidējs ādas tonis
	🖐🏾;pacelta roka ar izvērstiem pirkstiem: vidēji tumšs ādas tonis;izvērsts|ķermenis|pacelta roka ar izvērstiem pirkstiem|pacelta roka ar izvērstiem pirkstiem: vidēji tumšs ādas tonis|pirksts|roka|vidēji tumšs ādas tonis
	🖐🏿;pacelta roka ar izvērstiem pirkstiem: tumšs ādas tonis;izvērsts|ķermenis|pacelta roka ar izvērstiem pirkstiem|pacelta roka ar izvērstiem pirkstiem: tumšs ādas tonis|pirksts|roka|tumšs ādas tonis
✋;pacelta roka;ķermenis|pacelta roka|roka
	✋🏻;pacelta roka: gaišs ādas tonis;gaišs ādas tonis|ķermenis|pacelta roka|pacelta roka: gaišs ādas tonis|roka
	✋🏼;pacelta roka: vidēji gaišs ādas tonis;ķermenis|pacelta roka|pacelta roka: vidēji gaišs ādas tonis|roka|vidēji gaišs ādas tonis
	✋🏽;pacelta roka: vidējs ādas tonis;ķermenis|pacelta roka|pacelta roka: vidējs ādas tonis|roka|vidējs ādas tonis
	✋🏾;pacelta roka: vidēji tumšs ādas tonis;ķermenis|pacelta roka|pacelta roka: vidēji tumšs ādas tonis|roka|vidēji tumšs ādas tonis
	✋🏿;pacelta roka: tumšs ādas tonis;ķermenis|pacelta roka|pacelta roka: tumšs ādas tonis|roka|tumšs ādas tonis
🖖;vulkāniešu sveiciens;ķermenis|pirksts|roka|Spoks|vulkāniešu sveiciens|Vulkāns
	🖖🏻;vulkāniešu sveiciens: gaišs ādas tonis;gaišs ādas tonis|ķermenis|pirksts|roka|Spoks|vulkāniešu sveiciens|vulkāniešu sveiciens: gaišs ādas tonis|Vulkāns
	🖖🏼;vulkāniešu sveiciens: vidēji gaišs ādas tonis;ķermenis|pirksts|roka|Spoks|vidēji gaišs ādas tonis|vulkāniešu sveiciens|vulkāniešu sveiciens: vidēji gaišs ādas tonis|Vulkāns
	🖖🏽;vulkāniešu sveiciens: vidējs ādas tonis;ķermenis|pirksts|roka|Spoks|vidējs ādas tonis|vulkāniešu sveiciens|vulkāniešu sveiciens: vidējs ādas tonis|Vulkāns
	🖖🏾;vulkāniešu sveiciens: vidēji tumšs ādas tonis;ķermenis|pirksts|roka|Spoks|vidēji tumšs ādas tonis|vulkāniešu sveiciens|vulkāniešu sveiciens: vidēji tumšs ādas tonis|Vulkāns
	🖖🏿;vulkāniešu sveiciens: tumšs ādas tonis;ķermenis|pirksts|roka|Spoks|tumšs ādas tonis|vulkāniešu sveiciens|vulkāniešu sveiciens: tumšs ādas tonis|Vulkāns
🫱;labā roka;labā roka|pa labi|pareizi|roka
	🫱🏻;labā roka: gaišs ādas tonis;gaišs ādas tonis|labā roka|labā roka: gaišs ādas tonis|pa labi|pareizi|roka
	🫱🏼;labā roka: vidēji gaišs ādas tonis;labā roka|labā roka: vidēji gaišs ādas tonis|pa labi|pareizi|roka|vidēji gaišs ādas tonis
	🫱🏽;labā roka: vidējs ādas tonis;labā roka|labā roka: vidējs ādas tonis|pa labi|pareizi|roka|vidējs ādas tonis
	🫱🏾;labā roka: vidēji tumšs ādas tonis;labā roka|labā roka: vidēji tumšs ādas tonis|pa labi|pareizi|roka|vidēji tumšs ādas tonis
	🫱🏿;labā roka: tumšs ādas tonis;labā roka|labā roka: tumšs ādas tonis|pa labi|pareizi|roka|tumšs ādas tonis
🫲;kreiso roku;kreiso roku|pa kreisi|roka
	🫲🏻;kreiso roku: gaišs ādas tonis;gaišs ādas tonis|kreiso roku|kreiso roku: gaišs ādas tonis|pa kreisi|roka
	🫲🏼;kreiso roku: vidēji gaišs ādas tonis;kreiso roku|kreiso roku: vidēji gaišs ādas tonis|pa kreisi|roka|vidēji gaišs ādas tonis
	🫲🏽;kreiso roku: vidējs ādas tonis;kreiso roku|kreiso roku: vidējs ādas tonis|pa kreisi|roka|vidējs ādas tonis
	🫲🏾;kreiso roku: vidēji tumšs ādas tonis;kreiso roku|kreiso roku: vidēji tumšs ādas tonis|pa kreisi|roka|vidēji tumšs ādas tonis
	🫲🏿;kreiso roku: tumšs ādas tonis;kreiso roku|kreiso roku: tumšs ādas tonis|pa kreisi|roka|tumšs ādas tonis
🫳;plaukstu uz leju;atlaist|nomest|plaukstu uz leju|shoo
	🫳🏻;plaukstu uz leju: gaišs ādas tonis;atlaist|gaišs ādas tonis|nomest|plaukstu uz leju|plaukstu uz leju: gaišs ādas tonis|shoo
	🫳🏼;plaukstu uz leju: vidēji gaišs ādas tonis;atlaist|nomest|plaukstu uz leju|plaukstu uz leju: vidēji gaišs ādas tonis|shoo|vidēji gaišs ādas tonis
	🫳🏽;plaukstu uz leju: vidējs ādas tonis;atlaist|nomest|plaukstu uz leju|plaukstu uz leju: vidējs ādas tonis|shoo|vidējs ādas tonis
	🫳🏾;plaukstu uz leju: vidēji tumšs ādas tonis;atlaist|nomest|plaukstu uz leju|plaukstu uz leju: vidēji tumšs ādas tonis|shoo|vidēji tumšs ādas tonis
	🫳🏿;plaukstu uz leju: tumšs ādas tonis;atlaist|nomest|plaukstu uz leju|plaukstu uz leju: tumšs ādas tonis|shoo|tumšs ādas tonis
🫴;plaukstu uz augšu;aicināt|nāc|nozveja|piedāvājums|plaukstu uz augšu
	🫴🏻;plaukstu uz augšu: gaišs ādas tonis;aicināt|gaišs ādas tonis|nāc|nozveja|piedāvājums|plaukstu uz augšu|plaukstu uz augšu: gaišs ādas tonis
	🫴🏼;plaukstu uz augšu: vidēji gaišs ādas tonis;aicināt|nāc|nozveja|piedāvājums|plaukstu uz augšu|plaukstu uz augšu: vidēji gaišs ādas tonis|vidēji gaišs ādas tonis
	🫴🏽;plaukstu uz augšu: vidējs ādas tonis;aicināt|nāc|nozveja|piedāvājums|plaukstu uz augšu|plaukstu uz augšu: vidējs ādas tonis|vidējs ādas tonis
	🫴🏾;plaukstu uz augšu: vidēji tumšs ādas tonis;aicināt|nāc|nozveja|piedāvājums|plaukstu uz augšu|plaukstu uz augšu: vidēji tumšs ādas tonis|vidēji tumšs ādas tonis
	🫴🏿;plaukstu uz augšu: tumšs ādas tonis;aicināt|nāc|nozveja|piedāvājums|plaukstu uz augšu|plaukstu uz augšu: tumšs ādas tonis|tumšs ādas tonis
🫷;pa kreisi spiedoša roka;atteikt|dod pieci|gaidīt|pa kreisi|pa kreisi spiedoša roka|stop|stumt
	🫷🏻;pa kreisi spiedoša roka: gaišs ādas tonis;atteikt|dod pieci|gaidīt|gaišs ādas tonis|pa kreisi|pa kreisi spiedoša roka|pa kreisi spiedoša roka: gaišs ādas tonis|stop|stumt
	🫷🏼;pa kreisi spiedoša roka: vidēji gaišs ādas tonis;atteikt|dod pieci|gaidīt|pa kreisi|pa kreisi spiedoša roka|pa kreisi spiedoša roka: vidēji gaišs ādas tonis|stop|stumt|vidēji gaišs ādas tonis
	🫷🏽;pa kreisi spiedoša roka: vidējs ādas tonis;atteikt|dod pieci|gaidīt|pa kreisi|pa kreisi spiedoša roka|pa kreisi spiedoša roka: vidējs ādas tonis|stop|stumt|vidējs ādas tonis
	🫷🏾;pa kreisi spiedoša roka: vidēji tumšs ādas tonis;atteikt|dod pieci|gaidīt|pa kreisi|pa kreisi spiedoša roka|pa kreisi spiedoša roka: vidēji tumšs ādas tonis|stop|stumt|vidēji tumšs ādas tonis
	🫷🏿;pa kreisi spiedoša roka: tumšs ādas tonis;atteikt|dod pieci|gaidīt|pa kreisi|pa kreisi spiedoša roka|pa kreisi spiedoša roka: tumšs ādas tonis|stop|stumt|tumšs ādas tonis
🫸;pa labi spiedoša roka;dod pieci|gaidīt|pa labi|pa labi spiedoša roka|stop|stumt|Vote atteikt
	🫸🏻;pa labi spiedoša roka: gaišs ādas tonis;dod pieci|gaidīt|gaišs ādas tonis|pa labi|pa labi spiedoša roka|pa labi spiedoša roka: gaišs ādas tonis|stop|stumt|Vote atteikt
	🫸🏼;pa labi spiedoša roka: vidēji gaišs ādas tonis;dod pieci|gaidīt|pa labi|pa labi spiedoša roka|pa labi spiedoša roka: vidēji gaišs ādas tonis|stop|stumt|vidēji gaišs ādas tonis|Vote atteikt
	🫸🏽;pa labi spiedoša roka: vidējs ādas tonis;dod pieci|gaidīt|pa labi|pa labi spiedoša roka|pa labi spiedoša roka: vidējs ādas tonis|stop|stumt|vidējs ādas tonis|Vote atteikt
	🫸🏾;pa labi spiedoša roka: vidēji tumšs ādas tonis;dod pieci|gaidīt|pa labi|pa labi spiedoša roka|pa labi spiedoša roka: vidēji tumšs ādas tonis|stop|stumt|vidēji tumšs ādas tonis|Vote atteikt
	🫸🏿;pa labi spiedoša roka: tumšs ādas tonis;dod pieci|gaidīt|pa labi|pa labi spiedoša roka|pa labi spiedoša roka: tumšs ādas tonis|stop|stumt|tumšs ādas tonis|Vote atteikt
👌;simbols OK;ķermenis|labi|ok|roka|simbols OK
	👌🏻;simbols OK: gaišs ādas tonis;gaišs ādas tonis|ķermenis|labi|ok|roka|simbols OK|simbols OK: gaišs ādas tonis
	👌🏼;simbols OK: vidēji gaišs ādas tonis;ķermenis|labi|ok|roka|simbols OK|simbols OK: vidēji gaišs ādas tonis|vidēji gaišs ādas tonis
	👌🏽;simbols OK: vidējs ādas tonis;ķermenis|labi|ok|roka|simbols OK|simbols OK: vidējs ādas tonis|vidējs ādas tonis
	👌🏾;simbols OK: vidēji tumšs ādas tonis;ķermenis|labi|ok|roka|simbols OK|simbols OK: vidēji tumšs ādas tonis|vidēji tumšs ādas tonis
	👌🏿;simbols OK: tumšs ādas tonis;ķermenis|labi|ok|roka|simbols OK|simbols OK: tumšs ādas tonis|tumšs ādas tonis
🤌;pastiepti pirksti;pastiepti pirksti|pirksti|rokas žests|sarkastisks|saspiests
	🤌🏻;pastiepti pirksti: gaišs ādas tonis;gaišs ādas tonis|pastiepti pirksti|pastiepti pirksti: gaišs ādas tonis|pirksti|rokas žests|sarkastisks|saspiests
	🤌🏼;pastiepti pirksti: vidēji gaišs ādas tonis;pastiepti pirksti|pastiepti pirksti: vidēji gaišs ādas tonis|pirksti|rokas žests|sarkastisks|saspiests|vidēji gaišs ādas tonis
	🤌🏽;pastiepti pirksti: vidējs ādas tonis;pastiepti pirksti|pastiepti pirksti: vidējs ādas tonis|pirksti|rokas žests|sarkastisks|saspiests|vidējs ādas tonis
	🤌🏾;pastiepti pirksti: vidēji tumšs ādas tonis;pastiepti pirksti|pastiepti pirksti: vidēji tumšs ādas tonis|pirksti|rokas žests|sarkastisks|saspiests|vidēji tumšs ādas tonis
	🤌🏿;pastiepti pirksti: tumšs ādas tonis;pastiepti pirksti|pastiepti pirksti: tumšs ādas tonis|pirksti|rokas žests|sarkastisks|saspiests|tumšs ādas tonis
🤏;roka rāda drusciņu;nedaudz|roka rāda drusciņu
	🤏🏻;roka rāda drusciņu: gaišs ādas tonis;gaišs ādas tonis|nedaudz|roka rāda drusciņu|roka rāda drusciņu: gaišs ādas tonis
	🤏🏼;roka rāda drusciņu: vidēji gaišs ādas tonis;nedaudz|roka rāda drusciņu|roka rāda drusciņu: vidēji gaišs ādas tonis|vidēji gaišs ādas tonis
	🤏🏽;roka rāda drusciņu: vidējs ādas tonis;nedaudz|roka rāda drusciņu|roka rāda drusciņu: vidējs ādas tonis|vidējs ādas tonis
	🤏🏾;roka rāda drusciņu: vidēji tumšs ādas tonis;nedaudz|roka rāda drusciņu|roka rāda drusciņu: vidēji tumšs ādas tonis|vidēji tumšs ādas tonis
