# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;មុខសើច;មុខ|មុខសើច|សើច
	🫄🏿;សញ្ញារូបមនុស្សមានផ្ទៃពោះ: សម្បុរខ្មៅ;ពោះធំ|ពោះប៉ោង|មានផ្ទៃពោះ|សញ្ញារូបមនុស្សមានផ្ទៃពោះ|សញ្ញារូបមនុស្សមានផ្ទៃពោះ: សម្បុរខ្មៅ|សម្បុរខ្មៅ
🤱;ការបំបៅដោះ;ការថែទាំ|ការបំបៅដោះ|ដោះ|ទារក
	🤱🏻;ការបំបៅដោះ: សម្បុរស;ការថែទាំ|ការបំបៅដោះ|ការបំបៅដោះ: សម្បុរស|ដោះ|ទារក|សម្បុរស
	🤱🏼;ការបំបៅដោះ: សម្បុរសល្មម;ការថែទាំ|ការបំបៅដោះ|ការបំបៅដោះ: សម្បុរសល្មម|ដោះ|ទារក|សម្បុរសល្មម
	🤱🏽;ការបំបៅដោះ: សម្បុរស្រអែម;ការថែទាំ|ការបំបៅដោះ|ការបំបៅដោះ: សម្បុរស្រអែម|ដោះ|ទារក|សម្បុរស្រអែម
	🤱🏾;ការបំបៅដោះ: សម្បុរខ្មៅល្មម;ការថែទាំ|ការបំបៅដោះ|ការបំបៅដោះ: សម្បុរខ្មៅល្មម|ដោះ|ទារក|សម្បុរខ្មៅល្មម
	🤱🏿;ការបំបៅដោះ: សម្បុរខ្មៅ;ការថែទាំ|ការបំបៅដោះ|ការបំបៅដោះ: សម្បុរខ្មៅ|ដោះ|ទារក|សម្បុរខ្មៅ
👩‍🍼;ស្រ្តីបំបៅទារក;ថែទាំ|ទារក|បំបៅ|ស្ត្រី|ស្រ្តីបំបៅទារក
	👩🏻‍🍼;ស្រ្តីបំបៅទារក: សម្បុរស;ថែទាំ|ទារក|បំបៅ|សម្បុរស|ស្ត្រី|ស្រ្តីបំបៅទារក|ស្រ្តីបំបៅទារក: សម្បុរស
	👩🏼‍🍼;ស្រ្តីបំបៅទារក: សម្បុរសល្មម;ថែទាំ|ទារក|បំបៅ|សម្បុរសល្មម|ស្ត្រី|ស្រ្តីបំបៅទារក|ស្រ្តីបំបៅទារក: សម្បុរសល្មម
	👩🏽‍🍼;ស្រ្តីបំបៅទារក: សម្បុរស្រអែម;ថែទាំ|ទារក|បំបៅ|សម្បុរស្រអែម|ស្ត្រី|ស្រ្តីបំបៅទារក|ស្រ្តីបំបៅទារក: សម្បុរស្រអែម
	👩🏾‍🍼;ស្រ្តីបំបៅទារក: សម្បុរខ្មៅល្មម;ថែទាំ|ទារក|បំបៅ|សម្បុរខ្មៅល្មម|ស្ត្រី|ស្រ្តីបំបៅទារក|ស្រ្តីបំបៅទារក: សម្បុរខ្មៅល្មម
	👩🏿‍🍼;ស្រ្តីបំបៅទារក: សម្បុរខ្មៅ;ថែទាំ|ទារក|បំបៅ|សម្បុរខ្មៅ|ស្ត្រី|ស្រ្តីបំបៅទារក|ស្រ្តីបំបៅទារក: សម្បុរខ្មៅ
👨‍🍼;បុរសបំបៅទារក;ថែទាំ|ទារក|បំបៅ|បុរស|បុរសបំបៅទារក
	👨🏻‍🍼;បុរសបំបៅទារក: សម្បុរស;ថែទាំ|ទារក|បំបៅ|បុរស|បុរសបំបៅទារក|បុរសបំបៅទារក: សម្បុរស|សម្បុរស
	👨🏼‍🍼;បុរសបំបៅទារក: សម្បុរសល្មម;ថែទាំ|ទារក|បំបៅ|បុរស|បុរសបំបៅទារក|បុរសបំបៅទារក: សម្បុរសល្មម|សម្បុរសល្មម
	👨🏽‍🍼;បុរសបំបៅទារក: សម្បុរស្រអែម;ថែទាំ|ទារក|បំបៅ|បុរស|បុរសបំបៅទារក|បុរសបំបៅទារក: សម្បុរស្រអែម|សម្បុរស្រអែម
	👨🏾‍🍼;បុរសបំបៅទារក: សម្បុរខ្មៅល្មម;ថែទាំ|ទារក|បំបៅ|បុរស|បុរសបំបៅទារក|បុរសបំបៅទារក: សម្បុរខ្មៅល្មម|សម្បុរខ្មៅល្មម
	👨🏿‍🍼;បុរសបំបៅទារក: សម្បុរខ្មៅ;ថែទាំ|ទារក|បំបៅ|បុរស|បុរសបំបៅទារក|បុរសបំបៅទារក: សម្បុរខ្មៅ|សម្បុរខ្មៅ
🧑‍🍼;មនុស្សបំបៅទារក;ទារក បំបៅ ថែទាំ មនុស្ស|មនុស្សបំបៅទារក
	🧑🏻‍🍼;មនុស្សបំបៅទារក: សម្បុរស;ទារក បំបៅ ថែទាំ មនុស្ស|មនុស្សបំបៅទារក|មនុស្សបំបៅទារក: សម្បុរស|សម្បុរស
	🧑🏼‍🍼;មនុស្សបំបៅទារក: សម្បុរសល្មម;ទារក បំបៅ ថែទាំ មនុស្ស|មនុស្សបំបៅទារក|មនុស្សបំបៅទារក: សម្បុរសល្មម|សម្បុរសល្មម
	🧑🏽‍🍼;មនុស្សបំបៅទារក: សម្បុរស្រអែម;ទារក បំបៅ ថែទាំ មនុស្ស|មនុស្សបំបៅទារក|មនុស្សបំបៅទារក: សម្បុរស្រអែម|សម្បុរស្រអែម
	🧑🏾‍🍼;មនុស្សបំបៅទារក: សម្បុរខ្មៅល្មម;ទារក បំបៅ ថែទាំ មនុស្ស|មនុស្សបំបៅទារក|មនុស្សបំបៅទារក: សម្បុរខ្មៅល្មម|សម្បុរខ្មៅល្មម
	🧑🏿‍🍼;មនុស្សបំបៅទារក: សម្បុរខ្មៅ;ទារក បំបៅ ថែទាំ មនុស្ស|មនុស្សបំបៅទារក|មនុស្សបំបៅទារក: សម្បុរខ្មៅ|សម្បុរខ្មៅ
👼;ទេពធីតាតូច;ទេពធីតា|ទេពធីតាតូច|មុខទេពធីតាតូច
	👼🏻;ទេពធីតាតូច: សម្បុរស;ទេពធីតា|ទេពធីតាតូច|ទេពធីតាតូច: សម្បុរស|មុខទេពធីតាតូច|សម្បុរស
	👼🏼;ទេពធីតាតូច: សម្បុរសល្មម;ទេពធីតា|ទេពធីតាតូច|ទេពធីតាតូច: សម្បុរសល្មម|មុខទេពធីតាតូច|សម្បុរសល្មម
	👼🏽;ទេពធីតាតូច: សម្បុរស្រអែម;ទេពធីតា|ទេពធីតាតូច|ទេពធីតាតូច: សម្បុរស្រអែម|មុខទេពធីតាតូច|សម្បុរស្រអែម
	👼🏾;ទេពធីតាតូច: សម្បុរខ្មៅល្មម;ទេពធីតា|ទេពធីតាតូច|ទេពធីតាតូច: សម្បុរខ្មៅល្មម|មុខទេពធីតាតូច|សម្បុរខ្មៅល្មម
	👼🏿;ទេពធីតាតូច: សម្បុរខ្មៅ;ទេពធីតា|ទេពធីតាតូច|ទេពធីតាតូច: សម្បុរខ្មៅ|មុខទេពធីតាតូច|សម្បុរខ្មៅ
🎅;តាណូអែល;ការប្រារព្ធពិធី|គ្រិស្ដស្មាស|តាណូអែល|បុណ្យណូអែល
	🎅🏻;តាណូអែល: សម្បុរស;ការប្រារព្ធពិធី|គ្រិស្ដស្មាស|តាណូអែល|តាណូអែល: សម្បុរស|បុណ្យណូអែល|សម្បុរស
	🎅🏼;តាណូអែល: សម្បុរសល្មម;ការប្រារព្ធពិធី|គ្រិស្ដស្មាស|តាណូអែល|តាណូអែល: សម្បុរសល្មម|បុណ្យណូអែល|សម្បុរសល្មម
	🎅🏽;តាណូអែល: សម្បុរស្រអែម;ការប្រារព្ធពិធី|គ្រិស្ដស្មាស|តាណូអែល|តាណូអែល: សម្បុរស្រអែម|បុណ្យណូអែល|សម្បុរស្រអែម
	🎅🏾;តាណូអែល: សម្បុរខ្មៅល្មម;ការប្រារព្ធពិធី|គ្រិស្ដស្មាស|តាណូអែល|តាណូអែល: សម្បុរខ្មៅល្មម|បុណ្យណូអែល|សម្បុរខ្មៅល្មម
	🎅🏿;តាណូអែល: សម្បុរខ្មៅ;ការប្រារព្ធពិធី|គ្រិស្ដស្មាស|តាណូអែល|តាណូអែល: សម្បុរខ្មៅ|បុណ្យណូអែល|សម្បុរខ្មៅ
🤶;លោកយាយណូអែល;ការប្រារព្ធ|គ្រីស្ដស្មាស|បុណ្យណូអែល|ម្ដាយ|យាយណូអែល|លោកយាយណូអែល
	🤶🏻;លោកយាយណូអែល: សម្បុរស;ការប្រារព្ធ|គ្រីស្ដស្មាស|បុណ្យណូអែល|ម្ដាយ|យាយណូអែល|លោកយាយណូអែល|លោកយាយណូអែល: សម្បុរស|សម្បុរស
	🤶🏼;លោកយាយណូអែល: សម្បុរសល្មម;ការប្រារព្ធ|គ្រីស្ដស្មាស|បុណ្យណូអែល|ម្ដាយ|យាយណូអែល|លោកយាយណូអែល|លោកយាយណូអែល: សម្បុរសល្មម|សម្បុរសល្មម
	🤶🏽;លោកយាយណូអែល: សម្បុរស្រអែម;ការប្រារព្ធ|គ្រីស្ដស្មាស|បុណ្យណូអែល|ម្ដាយ|យាយណូអែល|លោកយាយណូអែល|លោកយាយណូអែល: សម្បុរស្រអែម|សម្បុរស្រអែម
	🤶🏾;លោកយាយណូអែល: សម្បុរខ្មៅល្មម;ការប្រារព្ធ|គ្រីស្ដស្មាស|បុណ្យណូអែល|ម្ដាយ|យាយណូអែល|លោកយាយណូអែល|លោកយាយណូអែល: សម្បុរខ្មៅល្មម|សម្បុរខ្មៅល្មម
	🤶🏿;លោកយាយណូអែល: សម្បុរខ្មៅ;ការប្រារព្ធ|គ្រីស្ដស្មាស|បុណ្យណូអែល|ម្ដាយ|យាយណូអែល|លោកយាយណូអែល|លោកយាយណូអែល: សម្បុរខ្មៅ|សម្បុរខ្មៅ
🧑‍🎄;បុរសណូអែល;បុណ្យណូអែល គ្រីស្តស្មាស|បុរសណូអែល
	🧑🏻‍🎄;បុរសណូអែល: សម្បុរស;បុណ្យណូអែល គ្រីស្តស្មាស|បុរសណូអែល|បុរសណូអែល: សម្បុរស|សម្បុរស
	🧑🏼‍🎄;បុរសណូអែល: សម្បុរសល្មម;បុណ្យណូអែល គ្រីស្តស្មាស|បុរសណូអែល|បុរសណូអែល: សម្បុរសល្មម|សម្បុរសល្មម
	🧑🏽‍🎄;បុរសណូអែល: សម្បុរស្រអែម;បុណ្យណូអែល គ្រីស្តស្មាស|បុរសណូអែល|បុរសណូអែល: សម្បុរស្រអែម|សម្បុរស្រអែម
	🧑🏾‍🎄;បុរសណូអែល: សម្បុរខ្មៅល្មម;បុណ្យណូអែល គ្រីស្តស្មាស|បុរសណូអែល|បុរសណូអែល: សម្បុរខ្មៅល្មម|សម្បុរខ្មៅល្មម
	🧑🏿‍🎄;បុរសណូអែល: សម្បុរខ្មៅ;បុណ្យណូអែល គ្រីស្តស្មាស|បុរសណូអែល|បុរសណូអែល: សម្បុរខ្មៅ|សម្បុរខ្មៅ
🦸;កំពូលវីរជន;កំពូលវីរជន|ថាមពលពិសេស|ល្អ|វីរនារី|វីរបុរស
	🦸🏻;កំពូលវីរជន: សម្បុរស;កំពូលវីរជន|កំពូលវីរជន: សម្បុរស|ថាមពលពិសេស|ល្អ|វីរនារី|វីរបុរស|សម្បុរស
	🦸🏼;កំពូលវីរជន: សម្បុរសល្មម;កំពូលវីរជន|កំពូលវីរជន: សម្បុរសល្មម|ថាមពលពិសេស|ល្អ|វីរនារី|វីរបុរស|សម្បុរសល្មម
	🦸🏽;កំពូលវីរជន: សម្បុរស្រអែម;កំពូលវីរជន|កំពូលវីរជន: សម្បុរស្រអែម|ថាមពលពិសេស|ល្អ|វីរនារី|វីរបុរស|សម្បុរស្រអែម
	🦸🏾;កំពូលវីរជន: សម្បុរខ្មៅល្មម;កំពូលវីរជន|កំពូលវីរជន: សម្បុរខ្មៅល្មម|ថាមពលពិសេស|ល្អ|វីរនារី|វីរបុរស|សម្បុរខ្មៅល្មម
	🦸🏿;កំពូលវីរជន: សម្បុរខ្មៅ;កំពូលវីរជន|កំពូលវីរជន: សម្បុរខ្មៅ|ថាមពលពិសេស|ល្អ|វីរនារី|វីរបុរស|សម្បុរខ្មៅ
🦸‍♂️;វីរបុរស;ថាមពលពិសេស|នារី|ល្អ|វីរនារី|វីរបុរស
	🦸🏻‍♂️;វីរបុរស: សម្បុរស;ថាមពលពិសេស|នារី|ល្អ|វីរនារី|វីរបុរស|វីរបុរស: សម្បុរស|សម្បុរស
	🦸🏼‍♂️;វីរបុរស: សម្បុរសល្មម;ថាមពលពិសេស|នារី|ល្អ|វីរនារី|វីរបុរស|វីរបុរស: សម្បុរសល្មម|សម្បុរសល្មម
	🦸🏽‍♂️;វីរបុរស: សម្បុរស្រអែម;ថាមពលពិសេស|នារី|ល្អ|វីរនារី|វីរបុរស|វីរបុរស: សម្បុរស្រអែម|សម្បុរស្រអែម
	🦸🏾‍♂️;វីរបុរស: សម្បុរខ្មៅល្មម;ថាមពលពិសេស|នារី|ល្អ|វីរនារី|វីរបុរស|វីរបុរស: សម្បុរខ្មៅល្មម|សម្បុរខ្មៅល្មម
	🦸🏿‍♂️;វីរបុរស: សម្បុរខ្មៅ;ថាមពលពិសេស|នារី|ល្អ|វីរនារី|វីរបុរស|វីរបុរស: សម្បុរខ្មៅ|សម្បុរខ្មៅ
🦸‍♀️;វីរនារី;ថាមពលពិសេស|នារី|ល្អ|វីរនារី|វីរបុរស
	🦸🏻‍♀️;វីរនារី: សម្បុរស;ថាមពលពិសេស|នារី|ល្អ|វីរនារី|វីរនារី: សម្បុរស|វីរបុរស|សម្បុរស
	🦸🏼‍♀️;វីរនារី: សម្បុរសល្មម;ថាមពលពិសេស|នារី|ល្អ|វីរនារី|វីរនារី: សម្បុរសល្មម|វីរបុរស|សម្បុរសល្មម
	🦸🏽‍♀️;វីរនារី: សម្បុរស្រអែម;ថាមពលពិសេស|នារី|ល្អ|វីរនារី|វីរនារី: សម្បុរស្រអែម|វីរបុរស|សម្បុរស្រអែម
	🦸🏾‍♀️;វីរនារី: សម្បុរខ្មៅល្មម;ថាមពលពិសេស|នារី|ល្អ|វីរនារី|វីរនារី: សម្បុរខ្មៅល្មម|វីរបុរស|សម្បុរខ្មៅល្មម
	🦸🏿‍♀️;វីរនារី: សម្បុរខ្មៅ;ថាមពលពិសេស|នារី|ល្អ|វីរនារី|វីរនារី: សម្បុរខ្មៅ|វីរបុរស|សម្បុរខ្មៅ
🦹;កំពូលជនអាក្រក់;កំពូលជនអាក្រក់|ជនអាក្រក់|ថាមពលពិសេស|អាក្រក់|ឧក្រិដ្ឋជន
	🦹🏻;កំពូលជនអាក្រក់: សម្បុរស;កំពូលជនអាក្រក់|កំពូលជនអាក្រក់: សម្បុរស|ជនអាក្រក់|ថាមពលពិសេស|សម្បុរស|អាក្រក់|ឧក្រិដ្ឋជន
	🦹🏼;កំពូលជនអាក្រក់: សម្បុរសល្មម;កំពូលជនអាក្រក់|កំពូលជនអាក្រក់: សម្បុរសល្មម|ជនអាក្រក់|ថាមពលពិសេស|សម្បុរសល្មម|អាក្រក់|ឧក្រិដ្ឋជន
	🦹🏽;កំពូលជនអាក្រក់: សម្បុរស្រអែម;កំពូលជនអាក្រក់|កំពូលជនអាក្រក់: សម្បុរស្រអែម|ជនអាក្រក់|ថាមពលពិសេស|សម្បុរស្រអែម|អាក្រក់|ឧក្រិដ្ឋជន
	🦹🏾;កំពូលជនអាក្រក់: សម្បុរខ្មៅល្មម;កំពូលជនអាក្រក់|កំពូលជនអាក្រក់: សម្បុរខ្មៅល្មម|ជនអាក្រក់|ថាមពលពិសេស|សម្បុរខ្មៅល្មម|អាក្រក់|ឧក្រិដ្ឋជន
	🦹🏿;កំពូលជនអាក្រក់: សម្បុរខ្មៅ;កំពូលជនអាក្រក់|កំពូលជនអាក្រក់: សម្បុរខ្មៅ|ជនអាក្រក់|ថាមពលពិសេស|សម្បុរខ្មៅ|អាក្រក់|ឧក្រិដ្ឋជន
🦹‍♂️;កំពូលបុរសអាក្រក់;កំពូលបុរសអាក្រក់|ជនអាក្រក់|ថាមពលពិសេស|បុរស|អាក្រក់|ឧក្រិដ្ឋជន
	🦹🏻‍♂️;កំពូលបុរសអាក្រក់: សម្បុរស;កំពូលបុរសអាក្រក់|កំពូលបុរសអាក្រក់: សម្បុរស|ជនអាក្រក់|ថាមពលពិសេស|បុរស|សម្បុរស|អាក្រក់|ឧក្រិដ្ឋជន
	🦹🏼‍♂️;កំពូលបុរសអាក្រក់: សម្បុរសល្មម;កំពូលបុរសអាក្រក់|កំពូលបុរសអាក្រក់: សម្បុរសល្មម|ជនអាក្រក់|ថាមពលពិសេស|បុរស|សម្បុរសល្មម|អាក្រក់|ឧក្រិដ្ឋជន
	🦹🏽‍♂️;កំពូលបុរសអាក្រក់: សម្បុរស្រអែម;កំពូលបុរសអាក្រក់|កំពូលបុរសអាក្រក់: សម្បុរស្រអែម|ជនអាក្រក់|ថាមពលពិសេស|បុរស|សម្បុរស្រអែម|អាក្រក់|ឧក្រិដ្ឋជន
	🦹🏾‍♂️;កំពូលបុរសអាក្រក់: សម្បុរខ្មៅល្មម;កំពូលបុរសអាក្រក់|កំពូលបុរសអាក្រក់: សម្បុរខ្មៅល្មម|ជនអាក្រក់|ថាមពលពិសេស|បុរស|សម្បុរខ្មៅល្មម|អាក្រក់|ឧក្រិដ្ឋជន
	🦹🏿‍♂️;កំពូលបុរសអាក្រក់: សម្បុរខ្មៅ;កំពូលបុរសអាក្រក់|កំពូលបុរសអាក្រក់: សម្បុរខ្មៅ|ជនអាក្រក់|ថាមពលពិសេស|បុរស|សម្បុរខ្មៅ|អាក្រក់|ឧក្រិដ្ឋជន
🦹‍♀️;កំពូលនារីអាក្រក់;កំពូលនារីអាក្រក់|ជនអាក្រក់|ថាមពលពិសេស|នារី|អាក្រក់|ឧក្រិដ្ឋជន
	🦹🏻‍♀️;កំពូលនារីអាក្រក់: សម្បុរស;កំពូលនារីអាក្រក់|កំពូលនារីអាក្រក់: សម្បុរស|ជនអាក្រក់|ថាមពលពិសេស|នារី|សម្បុរស|អាក្រក់|ឧក្រិដ្ឋជន
	🦹🏼‍♀️;កំពូលនារីអាក្រក់: សម្បុរសល្មម;កំពូលនារីអាក្រក់|កំពូលនារីអាក្រក់: សម្បុរសល្មម|ជនអាក្រក់|ថាមពលពិសេស|នារី|សម្បុរសល្មម|អាក្រក់|ឧក្រិដ្ឋជន
	🦹🏽‍♀️;កំពូលនារីអាក្រក់: សម្បុរស្រអែម;កំពូលនារីអាក្រក់|កំពូលនារីអាក្រក់: សម្បុរស្រអែម|ជនអាក្រក់|ថាមពលពិសេស|នារី|សម្បុរស្រអែម|អាក្រក់|ឧក្រិដ្ឋជន
	🦹🏾‍♀️;កំពូលនារីអាក្រក់: សម្បុរខ្មៅល្មម;កំពូលនារីអាក្រក់|កំពូលនារីអាក្រក់: សម្បុរខ្មៅល្មម|ជនអាក្រក់|ថាមពលពិសេស|នារី|សម្បុរខ្មៅល្មម|អាក្រក់|ឧក្រិដ្ឋជន
	🦹🏿‍♀️;កំពូលនារីអាក្រក់: សម្បុរខ្មៅ;កំពូលនារីអាក្រក់|កំពូលនារីអាក្រក់: សម្បុរខ្មៅ|ជនអាក្រក់|ថាមពលពិសេស|នារី|សម្បុរខ្មៅ|អាក្រក់|ឧក្រិដ្ឋជន
🧙;អ្នកវេទមន្ត;ធ្មប់|អ្នកមន្តអាគម|អ្នកវេទមន្ត
	🧙🏻;អ្នកវេទមន្ត: សម្បុរស;ធ្មប់|សម្បុរស|អ្នកមន្តអាគម|អ្នកវេទមន្ត|អ្នកវេទមន្ត: សម្បុរស
	🧙🏼;អ្នកវេទមន្ត: សម្បុរសល្មម;ធ្មប់|សម្បុរសល្មម|អ្នកមន្តអាគម|អ្នកវេទមន្ត|អ្នកវេទមន្ត: សម្បុរសល្មម
	🧙🏽;អ្នកវេទមន្ត: សម្បុរស្រអែម;ធ្មប់|សម្បុរស្រអែម|អ្នកមន្តអាគម|អ្នកវេទមន្ត|អ្នកវេទមន្ត: សម្បុរស្រអែម
	🧙🏾;អ្នកវេទមន្ត: សម្បុរខ្មៅល្មម;ធ្មប់|សម្បុរខ្មៅល្មម|អ្នកមន្តអាគម|អ្នកវេទមន្ត|អ្នកវេទមន្ត: សម្បុរខ្មៅល្មម
	🧙🏿;អ្នកវេទមន្ត: សម្បុរខ្មៅ;ធ្មប់|សម្បុរខ្មៅ|អ្នកមន្តអាគម|អ្នកវេទមន្ត|អ្នកវេទមន្ត: សម្បុរខ្មៅ
🧙‍♂️;អ្នកវេទមន្តប្រុស;ធ្មប់ប្រុស|អ្នកមន្តអាគមប្រុស|អ្នកវេទមន្តប្រុស
	🧙🏻‍♂️;អ្នកវេទមន្តប្រុស: សម្បុរស;ធ្មប់ប្រុស|សម្បុរស|អ្នកមន្តអាគមប្រុស|អ្នកវេទមន្តប្រុស|អ្នកវេទមន្តប្រុស: សម្បុរស
	🧙🏼‍♂️;អ្នកវេទមន្តប្រុស: សម្បុរសល្មម;ធ្មប់ប្រុស|សម្បុរសល្មម|អ្នកមន្តអាគមប្រុស|អ្នកវេទមន្តប្រុស|អ្នកវេទមន្តប្រុស: សម្បុរសល្មម
	🧙🏽‍♂️;អ្នកវេទមន្តប្រុស: សម្បុរស្រអែម;ធ្មប់ប្រុស|សម្បុរស្រអែម|អ្នកមន្តអាគមប្រុស|អ្នកវេទមន្តប្រុស|អ្នកវេទមន្តប្រុស: សម្បុរស្រអែម
	🧙🏾‍♂️;អ្នកវេទមន្តប្រុស: សម្បុរខ្មៅល្មម;ធ្មប់ប្រុស|សម្បុរខ្មៅល្មម|អ្នកមន្តអាគមប្រុស|អ្នកវេទមន្តប្រុស|អ្នកវេទមន្តប្រុស: សម្បុរខ្មៅល្មម
	🧙🏿‍♂️;អ្នកវេទមន្តប្រុស: សម្បុរខ្មៅ;ធ្មប់ប្រុស|សម្បុរខ្មៅ|អ្នកមន្តអាគមប្រុស|អ្នកវេទមន្តប្រុស|អ្នកវេទមន្តប្រុស: សម្បុរខ្មៅ
🧙‍♀️;អ្នកវេទមន្តស្រី;ធ្មប់ស្រី|អ្នកមន្តអាគមស្រី|អ្នកវេទមន្តស្រី
	🧙🏻‍♀️;អ្នកវេទមន្តស្រី: សម្បុរស;ធ្មប់ស្រី|សម្បុរស|អ្នកមន្តអាគមស្រី|អ្នកវេទមន្តស្រី|អ្នកវេទមន្តស្រី: សម្បុរស
	🧙🏼‍♀️;អ្នកវេទមន្តស្រី: សម្បុរសល្មម;ធ្មប់ស្រី|សម្បុរសល្មម|អ្នកមន្តអាគមស្រី|អ្នកវេទមន្តស្រី|អ្នកវេទមន្តស្រី: សម្បុរសល្មម
	🧙🏽‍♀️;អ្នកវេទមន្តស្រី: សម្បុរស្រអែម;ធ្មប់ស្រី|សម្បុរស្រអែម|អ្នកមន្តអាគមស្រី|អ្នកវេទមន្តស្រី|អ្នកវេទមន្តស្រី: សម្បុរស្រអែម
	🧙🏾‍♀️;អ្នកវេទមន្តស្រី: សម្បុរខ្មៅល្មម;ធ្មប់ស្រី|សម្បុរខ្មៅល្មម|អ្នកមន្តអាគមស្រី|អ្នកវេទមន្តស្រី|អ្នកវេទមន្តស្រី: សម្បុរខ្មៅល្មម
	🧙🏿‍♀️;អ្នកវេទមន្តស្រី: សម្បុរខ្មៅ;ធ្មប់ស្រី|សម្បុរខ្មៅ|អ្នកមន្តអាគមស្រី|អ្នកវេទមន្តស្រី|អ្នកវេទមន្តស្រី: សម្បុរខ្មៅ
🧚;មនុស្សទេព;ទីតានៀ|ផាក់|មនុស្សទេព|អូបេរ៉ុន
	🧚🏻;មនុស្សទេព: សម្បុរស;ទីតានៀ|ផាក់|មនុស្សទេព|មនុស្សទេព: សម្បុរស|សម្បុរស|អូបេរ៉ុន
	🧚🏼;មនុស្សទេព: សម្បុរសល្មម;ទីតានៀ|ផាក់|មនុស្សទេព|មនុស្សទេព: សម្បុរសល្មម|សម្បុរសល្មម|អូបេរ៉ុន
	🧚🏽;មនុស្សទេព: សម្បុរស្រអែម;ទីតានៀ|ផាក់|មនុស្សទេព|មនុស្សទេព: សម្បុរស្រអែម|សម្បុរស្រអែម|អូបេរ៉ុន
	🧚🏾;មនុស្សទេព: សម្បុរខ្មៅល្មម;ទីតានៀ|ផាក់|មនុស្សទេព|មនុស្សទេព: សម្បុរខ្មៅល្មម|សម្បុរខ្មៅល្មម|អូបេរ៉ុន
	🧚🏿;មនុស្សទេព: សម្បុរខ្មៅ;ទីតានៀ|ផាក់|មនុស្សទេព|មនុស្សទេព: សម្បុរខ្មៅ|សម្បុរខ្មៅ|អូបេរ៉ុន
🧚‍♂️;ទេវបុត្រ;ទេវបុត្រ|ផាក់|អូបេរ៉ុន
	🧚🏻‍♂️;ទេវបុត្រ: សម្បុរស;ទេវបុត្រ|ទេវបុត្រ: សម្បុរស|ផាក់|សម្បុរស|អូបេរ៉ុន
	🧚🏼‍♂️;ទេវបុត្រ: សម្បុរសល្មម;ទេវបុត្រ|ទេវបុត្រ: សម្បុរសល្មម|ផាក់|សម្បុរសល្មម|អូបេរ៉ុន
	🧚🏽‍♂️;ទេវបុត្រ: សម្បុរស្រអែម;ទេវបុត្រ|ទេវបុត្រ: សម្បុរស្រអែម|ផាក់|សម្បុរស្រអែម|អូបេរ៉ុន
	🧚🏾‍♂️;ទេវបុត្រ: សម្បុរខ្មៅល្មម;ទេវបុត្រ|ទេវបុត្រ: សម្បុរខ្មៅល្មម|ផាក់|សម្បុរខ្មៅល្មម|អូបេរ៉ុន
	🧚🏿‍♂️;ទេវបុត្រ: សម្បុរខ្មៅ;ទេវបុត្រ|ទេវបុត្រ: សម្បុរខ្មៅ|ផាក់|សម្បុរខ្មៅ|អូបេរ៉ុន
🧚‍♀️;ទេពធីតា;ទីតានៀ|ទេពធីតា
	🧚🏻‍♀️;ទេពធីតា: សម្បុរស;ទីតានៀ|ទេពធីតា|ទេពធីតា: សម្បុរស|សម្បុរស
	🧚🏼‍♀️;ទេពធីតា: សម្បុរសល្មម;ទីតានៀ|ទេពធីតា|ទេពធីតា: សម្បុរសល្មម|សម្បុរសល្មម
	🧚🏽‍♀️;ទេពធីតា: សម្បុរស្រអែម;ទីតានៀ|ទេពធីតា|ទេពធីតា: សម្បុរស្រអែម|សម្បុរស្រអែម
	🧚🏾‍♀️;ទេពធីតា: សម្បុរខ្មៅល្មម;ទីតានៀ|ទេពធីតា|ទេពធីតា: សម្បុរខ្មៅល្មម|សម្បុរខ្មៅល្មម
	🧚🏿‍♀️;ទេពធីតា: សម្បុរខ្មៅ;ទីតានៀ|ទេពធីតា|ទេពធីតា: សម្បុរខ្មៅ|សម្បុរខ្មៅ
🧛;បិសាចជញ្ជក់ឈាម;ត្រាខ្យូឡា|បិសាចជញ្ជក់ឈាម|បិសាចមិនចេះស្លាប់
	🧛🏻;បិសាចជញ្ជក់ឈាម: សម្បុរស;ត្រាខ្យូឡា|បិសាចជញ្ជក់ឈាម|បិសាចជញ្ជក់ឈាម: សម្បុរស|បិសាចមិនចេះស្លាប់|សម្បុរស
	🧛🏼;បិសាចជញ្ជក់ឈាម: សម្បុរសល្មម;ត្រាខ្យូឡា|បិសាចជញ្ជក់ឈាម|បិសាចជញ្ជក់ឈាម: សម្បុរសល្មម|បិសាចមិនចេះស្លាប់|សម្បុរសល្មម
	🧛🏽;បិសាចជញ្ជក់ឈាម: សម្បុរស្រអែម;ត្រាខ្យូឡា|បិសាចជញ្ជក់ឈាម|បិសាចជញ្ជក់ឈាម: សម្បុរស្រអែម|បិសាចមិនចេះស្លាប់|សម្បុរស្រអែម
	🧛🏾;បិសាចជញ្ជក់ឈាម: សម្បុរខ្មៅល្មម;ត្រាខ្យូឡា|បិសាចជញ្ជក់ឈាម|បិសាចជញ្ជក់ឈាម: សម្បុរខ្មៅល្មម|បិសាចមិនចេះស្លាប់|សម្បុរខ្មៅល្មម
