# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;មុខសើច;មុខ|មុខសើច|សើច
😷;មុខពាក់ម៉ាសគ្រូពេទ្យ;ពាក់ម៉ាស|ម៉ាស|មុខពាក់ម៉ាសគ្រូពេទ្យ
🤒;មុខបៀមឧបករណ៍ស្ទង់កំដៅ;ក្តៅខ្លួន|ឈឺ|មុខបៀមឧបករណ៍ស្ទង់កំដៅ
🤕;មុខរុំប៉ង់សេម៉ង់;គ្រោះថ្នាក់|មុខរុំប៉ង់សេម៉ង់|របួស
🤢;មុខរកកលចង់ក្អួត;ក្អួត|មុខ|មុខរកកលចង់ក្អួត|រកកល់ចង់ក្អួត
🤮;មុខចង់ក្អួត;ក្អួត|ឈឺ|មុខចង់ក្អួត
🤧;មុខកណ្តាស់;កណ្តាស|មុខ|មុខកណ្តាស់|ស្បើយ
🥵;មុខក្ដៅ;ក្ដៅ|ចង់គ្រុន|ចាញ់ថ្ងៃ|បែកញើស|មុខក្ដៅ|មុខក្រហម
🥶;មុខត្រជាក់ឡើងកក;ដុំទឹកកកស្រួច|ត្រជាក់|ត្រជាក់កក|ត្រជាក់ចង់រលេះដៃជើង|មុខត្រជាក់ឡើងកក|មុខឡើងស្វាយ
🥴;មុខធីងធោង;ធ្លាក់ភ្នែកមួយចំហៀង|មាត់ដូចរលក|មុខធីងធោង|វិលមុខ|ស្រវឹង|ស្រវឹងតិចៗ
😵;វិលមុខ;មុខ|វិលមុខ
😵‍💫;មុខមានភ្នែកវិលរាងគូទខ្យង;គូទខ្យង|ត្រូវសណ្ដំ|បញ្ហា|មុខមានភ្នែកវិលរាងគូទខ្យង|វិលមុខ
🤯;ក្បាលកំពុងផ្ទុះ;ក្បាលកំពុងផ្ទុះ|រន្ធត់
🤠;មុខពាក់មួកខូវប៊យ;ខូវប៊យ|ខូវហ្គឺល|មុខ|មុខពាក់មួកខូវប៊យ|មួក
🥳;មុខជប់លៀង;ការប្រារព្ធពិធី|ប៉ី|ពិធីជប់លៀង|មុខជប់លៀង|មួក
🥸;មុខបិទបាំង;ក្លែង|ច្រមុះ|មុខ|មុខបិទបាំង|វ៉ែនតា|សម្ងាត់
😎;មុខញញឹមពាក់វ៉ែនតាខ្មៅ;ចាំងថ្ងៃ|ចាំងភ្នែក|ញញឹម|មុខ|មុខញញឹមពាក់វ៉ែនតាខ្មៅ|វ៉ែនតា|វ៉ែនតាខ្មៅ
🤓;មុខកំប្លែង;កំប្លែង|មុខកំប្លែង|ឡប់ឡប់|ឡឺកី
🧐;មុខពាក់វ៉ែនតាម្ខាង;មុខពាក់វ៉ែនតាម្ខាង|ហប់
😕;មុខឆ្ងល់អ្វីមួយ;ឆ្ងល់|មុខឆ្ងល់អ្វីមួយ
🫤;សញ្ញាមុខមានមាត់វៀច;ខកចិត្ត|មិនច្បាស់|សញ្ញាមុខមានមាត់វៀច
😟;មុខព្រួយបារម្ភ;ខ្វល់ចិត្ត|ព្រួយចិត្ត|ព្រួយបារម្ហ|មុខព្រួយបារម្ភ
🙁;មុខក្រម៉ូវបន្តិច;ក្រម៉ូវ|ពេបមាត់|មុខក្រម៉ូវបន្តិច
☹️;មុខក្រម៉ូវ;ក្រម៉ូវ|ពេបមាត់|មុខក្រម៉ូវ
😮;មុខចំហមាត់បើកភ្នែក;ចំហ|បើកមាត់|មាត់|មុខចំហមាត់បើកភ្នែក
😯;មុខចំហមាត់់ចិញ្ចើមងើបទៅលើលក្ខណៈភាំង;ភាំង|មុខចំហមាត់់ចិញ្ចើមងើបទៅលើលក្ខណៈភាំង
😲;មុខភ្ជាក់ផ្អើល;ភ្ញាក់ផ្អើល|មុខភ្ជាក់ផ្អើល
😳;មុខឡើងក្រហមព្រឿងៗ;បើក|ភ្នែក|មុខក្រហម|មុខឡើងក្រហមព្រឿងៗ
🥺;មុខអង្វរ;ការអង្វរ|ធ្វើភ្នែកគួរឱ្យអាណិត|មុខអង្វរ|មេត្តាធម៌
🥹;សញ្ញាមុខទប់ទឹកភ្នែក;ខឹង|ទប់អារម្មណ៍|យំ|សញ្ញាមុខទប់ទឹកភ្នែក|សោកសៅ
😦;មុខក្រៀមក្រំហើយចំហមាត់;ក្រៀមក្រំ|មុខក្រៀមក្រំហើយចំហមាត់
😧;មុខរន្ធត់;ភ័យ|មុខរន្ធត់|រន្ធត់
😨;មុខភ័យខ្លាច;ខ្លាច|ភ័យ|ភ័យខ្លាច|មុខភ័យខ្លាច
😰;មុខឈឺដោយថ្ងាស់ឡើងពណ៌ខៀវនិងមានញើស;ក្តៅ|ឈឺ|បែកញើស|មុខឈឺដោយថ្ងាស់ឡើងពណ៌ខៀវនិងមានញើស
😥;មុខពេបមាត់ និងទម្លាក់ទឹកមុខត;ខកចិត្ត|បែកញើស|ពេប|មុខពេបមាត់ និងទម្លាក់ទឹកមុខត|អន់ចិត្ត
😢;មុខស្រក់ទឹកភ្នែក;ទឹកភ្នែក|មុខស្រក់ទឹកភ្នែក|យំ|ស្រក់ទឹកភ្នែក
😭;មុខកំពុងយំយ៉ាងខ្លាំង;ទឹកភ្នែក|មុខកំពុងយំយ៉ាងខ្លាំង|យំ|យំខ្លាំង|ហូរទឹកភ្នែក
😱;មុខស្រែកដោយភ័យ;មុខស្រែកដោយភ័យ|ស្រែក
😖;មុខឡប់ៗ;ញ៉ស់|មុខឡប់|មុខឡប់ៗ
😣;ធ្វើមុខជ្រួញ;ជ្រួញ|ធ្វើមុខជ្រួញ|មុខ
😞;មុខខកចិត្ត;ក្រៀមក្រំ|ខកចិត្ត|ពេប|មុខខកចិត្ត|ស្រពោន|អន់ចិត្ត
😓;មុខស្រពោនមានញើសពីថ្ងាស;ញើស|បែកញើស|ពេបមាត់|មុខស្រពោនមានញើសពីថ្ងាស|ស្រពោន
