# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;چىشلىق كۈلگەن چىراي;چىراي|چىشلىق|چىشلىق كۈلگەن چىراي
	🧑🏽;چوڭلار: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|جىنىسسىز|چوڭلار|چوڭلار: ئارا تېرە رەڭگى
	🧑🏾;چوڭلار: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|جىنىسسىز|چوڭلار|چوڭلار: ئارا توق تېرە رەڭگى
	🧑🏿;چوڭلار: توق تېرە رەڭ;توق تېرە رەڭ|جىنىسسىز|چوڭلار|چوڭلار: توق تېرە رەڭ
👱;ئالتۇن چاچ كىشى;ئالتۇن چاچ|ئالتۇن چاچ كىشى
	👱🏻;ئالتۇن چاچ كىشى: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئالتۇن چاچ|ئالتۇن چاچ كىشى|ئالتۇن چاچ كىشى: ئاچ تېرە رەڭ
	👱🏼;ئالتۇن چاچ كىشى: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئالتۇن چاچ|ئالتۇن چاچ كىشى|ئالتۇن چاچ كىشى: ئارا ئاچ تېرە رەڭگى
	👱🏽;ئالتۇن چاچ كىشى: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئالتۇن چاچ|ئالتۇن چاچ كىشى|ئالتۇن چاچ كىشى: ئارا تېرە رەڭگى
	👱🏾;ئالتۇن چاچ كىشى: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئالتۇن چاچ|ئالتۇن چاچ كىشى|ئالتۇن چاچ كىشى: ئارا توق تېرە رەڭگى
	👱🏿;ئالتۇن چاچ كىشى: توق تېرە رەڭ;ئالتۇن چاچ|ئالتۇن چاچ كىشى|ئالتۇن چاچ كىشى: توق تېرە رەڭ|توق تېرە رەڭ
👨;ئەر;ئەر
	👨🏻;ئەر: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئەر|ئەر: ئاچ تېرە رەڭ
	👨🏼;ئەر: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئەر|ئەر: ئارا ئاچ تېرە رەڭگى
	👨🏽;ئەر: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئەر|ئەر: ئارا تېرە رەڭگى
	👨🏾;ئەر: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئەر|ئەر: ئارا توق تېرە رەڭگى
	👨🏿;ئەر: توق تېرە رەڭ;ئەر|ئەر: توق تېرە رەڭ|توق تېرە رەڭ
🧔;ساقاللىق كىشى;ساقال|ساقاللىق كىشى
	🧔🏻;ساقاللىق كىشى: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ساقال|ساقاللىق كىشى|ساقاللىق كىشى: ئاچ تېرە رەڭ
	🧔🏼;ساقاللىق كىشى: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ساقال|ساقاللىق كىشى|ساقاللىق كىشى: ئارا ئاچ تېرە رەڭگى
	🧔🏽;ساقاللىق كىشى: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ساقال|ساقاللىق كىشى|ساقاللىق كىشى: ئارا تېرە رەڭگى
	🧔🏾;ساقاللىق كىشى: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ساقال|ساقاللىق كىشى|ساقاللىق كىشى: ئارا توق تېرە رەڭگى
	🧔🏿;ساقاللىق كىشى: توق تېرە رەڭ;توق تېرە رەڭ|ساقال|ساقاللىق كىشى|ساقاللىق كىشى: توق تېرە رەڭ
🧔‍♂️;;
	🧔🏻‍♂️;;
	🧔🏼‍♂️;;
	🧔🏽‍♂️;;
	🧔🏾‍♂️;;
	🧔🏿‍♂️;;
🧔‍♀️;;
	🧔🏻‍♀️;;
	🧔🏼‍♀️;;
	🧔🏽‍♀️;;
	🧔🏾‍♀️;;
	🧔🏿‍♀️;;
👨‍🦰;;
	👨🏻‍🦰;;
	👨🏼‍🦰;;
	👨🏽‍🦰;;
	👨🏾‍🦰;;
	👨🏿‍🦰;;
👨‍🦱;;
	👨🏻‍🦱;;
	👨🏼‍🦱;;
	👨🏽‍🦱;;
	👨🏾‍🦱;;
	👨🏿‍🦱;;
👨‍🦳;;
	👨🏻‍🦳;;
	👨🏼‍🦳;;
	👨🏽‍🦳;;
	👨🏾‍🦳;;
	👨🏿‍🦳;;
👨‍🦲;;
	👨🏻‍🦲;;
	👨🏼‍🦲;;
	👨🏽‍🦲;;
	👨🏾‍🦲;;
	👨🏿‍🦲;;
👩;ئايال;ئايال
	👩🏻;ئايال: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئايال|ئايال: ئاچ تېرە رەڭ
	👩🏼;ئايال: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئايال|ئايال: ئارا ئاچ تېرە رەڭگى
	👩🏽;ئايال: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئايال|ئايال: ئارا تېرە رەڭگى
	👩🏾;ئايال: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئايال|ئايال: ئارا توق تېرە رەڭگى
	👩🏿;ئايال: توق تېرە رەڭ;ئايال|ئايال: توق تېرە رەڭ|توق تېرە رەڭ
👩‍🦰;;
	👩🏻‍🦰;;
	👩🏼‍🦰;;
	👩🏽‍🦰;;
	👩🏾‍🦰;;
	👩🏿‍🦰;;
🧑‍🦰;;
	🧑🏻‍🦰;;
	🧑🏼‍🦰;;
	🧑🏽‍🦰;;
	🧑🏾‍🦰;;
	🧑🏿‍🦰;;
👩‍🦱;;
	👩🏻‍🦱;;
	👩🏼‍🦱;;
	👩🏽‍🦱;;
	👩🏾‍🦱;;
	👩🏿‍🦱;;
🧑‍🦱;;
	🧑🏻‍🦱;;
	🧑🏼‍🦱;;
	🧑🏽‍🦱;;
	🧑🏾‍🦱;;
	🧑🏿‍🦱;;
👩‍🦳;;
	👩🏻‍🦳;;
	👩🏼‍🦳;;
	👩🏽‍🦳;;
	👩🏾‍🦳;;
	👩🏿‍🦳;;
🧑‍🦳;;
	🧑🏻‍🦳;;
	🧑🏼‍🦳;;
	🧑🏽‍🦳;;
	🧑🏾‍🦳;;
	🧑🏿‍🦳;;
👩‍🦲;;
	👩🏻‍🦲;;
	👩🏼‍🦲;;
	👩🏽‍🦲;;
	👩🏾‍🦲;;
	👩🏿‍🦲;;
🧑‍🦲;;
	🧑🏻‍🦲;;
	🧑🏼‍🦲;;
	🧑🏽‍🦲;;
	🧑🏾‍🦲;;
	🧑🏿‍🦲;;
👱‍♀️;ئالتۇن چاچ ئايال;ئالتۇن چاچ|ئالتۇن چاچ ئايال|ئايال
	👱🏻‍♀️;ئالتۇن چاچ ئايال: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئالتۇن چاچ|ئالتۇن چاچ ئايال|ئالتۇن چاچ ئايال: ئاچ تېرە رەڭ|ئايال
	👱🏼‍♀️;ئالتۇن چاچ ئايال: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئالتۇن چاچ|ئالتۇن چاچ ئايال|ئالتۇن چاچ ئايال: ئارا ئاچ تېرە رەڭگى|ئايال
	👱🏽‍♀️;ئالتۇن چاچ ئايال: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئالتۇن چاچ|ئالتۇن چاچ ئايال|ئالتۇن چاچ ئايال: ئارا تېرە رەڭگى|ئايال
	👱🏾‍♀️;ئالتۇن چاچ ئايال: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئالتۇن چاچ|ئالتۇن چاچ ئايال|ئالتۇن چاچ ئايال: ئارا توق تېرە رەڭگى|ئايال
	👱🏿‍♀️;ئالتۇن چاچ ئايال: توق تېرە رەڭ;ئالتۇن چاچ|ئالتۇن چاچ ئايال|ئالتۇن چاچ ئايال: توق تېرە رەڭ|ئايال|توق تېرە رەڭ
👱‍♂️;ئالتۇن چاچ ئەر;ئالتۇن چاچ|ئالتۇن چاچ ئەر|ئەر
	👱🏻‍♂️;ئالتۇن چاچ ئەر: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئالتۇن چاچ|ئالتۇن چاچ ئەر|ئالتۇن چاچ ئەر: ئاچ تېرە رەڭ|ئەر
	👱🏼‍♂️;ئالتۇن چاچ ئەر: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئالتۇن چاچ|ئالتۇن چاچ ئەر|ئالتۇن چاچ ئەر: ئارا ئاچ تېرە رەڭگى|ئەر
	👱🏽‍♂️;ئالتۇن چاچ ئەر: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئالتۇن چاچ|ئالتۇن چاچ ئەر|ئالتۇن چاچ ئەر: ئارا تېرە رەڭگى|ئەر
	👱🏾‍♂️;ئالتۇن چاچ ئەر: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئالتۇن چاچ|ئالتۇن چاچ ئەر|ئالتۇن چاچ ئەر: ئارا توق تېرە رەڭگى|ئەر
	👱🏿‍♂️;ئالتۇن چاچ ئەر: توق تېرە رەڭ;ئالتۇن چاچ|ئالتۇن چاچ ئەر|ئالتۇن چاچ ئەر: توق تېرە رەڭ|ئەر|توق تېرە رەڭ
🧓;قېرىلار;جىنىسسىز|قېرى|قېرىلار
	🧓🏻;قېرىلار: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|جىنىسسىز|قېرى|قېرىلار|قېرىلار: ئاچ تېرە رەڭ
	🧓🏼;قېرىلار: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|جىنىسسىز|قېرى|قېرىلار|قېرىلار: ئارا ئاچ تېرە رەڭگى
	🧓🏽;قېرىلار: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|جىنىسسىز|قېرى|قېرىلار|قېرىلار: ئارا تېرە رەڭگى
	🧓🏾;قېرىلار: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|جىنىسسىز|قېرى|قېرىلار|قېرىلار: ئارا توق تېرە رەڭگى
	🧓🏿;قېرىلار: توق تېرە رەڭ;توق تېرە رەڭ|جىنىسسىز|قېرى|قېرىلار|قېرىلار: توق تېرە رەڭ
👴;بوۋاي;ئەر|بوۋاي|قېرى
	👴🏻;بوۋاي: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئەر|بوۋاي|بوۋاي: ئاچ تېرە رەڭ|قېرى
	👴🏼;بوۋاي: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئەر|بوۋاي|بوۋاي: ئارا ئاچ تېرە رەڭگى|قېرى
	👴🏽;بوۋاي: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئەر|بوۋاي|بوۋاي: ئارا تېرە رەڭگى|قېرى
	👴🏾;بوۋاي: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئەر|بوۋاي|بوۋاي: ئارا توق تېرە رەڭگى|قېرى
	👴🏿;بوۋاي: توق تېرە رەڭ;ئەر|بوۋاي|بوۋاي: توق تېرە رەڭ|توق تېرە رەڭ|قېرى
👵;موماي;ئايال|قېرى|موماي
	👵🏻;موماي: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئايال|قېرى|موماي|موماي: ئاچ تېرە رەڭ
	👵🏼;موماي: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئايال|قېرى|موماي|موماي: ئارا ئاچ تېرە رەڭگى
	👵🏽;موماي: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئايال|قېرى|موماي|موماي: ئارا تېرە رەڭگى
	👵🏾;موماي: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئايال|قېرى|موماي|موماي: ئارا توق تېرە رەڭگى
	👵🏿;موماي: توق تېرە رەڭ;ئايال|توق تېرە رەڭ|قېرى|موماي|موماي: توق تېرە رەڭ
🙍;قوشۇمىسىنى تۈرگەن كىشى;ئشارە|قوشۇما|قوشۇمىسىنى تۈرگەن كىشى
	🙍🏻;قوشۇمىسىنى تۈرگەن كىشى: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئشارە|قوشۇما|قوشۇمىسىنى تۈرگەن كىشى|قوشۇمىسىنى تۈرگەن كىشى: ئاچ تېرە رەڭ
	🙍🏼;قوشۇمىسىنى تۈرگەن كىشى: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئشارە|قوشۇما|قوشۇمىسىنى تۈرگەن كىشى|قوشۇمىسىنى تۈرگەن كىشى: ئارا ئاچ تېرە رەڭگى
	🙍🏽;قوشۇمىسىنى تۈرگەن كىشى: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئشارە|قوشۇما|قوشۇمىسىنى تۈرگەن كىشى|قوشۇمىسىنى تۈرگەن كىشى: ئارا تېرە رەڭگى
	🙍🏾;قوشۇمىسىنى تۈرگەن كىشى: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئشارە|قوشۇما|قوشۇمىسىنى تۈرگەن كىشى|قوشۇمىسىنى تۈرگەن كىشى: ئارا توق تېرە رەڭگى
	🙍🏿;قوشۇمىسىنى تۈرگەن كىشى: توق تېرە رەڭ;ئشارە|توق تېرە رەڭ|قوشۇما|قوشۇمىسىنى تۈرگەن كىشى|قوشۇمىسىنى تۈرگەن كىشى: توق تېرە رەڭ
🙍‍♂️;قوشۇمىسىنى تۈرگەن ئەر;ئەر|ئىشارە|قوشۇما|قوشۇمىسىنى تۈرگەن ئەر
	🙍🏻‍♂️;قوشۇمىسىنى تۈرگەن ئەر: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئەر|ئىشارە|قوشۇما|قوشۇمىسىنى تۈرگەن ئەر|قوشۇمىسىنى تۈرگەن ئەر: ئاچ تېرە رەڭ
	🙍🏼‍♂️;قوشۇمىسىنى تۈرگەن ئەر: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئەر|ئىشارە|قوشۇما|قوشۇمىسىنى تۈرگەن ئەر|قوشۇمىسىنى تۈرگەن ئەر: ئارا ئاچ تېرە رەڭگى
	🙍🏽‍♂️;قوشۇمىسىنى تۈرگەن ئەر: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئەر|ئىشارە|قوشۇما|قوشۇمىسىنى تۈرگەن ئەر|قوشۇمىسىنى تۈرگەن ئەر: ئارا تېرە رەڭگى
	🙍🏾‍♂️;قوشۇمىسىنى تۈرگەن ئەر: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئەر|ئىشارە|قوشۇما|قوشۇمىسىنى تۈرگەن ئەر|قوشۇمىسىنى تۈرگەن ئەر: ئارا توق تېرە رەڭگى
	🙍🏿‍♂️;قوشۇمىسىنى تۈرگەن ئەر: توق تېرە رەڭ;ئەر|ئىشارە|توق تېرە رەڭ|قوشۇما|قوشۇمىسىنى تۈرگەن ئەر|قوشۇمىسىنى تۈرگەن ئەر: توق تېرە رەڭ
🙍‍♀️;قوشۇمىسىنى تۈرگەن ئايال;ئايال|ئىشارە|قوشۇما|قوشۇمىسىنى تۈرگەن ئايال
	🙍🏻‍♀️;قوشۇمىسىنى تۈرگەن ئايال: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئايال|ئىشارە|قوشۇما|قوشۇمىسىنى تۈرگەن ئايال|قوشۇمىسىنى تۈرگەن ئايال: ئاچ تېرە رەڭ
	🙍🏼‍♀️;قوشۇمىسىنى تۈرگەن ئايال: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئايال|ئىشارە|قوشۇما|قوشۇمىسىنى تۈرگەن ئايال|قوشۇمىسىنى تۈرگەن ئايال: ئارا ئاچ تېرە رەڭگى
	🙍🏽‍♀️;قوشۇمىسىنى تۈرگەن ئايال: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئايال|ئىشارە|قوشۇما|قوشۇمىسىنى تۈرگەن ئايال|قوشۇمىسىنى تۈرگەن ئايال: ئارا تېرە رەڭگى
	🙍🏾‍♀️;قوشۇمىسىنى تۈرگەن ئايال: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئايال|ئىشارە|قوشۇما|قوشۇمىسىنى تۈرگەن ئايال|قوشۇمىسىنى تۈرگەن ئايال: ئارا توق تېرە رەڭگى
	🙍🏿‍♀️;قوشۇمىسىنى تۈرگەن ئايال: توق تېرە رەڭ;ئايال|ئىشارە|توق تېرە رەڭ|قوشۇما|قوشۇمىسىنى تۈرگەن ئايال|قوشۇمىسىنى تۈرگەن ئايال: توق تېرە رەڭ
🙎;ھومايغان كىشى;ئىشارە|ھومايغان كىشى|ھومىيىش
	🙎🏻;ھومايغان كىشى: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئىشارە|ھومايغان كىشى|ھومايغان كىشى: ئاچ تېرە رەڭ|ھومىيىش
	🙎🏼;ھومايغان كىشى: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئىشارە|ھومايغان كىشى|ھومايغان كىشى: ئارا ئاچ تېرە رەڭگى|ھومىيىش
	🙎🏽;ھومايغان كىشى: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئىشارە|ھومايغان كىشى|ھومايغان كىشى: ئارا تېرە رەڭگى|ھومىيىش
	🙎🏾;ھومايغان كىشى: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئىشارە|ھومايغان كىشى|ھومايغان كىشى: ئارا توق تېرە رەڭگى|ھومىيىش
	🙎🏿;ھومايغان كىشى: توق تېرە رەڭ;ئىشارە|توق تېرە رەڭ|ھومايغان كىشى|ھومايغان كىشى: توق تېرە رەڭ|ھومىيىش
🙎‍♂️;ھومايغان ئەر;ئەر|ئىشارە|ھومايغان ئەر|ھومىيىش
	🙎🏻‍♂️;ھومايغان ئەر: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئەر|ئىشارە|ھومايغان ئەر|ھومايغان ئەر: ئاچ تېرە رەڭ|ھومىيىش
	🙎🏼‍♂️;ھومايغان ئەر: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئەر|ئىشارە|ھومايغان ئەر|ھومايغان ئەر: ئارا ئاچ تېرە رەڭگى|ھومىيىش
	🙎🏽‍♂️;ھومايغان ئەر: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئەر|ئىشارە|ھومايغان ئەر|ھومايغان ئەر: ئارا تېرە رەڭگى|ھومىيىش
	🙎🏾‍♂️;ھومايغان ئەر: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئەر|ئىشارە|ھومايغان ئەر|ھومايغان ئەر: ئارا توق تېرە رەڭگى|ھومىيىش
	🙎🏿‍♂️;ھومايغان ئەر: توق تېرە رەڭ;ئەر|ئىشارە|توق تېرە رەڭ|ھومايغان ئەر|ھومايغان ئەر: توق تېرە رەڭ|ھومىيىش
🙎‍♀️;ھومايغان ئايال;ئايال|ئىشارە|ھومايغان ئايال|ھومىيىش
	🙎🏻‍♀️;ھومايغان ئايال: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئايال|ئىشارە|ھومايغان ئايال|ھومايغان ئايال: ئاچ تېرە رەڭ|ھومىيىش
	🙎🏼‍♀️;ھومايغان ئايال: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئايال|ئىشارە|ھومايغان ئايال|ھومايغان ئايال: ئارا ئاچ تېرە رەڭگى|ھومىيىش
	🙎🏽‍♀️;ھومايغان ئايال: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئايال|ئىشارە|ھومايغان ئايال|ھومايغان ئايال: ئارا تېرە رەڭگى|ھومىيىش
	🙎🏾‍♀️;ھومايغان ئايال: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئايال|ئىشارە|ھومايغان ئايال|ھومايغان ئايال: ئارا توق تېرە رەڭگى|ھومىيىش
	🙎🏿‍♀️;ھومايغان ئايال: توق تېرە رەڭ;ئايال|ئىشارە|توق تېرە رەڭ|ھومايغان ئايال|ھومايغان ئايال: توق تېرە رەڭ|ھومىيىش
🙅;ياق دەپ ئىشارە قىلغان كىشى;ئەمەس|ئىشارە|توسۇش|چەكلەنگەن|قول|ياق|ياق دەپ ئىشارە قىلغان كىشى
	🙅🏻;ياق دەپ ئىشارە قىلغان كىشى: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئەمەس|ئىشارە|توسۇش|چەكلەنگەن|قول|ياق|ياق دەپ ئىشارە قىلغان كىشى|ياق دەپ ئىشارە قىلغان كىشى: ئاچ تېرە رەڭ
	🙅🏼;ياق دەپ ئىشارە قىلغان كىشى: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئەمەس|ئىشارە|توسۇش|چەكلەنگەن|قول|ياق|ياق دەپ ئىشارە قىلغان كىشى|ياق دەپ ئىشارە قىلغان كىشى: ئارا ئاچ تېرە رەڭگى
	🙅🏽;ياق دەپ ئىشارە قىلغان كىشى: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئەمەس|ئىشارە|توسۇش|چەكلەنگەن|قول|ياق|ياق دەپ ئىشارە قىلغان كىشى|ياق دەپ ئىشارە قىلغان كىشى: ئارا تېرە رەڭگى
	🙅🏾;ياق دەپ ئىشارە قىلغان كىشى: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئەمەس|ئىشارە|توسۇش|چەكلەنگەن|قول|ياق|ياق دەپ ئىشارە قىلغان كىشى|ياق دەپ ئىشارە قىلغان كىشى: ئارا توق تېرە رەڭگى
	🙅🏿;ياق دەپ ئىشارە قىلغان كىشى: توق تېرە رەڭ;ئەمەس|ئىشارە|توسۇش|توق تېرە رەڭ|چەكلەنگەن|قول|ياق|ياق دەپ ئىشارە قىلغان كىشى|ياق دەپ ئىشارە قىلغان كىشى: توق تېرە رەڭ
🙅‍♂️;ياق دەپ ئىشارە قىلغان ئەر;ئەر|ئەمەس|ئىشارە|توسۇش|چەكلەنگەن|قول|ياق|ياق دەپ ئىشارە قىلغان ئەر
	🙅🏻‍♂️;ياق دەپ ئىشارە قىلغان ئەر: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئەر|ئەمەس|ئىشارە|توسۇش|چەكلەنگەن|قول|ياق|ياق دەپ ئىشارە قىلغان ئەر|ياق دەپ ئىشارە قىلغان ئەر: ئاچ تېرە رەڭ
	🙅🏼‍♂️;ياق دەپ ئىشارە قىلغان ئەر: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئەر|ئەمەس|ئىشارە|توسۇش|چەكلەنگەن|قول|ياق|ياق دەپ ئىشارە قىلغان ئەر|ياق دەپ ئىشارە قىلغان ئەر: ئارا ئاچ تېرە رەڭگى
	🙅🏽‍♂️;ياق دەپ ئىشارە قىلغان ئەر: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئەر|ئەمەس|ئىشارە|توسۇش|چەكلەنگەن|قول|ياق|ياق دەپ ئىشارە قىلغان ئەر|ياق دەپ ئىشارە قىلغان ئەر: ئارا تېرە رەڭگى
	🙅🏾‍♂️;ياق دەپ ئىشارە قىلغان ئەر: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئەر|ئەمەس|ئىشارە|توسۇش|چەكلەنگەن|قول|ياق|ياق دەپ ئىشارە قىلغان ئەر|ياق دەپ ئىشارە قىلغان ئەر: ئارا توق تېرە رەڭگى
	🙅🏿‍♂️;ياق دەپ ئىشارە قىلغان ئەر: توق تېرە رەڭ;ئەر|ئەمەس|ئىشارە|توسۇش|توق تېرە رەڭ|چەكلەنگەن|قول|ياق|ياق دەپ ئىشارە قىلغان ئەر|ياق دەپ ئىشارە قىلغان ئەر: توق تېرە رەڭ
🙅‍♀️;ياق دەپ ئىشارە قىلغان ئايال;ئايال|ئەمەس|ئىشارە|توسۇش|چەكلەنگەن|قول|ياق|ياق دەپ ئىشارە قىلغان ئايال
	🙅🏻‍♀️;ياق دەپ ئىشارە قىلغان ئايال: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئايال|ئەمەس|ئىشارە|توسۇش|چەكلەنگەن|قول|ياق|ياق دەپ ئىشارە قىلغان ئايال|ياق دەپ ئىشارە قىلغان ئايال: ئاچ تېرە رەڭ
	🙅🏼‍♀️;ياق دەپ ئىشارە قىلغان ئايال: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئايال|ئەمەس|ئىشارە|توسۇش|چەكلەنگەن|قول|ياق|ياق دەپ ئىشارە قىلغان ئايال|ياق دەپ ئىشارە قىلغان ئايال: ئارا ئاچ تېرە رەڭگى
	🙅🏽‍♀️;ياق دەپ ئىشارە قىلغان ئايال: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئايال|ئەمەس|ئىشارە|توسۇش|چەكلەنگەن|قول|ياق|ياق دەپ ئىشارە قىلغان ئايال|ياق دەپ ئىشارە قىلغان ئايال: ئارا تېرە رەڭگى
	🙅🏾‍♀️;ياق دەپ ئىشارە قىلغان ئايال: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئايال|ئەمەس|ئىشارە|توسۇش|چەكلەنگەن|قول|ياق|ياق دەپ ئىشارە قىلغان ئايال|ياق دەپ ئىشارە قىلغان ئايال: ئارا توق تېرە رەڭگى
	🙅🏿‍♀️;ياق دەپ ئىشارە قىلغان ئايال: توق تېرە رەڭ;ئايال|ئەمەس|ئىشارە|توسۇش|توق تېرە رەڭ|چەكلەنگەن|قول|ياق|ياق دەپ ئىشارە قىلغان ئايال|ياق دەپ ئىشارە قىلغان ئايال: توق تېرە رەڭ
🙆;ماقۇل دەپ ئىشارە قىلغان كىشى;ئىشارە|قول|ماقۇل|ماقۇل دەپ ئىشارە قىلغان كىشى
	🙆🏻;ماقۇل دەپ ئىشارە قىلغان كىشى: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئىشارە|قول|ماقۇل|ماقۇل دەپ ئىشارە قىلغان كىشى|ماقۇل دەپ ئىشارە قىلغان كىشى: ئاچ تېرە رەڭ
	🙆🏼;ماقۇل دەپ ئىشارە قىلغان كىشى: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئىشارە|قول|ماقۇل|ماقۇل دەپ ئىشارە قىلغان كىشى|ماقۇل دەپ ئىشارە قىلغان كىشى: ئارا ئاچ تېرە رەڭگى
	🙆🏽;ماقۇل دەپ ئىشارە قىلغان كىشى: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئىشارە|قول|ماقۇل|ماقۇل دەپ ئىشارە قىلغان كىشى|ماقۇل دەپ ئىشارە قىلغان كىشى: ئارا تېرە رەڭگى
	🙆🏾;ماقۇل دەپ ئىشارە قىلغان كىشى: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئىشارە|قول|ماقۇل|ماقۇل دەپ ئىشارە قىلغان كىشى|ماقۇل دەپ ئىشارە قىلغان كىشى: ئارا توق تېرە رەڭگى
	🙆🏿;ماقۇل دەپ ئىشارە قىلغان كىشى: توق تېرە رەڭ;ئىشارە|توق تېرە رەڭ|قول|ماقۇل|ماقۇل دەپ ئىشارە قىلغان كىشى|ماقۇل دەپ ئىشارە قىلغان كىشى: توق تېرە رەڭ
🙆‍♂️;ماقۇل دەپ ئىشارە قىلغان ئەر;ئەر|ئىشارە|قول|ماقۇل|ماقۇل دەپ ئىشارە قىلغان ئەر
