# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;syrtarýan ýüz;syrtarma|syrtarýan ýüz|ýüz
	🙎🏼‍♀️;gamaşyk zenan: orta açyk deri reňki;gamaşyk|gamaşyk zenan: orta açyk deri reňki|orta açyk deri reňki|üm|zenan
	🙎🏽‍♀️;gamaşyk zenan: orta deri reňki;gamaşyk|gamaşyk zenan: orta deri reňki|orta deri reňki|üm|zenan
	🙎🏾‍♀️;gamaşyk zenan: orta goýy deri reňki;gamaşyk|gamaşyk zenan: orta goýy deri reňki|orta goýy deri reňki|üm|zenan
	🙎🏿‍♀️;gamaşyk zenan: goýy deri reňki;gamaşyk|gamaşyk zenan: goýy deri reňki|goýy deri reňki|üm|zenan
🙅;ÝOK ümleýän adam;bolanok|el|gadagan|üm|ÝOK ümleýän adam|ÝOK ümleýän kişi
	🙅🏻;ÝOK ümleýän adam: açyk deri reňki;açyk deri reňki|bolanok|el|gadagan|üm|ÝOK ümleýän adam|ÝOK ümleýän adam: açyk deri reňki|ÝOK ümleýän kişi
	🙅🏼;ÝOK ümleýän adam: orta açyk deri reňki;bolanok|el|gadagan|orta açyk deri reňki|üm|ÝOK ümleýän adam|ÝOK ümleýän adam: orta açyk deri reňki|ÝOK ümleýän kişi
	🙅🏽;ÝOK ümleýän adam: orta deri reňki;bolanok|el|gadagan|orta deri reňki|üm|ÝOK ümleýän adam|ÝOK ümleýän adam: orta deri reňki|ÝOK ümleýän kişi
	🙅🏾;ÝOK ümleýän adam: orta goýy deri reňki;bolanok|el|gadagan|orta goýy deri reňki|üm|ÝOK ümleýän adam|ÝOK ümleýän adam: orta goýy deri reňki|ÝOK ümleýän kişi
	🙅🏿;ÝOK ümleýän adam: goýy deri reňki;bolanok|el|gadagan|goýy deri reňki|üm|ÝOK ümleýän adam|ÝOK ümleýän adam: goýy deri reňki|ÝOK ümleýän kişi
🙅‍♂️;ÝOK ümleýän erkek;bolanok|el|erkek|gadagan|üm|ÝOK ümleýän erkek
	🙅🏻‍♂️;ÝOK ümleýän erkek: açyk deri reňki;açyk deri reňki|bolanok|el|erkek|gadagan|üm|ÝOK ümleýän erkek|ÝOK ümleýän erkek: açyk deri reňki
	🙅🏼‍♂️;ÝOK ümleýän erkek: orta açyk deri reňki;bolanok|el|erkek|gadagan|orta açyk deri reňki|üm|ÝOK ümleýän erkek|ÝOK ümleýän erkek: orta açyk deri reňki
	🙅🏽‍♂️;ÝOK ümleýän erkek: orta deri reňki;bolanok|el|erkek|gadagan|orta deri reňki|üm|ÝOK ümleýän erkek|ÝOK ümleýän erkek: orta deri reňki
	🙅🏾‍♂️;ÝOK ümleýän erkek: orta goýy deri reňki;bolanok|el|erkek|gadagan|orta goýy deri reňki|üm|ÝOK ümleýän erkek|ÝOK ümleýän erkek: orta goýy deri reňki
	🙅🏿‍♂️;ÝOK ümleýän erkek: goýy deri reňki;bolanok|el|erkek|gadagan|goýy deri reňki|üm|ÝOK ümleýän erkek|ÝOK ümleýän erkek: goýy deri reňki
🙅‍♀️;ÝOK ümleýän zenan;bolanok|el|gadagan|üm|ÝOK ümleýän zenan|zenan
	🙅🏻‍♀️;ÝOK ümleýän zenan: açyk deri reňki;açyk deri reňki|bolanok|el|gadagan|üm|ÝOK ümleýän zenan|ÝOK ümleýän zenan: açyk deri reňki|zenan
	🙅🏼‍♀️;ÝOK ümleýän zenan: orta açyk deri reňki;bolanok|el|gadagan|orta açyk deri reňki|üm|ÝOK ümleýän zenan|ÝOK ümleýän zenan: orta açyk deri reňki|zenan
	🙅🏽‍♀️;ÝOK ümleýän zenan: orta deri reňki;bolanok|el|gadagan|orta deri reňki|üm|ÝOK ümleýän zenan|ÝOK ümleýän zenan: orta deri reňki|zenan
	🙅🏾‍♀️;ÝOK ümleýän zenan: orta goýy deri reňki;bolanok|el|gadagan|orta goýy deri reňki|üm|ÝOK ümleýän zenan|ÝOK ümleýän zenan: orta goýy deri reňki|zenan
	🙅🏿‍♀️;ÝOK ümleýän zenan: goýy deri reňki;bolanok|el|gadagan|goýy deri reňki|üm|ÝOK ümleýän zenan|ÝOK ümleýän zenan: goýy deri reňki|zenan
🙆;Bolýar ümleýän adam;bolýar|Bolýar ümleýän adam|el|üm
	🙆🏻;Bolýar ümleýän adam: açyk deri reňki;açyk deri reňki|bolýar|Bolýar ümleýän adam|Bolýar ümleýän adam: açyk deri reňki|el|üm
	🙆🏼;Bolýar ümleýän adam: orta açyk deri reňki;bolýar|Bolýar ümleýän adam|Bolýar ümleýän adam: orta açyk deri reňki|el|orta açyk deri reňki|üm
	🙆🏽;Bolýar ümleýän adam: orta deri reňki;bolýar|Bolýar ümleýän adam|Bolýar ümleýän adam: orta deri reňki|el|orta deri reňki|üm
	🙆🏾;Bolýar ümleýän adam: orta goýy deri reňki;bolýar|Bolýar ümleýän adam|Bolýar ümleýän adam: orta goýy deri reňki|el|orta goýy deri reňki|üm
	🙆🏿;Bolýar ümleýän adam: goýy deri reňki;bolýar|Bolýar ümleýän adam|Bolýar ümleýän adam: goýy deri reňki|el|goýy deri reňki|üm
🙆‍♂️;Bolýar ümleýän erkek;bolýar|Bolýar ümleýän erkek|el|erkek|üm
	🙆🏻‍♂️;Bolýar ümleýän erkek: açyk deri reňki;açyk deri reňki|bolýar|Bolýar ümleýän erkek|Bolýar ümleýän erkek: açyk deri reňki|el|erkek|üm
	🙆🏼‍♂️;Bolýar ümleýän erkek: orta açyk deri reňki;bolýar|Bolýar ümleýän erkek|Bolýar ümleýän erkek: orta açyk deri reňki|el|erkek|orta açyk deri reňki|üm
	🙆🏽‍♂️;Bolýar ümleýän erkek: orta deri reňki;bolýar|Bolýar ümleýän erkek|Bolýar ümleýän erkek: orta deri reňki|el|erkek|orta deri reňki|üm
	🙆🏾‍♂️;Bolýar ümleýän erkek: orta goýy deri reňki;bolýar|Bolýar ümleýän erkek|Bolýar ümleýän erkek: orta goýy deri reňki|el|erkek|orta goýy deri reňki|üm
	🙆🏿‍♂️;Bolýar ümleýän erkek: goýy deri reňki;bolýar|Bolýar ümleýän erkek|Bolýar ümleýän erkek: goýy deri reňki|el|erkek|goýy deri reňki|üm
🙆‍♀️;Bolýar ümleýän zenan;bolýar|Bolýar ümleýän zenan|el|üm|zenan
	🙆🏻‍♀️;Bolýar ümleýän zenan: açyk deri reňki;açyk deri reňki|bolýar|Bolýar ümleýän zenan|Bolýar ümleýän zenan: açyk deri reňki|el|üm|zenan
	🙆🏼‍♀️;Bolýar ümleýän zenan: orta açyk deri reňki;bolýar|Bolýar ümleýän zenan|Bolýar ümleýän zenan: orta açyk deri reňki|el|orta açyk deri reňki|üm|zenan
	🙆🏽‍♀️;Bolýar ümleýän zenan: orta deri reňki;bolýar|Bolýar ümleýän zenan|Bolýar ümleýän zenan: orta deri reňki|el|orta deri reňki|üm|zenan
	🙆🏾‍♀️;Bolýar ümleýän zenan: orta goýy deri reňki;bolýar|Bolýar ümleýän zenan|Bolýar ümleýän zenan: orta goýy deri reňki|el|orta goýy deri reňki|üm|zenan
	🙆🏿‍♀️;Bolýar ümleýän zenan: goýy deri reňki;bolýar|Bolýar ümleýän zenan|Bolýar ümleýän zenan: goýy deri reňki|el|goýy deri reňki|üm|zenan
💁;elini açan adam;batyrgaý|çaý puly bermek|el|elini açan adam|kömek|maglumat
	💁🏻;elini açan adam: açyk deri reňki;açyk deri reňki|batyrgaý|çaý puly bermek|el|elini açan adam|elini açan adam: açyk deri reňki|kömek|maglumat
	💁🏼;elini açan adam: orta açyk deri reňki;batyrgaý|çaý puly bermek|el|elini açan adam|elini açan adam: orta açyk deri reňki|kömek|maglumat|orta açyk deri reňki
	💁🏽;elini açan adam: orta deri reňki;batyrgaý|çaý puly bermek|el|elini açan adam|elini açan adam: orta deri reňki|kömek|maglumat|orta deri reňki
	💁🏾;elini açan adam: orta goýy deri reňki;batyrgaý|çaý puly bermek|el|elini açan adam|elini açan adam: orta goýy deri reňki|kömek|maglumat|orta goýy deri reňki
	💁🏿;elini açan adam: goýy deri reňki;batyrgaý|çaý puly bermek|el|elini açan adam|elini açan adam: goýy deri reňki|goýy deri reňki|kömek|maglumat
💁‍♂️;elini açan erkek;batyrgaý|çaý puly berýän el|elini açan erkek|erkek
	💁🏻‍♂️;elini açan erkek: açyk deri reňki;açyk deri reňki|batyrgaý|çaý puly berýän el|elini açan erkek|elini açan erkek: açyk deri reňki|erkek
	💁🏼‍♂️;elini açan erkek: orta açyk deri reňki;batyrgaý|çaý puly berýän el|elini açan erkek|elini açan erkek: orta açyk deri reňki|erkek|orta açyk deri reňki
	💁🏽‍♂️;elini açan erkek: orta deri reňki;batyrgaý|çaý puly berýän el|elini açan erkek|elini açan erkek: orta deri reňki|erkek|orta deri reňki
	💁🏾‍♂️;elini açan erkek: orta goýy deri reňki;batyrgaý|çaý puly berýän el|elini açan erkek|elini açan erkek: orta goýy deri reňki|erkek|orta goýy deri reňki
	💁🏿‍♂️;elini açan erkek: goýy deri reňki;batyrgaý|çaý puly berýän el|elini açan erkek|elini açan erkek: goýy deri reňki|erkek|goýy deri reňki
💁‍♀️;elini açan zenan;batyrgaý|çaý puly berýän el|elini açan zenan|zenan
	💁🏻‍♀️;elini açan zenan: açyk deri reňki;açyk deri reňki|batyrgaý|çaý puly berýän el|elini açan zenan|elini açan zenan: açyk deri reňki|zenan
	💁🏼‍♀️;elini açan zenan: orta açyk deri reňki;batyrgaý|çaý puly berýän el|elini açan zenan|elini açan zenan: orta açyk deri reňki|orta açyk deri reňki|zenan
	💁🏽‍♀️;elini açan zenan: orta deri reňki;batyrgaý|çaý puly berýän el|elini açan zenan|elini açan zenan: orta deri reňki|orta deri reňki|zenan
	💁🏾‍♀️;elini açan zenan: orta goýy deri reňki;batyrgaý|çaý puly berýän el|elini açan zenan|elini açan zenan: orta goýy deri reňki|orta goýy deri reňki|zenan
	💁🏿‍♀️;elini açan zenan: goýy deri reňki;batyrgaý|çaý puly berýän el|elini açan zenan|elini açan zenan: goýy deri reňki|goýy deri reňki|zenan
🙋;elini galdyrýan adam;bagtly|el|elini galdyrýan adam|galdyrylan|üm
	🙋🏻;elini galdyrýan adam: açyk deri reňki;açyk deri reňki|bagtly|el|elini galdyrýan adam|elini galdyrýan adam: açyk deri reňki|galdyrylan|üm
	🙋🏼;elini galdyrýan adam: orta açyk deri reňki;bagtly|el|elini galdyrýan adam|elini galdyrýan adam: orta açyk deri reňki|galdyrylan|orta açyk deri reňki|üm
	🙋🏽;elini galdyrýan adam: orta deri reňki;bagtly|el|elini galdyrýan adam|elini galdyrýan adam: orta deri reňki|galdyrylan|orta deri reňki|üm
	🙋🏾;elini galdyrýan adam: orta goýy deri reňki;bagtly|el|elini galdyrýan adam|elini galdyrýan adam: orta goýy deri reňki|galdyrylan|orta goýy deri reňki|üm
	🙋🏿;elini galdyrýan adam: goýy deri reňki;bagtly|el|elini galdyrýan adam|elini galdyrýan adam: goýy deri reňki|galdyrylan|goýy deri reňki|üm
🙋‍♂️;elini galdyrýan erkek;eliňi galdyrmak|elini galdyrýan erkek|erkek|üm
	🙋🏻‍♂️;elini galdyrýan erkek: açyk deri reňki;açyk deri reňki|eliňi galdyrmak|elini galdyrýan erkek|elini galdyrýan erkek: açyk deri reňki|erkek|üm
	🙋🏼‍♂️;elini galdyrýan erkek: orta açyk deri reňki;eliňi galdyrmak|elini galdyrýan erkek|elini galdyrýan erkek: orta açyk deri reňki|erkek|orta açyk deri reňki|üm
	🙋🏽‍♂️;elini galdyrýan erkek: orta deri reňki;eliňi galdyrmak|elini galdyrýan erkek|elini galdyrýan erkek: orta deri reňki|erkek|orta deri reňki|üm
	🙋🏾‍♂️;elini galdyrýan erkek: orta goýy deri reňki;eliňi galdyrmak|elini galdyrýan erkek|elini galdyrýan erkek: orta goýy deri reňki|erkek|orta goýy deri reňki|üm
	🙋🏿‍♂️;elini galdyrýan erkek: goýy deri reňki;eliňi galdyrmak|elini galdyrýan erkek|elini galdyrýan erkek: goýy deri reňki|erkek|goýy deri reňki|üm
🙋‍♀️;elini galdyrýan zenan;eliňi galdyrmak|elini galdyrýan zenan|üm|zenan
	🙋🏻‍♀️;elini galdyrýan zenan: açyk deri reňki;açyk deri reňki|eliňi galdyrmak|elini galdyrýan zenan|elini galdyrýan zenan: açyk deri reňki|üm|zenan
	🙋🏼‍♀️;elini galdyrýan zenan: orta açyk deri reňki;eliňi galdyrmak|elini galdyrýan zenan|elini galdyrýan zenan: orta açyk deri reňki|orta açyk deri reňki|üm|zenan
	🙋🏽‍♀️;elini galdyrýan zenan: orta deri reňki;eliňi galdyrmak|elini galdyrýan zenan|elini galdyrýan zenan: orta deri reňki|orta deri reňki|üm|zenan
	🙋🏾‍♀️;elini galdyrýan zenan: orta goýy deri reňki;eliňi galdyrmak|elini galdyrýan zenan|elini galdyrýan zenan: orta goýy deri reňki|orta goýy deri reňki|üm|zenan
	🙋🏿‍♀️;elini galdyrýan zenan: goýy deri reňki;eliňi galdyrmak|elini galdyrýan zenan|elini galdyrýan zenan: goýy deri reňki|goýy deri reňki|üm|zenan
🧏;ker adam;elýeterlilik|eşit|gulak|ker|ker adam
	🧏🏻;ker adam: açyk deri reňki;açyk deri reňki|elýeterlilik|eşit|gulak|ker|ker adam|ker adam: açyk deri reňki
	🧏🏼;ker adam: orta açyk deri reňki;elýeterlilik|eşit|gulak|ker|ker adam|ker adam: orta açyk deri reňki|orta açyk deri reňki
	🧏🏽;ker adam: orta deri reňki;elýeterlilik|eşit|gulak|ker|ker adam|ker adam: orta deri reňki|orta deri reňki
	🧏🏾;ker adam: orta goýy deri reňki;elýeterlilik|eşit|gulak|ker|ker adam|ker adam: orta goýy deri reňki|orta goýy deri reňki
	🧏🏿;ker adam: goýy deri reňki;elýeterlilik|eşit|goýy deri reňki|gulak|ker|ker adam|ker adam: goýy deri reňki
🧏‍♂️;ker erkek;erkek|ker
	🧏🏻‍♂️;ker erkek: açyk deri reňki;açyk deri reňki|erkek|ker|ker erkek: açyk deri reňki
	🧏🏼‍♂️;ker erkek: orta açyk deri reňki;erkek|ker|ker erkek: orta açyk deri reňki|orta açyk deri reňki
	🧏🏽‍♂️;ker erkek: orta deri reňki;erkek|ker|ker erkek: orta deri reňki|orta deri reňki
	🧏🏾‍♂️;ker erkek: orta goýy deri reňki;erkek|ker|ker erkek: orta goýy deri reňki|orta goýy deri reňki
	🧏🏿‍♂️;ker erkek: goýy deri reňki;erkek|goýy deri reňki|ker|ker erkek: goýy deri reňki
🧏‍♀️;ker zenan;ker|zenan
	🧏🏻‍♀️;ker zenan: açyk deri reňki;açyk deri reňki|ker|ker zenan: açyk deri reňki|zenan
	🧏🏼‍♀️;ker zenan: orta açyk deri reňki;ker|ker zenan: orta açyk deri reňki|orta açyk deri reňki|zenan
	🧏🏽‍♀️;ker zenan: orta deri reňki;ker|ker zenan: orta deri reňki|orta deri reňki|zenan
	🧏🏾‍♀️;ker zenan: orta goýy deri reňki;ker|ker zenan: orta goýy deri reňki|orta goýy deri reňki|zenan
	🧏🏿‍♀️;ker zenan: goýy deri reňki;goýy deri reňki|ker|ker zenan: goýy deri reňki|zenan
🙇;tagzym edýän adam;bagyşlaň|ötünç|tagzym|tagzym edýän adam|üm
	🙇🏻;tagzym edýän adam: açyk deri reňki;açyk deri reňki|bagyşlaň|ötünç|tagzym|tagzym edýän adam|tagzym edýän adam: açyk deri reňki|üm
	🙇🏼;tagzym edýän adam: orta açyk deri reňki;bagyşlaň|orta açyk deri reňki|ötünç|tagzym|tagzym edýän adam|tagzym edýän adam: orta açyk deri reňki|üm
	🙇🏽;tagzym edýän adam: orta deri reňki;bagyşlaň|orta deri reňki|ötünç|tagzym|tagzym edýän adam|tagzym edýän adam: orta deri reňki|üm
	🙇🏾;tagzym edýän adam: orta goýy deri reňki;bagyşlaň|orta goýy deri reňki|ötünç|tagzym|tagzym edýän adam|tagzym edýän adam: orta goýy deri reňki|üm
	🙇🏿;tagzym edýän adam: goýy deri reňki;bagyşlaň|goýy deri reňki|ötünç|tagzym|tagzym edýän adam|tagzym edýän adam: goýy deri reňki|üm
🙇‍♂️;tagzym edýän erkek;bagyşlaň|erkek|hemaýat|ötünç|tagzym|tagzym edýän erkek|üm
	🙇🏻‍♂️;tagzym edýän erkek: açyk deri reňki;açyk deri reňki|bagyşlaň|erkek|hemaýat|ötünç|tagzym|tagzym edýän erkek|tagzym edýän erkek: açyk deri reňki|üm
	🙇🏼‍♂️;tagzym edýän erkek: orta açyk deri reňki;bagyşlaň|erkek|hemaýat|orta açyk deri reňki|ötünç|tagzym|tagzym edýän erkek|tagzym edýän erkek: orta açyk deri reňki|üm
	🙇🏽‍♂️;tagzym edýän erkek: orta deri reňki;bagyşlaň|erkek|hemaýat|orta deri reňki|ötünç|tagzym|tagzym edýän erkek|tagzym edýän erkek: orta deri reňki|üm
	🙇🏾‍♂️;tagzym edýän erkek: orta goýy deri reňki;bagyşlaň|erkek|hemaýat|orta goýy deri reňki|ötünç|tagzym|tagzym edýän erkek|tagzym edýän erkek: orta goýy deri reňki|üm
	🙇🏿‍♂️;tagzym edýän erkek: goýy deri reňki;bagyşlaň|erkek|goýy deri reňki|hemaýat|ötünç|tagzym|tagzym edýän erkek|tagzym edýän erkek: goýy deri reňki|üm
🙇‍♀️;tagzym edýän zenan;bagyşlaň|hemaýat|ötünç|tagzym|tagzym edýän zenan|üm|zenan
	🙇🏻‍♀️;tagzym edýän zenan: açyk deri reňki;açyk deri reňki|bagyşlaň|hemaýat|ötünç|tagzym|tagzym edýän zenan|tagzym edýän zenan: açyk deri reňki|üm|zenan
	🙇🏼‍♀️;tagzym edýän zenan: orta açyk deri reňki;bagyşlaň|hemaýat|orta açyk deri reňki|ötünç|tagzym|tagzym edýän zenan|tagzym edýän zenan: orta açyk deri reňki|üm|zenan
	🙇🏽‍♀️;tagzym edýän zenan: orta deri reňki;bagyşlaň|hemaýat|orta deri reňki|ötünç|tagzym|tagzym edýän zenan|tagzym edýän zenan: orta deri reňki|üm|zenan
	🙇🏾‍♀️;tagzym edýän zenan: orta goýy deri reňki;bagyşlaň|hemaýat|orta goýy deri reňki|ötünç|tagzym|tagzym edýän zenan|tagzym edýän zenan: orta goýy deri reňki|üm|zenan
	🙇🏿‍♀️;tagzym edýän zenan: goýy deri reňki;bagyşlaň|goýy deri reňki|hemaýat|ötünç|tagzym|tagzym edýän zenan|tagzym edýän zenan: goýy deri reňki|üm|zenan
🤦;elini maňlaýyna urýan adam;aýa|elini maňlaýyna urýan adam|gyzmalyk|ynanmazlyk|ýüz
	🤦🏻;elini maňlaýyna urýan adam: açyk deri reňki;açyk deri reňki|aýa|elini maňlaýyna urýan adam|elini maňlaýyna urýan adam: açyk deri reňki|gyzmalyk|ynanmazlyk|ýüz
	🤦🏼;elini maňlaýyna urýan adam: orta açyk deri reňki;aýa|elini maňlaýyna urýan adam|elini maňlaýyna urýan adam: orta açyk deri reňki|gyzmalyk|orta açyk deri reňki|ynanmazlyk|ýüz
	🤦🏽;elini maňlaýyna urýan adam: orta deri reňki;aýa|elini maňlaýyna urýan adam|elini maňlaýyna urýan adam: orta deri reňki|gyzmalyk|orta deri reňki|ynanmazlyk|ýüz
	🤦🏾;elini maňlaýyna urýan adam: orta goýy deri reňki;aýa|elini maňlaýyna urýan adam|elini maňlaýyna urýan adam: orta goýy deri reňki|gyzmalyk|orta goýy deri reňki|ynanmazlyk|ýüz
	🤦🏿;elini maňlaýyna urýan adam: goýy deri reňki;aýa|elini maňlaýyna urýan adam|elini maňlaýyna urýan adam: goýy deri reňki|goýy deri reňki|gyzmalyk|ynanmazlyk|ýüz
🤦‍♂️;elini maňlaýyna urýan erkek;aýasy bilen ýüzüne urmak|elini maňlaýyna urýan erkek|erkek|gyzmalyk|ynanmazlyk
	🤦🏻‍♂️;elini maňlaýyna urýan erkek: açyk deri reňki;açyk deri reňki|aýasy bilen ýüzüne urmak|elini maňlaýyna urýan erkek|elini maňlaýyna urýan erkek: açyk deri reňki|erkek|gyzmalyk|ynanmazlyk
	🤦🏼‍♂️;elini maňlaýyna urýan erkek: orta açyk deri reňki;aýasy bilen ýüzüne urmak|elini maňlaýyna urýan erkek|elini maňlaýyna urýan erkek: orta açyk deri reňki|erkek|gyzmalyk|orta açyk deri reňki|ynanmazlyk
	🤦🏽‍♂️;elini maňlaýyna urýan erkek: orta deri reňki;aýasy bilen ýüzüne urmak|elini maňlaýyna urýan erkek|elini maňlaýyna urýan erkek: orta deri reňki|erkek|gyzmalyk|orta deri reňki|ynanmazlyk
	🤦🏾‍♂️;elini maňlaýyna urýan erkek: orta goýy deri reňki;aýasy bilen ýüzüne urmak|elini maňlaýyna urýan erkek|elini maňlaýyna urýan erkek: orta goýy deri reňki|erkek|gyzmalyk|orta goýy deri reňki|ynanmazlyk
	🤦🏿‍♂️;elini maňlaýyna urýan erkek: goýy deri reňki;aýasy bilen ýüzüne urmak|elini maňlaýyna urýan erkek|elini maňlaýyna urýan erkek: goýy deri reňki|erkek|goýy deri reňki|gyzmalyk|ynanmazlyk
🤦‍♀️;elini maňlaýyna urýan zenan;aýal|aýasy bilen ýüzüne urmak|elini maňlaýyna urýan zenan|gyzmalyk|ynanmazlyk
	🤦🏻‍♀️;elini maňlaýyna urýan zenan: açyk deri reňki;açyk deri reňki|aýal|aýasy bilen ýüzüne urmak|elini maňlaýyna urýan zenan|elini maňlaýyna urýan zenan: açyk deri reňki|gyzmalyk|ynanmazlyk
	🤦🏼‍♀️;elini maňlaýyna urýan zenan: orta açyk deri reňki;aýal|aýasy bilen ýüzüne urmak|elini maňlaýyna urýan zenan|elini maňlaýyna urýan zenan: orta açyk deri reňki|gyzmalyk|orta açyk deri reňki|ynanmazlyk
	🤦🏽‍♀️;elini maňlaýyna urýan zenan: orta deri reňki;aýal|aýasy bilen ýüzüne urmak|elini maňlaýyna urýan zenan|elini maňlaýyna urýan zenan: orta deri reňki|gyzmalyk|orta deri reňki|ynanmazlyk
	🤦🏾‍♀️;elini maňlaýyna urýan zenan: orta goýy deri reňki;aýal|aýasy bilen ýüzüne urmak|elini maňlaýyna urýan zenan|elini maňlaýyna urýan zenan: orta goýy deri reňki|gyzmalyk|orta goýy deri reňki|ynanmazlyk
	🤦🏿‍♀️;elini maňlaýyna urýan zenan: goýy deri reňki;aýal|aýasy bilen ýüzüne urmak|elini maňlaýyna urýan zenan|elini maňlaýyna urýan zenan: goýy deri reňki|goýy deri reňki|gyzmalyk|ynanmazlyk
🤷;egnini gysýan adam;biparhlyk|egniňi gysmak|egnini gysýan adam|şübhe|üns bermezlik
	🤷🏻;egnini gysýan adam: açyk deri reňki;açyk deri reňki|biparhlyk|egniňi gysmak|egnini gysýan adam|egnini gysýan adam: açyk deri reňki|şübhe|üns bermezlik
	🤷🏼;egnini gysýan adam: orta açyk deri reňki;biparhlyk|egniňi gysmak|egnini gysýan adam|egnini gysýan adam: orta açyk deri reňki|orta açyk deri reňki|şübhe|üns bermezlik
	🤷🏽;egnini gysýan adam: orta deri reňki;biparhlyk|egniňi gysmak|egnini gysýan adam|egnini gysýan adam: orta deri reňki|orta deri reňki|şübhe|üns bermezlik
	🤷🏾;egnini gysýan adam: orta goýy deri reňki;biparhlyk|egniňi gysmak|egnini gysýan adam|egnini gysýan adam: orta goýy deri reňki|orta goýy deri reňki|şübhe|üns bermezlik
	🤷🏿;egnini gysýan adam: goýy deri reňki;biparhlyk|egniňi gysmak|egnini gysýan adam|egnini gysýan adam: goýy deri reňki|goýy deri reňki|şübhe|üns bermezlik
🤷‍♂️;egnini gysýan erkek;biparhlyk|egniňi gysmak|egnini gysýan erkek|erkek|şübhe|üns bermezlik
	🤷🏻‍♂️;egnini gysýan erkek: açyk deri reňki;açyk deri reňki|biparhlyk|egniňi gysmak|egnini gysýan erkek|egnini gysýan erkek: açyk deri reňki|erkek|şübhe|üns bermezlik
	🤷🏼‍♂️;egnini gysýan erkek: orta açyk deri reňki;biparhlyk|egniňi gysmak|egnini gysýan erkek|egnini gysýan erkek: orta açyk deri reňki|erkek|orta açyk deri reňki|şübhe|üns bermezlik
	🤷🏽‍♂️;egnini gysýan erkek: orta deri reňki;biparhlyk|egniňi gysmak|egnini gysýan erkek|egnini gysýan erkek: orta deri reňki|erkek|orta deri reňki|şübhe|üns bermezlik
	🤷🏾‍♂️;egnini gysýan erkek: orta goýy deri reňki;biparhlyk|egniňi gysmak|egnini gysýan erkek|egnini gysýan erkek: orta goýy deri reňki|erkek|orta goýy deri reňki|şübhe|üns bermezlik
	🤷🏿‍♂️;egnini gysýan erkek: goýy deri reňki;biparhlyk|egniňi gysmak|egnini gysýan erkek|egnini gysýan erkek: goýy deri reňki|erkek|goýy deri reňki|şübhe|üns bermezlik
🤷‍♀️;egnini gysýan zenan;aýal|biparhlyk|egniňi gysmak|egnini gysýan zenan|şübhe|üns bermezlik
	🤷🏻‍♀️;egnini gysýan zenan: açyk deri reňki;açyk deri reňki|aýal|biparhlyk|egniňi gysmak|egnini gysýan zenan|egnini gysýan zenan: açyk deri reňki|şübhe|üns bermezlik
	🤷🏼‍♀️;egnini gysýan zenan: orta açyk deri reňki;aýal|biparhlyk|egniňi gysmak|egnini gysýan zenan|egnini gysýan zenan: orta açyk deri reňki|orta açyk deri reňki|şübhe|üns bermezlik
	🤷🏽‍♀️;egnini gysýan zenan: orta deri reňki;aýal|biparhlyk|egniňi gysmak|egnini gysýan zenan|egnini gysýan zenan: orta deri reňki|orta deri reňki|şübhe|üns bermezlik
	🤷🏾‍♀️;egnini gysýan zenan: orta goýy deri reňki;aýal|biparhlyk|egniňi gysmak|egnini gysýan zenan|egnini gysýan zenan: orta goýy deri reňki|orta goýy deri reňki|şübhe|üns bermezlik
	🤷🏿‍♀️;egnini gysýan zenan: goýy deri reňki;aýal|biparhlyk|egniňi gysmak|egnini gysýan zenan|egnini gysýan zenan: goýy deri reňki|goýy deri reňki|şübhe|üns bermezlik
🧑‍⚕️;saglyk işgäri;lukman|saglygy goraýyş|saglyk işgäri|şepagat uýasy|terapewt
	🧑🏻‍⚕️;saglyk işgäri: açyk deri reňki;açyk deri reňki|lukman|saglygy goraýyş|saglyk işgäri|saglyk işgäri: açyk deri reňki|şepagat uýasy|terapewt
	🧑🏼‍⚕️;saglyk işgäri: orta açyk deri reňki;lukman|orta açyk deri reňki|saglygy goraýyş|saglyk işgäri|saglyk işgäri: orta açyk deri reňki|şepagat uýasy|terapewt
	🧑🏽‍⚕️;saglyk işgäri: orta deri reňki;lukman|orta deri reňki|saglygy goraýyş|saglyk işgäri|saglyk işgäri: orta deri reňki|şepagat uýasy|terapewt
	🧑🏾‍⚕️;saglyk işgäri: orta goýy deri reňki;lukman|orta goýy deri reňki|saglygy goraýyş|saglyk işgäri|saglyk işgäri: orta goýy deri reňki|şepagat uýasy|terapewt
	🧑🏿‍⚕️;saglyk işgäri: goýy deri reňki;goýy deri reňki|lukman|saglygy goraýyş|saglyk işgäri|saglyk işgäri: goýy deri reňki|şepagat uýasy|terapewt
👨‍⚕️;erkek saglygy goraýyş işgäri;erkek|erkek saglygy goraýyş işgäri|lukman|saglygy goraýyş|şepagat dogany|terapewt
	👨🏻‍⚕️;erkek saglygy goraýyş işgäri: açyk deri reňki;açyk deri reňki|erkek|erkek saglygy goraýyş işgäri|erkek saglygy goraýyş işgäri: açyk deri reňki|lukman|saglygy goraýyş|şepagat dogany|terapewt
	👨🏼‍⚕️;erkek saglygy goraýyş işgäri: orta açyk deri reňki;erkek|erkek saglygy goraýyş işgäri|erkek saglygy goraýyş işgäri: orta açyk deri reňki|lukman|orta açyk deri reňki|saglygy goraýyş|şepagat dogany|terapewt
