# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ᎤᏤᏣᏍᏗ ᎤᎧᏛ;ᎤᎧᏛ|ᎤᏤᏣᏍᏗ ᎤᎧᏛ|ᎤᏰᏍᎩ
	🧎🏾‍♀️;ᎠᎨᏯ ᏕᏥᎾᏆᎾ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᏕᏥᎾᏆᎾ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᏕᏥᎾᏆᎾ
	🧎🏿‍♀️;ᎠᎨᏯ ᏕᏥᎾᏆᎾ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᏕᏥᎾᏆᎾ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᏕᏥᎾᏆᎾ
🧎‍➡️;ᏴᏫ ᏕᏥᎾᏆᎾ ᎠᎦᏘᏏ ᎢᏗᏢ;ᏕᏥᎾᏆᎾ|ᏗᎵᏂᏆᏅᏗ|ᏴᏫ ᏕᏥᎾᏆᎾ|ᏴᏫ ᏕᏥᎾᏆᎾ ᎠᎦᏘᏏ ᎢᏗᏢ
	🧎🏻‍➡️;ᏴᏫ ᏕᏥᎾᏆᎾ ᎠᎦᏘᏏ ᎢᏗᏢ;ᏕᏥᎾᏆᎾ|ᏗᎵᏂᏆᏅᏗ|ᏴᏫ ᏕᏥᎾᏆᎾ|ᏴᏫ ᏕᏥᎾᏆᎾ ᎠᎦᏘᏏ ᎢᏗᏢ
	🧎🏼‍➡️;ᏴᏫ ᏕᏥᎾᏆᎾ ᎠᎦᏘᏏ ᎢᏗᏢ;ᏕᏥᎾᏆᎾ|ᏗᎵᏂᏆᏅᏗ|ᏴᏫ ᏕᏥᎾᏆᎾ|ᏴᏫ ᏕᏥᎾᏆᎾ ᎠᎦᏘᏏ ᎢᏗᏢ
	🧎🏽‍➡️;ᏴᏫ ᏕᏥᎾᏆᎾ ᎠᎦᏘᏏ ᎢᏗᏢ;ᏕᏥᎾᏆᎾ|ᏗᎵᏂᏆᏅᏗ|ᏴᏫ ᏕᏥᎾᏆᎾ|ᏴᏫ ᏕᏥᎾᏆᎾ ᎠᎦᏘᏏ ᎢᏗᏢ
	🧎🏾‍➡️;ᏴᏫ ᏕᏥᎾᏆᎾ ᎠᎦᏘᏏ ᎢᏗᏢ;ᏕᏥᎾᏆᎾ|ᏗᎵᏂᏆᏅᏗ|ᏴᏫ ᏕᏥᎾᏆᎾ|ᏴᏫ ᏕᏥᎾᏆᎾ ᎠᎦᏘᏏ ᎢᏗᏢ
	🧎🏿‍➡️;ᏴᏫ ᏕᏥᎾᏆᎾ ᎠᎦᏘᏏ ᎢᏗᏢ;ᏕᏥᎾᏆᎾ|ᏗᎵᏂᏆᏅᏗ|ᏴᏫ ᏕᏥᎾᏆᎾ|ᏴᏫ ᏕᏥᎾᏆᎾ ᎠᎦᏘᏏ ᎢᏗᏢ
🧎‍♀️‍➡️;ᎠᎨᏯ ᏕᏥᎾᏆᎾ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎠᎨᏯ|ᎠᎨᏯ ᏕᏥᎾᏆᎾ ᎠᎦᏘᏏ ᎢᏗᏢ|ᏕᏥᎾᏆᎾ
	🧎🏻‍♀️‍➡️;ᎠᎨᏯ ᏕᏥᎾᏆᎾ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎠᎨᏯ|ᎠᎨᏯ ᏕᏥᎾᏆᎾ ᎠᎦᏘᏏ ᎢᏗᏢ|ᏕᏥᎾᏆᎾ
	🧎🏼‍♀️‍➡️;ᎠᎨᏯ ᏕᏥᎾᏆᎾ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎠᎨᏯ|ᎠᎨᏯ ᏕᏥᎾᏆᎾ ᎠᎦᏘᏏ ᎢᏗᏢ|ᏕᏥᎾᏆᎾ
	🧎🏽‍♀️‍➡️;ᎠᎨᏯ ᏕᏥᎾᏆᎾ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎠᎨᏯ|ᎠᎨᏯ ᏕᏥᎾᏆᎾ ᎠᎦᏘᏏ ᎢᏗᏢ|ᏕᏥᎾᏆᎾ
	🧎🏾‍♀️‍➡️;ᎠᎨᏯ ᏕᏥᎾᏆᎾ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎠᎨᏯ|ᎠᎨᏯ ᏕᏥᎾᏆᎾ ᎠᎦᏘᏏ ᎢᏗᏢ|ᏕᏥᎾᏆᎾ
	🧎🏿‍♀️‍➡️;ᎠᎨᏯ ᏕᏥᎾᏆᎾ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎠᎨᏯ|ᎠᎨᏯ ᏕᏥᎾᏆᎾ ᎠᎦᏘᏏ ᎢᏗᏢ|ᏕᏥᎾᏆᎾ
🧎‍♂️‍➡️;ᎠᏍᎦᏯ ᏕᏥᎾᏆᎾ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᏕᏥᎾᏆᎾ ᎠᎦᏘᏏ ᎢᏗᏢ|ᏕᏥᎾᏆᎾ
	🧎🏻‍♂️‍➡️;ᎠᏍᎦᏯ ᏕᏥᎾᏆᎾ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᏕᏥᎾᏆᎾ ᎠᎦᏘᏏ ᎢᏗᏢ|ᏕᏥᎾᏆᎾ
	🧎🏼‍♂️‍➡️;ᎠᏍᎦᏯ ᏕᏥᎾᏆᎾ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᏕᏥᎾᏆᎾ ᎠᎦᏘᏏ ᎢᏗᏢ|ᏕᏥᎾᏆᎾ
	🧎🏽‍♂️‍➡️;ᎠᏍᎦᏯ ᏕᏥᎾᏆᎾ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᏕᏥᎾᏆᎾ ᎠᎦᏘᏏ ᎢᏗᏢ|ᏕᏥᎾᏆᎾ
	🧎🏾‍♂️‍➡️;ᎠᏍᎦᏯ ᏕᏥᎾᏆᎾ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᏕᏥᎾᏆᎾ ᎠᎦᏘᏏ ᎢᏗᏢ|ᏕᏥᎾᏆᎾ
	🧎🏿‍♂️‍➡️;ᎠᏍᎦᏯ ᏕᏥᎾᏆᎾ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᏕᏥᎾᏆᎾ ᎠᎦᏘᏏ ᎢᏗᏢ|ᏕᏥᎾᏆᎾ
🧑‍🦯;ᏴᏫ ᏗᎨᏫ ᎬᏂᏍᏓ ᎬᏗ;ᎬᏴᏍᏗ ᎨᏒᎢ|ᏗᎨᏫ|ᏴᏫ ᏗᎨᏫ ᎬᏂᏍᏓ ᎬᏗ
	🧑🏻‍🦯;ᏴᏫ ᏗᎨᏫ ᎬᏂᏍᏓ ᎬᏗ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏗᎨᏫ|ᏴᏫ ᏗᎨᏫ ᎬᏂᏍᏓ ᎬᏗ|ᏴᏫ ᏗᎨᏫ ᎬᏂᏍᏓ ᎬᏗ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ
	🧑🏼‍🦯;ᏴᏫ ᏗᎨᏫ ᎬᏂᏍᏓ ᎬᏗ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏗᎨᏫ|ᏴᏫ ᏗᎨᏫ ᎬᏂᏍᏓ ᎬᏗ|ᏴᏫ ᏗᎨᏫ ᎬᏂᏍᏓ ᎬᏗ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ
	🧑🏽‍🦯;ᏴᏫ ᏗᎨᏫ ᎬᏂᏍᏓ ᎬᏗ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏗᎨᏫ|ᏴᏫ ᏗᎨᏫ ᎬᏂᏍᏓ ᎬᏗ|ᏴᏫ ᏗᎨᏫ ᎬᏂᏍᏓ ᎬᏗ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
	🧑🏾‍🦯;ᏴᏫ ᏗᎨᏫ ᎬᏂᏍᏓ ᎬᏗ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏗᎨᏫ|ᏴᏫ ᏗᎨᏫ ᎬᏂᏍᏓ ᎬᏗ|ᏴᏫ ᏗᎨᏫ ᎬᏂᏍᏓ ᎬᏗ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
	🧑🏿‍🦯;ᏴᏫ ᏗᎨᏫ ᎬᏂᏍᏓ ᎬᏗ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏗᎨᏫ|ᏴᏫ ᏗᎨᏫ ᎬᏂᏍᏓ ᎬᏗ|ᏴᏫ ᏗᎨᏫ ᎬᏂᏍᏓ ᎬᏗ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
🧑‍🦯‍➡️;ᏴᏫ ᏗᎨᏫ ᎬᏂᏍᏓ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎬᏴᏍᏗ ᎨᏒᎢ|ᏗᎨᏫ|ᏴᏫ ᏗᎨᏫ ᎬᏂᏍᏓ ᎬᏗ|ᏴᏫ ᏗᎨᏫ ᎬᏂᏍᏓ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ
	🧑🏻‍🦯‍➡️;ᏴᏫ ᏗᎨᏫ ᎬᏂᏍᏓ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎬᏴᏍᏗ ᎨᏒᎢ|ᏗᎨᏫ|ᏴᏫ ᏗᎨᏫ ᎬᏂᏍᏓ ᎬᏗ|ᏴᏫ ᏗᎨᏫ ᎬᏂᏍᏓ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ
	🧑🏼‍🦯‍➡️;ᏴᏫ ᏗᎨᏫ ᎬᏂᏍᏓ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎬᏴᏍᏗ ᎨᏒᎢ|ᏗᎨᏫ|ᏴᏫ ᏗᎨᏫ ᎬᏂᏍᏓ ᎬᏗ|ᏴᏫ ᏗᎨᏫ ᎬᏂᏍᏓ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ
	🧑🏽‍🦯‍➡️;ᏴᏫ ᏗᎨᏫ ᎬᏂᏍᏓ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎬᏴᏍᏗ ᎨᏒᎢ|ᏗᎨᏫ|ᏴᏫ ᏗᎨᏫ ᎬᏂᏍᏓ ᎬᏗ|ᏴᏫ ᏗᎨᏫ ᎬᏂᏍᏓ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ
	🧑🏾‍🦯‍➡️;ᏴᏫ ᏗᎨᏫ ᎬᏂᏍᏓ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎬᏴᏍᏗ ᎨᏒᎢ|ᏗᎨᏫ|ᏴᏫ ᏗᎨᏫ ᎬᏂᏍᏓ ᎬᏗ|ᏴᏫ ᏗᎨᏫ ᎬᏂᏍᏓ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ
	🧑🏿‍🦯‍➡️;ᏴᏫ ᏗᎨᏫ ᎬᏂᏍᏓ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎬᏴᏍᏗ ᎨᏒᎢ|ᏗᎨᏫ|ᏴᏫ ᏗᎨᏫ ᎬᏂᏍᏓ ᎬᏗ|ᏴᏫ ᏗᎨᏫ ᎬᏂᏍᏓ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ
👨‍🦯;ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏗᎨᏫ
	👨🏻‍🦯;ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ|ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏗᎨᏫ
	👨🏼‍🦯;ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ|ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏗᎨᏫ
	👨🏽‍🦯;ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ|ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏗᎨᏫ
	👨🏾‍🦯;ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ|ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏗᎨᏫ
	👨🏿‍🦯;ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ|ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏗᎨᏫ
👨‍🦯‍➡️;ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ|ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏗᎨᏫ
	👨🏻‍🦯‍➡️;ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ|ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏗᎨᏫ
	👨🏼‍🦯‍➡️;ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ|ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏗᎨᏫ
	👨🏽‍🦯‍➡️;ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ|ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏗᎨᏫ
	👨🏾‍🦯‍➡️;ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ|ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏗᎨᏫ
	👨🏿‍🦯‍➡️;ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ|ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏗᎨᏫ
👩‍🦯;ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ;ᎠᎨᏯ|ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏗᎨᏫ
	👩🏻‍🦯;ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ|ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏗᎨᏫ
	👩🏼‍🦯;ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ|ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏗᎨᏫ
	👩🏽‍🦯;ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ|ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏗᎨᏫ
	👩🏾‍🦯;ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ|ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏗᎨᏫ
	👩🏿‍🦯;ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ|ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏗᎨᏫ
👩‍🦯‍➡️;ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎠᎨᏯ|ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ|ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏗᎨᏫ
	👩🏻‍🦯‍➡️;ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎠᎨᏯ|ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ|ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏗᎨᏫ
	👩🏼‍🦯‍➡️;ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎠᎨᏯ|ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ|ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏗᎨᏫ
	👩🏽‍🦯‍➡️;ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎠᎨᏯ|ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ|ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏗᎨᏫ
	👩🏾‍🦯‍➡️;ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎠᎨᏯ|ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ|ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏗᎨᏫ
	👩🏿‍🦯‍➡️;ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ;ᎠᎨᏯ|ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ|ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ ᎠᎦᏘᏏ ᎢᏗᏢ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏗᎨᏫ
🧑‍🦼;ᏴᏫ ᎠᎾᎦᎵᏍᎩ ᎦᏆᏘᏗ ᎦᏍᏗᎶ ᎬᏗ;ᎦᏆᏘᏗ ᎦᏍᎩᎶ|ᎬᏴᏍᏗ ᎨᏒᎢ|ᏴᏫ ᎠᎾᎦᎵᏍᎩ ᎦᏆᏘᏗ ᎦᏍᏗᎶ ᎬᏗ
