# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ᎤᏤᏣᏍᏗ ᎤᎧᏛ;ᎤᎧᏛ|ᎤᏤᏣᏍᏗ ᎤᎧᏛ|ᎤᏰᏍᎩ
🤭;ᎤᎧᏛ ᎠᎰᎵ ᎤᏭᏝᎢ;ᎤᎧᏛ ᎠᎰᎵ ᎤᏭᏝᎢ|ᎮᏯ
🫢;ᎤᎧᏛ ᎾᎿ ᎠᏍᏚᎢᏓ ᏗᎦᏙᎵ ᎠᎴ ᎠᎰᎵ ᎤᏭᏝᎢ;ᎠᏆᏜᏏᏛᎡᎭ|ᎠᏍᏆᏂᎪᏒ|ᎠᏓᏍᎦ|ᎠᏓᏕᎰᎯᏍᏙᏗ|ᎤᎧᏛ ᎾᎿ ᎠᏍᏚᎢᏓ ᏗᎦᏙᎵ ᎠᎴ ᎠᎰᎵ ᎤᏭᏝᎢ|ᎤᏍᎦᏍᏓᏁᎸᎯ|ᎤᏍᏆᏂᎪᎯᏍᏗ
🫣;ᎤᎧᏛ ᎾᎿ ᎤᏔᏅᎢ ᎠᎦᏙᎵ;ᎠᎦᏘᏍᎬ|ᎠᎪᎵᏰᎠ|ᎤᎧᏛ ᎾᎿ ᎤᏔᏅᎢ ᎠᎦᏙᎵ|ᎤᏔᏅᎢ
🤫;ᎡᎶᏪᎢ ᎾᎬᏁᎲᎢ ᎤᎧᏛ;ᎡᎶᏪᎢ|ᎡᎶᏪᎢ ᎾᎬᏁᎲᎢ ᎤᎧᏛ|ᎾᎬᏁᎲ
🤔;ᎠᏓᎾᏖᏍᎩ ᎤᎧᏛ;ᎠᏓᎾᏖᏍᎩ|ᎤᎧᏛ
🫡;ᎠᏓᏲᎵᏍᏗ ᎤᎧᏛ;ᎠᎦᎵᎭ|ᎠᏓᏲᎵᏍᏗ|ᎠᏓᏲᎵᏍᏗ ᎤᎧᏛ|ᎠᏲᏍᎩ|ᎥᎥ|ᎭᏩ
🤐;ᎥᎧᏁᏍᏗ-ᎠᎰᎵᎤᎧᏓ ᎤᎧᏛ;ᎠᎧᏁᏍᏗ|ᎠᎰᎵ|ᎤᎧᏛ|ᎥᎧᏁᏍᏗ-ᎠᎰᎵᎤᎧᏓ ᎤᎧᏛ
🤨;ᎤᎧᏛ ᎤᎵᏌᎳᏗ ᎤᎦᏖᏌᎾᎸᎢ;ᎠᎪᎯᏳᎯ ᏂᎨᏒᎾ|ᎤᎧᏛ ᎤᎵᏌᎳᏗ ᎤᎦᏖᏌᎾᎸᎢ|ᎤᏜᏏᏘᏍᎩ
😐;ᏃᎵᎪᏛᎾ ᎤᎧᏛ;ᎤᎧᏛ|ᏃᎵᎪᏛᎾ|ᏄᏰᏥᏍᎬᎾ
😑;ᎤᎧᏛᎢ ᏅᏓᏁᏟᏴᏒᎾ ᎤᎧᏛ;ᎤᎧᏛ|ᎤᎧᏛᎢ ᏅᏓᏁᏟᏴᏒᎾ|ᎤᎧᏛᎢ ᏅᏓᏁᏟᏴᏒᎾ ᎤᎧᏛ|Ꮊ|ᏅᏓᏁᏟᏴᏒ|ᏅᏓᏁᏟᏴᏒᎾ
😶;ᎤᎧᏛᎢ ᏄᏠᏯᏍᏛᎾ ᎠᏲᎵ;ᎠᎰᎵ|ᎡᏠᏪ|ᎡᏠᏪᎢ|ᎤᎧᏛ|ᎤᎧᏛᎢ ᏄᏠᏯᏍᏛᎾ ᎠᏲᎵ
🫥;ᎤᏓᏓᎸ ᎠᏍᏓᏅᏅᎢ ᎤᎧᏛ;ᎠᏗᏍᎦᎶᏗ|ᎤᏍᎪᎸ|ᎤᏓᏓᎸ ᎠᏍᏓᏅᏅᎢ ᎤᎧᏛ|ᎤᏓᏕᎵᏍᏗ|ᎤᏩᏌ|ᎧᏂᎬᎾᎥ
😶‍🌫️;ᎤᎧᏛ ᎭᏫᏂ ᏧᎶᎩᎵ;ᎠᏍᎪᎵ ᎭᏫᏂ ᏧᎶᎩᎵ|ᎤᎧᏛ ᎭᏫᏂ ᎤᎧᎲᏓ|ᎤᎧᏛ ᎭᏫᏂ ᏧᎶᎩᎵ|ᎤᏦᎠᏎᏔᏅ
