# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;Ojú tó rẹ́rìn;fẹyín|ojú|Ojú tó rẹ́rìn
😸;Oju Ibinu Ologbo Pẹlu Awọn Oju Arẹrin;fẹyín|ojú|Oju Ibinu Ologbo Pẹlu Awọn Oju Arẹrin|olóngbò|rẹ́rìn músẹ́
😹;Oju Ologbo Pẹlu Ẹkun Ayọ;ayọ̀|ẹkún|ojú|Oju Ologbo Pẹlu Ẹkun Ayọ|olóngbò
😻;Oju Arẹrin Ologbo Pẹlu Oju-ọkan;ẹyinjú|ìfẹ́|ojú|Oju Arẹrin Ologbo Pẹlu Oju-ọkan|olóngbò|rẹ́rìn músẹ́
😼;Oju Ologbo Pẹlu Ẹrin Afiniṣẹsin;aláìríbóṣeyẹ|ojú|Oju Ologbo Pẹlu Ẹrin Afiniṣẹsin|olóngbò|rẹ́rìń músẹ́|ṣẹ̀sín
😽;Oju Ologbo Afẹnukonu Pẹlu Awọn Oju Didi;ẹyinjú|ìfenukonu|Oju Ologbo Afẹnukonu Pẹlu Awọn Oju Didi|olóngbò
🙀;Oju Ologbo Ti o Rẹ;haa|ìyàlẹ́nu|ojú|Oju Ologbo Ti o Rẹ|olóngbò|rírẹ̀
😿;Oju Ẹkun Ologbo;ẹkún|ìbànújẹ́|ojú|Oju Ẹkun Ologbo|olóngbò
😾;Oju Ete Ologbo;ojú|Oju Ete Ologbo|olóngbo|ṣu ètè síta
🙈;Ọbọ Mari Ibi;èṣù|èwọ̀|ìfọwọ́júwè|ọ̀bọ|Ọbọ Mari Ibi|ojú|rárá|wòó
🙉;Ọbọ Magbọ Ibi;èṣù|èwọ̀|gbọ́|ìfọwọ́júwè|Ọbọ Magbọ Ibi|ojú|rárá
🙊;Ọbọ Masọ ibi;èṣù|èwọ̀|ìfọwọ́júwè|ọ̀bọ|Ọbọ Masọ ibi|ojú|rárá|sọ̀rọ̀
💌;Lẹta Ifẹ;ìfẹ́|lẹ́tà|Lẹta Ifẹ|méèlì|ọkàn
💘;Ọkan Ti o Ni Ọfa;ọfà|Ọkan Ti o Ni Ọfa|ọmọ ọlọ́fà
💝;Ọkan Pẹlu Riboni;Ọkan Pẹlu Riboni|ríbọ́nì àyájọ́ olólùfẹ̀
💖;Ọkan Didan;dán|dunú|Ọkan Didan
💗;Ọkan Didagba;bẹ̀rù|dàgbà|dunú|Ọkan Didagba|ṣọkùlú
💓;Ọkan Ti O N Mi;mímí|mímí ọkàn|Ọkan Ti O N Mi
💞;Ọkan Ti O N Yi;Ọkan Ti O N Yi|yíyí
💕;Awọn Ọkan Meji;Awọn Ọkan Meji|ìfẹ́
💟;Ọkan Ti A Ṣe Lọṣọ;ọkàn|Ọkan Ti A Ṣe Lọṣọ
❣️;àmì ìyanú ọkàn tó wúwo;àmì|àmì ìyanu|àmì ìyanú ọkàn tó wúwo|ìfàmìsí
💔;Ibanujẹ Ọkan;Ibanujẹ Ọkan|kán|ti kán
❤️‍🔥;iná ń jóni lọ́kàn;àyà mímọ́|ìfẹ́|ìfẹ́kúfẹ̀ẹ́|iná ń jóni lọ́kàn|jóná|ọkàn|ọkàn ń jóná
❤️‍🩹;ọkàn tó ń ṣàtúnṣe ara rẹ̀;ìlera tó pọ̀ síi|ń bọ̀sípò lẹ́yìn àìsàn|ń dára síi|ń padàbọ̀sípò|ń ṣàtúnṣe|ọkàn tó ń ṣàtúnṣe ara rẹ̀|wà ní ìlera
❤️;ọkàn pupa;ọkàn|ọkàn pupa
🩷;ọkàn pinki;dára|fẹ́ràn|ìfẹ́|ọkàn|ọkàn pinki|pínkì
