# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;Ojú tó rẹ́rìn;fẹyín|ojú|Ojú tó rẹ́rìn
	🧗🏼;Ènìyàn tó n gòkè: amọ́lára díẹ̀;agùnkè|amọ́lára díẹ̀|Ènìyàn tó n gòkè|Ènìyàn tó n gòkè: amọ́lára díẹ̀
	🧗🏽;Ènìyàn tó n gòkè: amọ́láwọ̀ díẹ̀;agùnkè|amọ́láwọ̀ díẹ̀|Ènìyàn tó n gòkè|Ènìyàn tó n gòkè: amọ́láwọ̀ díẹ̀
	🧗🏾;Ènìyàn tó n gòkè: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|agùnkè|Ènìyàn tó n gòkè|Ènìyàn tó n gòkè: adúláwọ̀ díẹ̀
	🧗🏿;Ènìyàn tó n gòkè: adúláwọ̀;adúláwọ̀|agùnkè|Ènìyàn tó n gòkè|Ènìyàn tó n gòkè: adúláwọ̀
🧗‍♂️;O̩kùnrin tó n gòkè;agùnkè|O̩kùnrin tó n gòkè
	🧗🏻‍♂️;O̩kùnrin tó n gòkè: amọ́lára;agùnkè|amọ́lára|O̩kùnrin tó n gòkè|O̩kùnrin tó n gòkè: amọ́lára
	🧗🏼‍♂️;O̩kùnrin tó n gòkè: amọ́lára díẹ̀;agùnkè|amọ́lára díẹ̀|O̩kùnrin tó n gòkè|O̩kùnrin tó n gòkè: amọ́lára díẹ̀
	🧗🏽‍♂️;O̩kùnrin tó n gòkè: amọ́láwọ̀ díẹ̀;agùnkè|amọ́láwọ̀ díẹ̀|O̩kùnrin tó n gòkè|O̩kùnrin tó n gòkè: amọ́láwọ̀ díẹ̀
	🧗🏾‍♂️;O̩kùnrin tó n gòkè: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|agùnkè|O̩kùnrin tó n gòkè|O̩kùnrin tó n gòkè: adúláwọ̀ díẹ̀
	🧗🏿‍♂️;O̩kùnrin tó n gòkè: adúláwọ̀;adúláwọ̀|agùnkè|O̩kùnrin tó n gòkè|O̩kùnrin tó n gòkè: adúláwọ̀
🧗‍♀️;Obìnrin tó n gòkè;agùnkè|Obìnrin tó n gòkè
	🧗🏻‍♀️;Obìnrin tó n gòkè: amọ́lára;agùnkè|amọ́lára|Obìnrin tó n gòkè|Obìnrin tó n gòkè: amọ́lára
	🧗🏼‍♀️;Obìnrin tó n gòkè: amọ́lára díẹ̀;agùnkè|amọ́lára díẹ̀|Obìnrin tó n gòkè|Obìnrin tó n gòkè: amọ́lára díẹ̀
	🧗🏽‍♀️;Obìnrin tó n gòkè: amọ́láwọ̀ díẹ̀;agùnkè|amọ́láwọ̀ díẹ̀|Obìnrin tó n gòkè|Obìnrin tó n gòkè: amọ́láwọ̀ díẹ̀
	🧗🏾‍♀️;Obìnrin tó n gòkè: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|agùnkè|Obìnrin tó n gòkè|Obìnrin tó n gòkè: adúláwọ̀ díẹ̀
	🧗🏿‍♀️;Obìnrin tó n gòkè: adúláwọ̀;adúláwọ̀|agùnkè|Obìnrin tó n gòkè|Obìnrin tó n gòkè: adúláwọ̀
🤺;Ẹni N Ja Pẹlu Ida;Ẹni N Ja Pẹlu Ida|eré ìjà|eré jíjà|idà
🏇;Ereje Ẹlẹsin;eré ẹlẹ́ṣin|Ereje Ẹlẹsin|ẹṣin|ìdíje eré
	🏇🏻;Ereje Ẹlẹsin: amọ́lára;amọ́lára|eré ẹlẹ́ṣin|Ereje Ẹlẹsin|Ereje Ẹlẹsin: amọ́lára|ẹṣin|ìdíje eré
	🏇🏼;Ereje Ẹlẹsin: amọ́lára díẹ̀;amọ́lára díẹ̀|eré ẹlẹ́ṣin|Ereje Ẹlẹsin|Ereje Ẹlẹsin: amọ́lára díẹ̀|ẹṣin|ìdíje eré
	🏇🏽;Ereje Ẹlẹsin: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|eré ẹlẹ́ṣin|Ereje Ẹlẹsin|Ereje Ẹlẹsin: amọ́láwọ̀ díẹ̀|ẹṣin|ìdíje eré
	🏇🏾;Ereje Ẹlẹsin: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|eré ẹlẹ́ṣin|Ereje Ẹlẹsin|Ereje Ẹlẹsin: adúláwọ̀ díẹ̀|ẹṣin|ìdíje eré
	🏇🏿;Ereje Ẹlẹsin: adúláwọ̀;adúláwọ̀|eré ẹlẹ́ṣin|Ereje Ẹlẹsin|Ereje Ẹlẹsin: adúláwọ̀|ẹṣin|ìdíje eré
⛷️;ẹni síkì;ẹni síkì|síkì|yínyìn
🏂;Iṣere Ori Yiyin;ìṣeré orí yìnyín|Iṣere Ori Yiyin|síkì|yìnyín
	🏂🏻;Iṣere Ori Yiyin: amọ́lára;amọ́lára|ìṣeré orí yìnyín|Iṣere Ori Yiyin|Iṣere Ori Yiyin: amọ́lára|síkì|yìnyín
	🏂🏼;Iṣere Ori Yiyin: amọ́lára díẹ̀;amọ́lára díẹ̀|ìṣeré orí yìnyín|Iṣere Ori Yiyin|Iṣere Ori Yiyin: amọ́lára díẹ̀|síkì|yìnyín
	🏂🏽;Iṣere Ori Yiyin: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|ìṣeré orí yìnyín|Iṣere Ori Yiyin|Iṣere Ori Yiyin: amọ́láwọ̀ díẹ̀|síkì|yìnyín
	🏂🏾;Iṣere Ori Yiyin: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|ìṣeré orí yìnyín|Iṣere Ori Yiyin|Iṣere Ori Yiyin: adúláwọ̀ díẹ̀|síkì|yìnyín
	🏂🏿;Iṣere Ori Yiyin: adúláwọ̀;adúláwọ̀|ìṣeré orí yìnyín|Iṣere Ori Yiyin|Iṣere Ori Yiyin: adúláwọ̀|síkì|yìnyín
🏌️;ẹni gọ́ọ̀fù;bọ́ọ̀lù|ẹni gọ́ọ̀fù|gọ́ọ̀fù
	🏌🏻;ẹni gọ́ọ̀fù: amọ́lára;amọ́lára|bọ́ọ̀lù|ẹni gọ́ọ̀fù|ẹni gọ́ọ̀fù: amọ́lára|gọ́ọ̀fù
	🏌🏼;ẹni gọ́ọ̀fù: amọ́lára díẹ̀;amọ́lára díẹ̀|bọ́ọ̀lù|ẹni gọ́ọ̀fù|ẹni gọ́ọ̀fù: amọ́lára díẹ̀|gọ́ọ̀fù
	🏌🏽;ẹni gọ́ọ̀fù: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|bọ́ọ̀lù|ẹni gọ́ọ̀fù|ẹni gọ́ọ̀fù: amọ́láwọ̀ díẹ̀|gọ́ọ̀fù
	🏌🏾;ẹni gọ́ọ̀fù: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|bọ́ọ̀lù|ẹni gọ́ọ̀fù|ẹni gọ́ọ̀fù: adúláwọ̀ díẹ̀|gọ́ọ̀fù
	🏌🏿;ẹni gọ́ọ̀fù: adúláwọ̀;adúláwọ̀|bọ́ọ̀lù|ẹni gọ́ọ̀fù|ẹni gọ́ọ̀fù: adúláwọ̀|gọ́ọ̀fù
🏌️‍♂️;ọkùnrin tí ń gọ́ọ̀fù;gọ́ọ̀fù|ọkùnrin|ọkùnrin tí ń gọ́ọ̀fù
	🏌🏻‍♂️;ọkùnrin tí ń gọ́ọ̀fù: amọ́lára;amọ́lára|gọ́ọ̀fù|ọkùnrin|ọkùnrin tí ń gọ́ọ̀fù|ọkùnrin tí ń gọ́ọ̀fù: amọ́lára
	🏌🏼‍♂️;ọkùnrin tí ń gọ́ọ̀fù: amọ́lára díẹ̀;amọ́lára díẹ̀|gọ́ọ̀fù|ọkùnrin|ọkùnrin tí ń gọ́ọ̀fù|ọkùnrin tí ń gọ́ọ̀fù: amọ́lára díẹ̀
	🏌🏽‍♂️;ọkùnrin tí ń gọ́ọ̀fù: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|gọ́ọ̀fù|ọkùnrin|ọkùnrin tí ń gọ́ọ̀fù|ọkùnrin tí ń gọ́ọ̀fù: amọ́láwọ̀ díẹ̀
	🏌🏾‍♂️;ọkùnrin tí ń gọ́ọ̀fù: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|gọ́ọ̀fù|ọkùnrin|ọkùnrin tí ń gọ́ọ̀fù|ọkùnrin tí ń gọ́ọ̀fù: adúláwọ̀ díẹ̀
	🏌🏿‍♂️;ọkùnrin tí ń gọ́ọ̀fù: adúláwọ̀;adúláwọ̀|gọ́ọ̀fù|ọkùnrin|ọkùnrin tí ń gọ́ọ̀fù|ọkùnrin tí ń gọ́ọ̀fù: adúláwọ̀
🏌️‍♀️;obìnrin tí ń gọ́ọ̀fù;gọ́ọ̀fù|obìnrin|obìnrin tí ń gọ́ọ̀fù
	🏌🏻‍♀️;obìnrin tí ń gọ́ọ̀fù: amọ́lára;amọ́lára|gọ́ọ̀fù|obìnrin|obìnrin tí ń gọ́ọ̀fù|obìnrin tí ń gọ́ọ̀fù: amọ́lára
	🏌🏼‍♀️;obìnrin tí ń gọ́ọ̀fù: amọ́lára díẹ̀;amọ́lára díẹ̀|gọ́ọ̀fù|obìnrin|obìnrin tí ń gọ́ọ̀fù|obìnrin tí ń gọ́ọ̀fù: amọ́lára díẹ̀
	🏌🏽‍♀️;obìnrin tí ń gọ́ọ̀fù: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|gọ́ọ̀fù|obìnrin|obìnrin tí ń gọ́ọ̀fù|obìnrin tí ń gọ́ọ̀fù: amọ́láwọ̀ díẹ̀
	🏌🏾‍♀️;obìnrin tí ń gọ́ọ̀fù: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|gọ́ọ̀fù|obìnrin|obìnrin tí ń gọ́ọ̀fù|obìnrin tí ń gọ́ọ̀fù: adúláwọ̀ díẹ̀
	🏌🏿‍♀️;obìnrin tí ń gọ́ọ̀fù: adúláwọ̀;adúláwọ̀|gọ́ọ̀fù|obìnrin|obìnrin tí ń gọ́ọ̀fù|obìnrin tí ń gọ́ọ̀fù: adúláwọ̀
🏄;Ẹni N Gun Iji;Ẹni N Gun Iji|wíwáìtanẹti
	🏄🏻;Ẹni N Gun Iji: amọ́lára;amọ́lára|Ẹni N Gun Iji|Ẹni N Gun Iji: amọ́lára|wíwáìtanẹti
	🏄🏼;Ẹni N Gun Iji: amọ́lára díẹ̀;amọ́lára díẹ̀|Ẹni N Gun Iji|Ẹni N Gun Iji: amọ́lára díẹ̀|wíwáìtanẹti
	🏄🏽;Ẹni N Gun Iji: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|Ẹni N Gun Iji|Ẹni N Gun Iji: amọ́láwọ̀ díẹ̀|wíwáìtanẹti
	🏄🏾;Ẹni N Gun Iji: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|Ẹni N Gun Iji|Ẹni N Gun Iji: adúláwọ̀ díẹ̀|wíwáìtanẹti
	🏄🏿;Ẹni N Gun Iji: adúláwọ̀;adúláwọ̀|Ẹni N Gun Iji|Ẹni N Gun Iji: adúláwọ̀|wíwáìtanẹti
🏄‍♂️;ọkùnrin tí ń wá íńtánẹ́tì;ọkùnrin|ọkùnrin tí ń wá íńtánẹ́tì|tí ń wá íńtánẹ́tì
	🏄🏻‍♂️;ọkùnrin tí ń wá íńtánẹ́tì: amọ́lára;amọ́lára|ọkùnrin|ọkùnrin tí ń wá íńtánẹ́tì|ọkùnrin tí ń wá íńtánẹ́tì: amọ́lára|tí ń wá íńtánẹ́tì
	🏄🏼‍♂️;ọkùnrin tí ń wá íńtánẹ́tì: amọ́lára díẹ̀;amọ́lára díẹ̀|ọkùnrin|ọkùnrin tí ń wá íńtánẹ́tì|ọkùnrin tí ń wá íńtánẹ́tì: amọ́lára díẹ̀|tí ń wá íńtánẹ́tì
	🏄🏽‍♂️;ọkùnrin tí ń wá íńtánẹ́tì: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|ọkùnrin|ọkùnrin tí ń wá íńtánẹ́tì|ọkùnrin tí ń wá íńtánẹ́tì: amọ́láwọ̀ díẹ̀|tí ń wá íńtánẹ́tì
	🏄🏾‍♂️;ọkùnrin tí ń wá íńtánẹ́tì: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|ọkùnrin|ọkùnrin tí ń wá íńtánẹ́tì|ọkùnrin tí ń wá íńtánẹ́tì: adúláwọ̀ díẹ̀|tí ń wá íńtánẹ́tì
	🏄🏿‍♂️;ọkùnrin tí ń wá íńtánẹ́tì: adúláwọ̀;adúláwọ̀|ọkùnrin|ọkùnrin tí ń wá íńtánẹ́tì|ọkùnrin tí ń wá íńtánẹ́tì: adúláwọ̀|tí ń wá íńtánẹ́tì
🏄‍♀️;obìnrín tí ń wá íńtánẹ́tì;obìnrín|obìnrín tí ń wá íńtánẹ́tì|wíwáìtanẹti
	🏄🏻‍♀️;obìnrín tí ń wá íńtánẹ́tì: amọ́lára;amọ́lára|obìnrín|obìnrín tí ń wá íńtánẹ́tì|obìnrín tí ń wá íńtánẹ́tì: amọ́lára|wíwáìtanẹti
	🏄🏼‍♀️;obìnrín tí ń wá íńtánẹ́tì: amọ́lára díẹ̀;amọ́lára díẹ̀|obìnrín|obìnrín tí ń wá íńtánẹ́tì|obìnrín tí ń wá íńtánẹ́tì: amọ́lára díẹ̀|wíwáìtanẹti
	🏄🏽‍♀️;obìnrín tí ń wá íńtánẹ́tì: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|obìnrín|obìnrín tí ń wá íńtánẹ́tì|obìnrín tí ń wá íńtánẹ́tì: amọ́láwọ̀ díẹ̀|wíwáìtanẹti
	🏄🏾‍♀️;obìnrín tí ń wá íńtánẹ́tì: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|obìnrín|obìnrín tí ń wá íńtánẹ́tì|obìnrín tí ń wá íńtánẹ́tì: adúláwọ̀ díẹ̀|wíwáìtanẹti
	🏄🏿‍♀️;obìnrín tí ń wá íńtánẹ́tì: adúláwọ̀;adúláwọ̀|obìnrín|obìnrín tí ń wá íńtánẹ́tì|obìnrín tí ń wá íńtánẹ́tì: adúláwọ̀|wíwáìtanẹti
🚣;Ẹni N wa Ọkọ;Ẹni N wa Ọkọ|kọ́ ojú omi kékeré|ọkọ̀ ojú omi
	🚣🏻;Ẹni N wa Ọkọ: amọ́lára;amọ́lára|Ẹni N wa Ọkọ|Ẹni N wa Ọkọ: amọ́lára|kọ́ ojú omi kékeré|ọkọ̀ ojú omi
	🚣🏼;Ẹni N wa Ọkọ: amọ́lára díẹ̀;amọ́lára díẹ̀|Ẹni N wa Ọkọ|Ẹni N wa Ọkọ: amọ́lára díẹ̀|kọ́ ojú omi kékeré|ọkọ̀ ojú omi
	🚣🏽;Ẹni N wa Ọkọ: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|Ẹni N wa Ọkọ|Ẹni N wa Ọkọ: amọ́láwọ̀ díẹ̀|kọ́ ojú omi kékeré|ọkọ̀ ojú omi
	🚣🏾;Ẹni N wa Ọkọ: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|Ẹni N wa Ọkọ|Ẹni N wa Ọkọ: adúláwọ̀ díẹ̀|kọ́ ojú omi kékeré|ọkọ̀ ojú omi
	🚣🏿;Ẹni N wa Ọkọ: adúláwọ̀;adúláwọ̀|Ẹni N wa Ọkọ|Ẹni N wa Ọkọ: adúláwọ̀|kọ́ ojú omi kékeré|ọkọ̀ ojú omi
🚣‍♂️;ọkùnrin tí ń wakọ̀ ojú omo kékeré;ọkọ̀ ojú omi|ọkọ̀ ojú omo kékeré|ọkùnrin|ọkùnrin tí ń wakọ̀ ojú omo kékeré
	🚣🏻‍♂️;ọkùnrin tí ń wakọ̀ ojú omo kékeré: amọ́lára;amọ́lára|ọkọ̀ ojú omi|ọkọ̀ ojú omo kékeré|ọkùnrin|ọkùnrin tí ń wakọ̀ ojú omo kékeré|ọkùnrin tí ń wakọ̀ ojú omo kékeré: amọ́lára
	🚣🏼‍♂️;ọkùnrin tí ń wakọ̀ ojú omo kékeré: amọ́lára díẹ̀;amọ́lára díẹ̀|ọkọ̀ ojú omi|ọkọ̀ ojú omo kékeré|ọkùnrin|ọkùnrin tí ń wakọ̀ ojú omo kékeré|ọkùnrin tí ń wakọ̀ ojú omo kékeré: amọ́lára díẹ̀
	🚣🏽‍♂️;ọkùnrin tí ń wakọ̀ ojú omo kékeré: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|ọkọ̀ ojú omi|ọkọ̀ ojú omo kékeré|ọkùnrin|ọkùnrin tí ń wakọ̀ ojú omo kékeré|ọkùnrin tí ń wakọ̀ ojú omo kékeré: amọ́láwọ̀ díẹ̀
	🚣🏾‍♂️;ọkùnrin tí ń wakọ̀ ojú omo kékeré: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|ọkọ̀ ojú omi|ọkọ̀ ojú omo kékeré|ọkùnrin|ọkùnrin tí ń wakọ̀ ojú omo kékeré|ọkùnrin tí ń wakọ̀ ojú omo kékeré: adúláwọ̀ díẹ̀
	🚣🏿‍♂️;ọkùnrin tí ń wakọ̀ ojú omo kékeré: adúláwọ̀;adúláwọ̀|ọkọ̀ ojú omi|ọkọ̀ ojú omo kékeré|ọkùnrin|ọkùnrin tí ń wakọ̀ ojú omo kékeré|ọkùnrin tí ń wakọ̀ ojú omo kékeré: adúláwọ̀
🚣‍♀️;obìnrin tí ń wakọ̀ ojú omo kékeré;obìnrin tí ń wakọ̀ ojú omo kékeré|obìrin|ọkọ̀ ojú omi|ọkọ́ ojú omi kékeré
	🚣🏻‍♀️;obìnrin tí ń wakọ̀ ojú omo kékeré: amọ́lára;amọ́lára|obìnrin tí ń wakọ̀ ojú omo kékeré|obìnrin tí ń wakọ̀ ojú omo kékeré: amọ́lára|obìrin|ọkọ̀ ojú omi|ọkọ́ ojú omi kékeré
	🚣🏼‍♀️;obìnrin tí ń wakọ̀ ojú omo kékeré: amọ́lára díẹ̀;amọ́lára díẹ̀|obìnrin tí ń wakọ̀ ojú omo kékeré|obìnrin tí ń wakọ̀ ojú omo kékeré: amọ́lára díẹ̀|obìrin|ọkọ̀ ojú omi|ọkọ́ ojú omi kékeré
	🚣🏽‍♀️;obìnrin tí ń wakọ̀ ojú omo kékeré: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|obìnrin tí ń wakọ̀ ojú omo kékeré|obìnrin tí ń wakọ̀ ojú omo kékeré: amọ́láwọ̀ díẹ̀|obìrin|ọkọ̀ ojú omi|ọkọ́ ojú omi kékeré
	🚣🏾‍♀️;obìnrin tí ń wakọ̀ ojú omo kékeré: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|obìnrin tí ń wakọ̀ ojú omo kékeré|obìnrin tí ń wakọ̀ ojú omo kékeré: adúláwọ̀ díẹ̀|obìrin|ọkọ̀ ojú omi|ọkọ́ ojú omi kékeré
	🚣🏿‍♀️;obìnrin tí ń wakọ̀ ojú omo kékeré: adúláwọ̀;adúláwọ̀|obìnrin tí ń wakọ̀ ojú omo kékeré|obìnrin tí ń wakọ̀ ojú omo kékeré: adúláwọ̀|obìrin|ọkọ̀ ojú omi|ọkọ́ ojú omi kékeré
🏊;Ẹni tí ń wẹdò;Ẹni tí ń wẹdò|wẹdò
	🏊🏻;Ẹni tí ń wẹdò: amọ́lára;amọ́lára|Ẹni tí ń wẹdò|Ẹni tí ń wẹdò: amọ́lára|wẹdò
	🏊🏼;Ẹni tí ń wẹdò: amọ́lára díẹ̀;amọ́lára díẹ̀|Ẹni tí ń wẹdò|Ẹni tí ń wẹdò: amọ́lára díẹ̀|wẹdò
	🏊🏽;Ẹni tí ń wẹdò: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|Ẹni tí ń wẹdò|Ẹni tí ń wẹdò: amọ́láwọ̀ díẹ̀|wẹdò
	🏊🏾;Ẹni tí ń wẹdò: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|Ẹni tí ń wẹdò|Ẹni tí ń wẹdò: adúláwọ̀ díẹ̀|wẹdò
	🏊🏿;Ẹni tí ń wẹdò: adúláwọ̀;adúláwọ̀|Ẹni tí ń wẹdò|Ẹni tí ń wẹdò: adúláwọ̀|wẹdò
🏊‍♂️;ọkùnrin tí ń wẹdò;ọkùnrin|ọkùnrin tí ń wẹdò|wẹdò
	🏊🏻‍♂️;ọkùnrin tí ń wẹdò: amọ́lára;amọ́lára|ọkùnrin|ọkùnrin tí ń wẹdò|ọkùnrin tí ń wẹdò: amọ́lára|wẹdò
	🏊🏼‍♂️;ọkùnrin tí ń wẹdò: amọ́lára díẹ̀;amọ́lára díẹ̀|ọkùnrin|ọkùnrin tí ń wẹdò|ọkùnrin tí ń wẹdò: amọ́lára díẹ̀|wẹdò
	🏊🏽‍♂️;ọkùnrin tí ń wẹdò: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|ọkùnrin|ọkùnrin tí ń wẹdò|ọkùnrin tí ń wẹdò: amọ́láwọ̀ díẹ̀|wẹdò
	🏊🏾‍♂️;ọkùnrin tí ń wẹdò: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|ọkùnrin|ọkùnrin tí ń wẹdò|ọkùnrin tí ń wẹdò: adúláwọ̀ díẹ̀|wẹdò
	🏊🏿‍♂️;ọkùnrin tí ń wẹdò: adúláwọ̀;adúláwọ̀|ọkùnrin|ọkùnrin tí ń wẹdò|ọkùnrin tí ń wẹdò: adúláwọ̀|wẹdò
🏊‍♀️;obìnrin tí ń wẹdò;obìnrin|obìnrin tí ń wẹdò|wẹdò
	🏊🏻‍♀️;obìnrin tí ń wẹdò: amọ́lára;amọ́lára|obìnrin|obìnrin tí ń wẹdò|obìnrin tí ń wẹdò: amọ́lára|wẹdò
	🏊🏼‍♀️;obìnrin tí ń wẹdò: amọ́lára díẹ̀;amọ́lára díẹ̀|obìnrin|obìnrin tí ń wẹdò|obìnrin tí ń wẹdò: amọ́lára díẹ̀|wẹdò
	🏊🏽‍♀️;obìnrin tí ń wẹdò: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|obìnrin|obìnrin tí ń wẹdò|obìnrin tí ń wẹdò: amọ́láwọ̀ díẹ̀|wẹdò
	🏊🏾‍♀️;obìnrin tí ń wẹdò: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|obìnrin|obìnrin tí ń wẹdò|obìnrin tí ń wẹdò: adúláwọ̀ díẹ̀|wẹdò
	🏊🏿‍♀️;obìnrin tí ń wẹdò: adúláwọ̀;adúláwọ̀|obìnrin|obìnrin tí ń wẹdò|obìnrin tí ń wẹdò: adúláwọ̀|wẹdò
⛹️;ẹni tà boun bọ́ọ̀lù;bọ́ọ̀lù|ẹni tà boun bọ́ọ̀lù
	⛹🏻;ẹni tà boun bọ́ọ̀lù: amọ́lára;amọ́lára|bọ́ọ̀lù|ẹni tà boun bọ́ọ̀lù|ẹni tà boun bọ́ọ̀lù: amọ́lára
	⛹🏼;ẹni tà boun bọ́ọ̀lù: amọ́lára díẹ̀;amọ́lára díẹ̀|bọ́ọ̀lù|ẹni tà boun bọ́ọ̀lù|ẹni tà boun bọ́ọ̀lù: amọ́lára díẹ̀
	⛹🏽;ẹni tà boun bọ́ọ̀lù: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|bọ́ọ̀lù|ẹni tà boun bọ́ọ̀lù|ẹni tà boun bọ́ọ̀lù: amọ́láwọ̀ díẹ̀
	⛹🏾;ẹni tà boun bọ́ọ̀lù: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|bọ́ọ̀lù|ẹni tà boun bọ́ọ̀lù|ẹni tà boun bọ́ọ̀lù: adúláwọ̀ díẹ̀
	⛹🏿;ẹni tà boun bọ́ọ̀lù: adúláwọ̀;adúláwọ̀|bọ́ọ̀lù|ẹni tà boun bọ́ọ̀lù|ẹni tà boun bọ́ọ̀lù: adúláwọ̀
⛹️‍♂️;ọkùnrin tí ń tà boun bọ́ọ̀lù;bọ́ọ̀lù|ọkùnrin|ọkùnrin tí ń tà boun bọ́ọ̀lù
	⛹🏻‍♂️;ọkùnrin tí ń tà boun bọ́ọ̀lù: amọ́lára;amọ́lára|bọ́ọ̀lù|ọkùnrin|ọkùnrin tí ń tà boun bọ́ọ̀lù|ọkùnrin tí ń tà boun bọ́ọ̀lù: amọ́lára
	⛹🏼‍♂️;ọkùnrin tí ń tà boun bọ́ọ̀lù: amọ́lára díẹ̀;amọ́lára díẹ̀|bọ́ọ̀lù|ọkùnrin|ọkùnrin tí ń tà boun bọ́ọ̀lù|ọkùnrin tí ń tà boun bọ́ọ̀lù: amọ́lára díẹ̀
	⛹🏽‍♂️;ọkùnrin tí ń tà boun bọ́ọ̀lù: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|bọ́ọ̀lù|ọkùnrin|ọkùnrin tí ń tà boun bọ́ọ̀lù|ọkùnrin tí ń tà boun bọ́ọ̀lù: amọ́láwọ̀ díẹ̀
	⛹🏾‍♂️;ọkùnrin tí ń tà boun bọ́ọ̀lù: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|bọ́ọ̀lù|ọkùnrin|ọkùnrin tí ń tà boun bọ́ọ̀lù|ọkùnrin tí ń tà boun bọ́ọ̀lù: adúláwọ̀ díẹ̀
	⛹🏿‍♂️;ọkùnrin tí ń tà boun bọ́ọ̀lù: adúláwọ̀;adúláwọ̀|bọ́ọ̀lù|ọkùnrin|ọkùnrin tí ń tà boun bọ́ọ̀lù|ọkùnrin tí ń tà boun bọ́ọ̀lù: adúláwọ̀
⛹️‍♀️;obìnrin tà boun bọ́ọ̀lù;bọ́ọ̀lù|obìnrin|obìnrin tà boun bọ́ọ̀lù
	⛹🏻‍♀️;obìnrin tà boun bọ́ọ̀lù: amọ́lára;amọ́lára|bọ́ọ̀lù|obìnrin|obìnrin tà boun bọ́ọ̀lù|obìnrin tà boun bọ́ọ̀lù: amọ́lára
	⛹🏼‍♀️;obìnrin tà boun bọ́ọ̀lù: amọ́lára díẹ̀;amọ́lára díẹ̀|bọ́ọ̀lù|obìnrin|obìnrin tà boun bọ́ọ̀lù|obìnrin tà boun bọ́ọ̀lù: amọ́lára díẹ̀
	⛹🏽‍♀️;obìnrin tà boun bọ́ọ̀lù: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|bọ́ọ̀lù|obìnrin|obìnrin tà boun bọ́ọ̀lù|obìnrin tà boun bọ́ọ̀lù: amọ́láwọ̀ díẹ̀
	⛹🏾‍♀️;obìnrin tà boun bọ́ọ̀lù: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|bọ́ọ̀lù|obìnrin|obìnrin tà boun bọ́ọ̀lù|obìnrin tà boun bọ́ọ̀lù: adúláwọ̀ díẹ̀
	⛹🏿‍♀️;obìnrin tà boun bọ́ọ̀lù: adúláwọ̀;adúláwọ̀|bọ́ọ̀lù|obìnrin|obìnrin tà boun bọ́ọ̀lù|obìnrin tà boun bọ́ọ̀lù: adúláwọ̀
🏋️;ẹni fa ìwọ̀n sókè;a fà ńkan sókè|ẹni fa ìwọ̀n sókè|ìwọ̀n
	🏋🏻;ẹni fa ìwọ̀n sókè: amọ́lára;a fà ńkan sókè|amọ́lára|ẹni fa ìwọ̀n sókè|ẹni fa ìwọ̀n sókè: amọ́lára|ìwọ̀n
