# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ырсайган бет;бет|ырсай|ырсайган бет
	💆🏿‍♂️;бетине массаж алып жаткан эркек: кара;бет|бетине массаж алып жаткан эркек|бетине массаж алып жаткан эркек: кара|кара|укалоо|эркек
💆‍♀️;бетине массаж алып жаткан аял;аял|бет|бетине массаж алып жаткан аял|укалоо
	💆🏻‍♀️;бетине массаж алып жаткан аял: акжуумал;акжуумал|аял|бет|бетине массаж алып жаткан аял|бетине массаж алып жаткан аял: акжуумал|укалоо
	💆🏼‍♀️;бетине массаж алып жаткан аял: буудай жүздүү;аял|бет|бетине массаж алып жаткан аял|бетине массаж алып жаткан аял: буудай жүздүү|буудай жүздүү|укалоо
	💆🏽‍♀️;бетине массаж алып жаткан аял: орточо;аял|бет|бетине массаж алып жаткан аял|бетине массаж алып жаткан аял: орточо|орточо|укалоо
	💆🏾‍♀️;бетине массаж алып жаткан аял: кара тору;аял|бет|бетине массаж алып жаткан аял|бетине массаж алып жаткан аял: кара тору|кара тору|укалоо
	💆🏿‍♀️;бетине массаж алып жаткан аял: кара;аял|бет|бетине массаж алып жаткан аял|бетине массаж алып жаткан аял: кара|кара|укалоо
💇;чач жасалгасы;сулуулук|чач жасалгасы|чач тарач
	💇🏻;чач жасалгасы: акжуумал;акжуумал|сулуулук|чач жасалгасы|чач жасалгасы: акжуумал|чач тарач
	💇🏼;чач жасалгасы: буудай жүздүү;буудай жүздүү|сулуулук|чач жасалгасы|чач жасалгасы: буудай жүздүү|чач тарач
	💇🏽;чач жасалгасы: орточо;орточо|сулуулук|чач жасалгасы|чач жасалгасы: орточо|чач тарач
	💇🏾;чач жасалгасы: кара тору;кара тору|сулуулук|чач жасалгасы|чач жасалгасы: кара тору|чач тарач
	💇🏿;чач жасалгасы: кара;кара|сулуулук|чач жасалгасы|чач жасалгасы: кара|чач тарач
💇‍♂️;чачын кырктырып жаткан эркек;чач тарач|чачын кырктырып жаткан эркек|эркек
	💇🏻‍♂️;чачын кырктырып жаткан эркек: акжуумал;акжуумал|чач тарач|чачын кырктырып жаткан эркек|чачын кырктырып жаткан эркек: акжуумал|эркек
	💇🏼‍♂️;чачын кырктырып жаткан эркек: буудай жүздүү;буудай жүздүү|чач тарач|чачын кырктырып жаткан эркек|чачын кырктырып жаткан эркек: буудай жүздүү|эркек
	💇🏽‍♂️;чачын кырктырып жаткан эркек: орточо;орточо|чач тарач|чачын кырктырып жаткан эркек|чачын кырктырып жаткан эркек: орточо|эркек
	💇🏾‍♂️;чачын кырктырып жаткан эркек: кара тору;кара тору|чач тарач|чачын кырктырып жаткан эркек|чачын кырктырып жаткан эркек: кара тору|эркек
	💇🏿‍♂️;чачын кырктырып жаткан эркек: кара;кара|чач тарач|чачын кырктырып жаткан эркек|чачын кырктырып жаткан эркек: кара|эркек
💇‍♀️;чачын кырктырып жаткан аял;аял|чачтарач|чачын кырктырып жаткан аял
	💇🏻‍♀️;чачын кырктырып жаткан аял: акжуумал;акжуумал|аял|чачтарач|чачын кырктырып жаткан аял|чачын кырктырып жаткан аял: акжуумал
	💇🏼‍♀️;чачын кырктырып жаткан аял: буудай жүздүү;аял|буудай жүздүү|чачтарач|чачын кырктырып жаткан аял|чачын кырктырып жаткан аял: буудай жүздүү
	💇🏽‍♀️;чачын кырктырып жаткан аял: орточо;аял|орточо|чачтарач|чачын кырктырып жаткан аял|чачын кырктырып жаткан аял: орточо
	💇🏾‍♀️;чачын кырктырып жаткан аял: кара тору;аял|кара тору|чачтарач|чачын кырктырып жаткан аял|чачын кырктырып жаткан аял: кара тору
	💇🏿‍♀️;чачын кырктырып жаткан аял: кара;аял|кара|чачтарач|чачын кырктырып жаткан аял|чачын кырктырып жаткан аял: кара
🚶;жөө адам;жөө адам|жөө басуу|экскурсия
	🚶🏻;жөө адам: акжуумал;акжуумал|жөө адам|жөө адам: акжуумал|жөө басуу|экскурсия
	🚶🏼;жөө адам: буудай жүздүү;буудай жүздүү|жөө адам|жөө адам: буудай жүздүү|жөө басуу|экскурсия
	🚶🏽;жөө адам: орточо;жөө адам|жөө адам: орточо|жөө басуу|орточо|экскурсия
	🚶🏾;жөө адам: кара тору;жөө адам|жөө адам: кара тору|жөө басуу|кара тору|экскурсия
	🚶🏿;жөө адам: кара;жөө адам|жөө адам: кара|жөө басуу|кара|экскурсия
🚶‍♂️;жөө басып бара жаткан эркек;жөө басуу|жөө басып бара жаткан эркек|экскурсия|эркек
	🚶🏻‍♂️;жөө басып бара жаткан эркек: акжуумал;акжуумал|жөө басуу|жөө басып бара жаткан эркек|жөө басып бара жаткан эркек: акжуумал|экскурсия|эркек
	🚶🏼‍♂️;жөө басып бара жаткан эркек: буудай жүздүү;буудай жүздүү|жөө басуу|жөө басып бара жаткан эркек|жөө басып бара жаткан эркек: буудай жүздүү|экскурсия|эркек
	🚶🏽‍♂️;жөө басып бара жаткан эркек: орточо;жөө басуу|жөө басып бара жаткан эркек|жөө басып бара жаткан эркек: орточо|орточо|экскурсия|эркек
	🚶🏾‍♂️;жөө басып бара жаткан эркек: кара тору;жөө басуу|жөө басып бара жаткан эркек|жөө басып бара жаткан эркек: кара тору|кара тору|экскурсия|эркек
	🚶🏿‍♂️;жөө басып бара жаткан эркек: кара;жөө басуу|жөө басып бара жаткан эркек|жөө басып бара жаткан эркек: кара|кара|экскурсия|эркек
🚶‍♀️;жөө басып бара жаткан аял;аял|жөө басуу|жөө басып бара жаткан аял|экскурсия
	🚶🏻‍♀️;жөө басып бара жаткан аял: акжуумал;акжуумал|аял|жөө басуу|жөө басып бара жаткан аял|жөө басып бара жаткан аял: акжуумал|экскурсия
	🚶🏼‍♀️;жөө басып бара жаткан аял: буудай жүздүү;аял|буудай жүздүү|жөө басуу|жөө басып бара жаткан аял|жөө басып бара жаткан аял: буудай жүздүү|экскурсия
	🚶🏽‍♀️;жөө басып бара жаткан аял: орточо;аял|жөө басуу|жөө басып бара жаткан аял|жөө басып бара жаткан аял: орточо|орточо|экскурсия
	🚶🏾‍♀️;жөө басып бара жаткан аял: кара тору;аял|жөө басуу|жөө басып бара жаткан аял|жөө басып бара жаткан аял: кара тору|кара тору|экскурсия
	🚶🏿‍♀️;жөө басып бара жаткан аял: кара;аял|жөө басуу|жөө басып бара жаткан аял|жөө басып бара жаткан аял: кара|кара|экскурсия
🚶‍➡️;жөө адам оңду карап турат;жөө адам|жөө адам оңду карап турат|жөө басуу|экскурсия
	🚶🏻‍➡️;жөө адам оңду карап турат;жөө адам|жөө адам оңду карап турат|жөө басуу|экскурсия
	🚶🏼‍➡️;жөө адам оңду карап турат;жөө адам|жөө адам оңду карап турат|жөө басуу|экскурсия
	🚶🏽‍➡️;жөө адам оңду карап турат;жөө адам|жөө адам оңду карап турат|жөө басуу|экскурсия
	🚶🏾‍➡️;жөө адам оңду карап турат;жөө адам|жөө адам оңду карап турат|жөө басуу|экскурсия
	🚶🏿‍➡️;жөө адам оңду карап турат;жөө адам|жөө адам оңду карап турат|жөө басуу|экскурсия
🚶‍♀️‍➡️;жөө басып бара жаткан аял оңду карап турат;аял|жөө басуу|жөө басып бара жаткан аял|жөө басып бара жаткан аял оңду карап турат|экскурсия
	🚶🏻‍♀️‍➡️;жөө басып бара жаткан аял оңду карап турат;аял|жөө басуу|жөө басып бара жаткан аял|жөө басып бара жаткан аял оңду карап турат|экскурсия
	🚶🏼‍♀️‍➡️;жөө басып бара жаткан аял оңду карап турат;аял|жөө басуу|жөө басып бара жаткан аял|жөө басып бара жаткан аял оңду карап турат|экскурсия
	🚶🏽‍♀️‍➡️;жөө басып бара жаткан аял оңду карап турат;аял|жөө басуу|жөө басып бара жаткан аял|жөө басып бара жаткан аял оңду карап турат|экскурсия
	🚶🏾‍♀️‍➡️;жөө басып бара жаткан аял оңду карап турат;аял|жөө басуу|жөө басып бара жаткан аял|жөө басып бара жаткан аял оңду карап турат|экскурсия
	🚶🏿‍♀️‍➡️;жөө басып бара жаткан аял оңду карап турат;аял|жөө басуу|жөө басып бара жаткан аял|жөө басып бара жаткан аял оңду карап турат|экскурсия
🚶‍♂️‍➡️;жөө басып бара жаткан эркек оңду карап турат;жөө басуу|жөө басып бара жаткан эркек|жөө басып бара жаткан эркек оңду карап турат|экскурсия|эркек
	🚶🏻‍♂️‍➡️;жөө басып бара жаткан эркек оңду карап турат;жөө басуу|жөө басып бара жаткан эркек|жөө басып бара жаткан эркек оңду карап турат|экскурсия|эркек
	🚶🏼‍♂️‍➡️;жөө басып бара жаткан эркек оңду карап турат;жөө басуу|жөө басып бара жаткан эркек|жөө басып бара жаткан эркек оңду карап турат|экскурсия|эркек
	🚶🏽‍♂️‍➡️;жөө басып бара жаткан эркек оңду карап турат;жөө басуу|жөө басып бара жаткан эркек|жөө басып бара жаткан эркек оңду карап турат|экскурсия|эркек
	🚶🏾‍♂️‍➡️;жөө басып бара жаткан эркек оңду карап турат;жөө басуу|жөө басып бара жаткан эркек|жөө басып бара жаткан эркек оңду карап турат|экскурсия|эркек
	🚶🏿‍♂️‍➡️;жөө басып бара жаткан эркек оңду карап турат;жөө басуу|жөө басып бара жаткан эркек|жөө басып бара жаткан эркек оңду карап турат|экскурсия|эркек
🧍;адам турат;адам турат|турат|туруу
	🧍🏻;адам турат: акжуумал;адам турат|адам турат: акжуумал|акжуумал|турат|туруу
	🧍🏼;адам турат: буудай жүздүү;адам турат|адам турат: буудай жүздүү|буудай жүздүү|турат|туруу
	🧍🏽;адам турат: орточо;адам турат|адам турат: орточо|орточо|турат|туруу
	🧍🏾;адам турат: кара тору;адам турат|адам турат: кара тору|кара тору|турат|туруу
	🧍🏿;адам турат: кара;адам турат|адам турат: кара|кара|турат|туруу
🧍‍♂️;киши турат;киши|турат
	🧍🏻‍♂️;киши турат: акжуумал;акжуумал|киши|киши турат: акжуумал|турат
	🧍🏼‍♂️;киши турат: буудай жүздүү;буудай жүздүү|киши|киши турат: буудай жүздүү|турат
	🧍🏽‍♂️;киши турат: орточо;киши|киши турат: орточо|орточо|турат
	🧍🏾‍♂️;киши турат: кара тору;кара тору|киши|киши турат: кара тору|турат
	🧍🏿‍♂️;киши турат: кара;кара|киши|киши турат: кара|турат
🧍‍♀️;аял турат;аял|турат
	🧍🏻‍♀️;аял турат: акжуумал;акжуумал|аял|аял турат: акжуумал|турат
	🧍🏼‍♀️;аял турат: буудай жүздүү;аял|аял турат: буудай жүздүү|буудай жүздүү|турат
	🧍🏽‍♀️;аял турат: орточо;аял|аял турат: орточо|орточо|турат
	🧍🏾‍♀️;аял турат: кара тору;аял|аял турат: кара тору|кара тору|турат
	🧍🏿‍♀️;аял турат: кара;аял|аял турат: кара|кара|турат
🧎;тизелеген адам;тизелеген адам|тизелеп турат|тизелөө
	🧎🏻;тизелеген адам: акжуумал;акжуумал|тизелеген адам|тизелеген адам: акжуумал|тизелеп турат|тизелөө
	🧎🏼;тизелеген адам: буудай жүздүү;буудай жүздүү|тизелеген адам|тизелеген адам: буудай жүздүү|тизелеп турат|тизелөө
	🧎🏽;тизелеген адам: орточо;орточо|тизелеген адам|тизелеген адам: орточо|тизелеп турат|тизелөө
	🧎🏾;тизелеген адам: кара тору;кара тору|тизелеген адам|тизелеген адам: кара тору|тизелеп турат|тизелөө
	🧎🏿;тизелеген адам: кара;кара|тизелеген адам|тизелеген адам: кара|тизелеп турат|тизелөө
🧎‍♂️;тизелеген киши;киши|тизелеген киши|тизелеп турат
	🧎🏻‍♂️;тизелеген киши: акжуумал;акжуумал|киши|тизелеген киши|тизелеген киши: акжуумал|тизелеп турат
	🧎🏼‍♂️;тизелеген киши: буудай жүздүү;буудай жүздүү|киши|тизелеген киши|тизелеген киши: буудай жүздүү|тизелеп турат
	🧎🏽‍♂️;тизелеген киши: орточо;киши|орточо|тизелеген киши|тизелеген киши: орточо|тизелеп турат
	🧎🏾‍♂️;тизелеген киши: кара тору;кара тору|киши|тизелеген киши|тизелеген киши: кара тору|тизелеп турат
	🧎🏿‍♂️;тизелеген киши: кара;кара|киши|тизелеген киши|тизелеген киши: кара|тизелеп турат
🧎‍♀️;аял тизелөөдө;аял|аял тизелөөдө|тизелеп турат
	🧎🏻‍♀️;аял тизелөөдө: акжуумал;акжуумал|аял|аял тизелөөдө|аял тизелөөдө: акжуумал|тизелеп турат
	🧎🏼‍♀️;аял тизелөөдө: буудай жүздүү;аял|аял тизелөөдө|аял тизелөөдө: буудай жүздүү|буудай жүздүү|тизелеп турат
	🧎🏽‍♀️;аял тизелөөдө: орточо;аял|аял тизелөөдө|аял тизелөөдө: орточо|орточо|тизелеп турат
	🧎🏾‍♀️;аял тизелөөдө: кара тору;аял|аял тизелөөдө|аял тизелөөдө: кара тору|кара тору|тизелеп турат
	🧎🏿‍♀️;аял тизелөөдө: кара;аял|аял тизелөөдө|аял тизелөөдө: кара|кара|тизелеп турат
🧎‍➡️;тизелеген адам оңду карап турат;тизелеген адам|тизелеген адам оңду карап турат|тизелеп турат|тизелөө
	🧎🏻‍➡️;тизелеген адам оңду карап турат;тизелеген адам|тизелеген адам оңду карап турат|тизелеп турат|тизелөө
	🧎🏼‍➡️;тизелеген адам оңду карап турат;тизелеген адам|тизелеген адам оңду карап турат|тизелеп турат|тизелөө
	🧎🏽‍➡️;тизелеген адам оңду карап турат;тизелеген адам|тизелеген адам оңду карап турат|тизелеп турат|тизелөө
	🧎🏾‍➡️;тизелеген адам оңду карап турат;тизелеген адам|тизелеген адам оңду карап турат|тизелеп турат|тизелөө
	🧎🏿‍➡️;тизелеген адам оңду карап турат;тизелеген адам|тизелеген адам оңду карап турат|тизелеп турат|тизелөө
🧎‍♀️‍➡️;аял тизелөөдө оңду карап турат;аял|аял тизелөөдө|аял тизелөөдө оңду карап турат|тизелеп турат
	🧎🏻‍♀️‍➡️;аял тизелөөдө оңду карап турат;аял|аял тизелөөдө|аял тизелөөдө оңду карап турат|тизелеп турат
	🧎🏼‍♀️‍➡️;аял тизелөөдө оңду карап турат;аял|аял тизелөөдө|аял тизелөөдө оңду карап турат|тизелеп турат
	🧎🏽‍♀️‍➡️;аял тизелөөдө оңду карап турат;аял|аял тизелөөдө|аял тизелөөдө оңду карап турат|тизелеп турат
	🧎🏾‍♀️‍➡️;аял тизелөөдө оңду карап турат;аял|аял тизелөөдө|аял тизелөөдө оңду карап турат|тизелеп турат
	🧎🏿‍♀️‍➡️;аял тизелөөдө оңду карап турат;аял|аял тизелөөдө|аял тизелөөдө оңду карап турат|тизелеп турат
🧎‍♂️‍➡️;тизелеген киши оңду карап турат;киши|тизелеген киши|тизелеген киши оңду карап турат|тизелеп турат
	🧎🏻‍♂️‍➡️;тизелеген киши оңду карап турат;киши|тизелеген киши|тизелеген киши оңду карап турат|тизелеп турат
	🧎🏼‍♂️‍➡️;тизелеген киши оңду карап турат;киши|тизелеген киши|тизелеген киши оңду карап турат|тизелеп турат
	🧎🏽‍♂️‍➡️;тизелеген киши оңду карап турат;киши|тизелеген киши|тизелеген киши оңду карап турат|тизелеп турат
	🧎🏾‍♂️‍➡️;тизелеген киши оңду карап турат;киши|тизелеген киши|тизелеген киши оңду карап турат|тизелеп турат
	🧎🏿‍♂️‍➡️;тизелеген киши оңду карап турат;киши|тизелеген киши|тизелеген киши оңду карап турат|тизелеп турат
🧑‍🦯;таякка жөлөнгөн киши;таякка жөлөнгөн киши
	🧑🏻‍🦯;таякка жөлөнгөн киши: акжуумал;акжуумал|таякка жөлөнгөн киши|таякка жөлөнгөн киши: акжуумал
	🧑🏼‍🦯;таякка жөлөнгөн киши: буудай жүздүү;буудай жүздүү|таякка жөлөнгөн киши|таякка жөлөнгөн киши: буудай жүздүү
	🧑🏽‍🦯;таякка жөлөнгөн киши: орточо;орточо|таякка жөлөнгөн киши|таякка жөлөнгөн киши: орточо
	🧑🏾‍🦯;таякка жөлөнгөн киши: кара тору;кара тору|таякка жөлөнгөн киши|таякка жөлөнгөн киши: кара тору
	🧑🏿‍🦯;таякка жөлөнгөн киши: кара;кара|таякка жөлөнгөн киши|таякка жөлөнгөн киши: кара
🧑‍🦯‍➡️;таякка жөлөнгөн киши оңду карап турат;таякка жөлөнгөн киши|таякка жөлөнгөн киши оңду карап турат
	🧑🏻‍🦯‍➡️;таякка жөлөнгөн киши оңду карап турат;таякка жөлөнгөн киши|таякка жөлөнгөн киши оңду карап турат
	🧑🏼‍🦯‍➡️;таякка жөлөнгөн киши оңду карап турат;таякка жөлөнгөн киши|таякка жөлөнгөн киши оңду карап турат
	🧑🏽‍🦯‍➡️;таякка жөлөнгөн киши оңду карап турат;таякка жөлөнгөн киши|таякка жөлөнгөн киши оңду карап турат
	🧑🏾‍🦯‍➡️;таякка жөлөнгөн киши оңду карап турат;таякка жөлөнгөн киши|таякка жөлөнгөн киши оңду карап турат
	🧑🏿‍🦯‍➡️;таякка жөлөнгөн киши оңду карап турат;таякка жөлөнгөн киши|таякка жөлөнгөн киши оңду карап турат
👨‍🦯;таяк таянган киши;атайын мүмкүндүк|киши|сокур|таяк таянган киши
	👨🏻‍🦯;таяк таянган киши: акжуумал;акжуумал|атайын мүмкүндүк|киши|сокур|таяк таянган киши|таяк таянган киши: акжуумал
	👨🏼‍🦯;таяк таянган киши: буудай жүздүү;атайын мүмкүндүк|буудай жүздүү|киши|сокур|таяк таянган киши|таяк таянган киши: буудай жүздүү
	👨🏽‍🦯;таяк таянган киши: орточо;атайын мүмкүндүк|киши|орточо|сокур|таяк таянган киши|таяк таянган киши: орточо
	👨🏾‍🦯;таяк таянган киши: кара тору;атайын мүмкүндүк|кара тору|киши|сокур|таяк таянган киши|таяк таянган киши: кара тору
	👨🏿‍🦯;таяк таянган киши: кара;атайын мүмкүндүк|кара|киши|сокур|таяк таянган киши|таяк таянган киши: кара
👨‍🦯‍➡️;таяк таянган киши оңду карап турат;атайын мүмкүндүк|киши|сокур|таяк таянган киши|таяк таянган киши оңду карап турат
	👨🏻‍🦯‍➡️;таяк таянган киши оңду карап турат;атайын мүмкүндүк|киши|сокур|таяк таянган киши|таяк таянган киши оңду карап турат
	👨🏼‍🦯‍➡️;таяк таянган киши оңду карап турат;атайын мүмкүндүк|киши|сокур|таяк таянган киши|таяк таянган киши оңду карап турат
	👨🏽‍🦯‍➡️;таяк таянган киши оңду карап турат;атайын мүмкүндүк|киши|сокур|таяк таянган киши|таяк таянган киши оңду карап турат
	👨🏾‍🦯‍➡️;таяк таянган киши оңду карап турат;атайын мүмкүндүк|киши|сокур|таяк таянган киши|таяк таянган киши оңду карап турат
	👨🏿‍🦯‍➡️;таяк таянган киши оңду карап турат;атайын мүмкүндүк|киши|сокур|таяк таянган киши|таяк таянган киши оңду карап турат
👩‍🦯;таяк таянган аял;атайын мүмкүндүк|аял|сокур|таяк таянган аял
	👩🏻‍🦯;таяк таянган аял: акжуумал;акжуумал|атайын мүмкүндүк|аял|сокур|таяк таянган аял|таяк таянган аял: акжуумал
	👩🏼‍🦯;таяк таянган аял: буудай жүздүү;атайын мүмкүндүк|аял|буудай жүздүү|сокур|таяк таянган аял|таяк таянган аял: буудай жүздүү
	👩🏽‍🦯;таяк таянган аял: орточо;атайын мүмкүндүк|аял|орточо|сокур|таяк таянган аял|таяк таянган аял: орточо
	👩🏾‍🦯;таяк таянган аял: кара тору;атайын мүмкүндүк|аял|кара тору|сокур|таяк таянган аял|таяк таянган аял: кара тору
	👩🏿‍🦯;таяк таянган аял: кара;атайын мүмкүндүк|аял|кара|сокур|таяк таянган аял|таяк таянган аял: кара
👩‍🦯‍➡️;таяк таянган аял оңду карап турат;атайын мүмкүндүк|аял|сокур|таяк таянган аял|таяк таянган аял оңду карап турат
	👩🏻‍🦯‍➡️;таяк таянган аял оңду карап турат;атайын мүмкүндүк|аял|сокур|таяк таянган аял|таяк таянган аял оңду карап турат
	👩🏼‍🦯‍➡️;таяк таянган аял оңду карап турат;атайын мүмкүндүк|аял|сокур|таяк таянган аял|таяк таянган аял оңду карап турат
	👩🏽‍🦯‍➡️;таяк таянган аял оңду карап турат;атайын мүмкүндүк|аял|сокур|таяк таянган аял|таяк таянган аял оңду карап турат
	👩🏾‍🦯‍➡️;таяк таянган аял оңду карап турат;атайын мүмкүндүк|аял|сокур|таяк таянган аял|таяк таянган аял оңду карап турат
	👩🏿‍🦯‍➡️;таяк таянган аял оңду карап турат;атайын мүмкүндүк|аял|сокур|таяк таянган аял|таяк таянган аял оңду карап турат
🧑‍🦼;мотору бар инвалид креслосундагы киши;мотору бар инвалид креслосундагы киши
	🧑🏻‍🦼;мотору бар инвалид креслосундагы киши: акжуумал;акжуумал|мотору бар инвалид креслосундагы киши|мотору бар инвалид креслосундагы киши: акжуумал
	🧑🏼‍🦼;мотору бар инвалид креслосундагы киши: буудай жүздүү;буудай жүздүү|мотору бар инвалид креслосундагы киши|мотору бар инвалид креслосундагы киши: буудай жүздүү
	🧑🏽‍🦼;мотору бар инвалид креслосундагы киши: орточо;мотору бар инвалид креслосундагы киши|мотору бар инвалид креслосундагы киши: орточо|орточо
	🧑🏾‍🦼;мотору бар инвалид креслосундагы киши: кара тору;кара тору|мотору бар инвалид креслосундагы киши|мотору бар инвалид креслосундагы киши: кара тору
	🧑🏿‍🦼;мотору бар инвалид креслосундагы киши: кара;кара|мотору бар инвалид креслосундагы киши|мотору бар инвалид креслосундагы киши: кара
🧑‍🦼‍➡️;мотору бар инвалид креслосундагы киши оңду карап турат;мотору бар инвалид креслосундагы киши|мотору бар инвалид креслосундагы киши оңду карап турат
	🧑🏻‍🦼‍➡️;мотору бар инвалид креслосундагы киши оңду карап турат;мотору бар инвалид креслосундагы киши|мотору бар инвалид креслосундагы киши оңду карап турат
	🧑🏼‍🦼‍➡️;мотору бар инвалид креслосундагы киши оңду карап турат;мотору бар инвалид креслосундагы киши|мотору бар инвалид креслосундагы киши оңду карап турат
	🧑🏽‍🦼‍➡️;мотору бар инвалид креслосундагы киши оңду карап турат;мотору бар инвалид креслосундагы киши|мотору бар инвалид креслосундагы киши оңду карап турат
	🧑🏾‍🦼‍➡️;мотору бар инвалид креслосундагы киши оңду карап турат;мотору бар инвалид креслосундагы киши|мотору бар инвалид креслосундагы киши оңду карап турат
	🧑🏿‍🦼‍➡️;мотору бар инвалид креслосундагы киши оңду карап турат;мотору бар инвалид креслосундагы киши|мотору бар инвалид креслосундагы киши оңду карап турат
👨‍🦼;моторлуу дөңгөлөк отургучтагы киши;атайын мүмкүндүк|дөңгөлөктүү отургуч|киши|моторлуу дөңгөлөк отургучтагы киши
	👨🏻‍🦼;моторлуу дөңгөлөк отургучтагы киши: акжуумал;акжуумал|атайын мүмкүндүк|дөңгөлөктүү отургуч|киши|моторлуу дөңгөлөк отургучтагы киши|моторлуу дөңгөлөк отургучтагы киши: акжуумал
	👨🏼‍🦼;моторлуу дөңгөлөк отургучтагы киши: буудай жүздүү;атайын мүмкүндүк|буудай жүздүү|дөңгөлөктүү отургуч|киши|моторлуу дөңгөлөк отургучтагы киши|моторлуу дөңгөлөк отургучтагы киши: буудай жүздүү
	👨🏽‍🦼;моторлуу дөңгөлөк отургучтагы киши: орточо;атайын мүмкүндүк|дөңгөлөктүү отургуч|киши|моторлуу дөңгөлөк отургучтагы киши|моторлуу дөңгөлөк отургучтагы киши: орточо|орточо
	👨🏾‍🦼;моторлуу дөңгөлөк отургучтагы киши: кара тору;атайын мүмкүндүк|дөңгөлөктүү отургуч|кара тору|киши|моторлуу дөңгөлөк отургучтагы киши|моторлуу дөңгөлөк отургучтагы киши: кара тору
	👨🏿‍🦼;моторлуу дөңгөлөк отургучтагы киши: кара;атайын мүмкүндүк|дөңгөлөктүү отургуч|кара|киши|моторлуу дөңгөлөк отургучтагы киши|моторлуу дөңгөлөк отургучтагы киши: кара
👨‍🦼‍➡️;моторлуу дөңгөлөк отургучтагы киши оңду карап турат;атайын мүмкүндүк|дөңгөлөктүү отургуч|киши|моторлуу дөңгөлөк отургучтагы киши|моторлуу дөңгөлөк отургучтагы киши оңду карап турат
	👨🏻‍🦼‍➡️;моторлуу дөңгөлөк отургучтагы киши оңду карап турат;атайын мүмкүндүк|дөңгөлөктүү отургуч|киши|моторлуу дөңгөлөк отургучтагы киши|моторлуу дөңгөлөк отургучтагы киши оңду карап турат
	👨🏼‍🦼‍➡️;моторлуу дөңгөлөк отургучтагы киши оңду карап турат;атайын мүмкүндүк|дөңгөлөктүү отургуч|киши|моторлуу дөңгөлөк отургучтагы киши|моторлуу дөңгөлөк отургучтагы киши оңду карап турат
	👨🏽‍🦼‍➡️;моторлуу дөңгөлөк отургучтагы киши оңду карап турат;атайын мүмкүндүк|дөңгөлөктүү отургуч|киши|моторлуу дөңгөлөк отургучтагы киши|моторлуу дөңгөлөк отургучтагы киши оңду карап турат
	👨🏾‍🦼‍➡️;моторлуу дөңгөлөк отургучтагы киши оңду карап турат;атайын мүмкүндүк|дөңгөлөктүү отургуч|киши|моторлуу дөңгөлөк отургучтагы киши|моторлуу дөңгөлөк отургучтагы киши оңду карап турат
	👨🏿‍🦼‍➡️;моторлуу дөңгөлөк отургучтагы киши оңду карап турат;атайын мүмкүндүк|дөңгөлөктүү отургуч|киши|моторлуу дөңгөлөк отургучтагы киши|моторлуу дөңгөлөк отургучтагы киши оңду карап турат
👩‍🦼;мотору бар дөңгөлөктүү отургучтагы аял;атайын мүмкүндүк|аял|дөңгөлөктүү отургуч|мотору бар дөңгөлөктүү отургучтагы аял
	👩🏻‍🦼;мотору бар дөңгөлөктүү отургучтагы аял: акжуумал;акжуумал|атайын мүмкүндүк|аял|дөңгөлөктүү отургуч|мотору бар дөңгөлөктүү отургучтагы аял|мотору бар дөңгөлөктүү отургучтагы аял: акжуумал
	👩🏼‍🦼;мотору бар дөңгөлөктүү отургучтагы аял: буудай жүздүү;атайын мүмкүндүк|аял|буудай жүздүү|дөңгөлөктүү отургуч|мотору бар дөңгөлөктүү отургучтагы аял|мотору бар дөңгөлөктүү отургучтагы аял: буудай жүздүү
	👩🏽‍🦼;мотору бар дөңгөлөктүү отургучтагы аял: орточо;атайын мүмкүндүк|аял|дөңгөлөктүү отургуч|мотору бар дөңгөлөктүү отургучтагы аял|мотору бар дөңгөлөктүү отургучтагы аял: орточо|орточо
	👩🏾‍🦼;мотору бар дөңгөлөктүү отургучтагы аял: кара тору;атайын мүмкүндүк|аял|дөңгөлөктүү отургуч|кара тору|мотору бар дөңгөлөктүү отургучтагы аял|мотору бар дөңгөлөктүү отургучтагы аял: кара тору
	👩🏿‍🦼;мотору бар дөңгөлөктүү отургучтагы аял: кара;атайын мүмкүндүк|аял|дөңгөлөктүү отургуч|кара|мотору бар дөңгөлөктүү отургучтагы аял|мотору бар дөңгөлөктүү отургучтагы аял: кара
👩‍🦼‍➡️;мотору бар дөңгөлөктүү отургучтагы аял оңду карап турат;атайын мүмкүндүк|аял|дөңгөлөктүү отургуч|мотору бар дөңгөлөктүү отургучтагы аял|мотору бар дөңгөлөктүү отургучтагы аял оңду карап турат
	👩🏻‍🦼‍➡️;мотору бар дөңгөлөктүү отургучтагы аял оңду карап турат;атайын мүмкүндүк|аял|дөңгөлөктүү отургуч|мотору бар дөңгөлөктүү отургучтагы аял|мотору бар дөңгөлөктүү отургучтагы аял оңду карап турат
	👩🏼‍🦼‍➡️;мотору бар дөңгөлөктүү отургучтагы аял оңду карап турат;атайын мүмкүндүк|аял|дөңгөлөктүү отургуч|мотору бар дөңгөлөктүү отургучтагы аял|мотору бар дөңгөлөктүү отургучтагы аял оңду карап турат
	👩🏽‍🦼‍➡️;мотору бар дөңгөлөктүү отургучтагы аял оңду карап турат;атайын мүмкүндүк|аял|дөңгөлөктүү отургуч|мотору бар дөңгөлөктүү отургучтагы аял|мотору бар дөңгөлөктүү отургучтагы аял оңду карап турат
