# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;kusisqa uya;kusi|kusisqa uya|uya
👨‍🦼‍➡️;;
	👨🏻‍🦼‍➡️;;
	👨🏼‍🦼‍➡️;;
	👨🏽‍🦼‍➡️;;
	👨🏾‍🦼‍➡️;;
	👨🏿‍🦼‍➡️;;
👩‍🦼;warmi motorizado silla de ruedaspi;haykurinalla|silla de ruedas|warmi|warmi motorizado silla de ruedaspi
	👩🏻‍🦼;warmi motorizado silla de ruedaspi: chuya qara niraq;chuya qara niraq|haykurinalla|silla de ruedas|warmi|warmi motorizado silla de ruedaspi|warmi motorizado silla de ruedaspi: chuya qara niraq
	👩🏼‍🦼;warmi motorizado silla de ruedaspi: tunpa chuya qara niraq;haykurinalla|silla de ruedas|tunpa chuya qara niraq|warmi|warmi motorizado silla de ruedaspi|warmi motorizado silla de ruedaspi: tunpa chuya qara niraq
	👩🏽‍🦼;warmi motorizado silla de ruedaspi: tunpa qara niraq;haykurinalla|silla de ruedas|tunpa qara niraq|warmi|warmi motorizado silla de ruedaspi|warmi motorizado silla de ruedaspi: tunpa qara niraq
	👩🏾‍🦼;warmi motorizado silla de ruedaspi: tunpa yana qara niraq;haykurinalla|silla de ruedas|tunpa yana qara niraq|warmi|warmi motorizado silla de ruedaspi|warmi motorizado silla de ruedaspi: tunpa yana qara niraq
	👩🏿‍🦼;warmi motorizado silla de ruedaspi: yana qara niraq;haykurinalla|silla de ruedas|warmi|warmi motorizado silla de ruedaspi|warmi motorizado silla de ruedaspi: yana qara niraq|yana qara niraq
👩‍🦼‍➡️;;
	👩🏻‍🦼‍➡️;;
	👩🏼‍🦼‍➡️;;
	👩🏽‍🦼‍➡️;;
	👩🏾‍🦼‍➡️;;
	👩🏿‍🦼‍➡️;;
🧑‍🦽;runa manual silla de ruedaspi;haykurinalla|runa manual silla de ruedaspi|silla de ruedas nisqa
	🧑🏻‍🦽;runa manual silla de ruedaspi: chuya qara niraq;chuya qara niraq|haykurinalla|runa manual silla de ruedaspi|runa manual silla de ruedaspi: chuya qara niraq|silla de ruedas nisqa
	🧑🏼‍🦽;runa manual silla de ruedaspi: tunpa chuya qara niraq;haykurinalla|runa manual silla de ruedaspi|runa manual silla de ruedaspi: tunpa chuya qara niraq|silla de ruedas nisqa|tunpa chuya qara niraq
	🧑🏽‍🦽;runa manual silla de ruedaspi: tunpa qara niraq;haykurinalla|runa manual silla de ruedaspi|runa manual silla de ruedaspi: tunpa qara niraq|silla de ruedas nisqa|tunpa qara niraq
	🧑🏾‍🦽;runa manual silla de ruedaspi: tunpa yana qara niraq;haykurinalla|runa manual silla de ruedaspi|runa manual silla de ruedaspi: tunpa yana qara niraq|silla de ruedas nisqa|tunpa yana qara niraq
	🧑🏿‍🦽;runa manual silla de ruedaspi: yana qara niraq;haykurinalla|runa manual silla de ruedaspi|runa manual silla de ruedaspi: yana qara niraq|silla de ruedas nisqa|yana qara niraq
🧑‍🦽‍➡️;;
	🧑🏻‍🦽‍➡️;;
	🧑🏼‍🦽‍➡️;;
	🧑🏽‍🦽‍➡️;;
	🧑🏾‍🦽‍➡️;;
	🧑🏿‍🦽‍➡️;;
👨‍🦽;runa manual silla de ruedas nisqapi;runa|runa manual silla de ruedas nisqapi|silla de ruedas|yaykurinalla
	👨🏻‍🦽;runa manual silla de ruedas nisqapi: chuya qara niraq;chuya qara niraq|runa|runa manual silla de ruedas nisqapi|runa manual silla de ruedas nisqapi: chuya qara niraq|silla de ruedas|yaykurinalla
	👨🏼‍🦽;runa manual silla de ruedas nisqapi: tunpa chuya qara niraq;runa|runa manual silla de ruedas nisqapi|runa manual silla de ruedas nisqapi: tunpa chuya qara niraq|silla de ruedas|tunpa chuya qara niraq|yaykurinalla
	👨🏽‍🦽;runa manual silla de ruedas nisqapi: tunpa qara niraq;runa|runa manual silla de ruedas nisqapi|runa manual silla de ruedas nisqapi: tunpa qara niraq|silla de ruedas|tunpa qara niraq|yaykurinalla
	👨🏾‍🦽;runa manual silla de ruedas nisqapi: tunpa yana qara niraq;runa|runa manual silla de ruedas nisqapi|runa manual silla de ruedas nisqapi: tunpa yana qara niraq|silla de ruedas|tunpa yana qara niraq|yaykurinalla
	👨🏿‍🦽;runa manual silla de ruedas nisqapi: yana qara niraq;runa|runa manual silla de ruedas nisqapi|runa manual silla de ruedas nisqapi: yana qara niraq|silla de ruedas|yana qara niraq|yaykurinalla
👨‍🦽‍➡️;;
	👨🏻‍🦽‍➡️;;
	👨🏼‍🦽‍➡️;;
	👨🏽‍🦽‍➡️;;
	👨🏾‍🦽‍➡️;;
	👨🏿‍🦽‍➡️;;
👩‍🦽;warmi manual silla de ruedas;silla de ruedas|warmi|warmi manual silla de ruedas|yaykurinalla
	👩🏻‍🦽;warmi manual silla de ruedas: chuya qara niraq;chuya qara niraq|silla de ruedas|warmi|warmi manual silla de ruedas|warmi manual silla de ruedas: chuya qara niraq|yaykurinalla
	👩🏼‍🦽;warmi manual silla de ruedas: tunpa chuya qara niraq;silla de ruedas|tunpa chuya qara niraq|warmi|warmi manual silla de ruedas|warmi manual silla de ruedas: tunpa chuya qara niraq|yaykurinalla
	👩🏽‍🦽;warmi manual silla de ruedas: tunpa qara niraq;silla de ruedas|tunpa qara niraq|warmi|warmi manual silla de ruedas|warmi manual silla de ruedas: tunpa qara niraq|yaykurinalla
	👩🏾‍🦽;warmi manual silla de ruedas: tunpa yana qara niraq;silla de ruedas|tunpa yana qara niraq|warmi|warmi manual silla de ruedas|warmi manual silla de ruedas: tunpa yana qara niraq|yaykurinalla
	👩🏿‍🦽;warmi manual silla de ruedas: yana qara niraq;silla de ruedas|warmi|warmi manual silla de ruedas|warmi manual silla de ruedas: yana qara niraq|yana qara niraq|yaykurinalla
👩‍🦽‍➡️;;
	👩🏻‍🦽‍➡️;;
	👩🏼‍🦽‍➡️;;
	👩🏽‍🦽‍➡️;;
	👩🏾‍🦽‍➡️;;
	👩🏿‍🦽‍➡️;;
🏃;runa phawachkan;maraton|phawachkan|runa phawachkan
	🏃🏻;runa phawachkan: chuya qara niraq;chuya qara niraq|maraton|phawachkan|runa phawachkan|runa phawachkan: chuya qara niraq
	🏃🏼;runa phawachkan: tunpa chuya qara niraq;maraton|phawachkan|runa phawachkan|runa phawachkan: tunpa chuya qara niraq|tunpa chuya qara niraq
	🏃🏽;runa phawachkan: tunpa qara niraq;maraton|phawachkan|runa phawachkan|runa phawachkan: tunpa qara niraq|tunpa qara niraq
	🏃🏾;runa phawachkan: tunpa yana qara niraq;maraton|phawachkan|runa phawachkan|runa phawachkan: tunpa yana qara niraq|tunpa yana qara niraq
	🏃🏿;runa phawachkan: yana qara niraq;maraton|phawachkan|runa phawachkan|runa phawachkan: yana qara niraq|yana qara niraq
🏃‍♂️;tata phawachkan;carrera|maraton|phawachkan|tata
	🏃🏻‍♂️;tata phawachkan: chuya qara niraq;carrera|chuya qara niraq|maraton|phawachkan|tata|tata phawachkan: chuya qara niraq
	🏃🏼‍♂️;tata phawachkan: tunpa chuya qara niraq;carrera|maraton|phawachkan|tata|tata phawachkan: tunpa chuya qara niraq|tunpa chuya qara niraq
	🏃🏽‍♂️;tata phawachkan: tunpa qara niraq;carrera|maraton|phawachkan|tata|tata phawachkan: tunpa qara niraq|tunpa qara niraq
	🏃🏾‍♂️;tata phawachkan: tunpa yana qara niraq;carrera|maraton|phawachkan|tata|tata phawachkan: tunpa yana qara niraq|tunpa yana qara niraq
	🏃🏿‍♂️;tata phawachkan: yana qara niraq;carrera|maraton|phawachkan|tata|tata phawachkan: yana qara niraq|yana qara niraq
🏃‍♀️;warmi phawachkan;carrera|maraton|phawachkan|warmi
	🏃🏻‍♀️;warmi phawachkan: chuya qara niraq;carrera|chuya qara niraq|maraton|phawachkan|warmi|warmi phawachkan: chuya qara niraq
	🏃🏼‍♀️;warmi phawachkan: tunpa chuya qara niraq;carrera|maraton|phawachkan|tunpa chuya qara niraq|warmi|warmi phawachkan: tunpa chuya qara niraq
	🏃🏽‍♀️;warmi phawachkan: tunpa qara niraq;carrera|maraton|phawachkan|tunpa qara niraq|warmi|warmi phawachkan: tunpa qara niraq
	🏃🏾‍♀️;warmi phawachkan: tunpa yana qara niraq;carrera|maraton|phawachkan|tunpa yana qara niraq|warmi|warmi phawachkan: tunpa yana qara niraq
	🏃🏿‍♀️;warmi phawachkan: yana qara niraq;carrera|maraton|phawachkan|warmi|warmi phawachkan: yana qara niraq|yana qara niraq
🏃‍➡️;;
	🏃🏻‍➡️;;
	🏃🏼‍➡️;;
	🏃🏽‍➡️;;
	🏃🏾‍➡️;;
	🏃🏿‍➡️;;
🏃‍♀️‍➡️;;
	🏃🏻‍♀️‍➡️;;
	🏃🏼‍♀️‍➡️;;
	🏃🏽‍♀️‍➡️;;
	🏃🏾‍♀️‍➡️;;
	🏃🏿‍♀️‍➡️;;
🏃‍♂️‍➡️;;
	🏃🏻‍♂️‍➡️;;
	🏃🏼‍♂️‍➡️;;
	🏃🏽‍♂️‍➡️;;
	🏃🏾‍♂️‍➡️;;
	🏃🏿‍♂️‍➡️;;
💃;warmi tusuchkan;tusuchkan|tusuy|warmi
	💃🏻;warmi tusuchkan: chuya qara niraq;chuya qara niraq|tusuchkan|tusuy|warmi|warmi tusuchkan: chuya qara niraq
	💃🏼;warmi tusuchkan: tunpa chuya qara niraq;tunpa chuya qara niraq|tusuchkan|tusuy|warmi|warmi tusuchkan: tunpa chuya qara niraq
	💃🏽;warmi tusuchkan: tunpa qara niraq;tunpa qara niraq|tusuchkan|tusuy|warmi|warmi tusuchkan: tunpa qara niraq
	💃🏾;warmi tusuchkan: tunpa yana qara niraq;tunpa yana qara niraq|tusuchkan|tusuy|warmi|warmi tusuchkan: tunpa yana qara niraq
	💃🏿;warmi tusuchkan: yana qara niraq;tusuchkan|tusuy|warmi|warmi tusuchkan: yana qara niraq|yana qara niraq
🕺;runa tusuchkan;runa tusuchkan|tata|tusuchkan|tusuy
	🕺🏻;runa tusuchkan: chuya qara niraq;chuya qara niraq|runa tusuchkan|runa tusuchkan: chuya qara niraq|tata|tusuchkan|tusuy
	🕺🏼;runa tusuchkan: tunpa chuya qara niraq;runa tusuchkan|runa tusuchkan: tunpa chuya qara niraq|tata|tunpa chuya qara niraq|tusuchkan|tusuy
	🕺🏽;runa tusuchkan: tunpa qara niraq;runa tusuchkan|runa tusuchkan: tunpa qara niraq|tata|tunpa qara niraq|tusuchkan|tusuy
	🕺🏾;runa tusuchkan: tunpa yana qara niraq;runa tusuchkan|runa tusuchkan: tunpa yana qara niraq|tata|tunpa yana qara niraq|tusuchkan|tusuy
	🕺🏿;runa tusuchkan: yana qara niraq;runa tusuchkan|runa tusuchkan: yana qara niraq|tata|tusuchkan|tusuy|yana qara niraq
🕴️;runa trajepi levitando;qatuna|runa|runa trajepi levitando|traje
	🕴🏻;runa trajepi levitando: chuya qara niraq;chuya qara niraq|qatuna|runa|runa trajepi levitando|runa trajepi levitando: chuya qara niraq|traje
	🕴🏼;runa trajepi levitando: tunpa chuya qara niraq;qatuna|runa|runa trajepi levitando|runa trajepi levitando: tunpa chuya qara niraq|traje|tunpa chuya qara niraq
	🕴🏽;runa trajepi levitando: tunpa qara niraq;qatuna|runa|runa trajepi levitando|runa trajepi levitando: tunpa qara niraq|traje|tunpa qara niraq
	🕴🏾;runa trajepi levitando: tunpa yana qara niraq;qatuna|runa|runa trajepi levitando|runa trajepi levitando: tunpa yana qara niraq|traje|tunpa yana qara niraq
	🕴🏿;runa trajepi levitando: yana qara niraq;qatuna|runa|runa trajepi levitando|runa trajepi levitando: yana qara niraq|traje|yana qara niraq
👯;runakuna quwi ninrikunawan;quwi ninri|raymichkan|runakuna quwi ninrikunawan|tusuq
👯‍♂️;runa quwi ninrikunawan;quwi ninri|raymichkan|runa quwi ninrikunawan|runakuna|tusuq
👯‍♀️;warmi quwi ninrikunawan;quwi ninri|raymichkan|tusuq|warmi quwi ninrikunawan
🧖;runa wapsi wasipi;runa wapsi wasipi|sauna|wapsi wasi
	🧖🏻;runa wapsi wasipi: chuya qara niraq;chuya qara niraq|runa wapsi wasipi|runa wapsi wasipi: chuya qara niraq|sauna|wapsi wasi
	🧖🏼;runa wapsi wasipi: tunpa chuya qara niraq;runa wapsi wasipi|runa wapsi wasipi: tunpa chuya qara niraq|sauna|tunpa chuya qara niraq|wapsi wasi
	🧖🏽;runa wapsi wasipi: tunpa qara niraq;runa wapsi wasipi|runa wapsi wasipi: tunpa qara niraq|sauna|tunpa qara niraq|wapsi wasi
	🧖🏾;runa wapsi wasipi: tunpa yana qara niraq;runa wapsi wasipi|runa wapsi wasipi: tunpa yana qara niraq|sauna|tunpa yana qara niraq|wapsi wasi
	🧖🏿;runa wapsi wasipi: yana qara niraq;runa wapsi wasipi|runa wapsi wasipi: yana qara niraq|sauna|wapsi wasi|yana qara niraq
🧖‍♂️;tata wapsi wasipi;sauna|tata wapsi wasipi|wapsi wasi
	🧖🏻‍♂️;tata wapsi wasipi: chuya qara niraq;chuya qara niraq|sauna|tata wapsi wasipi|tata wapsi wasipi: chuya qara niraq|wapsi wasi
	🧖🏼‍♂️;tata wapsi wasipi: tunpa chuya qara niraq;sauna|tata wapsi wasipi|tata wapsi wasipi: tunpa chuya qara niraq|tunpa chuya qara niraq|wapsi wasi
	🧖🏽‍♂️;tata wapsi wasipi: tunpa qara niraq;sauna|tata wapsi wasipi|tata wapsi wasipi: tunpa qara niraq|tunpa qara niraq|wapsi wasi
	🧖🏾‍♂️;tata wapsi wasipi: tunpa yana qara niraq;sauna|tata wapsi wasipi|tata wapsi wasipi: tunpa yana qara niraq|tunpa yana qara niraq|wapsi wasi
	🧖🏿‍♂️;tata wapsi wasipi: yana qara niraq;sauna|tata wapsi wasipi|tata wapsi wasipi: yana qara niraq|wapsi wasi|yana qara niraq
🧖‍♀️;warmi wapsi wasipi;sauna|wapsi wasi|warmi wapsi wasipi
	🧖🏻‍♀️;warmi wapsi wasipi: chuya qara niraq;chuya qara niraq|sauna|wapsi wasi|warmi wapsi wasipi|warmi wapsi wasipi: chuya qara niraq
	🧖🏼‍♀️;warmi wapsi wasipi: tunpa chuya qara niraq;sauna|tunpa chuya qara niraq|wapsi wasi|warmi wapsi wasipi|warmi wapsi wasipi: tunpa chuya qara niraq
	🧖🏽‍♀️;warmi wapsi wasipi: tunpa qara niraq;sauna|tunpa qara niraq|wapsi wasi|warmi wapsi wasipi|warmi wapsi wasipi: tunpa qara niraq
	🧖🏾‍♀️;warmi wapsi wasipi: tunpa yana qara niraq;sauna|tunpa yana qara niraq|wapsi wasi|warmi wapsi wasipi|warmi wapsi wasipi: tunpa yana qara niraq
	🧖🏿‍♀️;warmi wapsi wasipi: yana qara niraq;sauna|wapsi wasi|warmi wapsi wasipi|warmi wapsi wasipi: yana qara niraq|yana qara niraq
🧗;wichaq runa;wichaq runa|wichay
	🧗🏻;wichaq runa: chuya qara niraq;chuya qara niraq|wichaq runa|wichaq runa: chuya qara niraq|wichay
	🧗🏼;wichaq runa: tunpa chuya qara niraq;tunpa chuya qara niraq|wichaq runa|wichaq runa: tunpa chuya qara niraq|wichay
	🧗🏽;wichaq runa: tunpa qara niraq;tunpa qara niraq|wichaq runa|wichaq runa: tunpa qara niraq|wichay
	🧗🏾;wichaq runa: tunpa yana qara niraq;tunpa yana qara niraq|wichaq runa|wichaq runa: tunpa yana qara niraq|wichay
	🧗🏿;wichaq runa: yana qara niraq;wichaq runa|wichaq runa: yana qara niraq|wichay|yana qara niraq
🧗‍♂️;wichaq tata;wichaq tata|wichay
	🧗🏻‍♂️;wichaq tata: chuya qara niraq;chuya qara niraq|wichaq tata|wichaq tata: chuya qara niraq|wichay
	🧗🏼‍♂️;wichaq tata: tunpa chuya qara niraq;tunpa chuya qara niraq|wichaq tata|wichaq tata: tunpa chuya qara niraq|wichay
	🧗🏽‍♂️;wichaq tata: tunpa qara niraq;tunpa qara niraq|wichaq tata|wichaq tata: tunpa qara niraq|wichay
	🧗🏾‍♂️;wichaq tata: tunpa yana qara niraq;tunpa yana qara niraq|wichaq tata|wichaq tata: tunpa yana qara niraq|wichay
	🧗🏿‍♂️;wichaq tata: yana qara niraq;wichaq tata|wichaq tata: yana qara niraq|wichay|yana qara niraq
🧗‍♀️;wichaq warmi;wichaq warmi|wichay
	🧗🏻‍♀️;wichaq warmi: chuya qara niraq;chuya qara niraq|wichaq warmi|wichaq warmi: chuya qara niraq|wichay
	🧗🏼‍♀️;wichaq warmi: tunpa chuya qara niraq;tunpa chuya qara niraq|wichaq warmi|wichaq warmi: tunpa chuya qara niraq|wichay
	🧗🏽‍♀️;wichaq warmi: tunpa qara niraq;tunpa qara niraq|wichaq warmi|wichaq warmi: tunpa qara niraq|wichay
	🧗🏾‍♀️;wichaq warmi: tunpa yana qara niraq;tunpa yana qara niraq|wichaq warmi|wichaq warmi: tunpa yana qara niraq|wichay
	🧗🏿‍♀️;wichaq warmi: yana qara niraq;wichaq warmi|wichaq warmi: yana qara niraq|wichay|yana qara niraq
🤺;runa esgrimapi;esgrima|esgrimista|espada|runa esgrimapi
🏇;atipanaku kawallukuna;atipanaku|atipanaku kawallukuna|jockey|kawallu
	🏇🏻;atipanaku kawallukuna: chuya qara niraq;atipanaku|atipanaku kawallukuna|atipanaku kawallukuna: chuya qara niraq|chuya qara niraq|jockey|kawallu
	🏇🏼;atipanaku kawallukuna: tunpa chuya qara niraq;atipanaku|atipanaku kawallukuna|atipanaku kawallukuna: tunpa chuya qara niraq|jockey|kawallu|tunpa chuya qara niraq
	🏇🏽;atipanaku kawallukuna: tunpa qara niraq;atipanaku|atipanaku kawallukuna|atipanaku kawallukuna: tunpa qara niraq|jockey|kawallu|tunpa qara niraq
	🏇🏾;atipanaku kawallukuna: tunpa yana qara niraq;atipanaku|atipanaku kawallukuna|atipanaku kawallukuna: tunpa yana qara niraq|jockey|kawallu|tunpa yana qara niraq
	🏇🏿;atipanaku kawallukuna: yana qara niraq;atipanaku|atipanaku kawallukuna|atipanaku kawallukuna: yana qara niraq|jockey|kawallu|yana qara niraq
⛷️;esquiador;esqui|esquiador|rit’i
🏂;snowboarder;esqui|rit’i|snowboarder
	🏂🏻;snowboarder: chuya qara niraq;chuya qara niraq|esqui|rit’i|snowboarder|snowboarder: chuya qara niraq
	🏂🏼;snowboarder: tunpa chuya qara niraq;esqui|rit’i|snowboarder|snowboarder: tunpa chuya qara niraq|tunpa chuya qara niraq
	🏂🏽;snowboarder: tunpa qara niraq;esqui|rit’i|snowboarder|snowboarder: tunpa qara niraq|tunpa qara niraq
	🏂🏾;snowboarder: tunpa yana qara niraq;esqui|rit’i|snowboarder|snowboarder: tunpa yana qara niraq|tunpa yana qara niraq
	🏂🏿;snowboarder: yana qara niraq;esqui|rit’i|snowboarder|snowboarder: yana qara niraq|yana qara niraq
🏌️;golfista;golf|golfista|p’ulu
	🏌🏻;golfista: chuya qara niraq;chuya qara niraq|golf|golfista|golfista: chuya qara niraq|p’ulu
	🏌🏼;golfista: tunpa chuya qara niraq;golf|golfista|golfista: tunpa chuya qara niraq|p’ulu|tunpa chuya qara niraq
	🏌🏽;golfista: tunpa qara niraq;golf|golfista|golfista: tunpa qara niraq|p’ulu|tunpa qara niraq
	🏌🏾;golfista: tunpa yana qara niraq;golf|golfista|golfista: tunpa yana qara niraq|p’ulu|tunpa yana qara niraq
	🏌🏿;golfista: yana qara niraq;golf|golfista|golfista: yana qara niraq|p’ulu|yana qara niraq
🏌️‍♂️;tata golfista;golf|tata|tata golfista
	🏌🏻‍♂️;tata golfista: chuya qara niraq;chuya qara niraq|golf|tata|tata golfista|tata golfista: chuya qara niraq
	🏌🏼‍♂️;tata golfista: tunpa chuya qara niraq;golf|tata|tata golfista|tata golfista: tunpa chuya qara niraq|tunpa chuya qara niraq
	🏌🏽‍♂️;tata golfista: tunpa qara niraq;golf|tata|tata golfista|tata golfista: tunpa qara niraq|tunpa qara niraq
	🏌🏾‍♂️;tata golfista: tunpa yana qara niraq;golf|tata|tata golfista|tata golfista: tunpa yana qara niraq|tunpa yana qara niraq
	🏌🏿‍♂️;tata golfista: yana qara niraq;golf|tata|tata golfista|tata golfista: yana qara niraq|yana qara niraq
🏌️‍♀️;warmi golfista;golf|warmi|warmi golfista
	🏌🏻‍♀️;warmi golfista: chuya qara niraq;chuya qara niraq|golf|warmi|warmi golfista|warmi golfista: chuya qara niraq
	🏌🏼‍♀️;warmi golfista: tunpa chuya qara niraq;golf|tunpa chuya qara niraq|warmi|warmi golfista|warmi golfista: tunpa chuya qara niraq
	🏌🏽‍♀️;warmi golfista: tunpa qara niraq;golf|tunpa qara niraq|warmi|warmi golfista|warmi golfista: tunpa qara niraq
	🏌🏾‍♀️;warmi golfista: tunpa yana qara niraq;golf|tunpa yana qara niraq|warmi|warmi golfista|warmi golfista: tunpa yana qara niraq
	🏌🏿‍♀️;warmi golfista: yana qara niraq;golf|warmi|warmi golfista|warmi golfista: yana qara niraq|yana qara niraq
🏄;runa surfeando;runa surfeando|surfear
	🏄🏻;runa surfeando: chuya qara niraq;chuya qara niraq|runa surfeando|runa surfeando: chuya qara niraq|surfear
	🏄🏼;runa surfeando: tunpa chuya qara niraq;runa surfeando|runa surfeando: tunpa chuya qara niraq|surfear|tunpa chuya qara niraq
	🏄🏽;runa surfeando: tunpa qara niraq;runa surfeando|runa surfeando: tunpa qara niraq|surfear|tunpa qara niraq
	🏄🏾;runa surfeando: tunpa yana qara niraq;runa surfeando|runa surfeando: tunpa yana qara niraq|surfear|tunpa yana qara niraq
	🏄🏿;runa surfeando: yana qara niraq;runa surfeando|runa surfeando: yana qara niraq|surfear|yana qara niraq
🏄‍♂️;tata surfeando;surfear|tata|tata surfeando
	🏄🏻‍♂️;tata surfeando: chuya qara niraq;chuya qara niraq|surfear|tata|tata surfeando|tata surfeando: chuya qara niraq
	🏄🏼‍♂️;tata surfeando: tunpa chuya qara niraq;surfear|tata|tata surfeando|tata surfeando: tunpa chuya qara niraq|tunpa chuya qara niraq
	🏄🏽‍♂️;tata surfeando: tunpa qara niraq;surfear|tata|tata surfeando|tata surfeando: tunpa qara niraq|tunpa qara niraq
	🏄🏾‍♂️;tata surfeando: tunpa yana qara niraq;surfear|tata|tata surfeando|tata surfeando: tunpa yana qara niraq|tunpa yana qara niraq
	🏄🏿‍♂️;tata surfeando: yana qara niraq;surfear|tata|tata surfeando|tata surfeando: yana qara niraq|yana qara niraq
🏄‍♀️;warmi surfeando;surfear|warmi|warmi surfeando
	🏄🏻‍♀️;warmi surfeando: chuya qara niraq;chuya qara niraq|surfear|warmi|warmi surfeando|warmi surfeando: chuya qara niraq
	🏄🏼‍♀️;warmi surfeando: tunpa chuya qara niraq;surfear|tunpa chuya qara niraq|warmi|warmi surfeando|warmi surfeando: tunpa chuya qara niraq
	🏄🏽‍♀️;warmi surfeando: tunpa qara niraq;surfear|tunpa qara niraq|warmi|warmi surfeando|warmi surfeando: tunpa qara niraq
	🏄🏾‍♀️;warmi surfeando: tunpa yana qara niraq;surfear|tunpa yana qara niraq|warmi|warmi surfeando|warmi surfeando: tunpa yana qara niraq
	🏄🏿‍♀️;warmi surfeando: yana qara niraq;surfear|warmi|warmi surfeando|warmi surfeando: yana qara niraq|yana qara niraq
🚣;runa wampʼu rmoswan;runa wampʼu rmoswan|wamp’u|wamp’u remoswan
	🚣🏻;runa wampʼu rmoswan: chuya qara niraq;chuya qara niraq|runa wampʼu rmoswan|runa wampʼu rmoswan: chuya qara niraq|wamp’u|wamp’u remoswan
	🚣🏼;runa wampʼu rmoswan: tunpa chuya qara niraq;runa wampʼu rmoswan|runa wampʼu rmoswan: tunpa chuya qara niraq|tunpa chuya qara niraq|wamp’u|wamp’u remoswan
	🚣🏽;runa wampʼu rmoswan: tunpa qara niraq;runa wampʼu rmoswan|runa wampʼu rmoswan: tunpa qara niraq|tunpa qara niraq|wamp’u|wamp’u remoswan
	🚣🏾;runa wampʼu rmoswan: tunpa yana qara niraq;runa wampʼu rmoswan|runa wampʼu rmoswan: tunpa yana qara niraq|tunpa yana qara niraq|wamp’u|wamp’u remoswan
	🚣🏿;runa wampʼu rmoswan: yana qara niraq;runa wampʼu rmoswan|runa wampʼu rmoswan: yana qara niraq|wamp’u|wamp’u remoswan|yana qara niraq
🚣‍♂️;runa wampʼu remoswan;runa wampʼu remoswan|tata|wamp’u|wamp’u remoswan
	🚣🏻‍♂️;runa wampʼu remoswan: chuya qara niraq;chuya qara niraq|runa wampʼu remoswan|runa wampʼu remoswan: chuya qara niraq|tata|wamp’u|wamp’u remoswan
	🚣🏼‍♂️;runa wampʼu remoswan: tunpa chuya qara niraq;runa wampʼu remoswan|runa wampʼu remoswan: tunpa chuya qara niraq|tata|tunpa chuya qara niraq|wamp’u|wamp’u remoswan
	🚣🏽‍♂️;runa wampʼu remoswan: tunpa qara niraq;runa wampʼu remoswan|runa wampʼu remoswan: tunpa qara niraq|tata|tunpa qara niraq|wamp’u|wamp’u remoswan
	🚣🏾‍♂️;runa wampʼu remoswan: tunpa yana qara niraq;runa wampʼu remoswan|runa wampʼu remoswan: tunpa yana qara niraq|tata|tunpa yana qara niraq|wamp’u|wamp’u remoswan
	🚣🏿‍♂️;runa wampʼu remoswan: yana qara niraq;runa wampʼu remoswan|runa wampʼu remoswan: yana qara niraq|tata|wamp’u|wamp’u remoswan|yana qara niraq
🚣‍♀️;warmi wampʼu remoswan;wamp’u|wamp’u remoswan|warmi|warmi wampʼu remoswan
	🚣🏻‍♀️;warmi wampʼu remoswan: chuya qara niraq;chuya qara niraq|wamp’u|wamp’u remoswan|warmi|warmi wampʼu remoswan|warmi wampʼu remoswan: chuya qara niraq
	🚣🏼‍♀️;warmi wampʼu remoswan: tunpa chuya qara niraq;tunpa chuya qara niraq|wamp’u|wamp’u remoswan|warmi|warmi wampʼu remoswan|warmi wampʼu remoswan: tunpa chuya qara niraq
	🚣🏽‍♀️;warmi wampʼu remoswan: tunpa qara niraq;tunpa qara niraq|wamp’u|wamp’u remoswan|warmi|warmi wampʼu remoswan|warmi wampʼu remoswan: tunpa qara niraq
	🚣🏾‍♀️;warmi wampʼu remoswan: tunpa yana qara niraq;tunpa yana qara niraq|wamp’u|wamp’u remoswan|warmi|warmi wampʼu remoswan|warmi wampʼu remoswan: tunpa yana qara niraq
	🚣🏿‍♀️;warmi wampʼu remoswan: yana qara niraq;wamp’u|wamp’u remoswan|warmi|warmi wampʼu remoswan|warmi wampʼu remoswan: yana qara niraq|yana qara niraq
🏊;runa waytʼachkan;runa waytʼachkan|wayt’ay
	🏊🏻;runa waytʼachkan: chuya qara niraq;chuya qara niraq|runa waytʼachkan|runa waytʼachkan: chuya qara niraq|wayt’ay
	🏊🏼;runa waytʼachkan: tunpa chuya qara niraq;runa waytʼachkan|runa waytʼachkan: tunpa chuya qara niraq|tunpa chuya qara niraq|wayt’ay
	🏊🏽;runa waytʼachkan: tunpa qara niraq;runa waytʼachkan|runa waytʼachkan: tunpa qara niraq|tunpa qara niraq|wayt’ay
	🏊🏾;runa waytʼachkan: tunpa yana qara niraq;runa waytʼachkan|runa waytʼachkan: tunpa yana qara niraq|tunpa yana qara niraq|wayt’ay
	🏊🏿;runa waytʼachkan: yana qara niraq;runa waytʼachkan|runa waytʼachkan: yana qara niraq|wayt’ay|yana qara niraq
🏊‍♂️;tata waytachkan;tata|tata waytachkan|wayt’ay
	🏊🏻‍♂️;tata waytachkan: chuya qara niraq;chuya qara niraq|tata|tata waytachkan|tata waytachkan: chuya qara niraq|wayt’ay
	🏊🏼‍♂️;tata waytachkan: tunpa chuya qara niraq;tata|tata waytachkan|tata waytachkan: tunpa chuya qara niraq|tunpa chuya qara niraq|wayt’ay
