# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;kusisqa uya;kusi|kusisqa uya|uya
	👩🏻‍❤️‍👩🏾;pitu runakuna sunquwan: warmi, warmi, chuya qara niraq, tunpa yana qara niraq;chuya qara niraq|munay|pitu runakuna|pitu runakuna sunquwan|tunpa yana qara niraq|warmi
	👩🏻‍❤️‍👩🏿;pitu runakuna sunquwan: warmi, warmi, chuya qara niraq, yana qara niraq;chuya qara niraq|munay|pitu runakuna|pitu runakuna sunquwan|warmi|yana qara niraq
	👩🏼‍❤️‍👩🏻;pitu runakuna sunquwan: warmi, warmi, tunpa chuya qara niraq, chuya qara niraq;chuya qara niraq|munay|pitu runakuna|pitu runakuna sunquwan|tunpa chuya qara niraq|warmi
	👩🏼‍❤️‍👩🏼;pitu runakuna sunquwan: warmi, warmi, tunpa chuya qara niraq;munay|pitu runakuna|pitu runakuna sunquwan|tunpa chuya qara niraq|warmi
	👩🏼‍❤️‍👩🏽;pitu runakuna sunquwan: warmi, warmi, tunpa chuya qara niraq, tunpa qara niraq;munay|pitu runakuna|pitu runakuna sunquwan|tunpa chuya qara niraq|tunpa qara niraq|warmi
	👩🏼‍❤️‍👩🏾;pitu runakuna sunquwan: warmi, warmi, tunpa chuya qara niraq, tunpa yana qara niraq;munay|pitu runakuna|pitu runakuna sunquwan|tunpa chuya qara niraq|tunpa yana qara niraq|warmi
	👩🏼‍❤️‍👩🏿;pitu runakuna sunquwan: warmi, warmi, tunpa chuya qara niraq, yana qara niraq;munay|pitu runakuna|pitu runakuna sunquwan|tunpa chuya qara niraq|warmi|yana qara niraq
	👩🏽‍❤️‍👩🏻;pitu runakuna sunquwan: warmi, warmi, tunpa qara niraq, chuya qara niraq;chuya qara niraq|munay|pitu runakuna|pitu runakuna sunquwan|tunpa qara niraq|warmi
	👩🏽‍❤️‍👩🏼;pitu runakuna sunquwan: warmi, warmi, tunpa qara niraq, tunpa chuya qara niraq;munay|pitu runakuna|pitu runakuna sunquwan|tunpa chuya qara niraq|tunpa qara niraq|warmi
	👩🏽‍❤️‍👩🏽;pitu runakuna sunquwan: warmi, warmi, tunpa qara niraq;munay|pitu runakuna|pitu runakuna sunquwan|tunpa qara niraq|warmi
	👩🏽‍❤️‍👩🏾;pitu runakuna sunquwan: warmi, warmi, tunpa qara niraq, tunpa yana qara niraq;munay|pitu runakuna|pitu runakuna sunquwan|tunpa qara niraq|tunpa yana qara niraq|warmi
	👩🏽‍❤️‍👩🏿;pitu runakuna sunquwan: warmi, warmi, tunpa qara niraq, yana qara niraq;munay|pitu runakuna|pitu runakuna sunquwan|tunpa qara niraq|warmi|yana qara niraq
	👩🏾‍❤️‍👩🏻;pitu runakuna sunquwan: warmi, warmi, tunpa yana qara niraq, chuya qara niraq;chuya qara niraq|munay|pitu runakuna|pitu runakuna sunquwan|tunpa yana qara niraq|warmi
	👩🏾‍❤️‍👩🏼;pitu runakuna sunquwan: warmi, warmi, tunpa yana qara niraq, tunpa chuya qara niraq;munay|pitu runakuna|pitu runakuna sunquwan|tunpa chuya qara niraq|tunpa yana qara niraq|warmi
	👩🏾‍❤️‍👩🏽;pitu runakuna sunquwan: warmi, warmi, tunpa yana qara niraq, tunpa qara niraq;munay|pitu runakuna|pitu runakuna sunquwan|tunpa qara niraq|tunpa yana qara niraq|warmi
	👩🏾‍❤️‍👩🏾;pitu runakuna sunquwan: warmi, warmi, tunpa yana qara niraq;munay|pitu runakuna|pitu runakuna sunquwan|tunpa yana qara niraq|warmi
	👩🏾‍❤️‍👩🏿;pitu runakuna sunquwan: warmi, warmi, tunpa yana qara niraq, yana qara niraq;munay|pitu runakuna|pitu runakuna sunquwan|tunpa yana qara niraq|warmi|yana qara niraq
	👩🏿‍❤️‍👩🏻;pitu runakuna sunquwan: warmi, warmi, yana qara niraq, chuya qara niraq;chuya qara niraq|munay|pitu runakuna|pitu runakuna sunquwan|warmi|yana qara niraq
	👩🏿‍❤️‍👩🏼;pitu runakuna sunquwan: warmi, warmi, yana qara niraq, tunpa chuya qara niraq;munay|pitu runakuna|pitu runakuna sunquwan|tunpa chuya qara niraq|warmi|yana qara niraq
	👩🏿‍❤️‍👩🏽;pitu runakuna sunquwan: warmi, warmi, yana qara niraq, tunpa qara niraq;munay|pitu runakuna|pitu runakuna sunquwan|tunpa qara niraq|warmi|yana qara niraq
	👩🏿‍❤️‍👩🏾;pitu runakuna sunquwan: warmi, warmi, yana qara niraq, tunpa yana qara niraq;munay|pitu runakuna|pitu runakuna sunquwan|tunpa yana qara niraq|warmi|yana qara niraq
	👩🏿‍❤️‍👩🏿;pitu runakuna sunquwan: warmi, warmi, yana qara niraq;munay|pitu runakuna|pitu runakuna sunquwan|warmi|yana qara niraq
👨‍👩‍👦;kuraq ayllu: qari, warmi, yuqalla;kuraq ayllu|qari|warmi|yuqalla
👨‍👩‍👧;kuraq ayllu: qari, warmi, warmi warma;kuraq ayllu|qari|warmi|warmi warma
👨‍👩‍👧‍👦;kuraq ayllu: qari, warmi, warmi warma, yuqalla;kuraq ayllu|qari|warmi|warmi warma|yuqalla
👨‍👩‍👦‍👦;kuraq ayllu: qari, warmi, yuqalla, yuqalla;kuraq ayllu|qari|warmi|yuqalla
👨‍👩‍👧‍👧;kuraq ayllu: qari, warmi, warmi warma, warmi warma;kuraq ayllu|qari|warmi|warmi warma
👨‍👨‍👦;kuraq ayllu: qari, qari, yuqalla;kuraq ayllu|qari|yuqalla
👨‍👨‍👧;kuraq ayllu: qari, qari, warmi warma;kuraq ayllu|qari|warmi warma
👨‍👨‍👧‍👦;kuraq ayllu: qari, qari, warmi warma, yuqalla;kuraq ayllu|qari|warmi warma|yuqalla
👨‍👨‍👦‍👦;kuraq ayllu: qari, qari, yuqalla, yuqalla;kuraq ayllu|qari|yuqalla
👨‍👨‍👧‍👧;kuraq ayllu: qari, qari, warmi warma, warmi warma;kuraq ayllu|qari|warmi warma
👩‍👩‍👦;kuraq ayllu: warmi, warmi, yuqalla;kuraq ayllu|warmi|yuqalla
👩‍👩‍👧;kuraq ayllu: warmi, warmi, warmi warma;kuraq ayllu|warmi|warmi warma
👩‍👩‍👧‍👦;kuraq ayllu: warmi, warmi, warmi warma, yuqalla;kuraq ayllu|warmi|warmi warma|yuqalla
👩‍👩‍👦‍👦;kuraq ayllu: warmi, warmi, yuqalla, yuqalla;kuraq ayllu|warmi|yuqalla
👩‍👩‍👧‍👧;kuraq ayllu: warmi, warmi, warmi warma, warmi warma;kuraq ayllu|warmi|warmi warma
👨‍👦;kuraq ayllu: qari, yuqalla;kuraq ayllu|qari|yuqalla
👨‍👦‍👦;kuraq ayllu: qari, yuqalla, yuqalla;kuraq ayllu|qari|yuqalla
👨‍👧;kuraq ayllu: qari, warmi warma;kuraq ayllu|qari|warmi warma
👨‍👧‍👦;kuraq ayllu: qari, warmi warma, yuqalla;kuraq ayllu|qari|warmi warma|yuqalla
👨‍👧‍👧;kuraq ayllu: qari, warmi warma, warmi warma;kuraq ayllu|qari|warmi warma
👩‍👦;kuraq ayllu: warmi, yuqalla;kuraq ayllu|warmi|yuqalla
👩‍👦‍👦;kuraq ayllu: warmi, yuqalla, yuqalla;kuraq ayllu|warmi|yuqalla
👩‍👧;kuraq ayllu: warmi, warmi warma;kuraq ayllu|warmi|warmi warma
👩‍👧‍👦;kuraq ayllu: warmi, warmi warma, yuqalla;kuraq ayllu|warmi|warmi warma|yuqalla
👩‍👧‍👧;kuraq ayllu: warmi, warmi warma, warmi warma;kuraq ayllu|warmi|warmi warma
🗣️;uma parlachkan;parlachkan|parlay|rikchay|uma|uya
👤;ukhu rikchay;rikchay|ukhu
👥;ukhu rikchaykuna;rikchay|ukhu|ukhu rikchaykuna
🫂;runakuna makʼalliwan;aywa|imaynalla|makʼalli|pachi|runakuna makʼalliwan
👪;kuraq ayllu;kuraq ayllu
🧑‍🧑‍🧒;ayllu: runa, runa, warma;ayllu: runa|ayllu: runa, runa, warma|runa|warma
🧑‍🧑‍🧒‍🧒;ayllu: runa, runa, warma, warma;ayllu: runa|ayllu: runa, runa, warma, warma|runa|warma
🧑‍🧒;ayllu: runa, warma;ayllu: runa|ayllu: runa, warma|warma
🧑‍🧒‍🧒;ayllu: runa, warma, warma;ayllu: runa|ayllu: runa, warma, warma|warma
👣;yupinay;p’acha|yupi|yupinay
🫆;dedopa marcan;dedo huella|detective|forenses nisqamanta|hucha ruway|identidad|imprimir|misterio|pista|seguridad|yupi

[animals_nature]
🐵;kusillu uya;kusillu|uya
🐒;kusillu;kusillu
🦍;gorila;gorila
🦧;orangutan;kusillo|orangutan
🐶;allqu uya;allqu|uya|uywa
🐕;allqu;allqu|uywa
🦮;yanapakuq allqu;haykurinalla|ñawsa|yanapaku|yanapakuq allqu
🐕‍🦺;llamkaq allqu;allqu|haykurinalla|llamkaq allqu|llamkay|yanapakuy
🐩;poodle;allqu|poodle
🐺;k’ita allqu;k’ita allqu|uya
🦊;atuq;atuq|uya
🦝;mapache;challi|curioso|mapache
🐱;misi uya;misi|uya|uywa
🐈;misi;misi|uywa
🐈‍⬛;yana misi;mana suertuwan|misi|yana
🦁;leon;Leo|leon|uya|zodiaco
🐯;tigre uya;tigre|uya
🐅;tigre;tigre
🐆;leopardo;leopardo
🐴;kawallu uya;kawallu|uya
🫎;alce;alce|mamifero|uywa|waqrakuna
🫏;asnu;asnu|mamifero|mula|terco nisqa|uywa
🐎;kawallu;carrera|ecuestre|kawallu|kawallu purichiypaq
🦄;unicornio;unicornio|uya
🦓;zebra;siqi|zebra
🦌;taruka;taruka
🦬;bison;amawta|bison|bufalo|manada
🐮;waka uya;uya|waka
🐂;buey;buey|Tauro|toro|zodiaco
🐃;bufalo yakumanta;bufalo|bufalo yakumanta|yaku
🐄;waka;waka
🐷;khuchi uya;khuchi|uya
🐖;kuchi;kuchi|tarpuy
🐗;lumi kuchi;kuchi|lumi kuchi
🐽;kuchi sinqa;kuchi|kuchi sinqa|ninri|uya
🐏;carnero;Aries|carnero|oveja|urqu|zodiaco
🐑;uwija;china|oveja|uwija
🐐;chiwu;Capricornio|chiwu|zodiaco
🐪;camello;camello|dromedario|qhupu
🐫;camello iskay qhupukunawan;bactriano|camello|camello iskay qhupukunawan|qhupu
🦙;llama;alpaca|guanacu|llama|millma|vicuña
🦒;jirafa;jirafa|mapʼakuna
🐘;elefante;elefante
🦣;mamut;extinsion|hatun|mamut|millma|mumut|waqsa
🦏;rinoceronte;rinoceronte
🦛;hipopotamo;hipo|hipopotamo
🐭;ukucha uya;ukucha|uya
🐁;ukucha;ukucha
🐀;rata;rata
🐹;hamster;hamster|uya|uywa
🐰;quwi uya;conejo|quwi|uya|uywa
🐇;quwi;conejo|quwi|uywa
🐿️;ardilla;ardilla|huchuy ardilla
🦫;castor;castor|pʼunqu
🦔;erizo;erizo|khiskay
🦇;masu;masu|vampiro
🐻;ukumari;ukumari|uya
🐻‍❄️;polar jukumari;artico|jukumari|polar jukumari|yuraq
🐨;koala;hukumari|koala
🐼;panda;panda|uya
🦥;perezoso;jayra|perezoso|qhilla
🦦;nutria;challwa japʼina|nutria|pukllasqa
🦨;añas;añas|asnaq
🦘;kanguro;Australia|hey|kanguro|marsupial|phinkiy
🦡;tejon;miskʼi tejon|phiñakuy|tejon
🐾;sillu yupinay;chakikuna|sillu|sillu yupinay|yupi
🦃;pavo;p’isqu|pavo
🐔;pollo;pisqu|pollo
🐓;kanka;kanka|pisqu
🐣;chiwchi pakisqa runtuwan;chiwchi|chiwchi pakisqa runtuwan|huchuy|pisqu
🐤;chiwchi;chiwchi|huchuy|pisqu
🐥;huchuy pollo chimpa rikuchkan;huchuy|huchuy pollo chimpa rikuchkan|p’isqu|pollo
🐦;p’isqu;p’isqu
🐧;pinguino;p’isqu|pinguino
🕊️;urpi;p’isqu|phaway|qhasi kay|urpi
🦅;anka;anka|p’isqu
🦆;pili;p’isqu|pili
🦢;cisne;cisne|huchuy pili|millana|pisqʼu|pollo cisnemanta
🦉;búho;amawta|búho|p’isqu
🦤;dodo;dodo|extinsion|hatun|Mauricio
🪶;phuru;chhalla|phaway|phuru|phurukuna|pʼisqu
🦩;flamenco;flamenco|rikurichisqa|tropical
🦚;pavo real;apuskachay|pava real|pavo real|pisqu|rikurichisqa
🦜;uritu;parlay|pirata|pʼisqu|uritu
🪽;rapra;angelical|aviacion nisqa|mitologia|pawasqa|pisqu|rapra
🐦‍⬛;yana pisqu;cuervo|granja|pisqu|yana
🪿;ganso;asnu|ganso|kurral pisqukuna|pisqu|waqrapuku
🐦‍🔥;fenix;fantasia|fenix|gloria|inmortal|kawsay|musuqchay|nina pisqu|paqaripay|paqariy|reencarnacion|tikray
🐸;jamp’atu;jamp’atu|uya
🐊;kayman;kayman
🐢;tortuga;miskʼi yakumanta tortuga|tortuga
🦎;qaraywa;ararankha|qaraywa
🐍;amaru;amaru|hapiq|Ophiuchus|zodiaco
🐲;dragon uya;dragon|hadas willana|uya
🐉;dragon;dragon|hadas willana
🦕;sauropodo;braquiosauro|brontosauro|diplodocus|sauropodo
🦖;T-Rex;T-Rex|Tiranosaurio Rex
🐳;ballena yakuta chamqachkan;ballena|ballena yakuta chamqachkan|chamqachkan|uya
🐋;ballena;ballena
🐬;delfin;delfin|rikracha
🫍;orca;ballena|mama qucha|marina
🦭;foca;foca|mamaquchamanta Leon
🐟;challwa;challwa|Piscis|zodiaco
🐠;tropical challwa;challwa|tropical
🐡;globo challwa;challwa|challwa globo|globo challwa
🦈;tiburon;challwa|tiburon
🐙;pulpo;pulpo
🐚;muyusqa churu;churu|muyuq|muyusqa churu
🪸;coral nisqa;arrecife|coral nisqa|mamaqucha
🪼;medusa;aguijón|invertebrado|mamaqucha|medusa|rupay
🦀;cangrejo;Cancer|cangrejo|zodiaco
🦞;langosta;langosta|mamaquchamanta mikhuna|sillukuna|sopa de mariscos nisqa
🦐;camaron;camaron|huchuy|mariscos|mikhuna
🦑;calamar;calamar|mikhuna|molusco
🦪;ostra;buceo|ostra|perla
🐌;churu;churu
🦋;pillpintu;ch’uspi|k’acha|pillpintu
🐛;khuru;ch’uspi|khuru
🐜;sikʼimira;khuru|sikʼimira
🐝;wara;ch’uspi|t’uktu|wara
🪲;aka tanqa;aka tanqa|chʼuspi|khuru
🐞;mariquita;aka tanqa|ch’uspi|mariquita
🦗;cricket;cricket|tʼintikuna
🪳;cucaracha;chʼuspi|cucaracha|parasito
🕷️;kusi kusi;ch’uspi|kusi kusi
🕸️;llika;kusi kusi|llika
🦂;escorpión;Escorpio|escorpión|zodiaco
🦟;mosquito;malaria|mosquito|parasito|rupha|unqusqa|virus
🪰;paway;ismusqa|parasito|paway|unqusqa|uru
🪱;sillwi uru;anelida|hallpa pachapi uru|parasito|sillwi uru|uru
🦠;microbio;ameba|bacteria|microbio|virus
💐;tikakunamanta;tika|tikakunamanta
🌸;cerezo tika;cerezo tika|cherry|tika
💮;yuraq tika;tika|yuraq tika
🪷;loto;Budismo|chuya|Hinduismo|India|loto|tika|Vietnam
🏵️;muyu whipala;mallki|muyu whipala
🌹;rosa;rosa|tika
🥀;qawisqa tika;qawisqa|tika
🌺;hibisco;hibisco|t’ika
🌻;girasol;girasol|inti|t’ika
🌼;cerezo;cerezo|tʼika
🌷;tulipán;tika|tulipan|tulipán
🪻;jacinto;boca de dragón|jacinto|lavanda|wayta
🌱;wayna mallki;wayna|wayna mallki
🪴;macetapi sachʼa;macetapi sachʼa|majiy|mana ruwanapaq|nutrir|paqariy|sachʼa|wasi
🌲;sacha perene rapiwan;sacha|sacha perene rapiwan
🌳;sacha caduca rapiwan;caduco|sacha|sacha caduca rapiwan
🌴;chunta;chunta|sach’a
🌵;kisqa;kisqa|mallki
🌾;pʼanqa arrozmanta;arroz|muru|ninri|pʼanqa arrozmanta
🌿;qhura;laqhi|qhura
☘️;ispinku;ispinku|mallki
🍀;ispinku tawa laqhiwan;4|ispinku tawa laqhiwan|laqhi|tawa|trevol
🍁;arce laqhi;arce|laqhi|urmasqa
🍂;urmasqa laqhi;laqhi|urmasqa
🍃;wayrapi laqhikuna;laqhi|pharaqiy|phukuy|wayra|wayrapi laqhikuna
🪹;chusaq qisa;chusaq qisa|qisa
🪺;qisa runtukunawan;qisa|qisa runtukunawan
🍄;kʼallnpa;kʼallnpa|miyu k’allampa
🪾;sacha manam rapiwan;chaki|inti raymi|kala|kurku|manam rapiwan|qisa|wañuy

[food_drink]
🍇;uwas;ruru|uwa|uwas
🍈;melón;melón|ruru
🍉;sandía;ruru|sandía|watermelon
🍊;mandarina;mandarina|ruru|willapi
🍋;limun;citrico|limun|ruru
🍋‍🟩;lima;ácido|citrico|kichana|kuktil|lima|margarita|mojito|picante|ralladura|ruru|salsa|sour|tequila|tropical|upyana
🍌;platanu;platanu|ruru
🍍;piña;piña|ruru
🥭;mango;mango|ruru|tropical
🍎;puka manzana;manzana|puka|ruru
🍏;qumir manzana;manzana|qumir|ruru
🍐;pera;pera|ruru
🍑;rurasnu;rurasnu|ruru
🍒;cherris;bayas|cherri|cherris|puka|ruru
🍓;fresa;fresa|ruru
🫐;arandanos;anqas|arandano|arandanos|fresa
🥝;kiwi ruru;food|kiwi|ruru
🍅;tomate;ruru|tomate|vegetal
🫒;oliva;mikuna|oliva
🥥;coco;coco|maki|piña colada
🥑;palta;mikhuna|palta|ruru
🍆;berenjena;berenjena|vegetal
🥔;patata;mikhuna|patata|vegetal
🥕;zanahoria;mikhuna|vegetal|zanahoria
🌽;chuqllu;chinkana|chuqllu|ninri|sara|sarasara
🌶️;jaya pimienta;jaya|pimienta
🫑;pimiento;pimenton|pimiento|vegetal
🥒;pepino;mikhuna|pepinillos|pepino|vegetal
🥬;qʼumir laqhikunawan;bok choy|col rizada|lechuga|qʼumir laqhikunawan|repollo
🥦;brocoli;brocoli|repollo salvaje
🧄;ajo;ajo|mikhusqa
🧅;cebolla;cebolla|mikhusqa
🥜;chuqupi;chuqupi|mikhuna|nuez|vegetal
🫘;porotokuna;legumbre|mikuna|porotokuna|rurun
🌰;chʼumpi;chʼumpi|mallki
🫚;jenjibre sapi;condimento|jenjibre|sapi
🫛;arwijakuna;arwijakuna|legumbre|ruru|vegetal
🍄‍🟫;chumpi hongo;espora|hongo|mikuna|natural|pizza|portobello|shiitake|topping|vegano|vegetal|vegetariano|yura
🫜;rábano nisqa;ensalada|mikuna|rábano|ruru|vegetariano|yura
🍞;tʼanta;pan|tʼanta
🥐;croissant;croissant|frances|mikhuna|paqarin mikhuna|rollo|tʼanta
🥖;baguette tʼanta;baguette|frances|mikhuna|tʼanta
🫓;llaplla t’anta;agave|arepa|lavash|llaplla t’anta|llaplla tʼanta|naa
🥨;pretzel;k’uyusqa|pretzel
🥯;bagel;bagel|panaderia|paqarin mikuna|schmear
🥞;panqueques;breakfast|crepe|mikhuna|panqueque|panqueques|pastel caliente
🧇;waffle;desayuno|plancha|thuki|waffle
🧀;kʼallpi masaramanta;kʼallpi masaramanta|masara
🍖;aycha tullupi;aycha|aycha tullupi|tullu
🍗;chanka pollo;chanka|corral pʼisqu|pata de pollo nisqa|pollo|tullu
🥩;chuleta aychamanta;aycha|chuleta|chuleta aychamanta|chuleta corderomanta|chuleta khuchimanta
🥓;tocino;aycha|mikhuna|paqarin mikhuna|tocino
🍔;hamburgesa;burger|hamburgesa
🍟;papas fritas;fritas|papas
🍕;piza;masara|pedazo|piza
🌭;hot dog;hot dog|hotdog|salchicha
🥪;sandwich;sandwich|tʼanta
🌮;taco;mexicano|taco
🌯;burrito;burrito|mayt’uy|mexicano
🫔;tamal;mexicano|tamal|tapasqa
🥙;juntʼachisqa tʼanta moldepi;fatafel|giro|guiso|juntʼachisqa tʼanta moldepi|kebab|llaplla t’anta|mikhuna
🧆;fatafel;albondiga|fatafel|garganzo
🥚;runtu;mikhuna|paqarin mikhuna|runtu
🍳;waykʼuchkan;paqarin mikhuna|runtu|sarten|thiqtiy|waykʼuchkan
🥘;pisi llata mikunapaq;caserola|llaplla|mikhuna|paella|pisi llata mikunapaq|sarten
🍲;llata mikunapaq;llata|llata mikunapaq|mikhuna
🫕;fondue;chaqrusqa|chocolate|fondue|masara|qiru|Suizo
🥣;cuenco willawan;cereal|congee|cuenco willawan|paqarin mikhuna
🥗;qʼumir ensalada;ensalada|mikhuna|q’umir|qʼumir ensalada
🍿;palomitas de maiz;palomitas de maiz
🧈;mantequilla;lecheria|mantequilla
🧂;kachi;condimento|kachi|shaker
🥫;mikhuna latapi;lata|mikhuna latapi
🍱;bento tawakʼuchu;bento|tawakʼuchu
🍘;galleta arrozmanta;arroz|galleta|mikuna
🍙;muyu arrozwan;arroz|Japones|mikuna|muyu
🍚;waykʼusqa arroz;arroz|waykʼusqa
🍛;arroz currywan;arroz|curry nisqa|mikuna
🍜;mati fideuswan;fideus|mati|mikuna|palillos|ramen
🍝;espagueti;espagueti|pasta
🍠;miski waykʼusqa papa;miski|papa|waykʼusqa
🍢;oden;brocheta|ch’ampa|kebab|mama quchamanta mikhuna|oden
🍣;sushi;sushi
🍤;thiqtisqa yukra;gamba|tempura|thiqtisqa|yukra
🍥;challwa pastel muyuqwan;callwa|challwa pastel muyuqwan|masa|pastel|phuyunku
🥮;killa pastel;killa pastel|otoño|raymi|yuebing]
🍡;dango;brocheta|dango|Japones|k’aspi|miski|postre
🥟;dumpling;dumpling|empanada|gyōza|jiaozi|pierogi|potsticker
🥠;galleta samipaq;galleta samipaq|profecia
🥡;tawak’uchu aparikuypaq;k’uchu ostrawan|tawak’uchu aparikuypaq
🍦;llampʼu helado;chiri|helado|llamp’u|llampʼu helado|miski|postre|tunti q’illu
🍧;raspadillo;chiri|miski|postre|raspadillo
🍨;helado;chiri|helado|miski|postre|tunti q’illu
🍩;dona;dona|miski|paqarin mikhuna|postre
🍪;galleta;galleta|miski|postre
🎂;wata huntaypaq torta;masa|miski|postre|raymi|torta|wata huntaypaq|wata huntaypaq torta
🍰;torta;masa|miski|pedazo|postre|torta
🧁;cupcake;cupcake|miskʼi|panaderia
🥧;tarta;huntʼa|masa|tarta
🍫;chocolate barra;barra|chocolate|miski|postre
🍬;miski;miski|postre
🍭;chupete;chupete|miski|miskʼi|postre
🍮;raqʼa;miski|postre|pudin|raqʼa
🍯;miskʼi manka;barril|manka|misk’i|miski|oso
🍼;biberón;biberon|biberón|botella|paqariy|upyana|warma|wawa|wilali
🥛;wilali qirupi;qiru|upyana|wilali|wilali qirupi
☕;qʼuñi upyana;cafe|chai|q’uñi|qʼuñi upyana|te|té|upyana|wapsi
🫖;te qiru;qiru|te|upyana
🍵;chhapukucha tepaq mana ninriwan;chhapukucha tepaq mana ninriwan|qiru|te|upyana
🍶;sake;bar|botella|copa|qiru|sake|upyana
🍾;descorche jumiwa;bar|botella|corcho|dercorche|descorche jumiwa|upyana
🍷;vino qiru;bar|copa|qiru|upyana|vino qiru|wine
🍸;cocktail qiru;bar|cocktail|qiru|upyana
🍹;tropical upyana;bar|tropical|upyana
🍺;cerveza jumiwa;bar|cerveza|jumiwa|upyana
🍻;cerveza qirukuna anqusachkan;anqusay|bar|cerveza|cerveza qirukuna anqusachkan|jumiwa|upyana
🥂;qirukuna anqusachkan;qiru|qirukuna anqusachkan|raymi|tintinay|upyana
🥃;qiru vidriomanta;licor|qiru|qiru vidriomanta|qirukuna vidriomanta|shot|whisky
🫗;taqtaspa yaku;chusaq|qiru|taqtaspa yaku|upyana
🥤;qiru bombillawan;jilli|qiru bombillawan|soda
🧋;phukpu te;perla|phukpu|te|wilali
🧃;upyana tawakʼuchu;jugo|miskʼi|pajilla|tawakʼuchu|upyana
🧉;mate;mate|upyana
🧊;chiri;chhullunka|chiri|chiri tawakʼuchu
🥢;palillos;hashi|palillos
🍽️;tenedor chaymanta khuchuna platowan;khuchuna|plato|tenedor|tenedor chaymanta khuchuna platowan|waykʼuchkan
🍴;tenedor chaymanta khuchuna;cuchilleria|khuchuna|tenedor|tenedor chaymanta khuchuna|waykʼsqa
🥄;wislla;vajilla|wislla
🔪;khuchuna waykʼuypaq;arma|hocho|khuchuna|khuchuna waykʼuypaq|llamkana|waykʼusqa
🫙;puyñu;churana|chusaq|condimento|puyñu|qatu
🏺;anfora;Acuario|anfora|jarra|upyana|waykʼusqa|zodiaco

[travel_places]
🌍;saywasiqʼi Europa, Africapas Qawachkan;Africa|Africapas Qawachkan|Europa|kawsay pacha|pacha|saywasiqʼi Europa|saywasiqʼi Europa, Africapas Qawachkan
🌎;saywasiqʼi america qawachkan;America|kawsay pacha|pacha|saywasiqʼi america qawachkan
🌏;saywasiqʼi asia, austrakia qawachkan;Asia|austrakia qawachkan|Australia|kawsay pacha|pacha|saywasiqʼi asia|saywasiqʼi asia, austrakia qawachkan
🌐;saywasiqʼi meridianoswan;kawsay pacha|meridianos|pacha|saywasiqʼi meridianoswan
🗺️;pacha saywasiq’i;pacha|saywasiq’i
🗾;Japón saywasiqi;Japón|Japón saywasiqi|sawaysiqi
🧭;compas;compas|magnetico|navegacion|tarikuynin
🏔️;rit’i urqupi;chiri|rit’i|rit’i urqupi|urqu
⛰️;urqu;urqu
🛘;allpa kuyuriy;avalancha|desastre|pacha kuyuy|peligro|qaqakuna|tʼuru tʼuru|urqu
🌋;ariq;ariq|erupcion|urqu
🗻;fuji urqi;fuji|fuji urqi|urqu
🏕️;tampuchay;tampuchay
🏖️;maqya paqa achiwawan;maqya|maqya paqa achiwawan|para achiwa
🏜️;purum;purum
🏝️;purum wat’a;purum|wat’a
🏞️;nacional parque;nacional parque|parque
🏟️;estadium;estadium
🏛️;ñawpa wasichiy;ñawpa|ñawpa wasichiy
🏗️;hatun wasi wasichiynin;hatun wasi wasichiynin|pirqaq
🧱;pirqa;ladrillu|pirqa|pirqakuna
🪨;rumi;llasaq|rumi|solido
🪵;kuru;kuru|kuru wasichaypaq
🛖;chuklla;chuklla|wasi
🏘️;wasikuna;wasikuna
🏚️;saqisqa wasi;saqisqa|wasi
🏠;wasi;wasi
🏡;wasi inkillwan;inkill|wasi|wasi inkillwan
🏢;jatariki oficinakunapaq;jatariki|jatariki oficinakunapaq
🏣;Japónmanta oficina chaskipaq;chaski|Japones|Japónmanta oficina chaskipaq
🏤;oficina chaskipaq;chaski|Europeo|oficina chaskipaq
🏥;hampina wasi;hampi|hampina wasi|hanpiq
🏦;banco;banco|jatariki
🏨;tampuwasi;jatariki|tampuwasi
🏩;munaymanta tampu wasi;munay|munaymanta tampu wasi|tampuwasi
🏪;qatuna 24 phanikunawan;qatuna 24 phanikunawan
🏫;yachaywasi;jatariki|yachaywasi
🏬;qhatuna kiti;kiti|qhatuna
🏭;ruway;jatariki|ruway
🏯;Japones pukara;Japones|pukara
🏰;pukara;Europeo|pukara
💒;sawa;capilla|romance|sawa
🗼;Tokio torre;Tokio|torre
🗽;Qhispi kay Wanki;qhispi kay|Qhispi kay Wanki|wanki
⛪;iglesia;chakana|Cristiano|iglesia|religion
🕌;mezquita;islam|mezquita|Musulman|religion
🛕;templo indu;indu|templo
🕍;sinagoga;Judío|religion|sinagoga|templo
⛩️;sintoismo santuario;religion|santuario|sintoismo
🕋;kaaba;islam|kaaba|Musulman|religion
⛲;pukyu;pukyu
⛺;carpa;carpa|tampuchay
🌁;kamanchaka;kamanchaka|pukutay
🌃;tuta chʼaskakunawan;ch’aska|tuta|tuta chʼaskakunawan
🏙️;paisaje llaqtapi;llaqta|paisaje llaqtapi
🌄;paqarin urqukunapura;inti|paqar|paqarin|paqarin urqukunapura|urqu
🌅;paqarin;inti|paqar|paqarin
🌆;rikusqa llaqtamanta tutapi;ch’isi|inti-haykupuynin|llaqta|rikchay|rikusqa llaqtamanta tutapi|tuta
🌇;inti-haykupuynin;inti|inti-haykupuynin|tuta
