# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;kusisqa uya;kusi|kusisqa uya|uya
👺;huchuy kuku;criatura|fantasia|hadas willana|huchuy kuku|kuku|monstruo|uya
👻;kuku;criatura|fantasia|hadas willana|kuku|monstruo|uya
👽;alien;alien|criatura|extraterrestre|fantasia|ovni|uya
👾;pʼarqa alienígena;alien|criatura|extraterrestre|monstruo|ovni|pʼarqa alienígena|uya
🤖;robot;mostruo|robot|uya
😺;kusisqa misi;kichay|kusi|kusisqa|misi|simi|uya
😸;kusisqa misi uya kusisqa ñawikunawan;asiy|kusi|kusisqa misi uya kusisqa ñawikunawan|misi|ñawi|uya
😹;misi wiqikunawan kusirikuyninmanta;kusi|misi|misi wiqikunawan kusirikuyninmanta|uya|wiqi
😻;asisqa misi sunqukunawan ñawikunapi;asisqa misi sunqukunawan ñawikunapi|asiy|misi|munay|ñawi|sunqu|uya
😼;misi muyusqa kusiwan;asiy|ironico|misi|misi muyusqa kusiwan|muyusqa|uya
😽;muchʼasqa misi;misi|muchʼa|muchʼasqa misi|ñawi|uya
🙀;mancharisqa misi;ayqusqa|mancharisqa|misi|oh|uya
😿;waqasqa misi;llakisqa|misi|uya|waqasqa misi|waqay|wiqi
😾;turisqa misi;misi|turisqa|uya
🙈;kusillo mana saqrayuqwan rikuy;amachasqa|kusillo|kusillo mana saqrayuqwan rikuy|rikuy|uya|Vote supay
🙉;kusillo mana saqrayuqwan uyariy;amachasqa|kusillo|kusillo mana saqrayuqwan uyariy|supay|uya|uyariy
🙊;kusillo mana saqrayuqwan parlay;amachasqa|kusillo|kusillo mana saqrayuqwan parlay|parlay|supay|uya
💌;munay qillqa;chaski|munay|qillqa|sunqu
💘;sunqu wachʼiwan;cupido|sunqu wachʼiwan|wachʼi
💝;sunqu cintawan;cinta|sunqu cintawan|valentin
💖;kʼanchasqa sunqu;kusisqa|kʼanchasqa|kʼanchasqa sunqu
💗;paqarisqa sunqu;kusisqa|paqarisqa|paqarisqa sunqu|pulso|tʼikti
💓;phatatasqa sunqu;patatasqa sunqu|phatatasqa|phatatasqa sunqu|phatatay|tʼipuy
💞;muyusqa sunqukuna;muyusqa|muyusqa sunqukuna
💕;iskay sunqukuna;iskay sunqukuna|munay
💟;sunqu rikchay;sunqu|sunqu rikchay
❣️;sunqu exclamasion;exclamasion|marka|puntuacion|sunqu exclamasion
💔;pakasqa sunqu;pakasqa|pakasqa sunqu|pakay
❤️‍🔥;sunqu ninapi;munay|ñuqi|ruphay|sunqu|sunqu ninapi|wakʼa sunqu
❤️‍🩹;allichasqa sunqu;allichachkan|allichasqa|allichasqa sunqu|allichay kay|allin|qhali kay|qhali kaynin
❤️;puka sunqu;puka sunqu|sunqu
🩷;rusadu sunqu;kuyay|munay|rusadu|sumaq|sunqu
🧡;willapi sunqu;willapi|willapi sunqu
💛;qʼillu sunqu;qʼillu|qʼillu sunqu
💚;qʼumir sunqu;qʼumir|qʼumir sunqu
💙;anqas sunqu;anqas|anqas sunqu
🩵;chuya anqas sunqu;chuya anqas|chuya anqas sunqu|cian|sunqu
💜;kulli sunqu;kulli|kulli sunqu
🤎;cafe sunqu;cafe|sunqu
🖤;yana sunqu;saqra|supay|yana|yana sunqu
🩶;uqi sunqu;qata|sunqu|uqi
🤍;yuraq sunqu;sunqu|yuraq
💋;muchʼa unancha;muchʼa|muchʼa unancha|sirpi
💯;pachaq chikukuna;100|chikukuna|hunta|pachaq
💢;phiñakuy unancha;comic|mana allin|phiñakuy|phiñakuy unancha
🫯;maqanakuy phuyu;argumento|chʼaqway|debate|mana acuerdopi kay|maqanakuy|ruckus
💥;tupa;bum|comic|tupa
💫;muyu muyu;comic|muyu muyu|quyllur
💦;jumpʼi sutukuna;chʼiqichisqa|comic|jumpʼi sutukuna|sumpʼi sutukuna|sutʼu
💨;karuman phawachkan;comic|karuman phawachkan|phaway|purichkan
🕳️;t’uqu;t’uqu
💬;rimaypa glubun;glubu|kusi|phukpu|rimana|rimasqa|rimaypa glubun
👁️‍🗨️;ñawi rimasqa phukpupi;ñawi|ñawi rimasqa phukpupi|rimasqa phukpupi|testigo
🗨️;lluq’i rimasqa phukpupi;lluq’i rimasqa phukpupi|lluqʼi rimasqa phukpupi|rimana|rimay
🗯️;paña phiñasqa phukpu;paña phiñasqa phukpu|phiñasqa|phiñay|phukpu
💭;yuyaypa glubun;glubu|kusi|phukpu|rimana|rimasqa|yuyaypa glubun
💤;zzz;comic|puñuy|zzz

[people_body]
👋;qinquykachasqa maki;maki|qinquykachasqa|qinquykachay
	👋🏻;qinquykachasqa maki: chuya qara niraq;chuya qara niraq|maki|qinquykachasqa|qinquykachay
	👋🏼;qinquykachasqa maki: tunpa chuya qara niraq;maki|qinquykachasqa|qinquykachay|tunpa chuya qara niraq
	👋🏽;qinquykachasqa maki: tunpa qara niraq;maki|qinquykachasqa|qinquykachay|tunpa qara niraq
	👋🏾;qinquykachasqa maki: tunpa yana qara niraq;maki|qinquykachasqa|qinquykachay|tunpa yana qara niraq
	👋🏿;qinquykachasqa maki: yana qara niraq;maki|qinquykachasqa|qinquykachay|yana qara niraq
🤚;juqharisqa maki;jinchʼa|juqharisqa|juqharisqa maki
	🤚🏻;juqharisqa maki: chuya qara niraq;chuya qara niraq|jinchʼa|juqharisqa|juqharisqa maki
	🤚🏼;juqharisqa maki: tunpa chuya qara niraq;jinchʼa|juqharisqa|juqharisqa maki|tunpa chuya qara niraq
	🤚🏽;juqharisqa maki: tunpa qara niraq;jinchʼa|juqharisqa|juqharisqa maki|tunpa qara niraq
	🤚🏾;juqharisqa maki: tunpa yana qara niraq;jinchʼa|juqharisqa|juqharisqa maki|tunpa yana qara niraq
	🤚🏿;juqharisqa maki: yana qara niraq;jinchʼa|juqharisqa|juqharisqa maki|yana qara niraq
🖐️;maki iskay rukanakunawa mastasqa;maki|maki iskay rukanakunawa mastasqa|mastasqa|rukana
	🖐🏻;maki iskay rukanakunawa mastasqa: chuya qara niraq;chuya qara niraq|maki|maki iskay rukanakunawa mastasqa|mastasqa|rukana
	🖐🏼;maki iskay rukanakunawa mastasqa: tunpa chuya qara niraq;maki|maki iskay rukanakunawa mastasqa|mastasqa|rukana|tunpa chuya qara niraq
	🖐🏽;maki iskay rukanakunawa mastasqa: tunpa qara niraq;maki|maki iskay rukanakunawa mastasqa|mastasqa|rukana|tunpa qara niraq
	🖐🏾;maki iskay rukanakunawa mastasqa: tunpa yana qara niraq;maki|maki iskay rukanakunawa mastasqa|mastasqa|rukana|tunpa yana qara niraq
