# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;kanam guy gaññi;gaññi|kanam|kanam guy gaññi
😨;kanam guy tiitaleete;kanam|kanam guy tiitaleete|ragal|tiit
😰;kanam ak ubbeeku gémmiñ ak ñàqu tiitaange;baxa|gaawantu|gémmiñ|kanam|kanam ak ubbeeku gémmiñ ak ñàqu tiitaange|ñàq|sedd|ubbeeku
😥;kanamu mbetteel te féex;féex|kanam|kanamu mbetteel te féex|kapris|mbetteel
😢;kanam guy jooy;jooy|kanam|kanam guy jooy|rangooñ|xol-bu-neexul
😭;kanam guy jooy ca kaw;jooy|kanam|kanam guy jooy ca kaw|rangooñ|sob|xol-bu-neexul
😱;kanam guy jooy te tiit;kanam|kanam guy jooy te tiit|ragal|tiit|yëy|yuuxu
😖;kanam gu jaawale;jaawale|kanam|kanam gu jaawale
😣;kanam guy ñafe;kanam|kanam guy ñafe|ñafe
😞;kanam gu am mbetteel;kanam|kanam gu am mbetteel|mbetteel
😓;kanam ak ñaq wu sedd;kanam|kanam ak ñaq wu sedd|ñàq|sedd
😩;kanamu coono;jommi|kanam|kanamu coono|sonn
😫;kanam gu sonn;kanam|kanam gu sonn|sonn
🥱;kanam guy obali;kanam guy obali|kanam guy obbali|obbali|sónn|weet
😤;kanam gu ànd ak saxaaru bakkan;gañe|kanam|kanam gu ànd ak saxaaru bakkan|ndam
😡;kanam guy puucatu;dof|kanam|kanam guy puucatu|mer|puucatu|xonk
😠;kanam gu mer;dof|kanam|kanam gu mer|mer
🤬;kanam ak màndarga ci gémmiñ;kanam ak màndarga ci gémmiñ|waat
😈;kanam gu am ay béjjen;béjjen|feem|kanam|kanam gu am ay béjjen|léebu fee|muuñ
👿;kanam gu mer am ay béjjen;dëmm|feem|imp|jinne|kanam|kanam gu mer am ay béjjen|léebu fee
💀;yaxu-bopp;dee|kanam|léebu fee|rab-wu-gànde|yaxu-bopp
☠️;kraan and yax yu kruwaase;dee|kanam|kraan|kraan and yax yu kruwaase|rab-wu-gànde|yax yu kruwaase
💩;julu puup;julu puup|kanam|neefere|puup|rab|reelu
🤡;kanamu kluun;kanam|kanamu kluun|kluun
👹;oogar;feem|kanam|léebu fee|mbinddéef|oogar|rab-wu-gànde
👺;kus-kondoroŋ;feem|kanam|kus-kondoroŋ|léebu fee|mbinddéef|rab-wu-gànde
👻;fàntom;fàntom|feem|kanam|léebu fee|mbinddéef|rab-wu-gànde
👽;aliyeen;aliyeen|feem|kanam|kaw-jawwu ji|léebu fee|mbiddéef|rab-wu-gànde|ufo
👾;jiney aliyeen;aliyeen|feem|jiney aliyeen|kanam|kaw-jawwu ji|léebu fee|mbiddéef|rab-wu-gànde|ufo
🤖;kanamu roboo;kanam|kanamu roboo|rab-wu-gànde|roboo
😺;kanamu muus muy muuñ ak gémmiñ gu ubbeeku;gémmiñ|kanam|kanamu muus muy muuñ ak gémmiñ gu ubbeeku|muuñ|muus|ubbeeku
😸;kanamu muus muy xiiru ak bët yuy muuñ;bët|grin|kanam|kanamu muus muy xiiru ak bët yuy muuñ|muuñ|muus
😹;kanamu muus bu ànd ak rangooñi mbégte;joy|kanam|kanamu muus bu ànd ak rangooñi mbégte|muus|rangooñ
😻;kanamu muus buy muuñ ak bëti xol;bët|kanam|kanamu muus buy muuñ ak bëti xol|mbëggeel|muuñ|muus
😼;kanamu muus ak muuñ gu weng;kanam|kanamu muus ak muuñ gu weng|muuñ|muus|ñaawal|weng
😽;kanamu muus bu tëj bët di fóon;bët|fóon|kanam|kanamu muus bu tëj bët di fóon|muus
🙀;kanamu muus mu jommi;am-mbetteel|jommi|kanam|kanamu muus mu jommi|muus|oh
😿;kanam muus muy jooy;jooy|kanam|kanam muus muy jooy|muus|rangooñ|xol-bu-neexul
😾;kanamu muus mu mer;kanam|kanamu muus mu mer|muus|puucatu
🙈;golo budul gis lu bon;bul|déet|gis|golo|golo budul gis lu bon|kanam|liyaar|lu bon|luñ aaye|luñ tere
🙉;golo budul dégg lu bon;bul|déet|dégg|golo|golo budul dégg lu bon|kanam|liyaar|lu bon|luñ aaye|luñ tere
🙊;golo budul wax lu bon;bul|déet|golo|golo budul wax lu bon|kanam|liyaar|lu bon|luñ aaye|luñ tere|wax
💌;bataaxalu mbëggeel;bataaxal|bataaxalu mbëggeel|leetar|mbëggeel|xol
💘;xol ak fett;bëgg-xaalis|fett|xol ak fett
