# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;kanam guy gaññi;gaññi|kanam|kanam guy gaññi
	👩🏾‍❤️‍👩🏿;xol ak ñaar ñu bëggante: jigéen, jigéen, xeesaayu der bu xawa ñuul, xeesaayu der bu ñuul;góor ak jigéen|jigéen|mbëggeel|xeesaayu der bu ñuul|xeesaayu der bu xawa ñuul|xol ak ñaar ñu bëggante
	👩🏿‍❤️‍👩🏻;xol ak ñaar ñu bëggante: jigéen, jigéen, xeesaayu der bu ñuul, xeesaayu der bu woyof;góor ak jigéen|jigéen|mbëggeel|xeesaayu der bu ñuul|xeesaayu der bu woyof|xol ak ñaar ñu bëggante
	👩🏿‍❤️‍👩🏼;xol ak ñaar ñu bëggante: jigéen, jigéen, xeesaayu der bu ñuul, xeesaayu der bu xeereer;góor ak jigéen|jigéen|mbëggeel|xeesaayu der bu ñuul|xeesaayu der bu xeereer|xol ak ñaar ñu bëggante
	👩🏿‍❤️‍👩🏽;xol ak ñaar ñu bëggante: jigéen, jigéen, xeesaayu der bu ñuul, xeesaayu der bu yam;góor ak jigéen|jigéen|mbëggeel|xeesaayu der bu ñuul|xeesaayu der bu yam|xol ak ñaar ñu bëggante
	👩🏿‍❤️‍👩🏾;xol ak ñaar ñu bëggante: jigéen, jigéen, xeesaayu der bu ñuul, xeesaayu der bu xawa ñuul;góor ak jigéen|jigéen|mbëggeel|xeesaayu der bu ñuul|xeesaayu der bu xawa ñuul|xol ak ñaar ñu bëggante
	👩🏿‍❤️‍👩🏿;xol ak ñaar ñu bëggante: jigéen, jigéen, xeesaayu der bu ñuul;góor ak jigéen|jigéen|mbëggeel|xeesaayu der bu ñuul|xol ak ñaar ñu bëggante
👨‍👩‍👦;bokk famiy: góor, jigéen, xale bu góor;bokk famiy|góor|jigéen|xale bu góor
👨‍👩‍👧;bokk famiy: góor, jigéen, xale bu jigéen;bokk famiy|góor|jigéen|xale bu jigéen
👨‍👩‍👧‍👦;bokk famiy: góor, jigéen, xale bu jigéen, xale bu góor;bokk famiy|góor|jigéen|xale bu góor|xale bu jigéen
👨‍👩‍👦‍👦;bokk famiy: góor, jigéen, xale bu góor, xale bu góor;bokk famiy|góor|jigéen|xale bu góor
👨‍👩‍👧‍👧;bokk famiy: góor, jigéen, xale bu jigéen, xale bu jigéen;bokk famiy|góor|jigéen|xale bu jigéen
👨‍👨‍👦;bokk famiy: góor, góor, xale bu góor;bokk famiy|góor|xale bu góor
👨‍👨‍👧;bokk famiy: góor, góor, xale bu jigéen;bokk famiy|góor|xale bu jigéen
👨‍👨‍👧‍👦;bokk famiy: góor, góor, xale bu jigéen, xale bu góor;bokk famiy|góor|xale bu góor|xale bu jigéen
👨‍👨‍👦‍👦;bokk famiy: góor, góor, xale bu góor, xale bu góor;bokk famiy|góor|xale bu góor
👨‍👨‍👧‍👧;bokk famiy: góor, góor, xale bu jigéen, xale bu jigéen;bokk famiy|góor|xale bu jigéen
👩‍👩‍👦;bokk famiy: jigéen, jigéen, xale bu góor;bokk famiy|jigéen|xale bu góor
👩‍👩‍👧;bokk famiy: jigéen, jigéen, xale bu jigéen;bokk famiy|jigéen|xale bu jigéen
👩‍👩‍👧‍👦;bokk famiy: jigéen, jigéen, xale bu jigéen, xale bu góor;bokk famiy|jigéen|xale bu góor|xale bu jigéen
👩‍👩‍👦‍👦;bokk famiy: jigéen, jigéen, xale bu góor, xale bu góor;bokk famiy|jigéen|xale bu góor
👩‍👩‍👧‍👧;bokk famiy: jigéen, jigéen, xale bu jigéen, xale bu jigéen;bokk famiy|jigéen|xale bu jigéen
👨‍👦;bokk famiy: góor, xale bu góor;bokk famiy|góor|xale bu góor
👨‍👦‍👦;bokk famiy: góor, xale bu góor, xale bu góor;bokk famiy|góor|xale bu góor
👨‍👧;bokk famiy: góor, xale bu jigéen;bokk famiy|góor|xale bu jigéen
👨‍👧‍👦;bokk famiy: góor, xale bu jigéen, xale bu góor;bokk famiy|góor|xale bu góor|xale bu jigéen
👨‍👧‍👧;bokk famiy: góor, xale bu jigéen, xale bu jigéen;bokk famiy|góor|xale bu jigéen
👩‍👦;bokk famiy: jigéen, xale bu góor;bokk famiy|jigéen|xale bu góor
👩‍👦‍👦;bokk famiy: jigéen, xale bu góor, xale bu góor;bokk famiy|jigéen|xale bu góor
👩‍👧;bokk famiy: jigéen, xale bu jigéen;bokk famiy|jigéen|xale bu jigéen
👩‍👧‍👦;bokk famiy: jigéen, xale bu jigéen, xale bu góor;bokk famiy|jigéen|xale bu góor|xale bu jigéen
👩‍👧‍👧;bokk famiy: jigéen, xale bu jigéen, xale bu jigéen;bokk famiy|jigéen|xale bu jigéen
🗣️;wax bopp;bopp|kanam|takkandeer|wax
👤;yaram takkandeer;takkandeer|yaram
👥;ay yaram takkandeer;ay yaram takkandeer|takkandeer|yaram
🫂;;
👪;bokk famiy;bokk famiy
🧑‍🧑‍🧒;;
🧑‍🧑‍🧒‍🧒;;
🧑‍🧒;;
🧑‍🧒‍🧒;;
👣;fu tànk teguwoon;emprime|fu tànk teguwoon|màrku-tànk|yéere
🫆;;

[animals_nature]
🐵;kanamu golo;golo|kanam|kanamu golo
🐒;golo;golo
🦍;dàngin;dàngin
🦧;;
🐶;boppu xaj;boppu xaj|kanam|rabu-yar|xaj
🐕;xaj;rabu-yar|xaj
🦮;;
🐕‍🦺;;
🐩;kaj bu ndaw, sëq kawar;kaj bu ndaw|kaj bu ndaw, sëq kawar|sëq kawar|xaj
🐺;kanamu xaju-tundu;kanam|kanamu xaju-tundu|xaju-tund
🦊;kanamu rënaar;kanam|kanamu rënaar|rënaar
🦝;;
🐱;kanamu muus;kanam|kanamu muus|muus|rabu-yar
🐈;muus;muus|rabu-yar
🐈‍⬛;;
🦁;kanamu gaynde;gaynde|kanam|kanamu gaynde|Leo|sojak
🐯;kanamu segg;kanam|kanamu segg|segg
🐅;segg;segg
🐆;lewopaar;lewopaar
🐴;kanamu fas;fas|kanam|kanamu fas
🫎;;
🫏;;
🐎;fas;ci wàllu fas|fas|fasukursu|kursu
🦄;kanam gu sax béjjen;gu sax béjjen|kanam|kanam gu sax béjjen
🦓;zebre;reyiir|zebre
🦌;serf;serf
🦬;;
🐮;kanamu nag;kanamu|nag
🐂;yékk;nag|sojak|Yékk
🐃;nagu ndox;nag|nagu ndox|ndox
🐄;nag;nag
🐷;kanamu mbaam-xuux;kanam|kanamu mbaam-xuux|mbaam-xuux
🐖;mbaam-xuux;mbaam-xuux|mbaam-xuux bu jigéen
🐗;mbaam-àll;mbaam-àll|mbaam-xuux
🐽;bakkanu mbaam-xuux;bakkan|bakkanu mbaam-xuux|kanam|mbaam-xuux
🐏;yàppu kuy;bu góor|Kuy|sojak|xar|yàppu kuy
🐑;xar bu jigéen;bu jigéen|xar|xar bu jigéen
🐐;bëy;bëy|Kaprikorn|sojak
🐪;giléem;boos|giléem
🐫;gileemu ñaari boos;batri|boos|giléem|gileemu ñaari boos
🦙;;
🦒;giraaf;giraaf|tomb
🐘;ñay;ñay
🦣;;
🦏;rinoseros;rinoseros
🦛;;
🐭;kanmu jinax;jinax|kanam|kanmu jinax
🐁;jinax;jinax
🐀;kaña;kaña
🐹;kanamu jinax;hamster|kanam|kanamu jinax|rabu yar
🐰;kanamu lëk;kanam|kanamu lëk|lëkk|rabbit|rabu-yar
🐇;lëk;lëk|lëkk|rabu-yar
🐿️;cipmànk;cipmànk
🦫;;
🦔;suñeel;jame|suñeel
🦇;njugub;njugub|wàmpiir
🐻;kanam urs;Kanam|urs
🐻‍❄️;;
🐨;koala;koala|urs
🐼;kanamu panda;kanam|kanamu panda|panda
🦥;;
🦦;;
🦨;;
🦘;;
🦡;;
🐾;fu tànku rab teguwoon;emprime|fu tànku rab teguwoon|tànk|tànku-rab
🦃;koppin;koppin|picc
🐔;ginaar;ginaar|picc
🐓;séq;picc|séq
🐣;cuuj bu génn ci nen;cuuj|cuuj bu génn ci nen|génn ci nenn|liir|picc
🐤;cuuj;cuuj|liir|picc
🐥;kanam jàkkarloo ak lexu xale;cuuj|kanam jàkkarloo ak lexu xale|liir|picc
🐦;picc;picc
🐧;penguweŋ;penguweŋ|picc
🕊️;kolomb;jàmm|kolomb|naaw|picc
🦅;céeli;céeli|picc
🦆;kanaara;kanaara|picc
🦢;;
🦉;looy;looy|picc|xelu
🦤;;
🪶;;
🦩;;
🦚;;
🦜;;
🪽;;
🐦‍⬛;;
🪿;;
🐦‍🔥;;
🐸;kanamu mbott;kanam|kanamu mbott|mbott
🐊;jasit;jasit
🐢;mbonaat;mbonaat|mbonaatu-ndox
🦎;sindax;luy raam|sindax
🐍;jaan;gàddukat|jaan|Ophiuchus|sojak
🐲;kanamu dragoŋ;dragoŋ|kanam|kanamu dragoŋ|léebu fee
🐉;dragoŋ;dragoŋ|léebu fee
🦕;soropod;brachiosorus|brontosorus|diplodocus|soropod
🦖;T-Rex;T-Rex|Tyrannosorus Rex
🐳;baleen bu puucatu;baleen|baleen bu puucatu|kanam|sàll wu ñaw
🐋;baleen;baleen
🐬;dófeŋ;dófeŋ|flipër
🫍;;
🦭;;
🐟;jën;jën|Jën ji|sojak
🐠;jënu tàngoor;jën|jënu tàngoor|tàngoor
🐡;bun fokkin;bun fokkin|jën
🦈;rekeŋ;jën|rekeŋ
🐙;oktopis;oktopis
🐚;xoru espiraal;espiraal|xor|xoru espiraal
🪸;;
🪼;;
🦀;junqoob;junqoob|Kànseer|sojak
🦞;;
🦐;krëwet;krëwet|lekk|meññeefu géej|ndaw
🦑;kalamaar;kalamaar|lekk|yéet
🦪;;
🐌;eskargoo;eskargoo
🦋;lëppaalëp;gunóor|lëppaalëp|rafet
🐛;gunóor;gunóor|gunóor bu sew
🐜;sànqaleñ;gunóor bu sew|sànqaleñ
🐝;yamb;gunóor bu sew|yamb|yàmb
🪲;;
🐞;gunóor am tupp yu weex;gunóor am tupp yu weex|gunóor bu sew|koksineel|koksinel
🦗;kriket;kriket|soccet
🪳;;
🕷️;jargoñ;gunóor bu sew|jargoñ
🕸️;lëndu jargoñ;jargoñ|lënd|lëndu jargoñ
🦂;jiit;jiit|sojak
🦟;;
🪰;;
🪱;;
🦠;;
💐;takkufulër;fulër|takkufulër
🌸;fulóor yu am melo sëriis;fulër|fulóor yu am melo sëriis|sëriis
💮;fulóor bu weex;fulër|fulóor bu weex
🪷;;
🏵️;roset;garab|roset
🌹;róos;fulër|róos
🥀;fulóor bu waw;bu waw|fulër|fulóor bu waw
🌺;ibiskus;fulër|ibiskus
🌻;fulóoru jant;fulër|fulóoru jant|jant
🌼;fulóor;fulër|fulóor
🌷;tulip;fulër|tulip
🪻;;
🌱;semis;ndaw|semis
🪴;;
🌲;garab gu am xob yuy dund;garab|garab gu am xob yuy dund
🌳;garab gu am xob yuy dee;garab|garab gu am xob yuy dee|ruus|wàññiku
🌴;garabu-tiir;garabu|garabu-tiir|tiir
🌵;gargamboose;garab|gargamboose
🌾;sayu ceeb;ceeb|nopp|pepp|sayu ceeb
🌿;ñax;ñax|xob
☘️;tereefal;garab|tereefal
🍀;treefalu ñeenti xob;4|ñeent|treefal|treefalu ñeenti xob|xob
🍁;kobu kanadaa;daanu|kanadaa|kobu kanadaa|xob
🍂;xob yu daanu;daanu|xob|xob yu daanu
🍃;xob wu gelaw yëngal;ëf|ngelaw|xob|xob wu gelaw yëngal|yëngu
🪹;;
🪺;;
🍄;sampiñoŋ;sampiñoŋ|sampiñoŋ weneer
🪾;;

[food_drink]
🍇;reeseŋ;meññeef|reeseŋ
🍈;mëloŋ;mëloŋ|meññeef
🍉;xaal;meññeef|xaal
🍊;màndarin;màndarin|meññeef|oraas
🍋;lingom;agrume|lingom|meññeef
🍋‍🟩;;
🍌;banana;banana|meññeef
🍍;ananas;ananas|meññeef
🥭;;
🍎;pom bu xonk;meññeef|pom|pom bu xonk|xonk
🍏;pom bu wert;meññeef|pom|pom bu wert|wert
🍐;puwaar;meññeef|puwaar
🍑;pes;meññeef|pes
🍒;sëriis;meññeef|sëriis
🍓;frees;bee|frees|meññeef
🫐;;
🥝;kiwi;kiwi|lekk|meññeef
🍅;tamaate;lujum|meññeef|tamaate
🫒;;
🥥;ñamu coco;ñamu coco|piña colada|tiir
🥑;awokaa;awokaa|lekk|meññeef
🍆;basante;basante|lujum
🥔;pombiteer;lujum|meññeef|pombiteer|potaas
🥕;karot;karot|lekk|lujum
🌽;noppi mboq;mboq|nopp|noppi mboq
🌶️;kaani xeeñ;kaani|xeeñ
🫑;;
🥒;komkombar;komjomlaat|komkombar|lekk|meññeef|njaxas
🥬;;
🥦;brokoli;brokoli|supame
🧄;;
🧅;;
🥜;gerte;gerte|lekk|lujum|nuwaa
🫘;;
🌰;sateñ;garab|sateñ
🫚;;
🫛;;
🍄‍🟫;;
🫜;;
🍞;mburu;mburu|peŋ
🥐;Kurwaasaŋ;briyoos|Kurwaasaŋ|lekk|mburu|wu-faraas
🥖;miisu mburu;lekk|mburu|miis|miisu mburu|wu-faraas
🫓;;
🥨;bretzel;bretzel|buñ lem
🥯;;
🥞;krep;crêpe|krep|lekk|ngato bu tànk
🧇;;
🧀;cëru fromaas;cëru fromaas|fromaas
🍖;yàpp ci yax;yàpp|yàpp ci yax|yax
🍗;tànku ginaar;ginaar|tànk|tànku ginaar|yax
🥩;dogu yàpp;bitik|bitik xar|bitik-mbaam xuux|dogu yàpp|steak
🥓;bekon;bakon|bekon|lekk|yàpp
🍔;àmburgë;àmburgë|bërgë
🍟;pombiteer buñ saaf;buñ saaf|pombiteer|pombiteer buñ saaf
🍕;pizza;dagg|fromaas|pizza
🌭;ot-dog;ot-dog|otdog|sosis
🥪;sandwich;mburu|sandwich
🌮;tako;tako|wu-meksik
🌯;burito;burito|mbar|wu-meksik
🫔;;
🥙;mburu-farsi;falafel|farse|jiro|kebab|lekk|mburu|mburu-farsi
🧆;;
🥚;nen;lekk|nen
🍳;togg;nen|pane|saaf|togg
🥘;boolu togg bu xóotul;boolu togg bu xóotul|bu xóotul|kaserol|lekk|pane|paylaa
🍲;potu ñam;potu|potu ñam|ragu
🫕;;
🥣;bool ak kuddu;bool ak kuddu|congee|dugub|ndeki
🥗;salaad bu wert;lekk|salaad bu wert|salaat|wert
🍿;pop korn;pop korn
🧈;;
🧂;;
🥫;lekk ci kanet;kanet|lekk ci kanet
🍱;boyetu bento;bento|boyetu
🍘;gato ceeb;ceeb|gato
🍙;balu ceeb;ball|balu ceeb|ceeb|Sapone
🍚;ceeb buñ togg;ceeb|ceeb buñ togg|togg
🍛;ceebu kari;ceebu|kari
🍜;toggee ci wapër;bool|espageti-laxasu|ramen|toggee ci wapër|wapër
🍝;espageti;espageti|paat
🍠;pataas buñ roti;pataas buñ roti|pombiteer|roti|suukër
🍢;oden;broset|fruit|kebab|meññeefu géej|oden
🍣;sushi;sushi
🍤;sippax buñ saaf;saaf|sippax|sippax buñ saaf|tempura
🍥;buteeli jën;buteeli jën|jën|ngato|wëndeelu
🥮;;
🍡;dango;broset|dango|deseer|fruit|sapone|suukër
🥟;buleet;buleet|empanada|gyōza|jiaozi|pierogi|potsticker
🥠;mbiskitu musuwaar;mbiskitu musuwaar|yónent
🥡;boyetu yóbbaale;boyetu yóbbaale|siwo yoxos
🍦;kreem galaas bu am suukar;deseer|galaas|kreem|kreem galaas bu am suukar|kreem-galaase|nooy|suukër
🍧;galaas guñ dëbb;buñ wat|deseer|galaas|galaas guñ dëbb|suukër
🍨;kreem galaase;deseer|glaas|kereem|kreem galaase|suukër
🍩;beñe;beñe|deseer|suukër
🍪;mbiskit;deseer|mbiskit|suukër
🎂;ngato màggal bisu-judd;bisu-judd|deseer|gato|màggal|ngato màggal bisu-judd|paat|suukër
🍰;gàttal-yoon;deseer|gato|gàttal-yoon|paat|suukër|xaaj
🧁;;
🥧;tàrt;farinu|mburu|tàrt
🍫;laatu-sokolaa;deseer|laal|laatu-sokolaa|sokolaa|suukër
🍬;tàngal;deseer|suukër|tàngal
🍭;tàngal bant;deseer|suukër|tàngal|tàngal bant
🍮;kreem;deseer|kreem|pudiŋ|suukër
🍯;potu lem;lem|pot|potu lem|suukër
🍼;biberoŋ;biberoŋ|buteel|liir|meew|naan
🥛;kaasu meew;kaas|kaasu meew|meew|naan
☕;naan gu tank;attaaya|kafe|naan|naan gu tank|tàng|wapër
🫖;;
🍵;kaasu attaayu bu amul jàppukaay;attaaya|kaas|kaasu attaaya|kaasu attaayu bu amul jàppukaay|naan
🍶;buteel bu yaatu gémmiñ;buteel|buteel bu yaatu gémmiñ|kaas|laal|naan
🍾;buteel bu saañ biy naaw;buteel|buteel bu saañ biy naaw|laat|naan|naaw|saañ
🍷;kaasu sàngara;bevemer|glass|kaasu sàngara|laat|naan|wine
🍸;kaasu koktel;kaasu koktel|koktel|laat|naan|weer
🍹;naan tàngoor;laat|naan|tàngoor
🍺;kaasu biyeer;beer|kaas|kaasu biyeer|laat|naan
🍻;dóorante kaasu biyeer;beer|dóorante kaasu biyeer|kaas|kliŋ|laat|naan
🥂;dóorante kaas;dóorante|kaas|màggal|naan
🥃;kaasu ndox;kaas|kaasu ndox|likër|ñam|ndox|whisky
🫗;;
🥤;kaas ak paay;jus|kaas ak paay|soda
🧋;;
🧃;;
🧉;;
🧊;;
🥢;baget;baget|hashi
🍽️;furset and paaka ak asiyet;asiyet|furset|furset and paaka ak asiyet|paaka|togg
🍴;furset ak paaka;furset|furset ak paaka|paaka|togg
🥄;kuddu;kuddu|taabal
🔪;paaka waañ;hocho|jumtukaay|ngànnaay|paaka|paaka waañ|togg
🫙;;
🏺;àmfoor;àmfoor|Aquarius|jug|jumtukaay|naan|ngànnaay|sojak|togg

[travel_places]
🌍;glob buy wane ërop ak afrik;àdduna|Africa|Ërop|glob|glob buy wane ërop ak afrik|suuf
🌎;glob buy wane amerik;àdduna|Amerika|glob|glob buy wane amerik|suuf
🌏;glob buy wane asi ak óstraali;àdduna|Asi|glob|glob buy wane asi ak óstraali|ostralia|suuf
🌐;glob buy wane merijeŋ yi;àdduna|glob|glob buy wane merijeŋ yi|merijeŋ|suuf
🗺️;kàrtu àdduna;àdduna|kàrt|kàrtu àdduna
🗾;kàrtu sapoŋ;kàrt|kàrtu sapoŋ|Sapoŋ
🧭;;
🏔️;nees bu muur montaañ;montaañ|nees|nees bu muur montaañ|sedd
⛰️;montaañ;montaañ
🛘;;
🌋;géeju xal;géeju xal|montaañ|xal yuy génn
🗻;tundu fuji;fuji|montaañ|tundu fuji
🏕️;kampiŋ;kampiŋ
🏖️;tefes ak parasol;parasol|tefes|tefes ak parasol
🏜️;desert;desert
🏝️;desert dun;desert|dun
🏞️;park nasyonaal;park nasyonaal
🏟️;estad;estad
🏛️;tabaxu cosaan;cosaan|tabaxu cosaan
🏗️;tabax ab tabax;tabax|tabax ab tabax
🧱;;
🪨;;
🪵;;
🛖;;
🏘️;kër yi;kër yi
🏚️;kër gu gent;gent|kër|kër gu gent
🏠;kër;dëkkuwaay|kër
🏡;kër ak sardeŋ;dëkkuwaay|kër|kër ak sardeŋ|sardeŋ
🏢;taaxu liggéey;taaxu liggéey|tabax
🏣;biro post ci sapoŋ;biro post ci sapoŋ|post|sapone
🏤;biro post;biro post|Ëroop|post
🏥;opitaal;doktor|medsin|opitaal
🏦;bànk;bànk|tabax
🏨;otel;otel|tabax
🏩;otelu mbëggeel;mbëggeel|otel|otelu mbëggeel
🏪;njaay mu yomb;mu yomb|njaay|njaay mu yomb
🏫;daara;daara|tabax
🏬;rëy magasin;magasin|rëy
🏭;Isinu-liggéey;Isinu-liggéey|tabax
🏯;taaxu sapoŋ;Sapone|taax|taaxu sapoŋ
🏰;taaxu buur;Ëroop|taaxu buur
💒;céet;céet|jàngu|mbëggeel
🗼;tuuru ci tokyo;tokyo|tuuru|tuuru ci tokyo
🗽;estati liberte;estati|liberte
⛪;jàngu;diine|jàngu|Kreceŋ|kruwaa
🕌;Jàkka;diine|islam|Jàkka|Jullit
🛕;;
🕍;sinaagog;diine|Juif|sinaagog|tàmpal
⛩️;armeeli Shinto;armeel|armeeli Shinto|diine|shinto
🕋;Kaaba;diine|islam|Jullit|Kaaba
⛲;ndax muy sànni;ndax muy sànni
⛺;tant;kampiŋ|tant
🌁;lay;ab lay|lay
🌃;guddi ak ay biddéew;biddeew|guddi|guddi ak ay biddéew
🏙️;cityscape;city|cityscape
🌄;jant buy fenk ci tund;jant|jant buy fenk|jant buy fenk ci tund|suba|tundu
🌅;jant buy fenk;jant|jant buy fenk|suba
🌆;timis ci réewu taax;dëkk|guddi|jant|jant buy so|peyisaas|timis|timis ci réewu taax
🌇;jant bu so ci réewu taax;jant|jant bu so ci réewu taax|so
🌉;pom ci guddi;guddi|pom|pom ci guddi
♨️;cooroon bu tàng;cooroon|cooroon bu tàng|cooroon yu tàng|saxaar|tàng
🎠;fasu kurusel;fasu|kurusel
🛝;;
🎡;pëno bu kawe lool;barabu bégal xol|kawe lool|pëno|pëno bu kawe lool
🎢;tundu risi;barabu bégal xol|risi|tundu
💈;tablo watkat;tablo|wateef|watkat
🎪;barabu sirk;barabu|sirk
🚂;ndaamaar;motër|ndaamaar|otoraay|raay|wapër
🚃;otoraay;kuuraŋ|oto|otoraay|raay|tram|trolleybus
🚄;otoraay bu gaaw lool;gaawaay|otoraay|otoraay bu gaaw lool|raay|shinkansen
🚅;otoraay bu gaaw lool ak kanam gu sew;bullet|gaawaay|otoraay|otoraay bu gaaw lool ak kanam gu sew|raay|shinkansen
🚆;saxaar;raay|saxaar
🚇;metro;metro|subweey
🚈;otoraay bu moome fépp;otoraay bu moome fépp|raay
🚉;gaar;gaar|otoraay|raay
🚊;tram;tram|trolleybus
🚝;monoraay;monoraay|waruwaay
🚞;raayu tund;montaañ|oto|raay|raayu tund
🚋;oto tramweey;oto|oto tramweey|tram|trolleybus
🚌;otokaar;otokaar|waruwaay
🚍;kaar buy ñëw;kaar|kaar buy ñëw|ñëw
🚎;trolleybus;kaar|tram|trolley|trolleybus
🚐;minikaar;minikaar|otokaar
🚑;àmbilaas;àmbilaas|waruwaay
🚒;oto pompiyee;fire|motër|oto pompiyee|truk
🚓;oto poliis;oto|patrol|poliis
🚔;oto poliis buy ñëw;buy ñëw|oto|oto poliis buy ñëw|poliis
🚕;taxi;taxi|waruwaay
🚖;taxi buy ñëw;ñëw|taxi|taxi buy ñëw
🚗;oto;oto
🚘;oto buy ñëw;buy ñëw|oto|oto buy ñëw|otoportaabal
🚙;oto njëkkante;bégal-xol|njëkkante|oto njëkkante
🛻;;
🚚;kamiyoŋu bagaas;bagaas|kamiyoŋu
🚛;kamiyoŋu bu gudd lool;kamiyoŋ|kamiyoŋu bu gudd lool|semi
🚜;traktër;traktër|waruwaay
🏎️;kursu oto;kursu|oto
🏍️;moto;kursu|moto
🛵;eskutër;eskutër|moto
🦽;;
🦼;;
🛺;;
🚲;welo;welo
🛴;welo benn tànk;benn tànk|welo|welo benn tànk
🛹;;
🛼;;
🚏;are-kaar;are-kaar|bus|taxaw
🛣️;otoruut;oto-ruut|otoruut|tali
🛤️;wagoŋ raay;otoraay|raay|wagoŋ raay
🛢️;bidoŋu diw;bidoŋ|bidoŋu diw|diw
⛽;pompu esaas;esaas|estasiyoŋ|karbiraŋ|pomp|pompu esaas|pompu-esaas
🛞;;
🚨;làmpu oto poliis;faar|làmp|làmpu oto poliis|oto|poliis|wëndeelu
🚥;làmpi estop yu tëdd;làmp|làmpi estop yu tëdd|siñaal|tali
🚦;làmpi estop yu taxaw;làmp|làmpi estop yu taxaw|siñaal|tali
🛑;màndarga dakkal;dakkal|màndarga dakkal|siñ|wu-oktagon
🚧;tabax;bariyeer|tabax
⚓;serukaayu gaal;bato|jumtukaay|serukaayu gaal
🛟;;
⛵;gaalu ngelaw;gaal|gaalu ngelaw|géej|serukaay|yacht
🛶;kaal gu ndaw;gaal|kaal gu ndaw|kanowe
🚤;gaalu motër;gaal|gaalu motër
🛳️;ki mu yab bato;bato|ki mu yab|ki mu yab bato
⛴️;bak;bak|gaal|ki mu yab
🛥️;gaalu-motër;gaal|gaalu-motër
🚢;gaal gu mag;gaal|gaal gu mag|ki mu yab
✈️;roppalaan;aeroppalaan|roppalaan
🛩️;roppalaan bu ndaw;aeroppalaan|roppalaan|roppalaan bu ndaw
🛫;roppalaan buy dem;aeroppalaan|deppaar|deppaar yi|enregistremaa|roppalaan|roppalaan buy dem
🛬;roppalaan buy ñëw;aeroppalaan|buy ñëw|ñëw yi|roppalaan|roppalaan buy ñëw|wàcci
🪂;;
💺;toogu;sees|toogu
🚁;elikopteer;elikopteer|waruwaay
🚟;raay ci kaw;bu-aju|raay|raay ci kaw
🚠;teleferik;cable|gondol|montaañ|teleferik
🚡;tramweey ci kaw;ci-kaw|gondol|kaabal|oto|tramweey|tramweey ci kaw
🛰️;satelit;espaas|satelit
🚀;fuse-jawwu;espaas|fuse-jawwu
🛸;sukup buy naaw;OVNI|sukup buy naaw
🛎️;joolooli bu ñuy bës;joolooli|joolooli bu ñuy bës|otel
🧳;;
⌛;saabliyee;jël-waxtu|saabliyee|suuf
⏳;saabliyee buy sotti suuf;jël-waxtu|saabliyee|saabliyee buy sotti suuf|suuf
⌚;seetaan;montar|seetaan
⏰;waxtukaayu yégle;waxtukaayu|yégle
⏱️;kronoo;kronoo|montar
⏲️;montar jël-waxtu;jël-waxtu|montar
🕰️;montaru wékk;montar|montaru wékk
🕛;12:00;00|12|12:00|midi|montar|piil
🕧;12:30;12|12:30|30|genn-wàll|midi|montar
🕐;01:00;00|01:00|1|1:00|benn|montar|piil
🕜;01:30;01:30|1|1:30|30|genn-wàll|montar|one
🕑;02:00;00|02:00|2|2:00|montar|ñaar|piil
🕝;02:30;02:30|2|2:30|30|genn-wàll|montar|ñaar
🕒;03:00;00|03:00|3|3:00|garab|montar|piil
🕞;03:30;03:30|3|3:30|30|genn-wàll|montar|ñatt
🕓;04:00;00|04:00|4|4:00|montar|ñeent|piil
🕟;04:30;04:30|30|4|4:30|genn-wàll|montar|ñeent
🕔;05:00;00|05:00|5|5:00|juróom|montar|piil
🕠;05:30;05:30|30|5|5:30|genn-wàll|juróom|montar
🕕;06:00;00|06:00|6|6:00|juróom-benn|montar|piil
🕡;06:30;06:30|30|6|6:30|genn-wàll|juróom-benn|montar
🕖;07:00;00|07:00|7|7:00|juróom-ñaar|montar|piil
🕢;07:30;07:30|30|7|7:30|genn-wàll|juróom-ñaar|montar
🕗;08:00;00|08:00|8|8:00|juróom-ñatt|montar|piil
🕣;08:30;08:30|30|8|8:30|genn-wàll|juróom-ñatt|montar
🕘;09:00;00|09:00|9|9:00|juróom-ñeent|montar|piil
🕤;09:30;09:30|30|9|9:30|genn-wàll|juróom-ñeent|montar
🕙;10:00;00|10|10:00|fukk|montar|piil
🕥;10:30;10|10:30|30|fukk|genn-wàll|montar
🕚;11:00;00|11|11:00|fukk ak benn|montar|piil
🕦;11:30;11|11:30|30|fukk ak benn|genn-wàll|montar
🌑;weer wu bees;lëndëm|moon|weer wu bees
🌒;xaaju weer buy wàññiku;wàññiku|weer|xaaj|xaaju weer buy wàññiku
🌓;xaaju weer wu njëkk;weer wu njëkk|xaaj|xaaju weer wu njëkk
🌔;weer wu sew buy wàññiku;sew|wàññiku|weer|weer wu sew buy wàññiku
🌕;weer wu fees;fees|weer|weer wu fees
🌖;weer wu sew buy yokk;sew|weer|weer wu sew buy yokk|yokk
🌗;xaaju weer wu mujj;weer wu njëkk|xaaj|xaaju weer wu mujj
🌘;xaaju weer buy yokk;weer|xaaj|xaaju weer buy yokk|yokk
🌙;weer wu sew di màgg;sew di màgg|weer wu|weer wu sew di màgg
🌚;kanamu weer wu bees;kanam|kanamu weer wu bees|weer
