# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;Grinsgesiicht;Gesiicht|Grinsen|Grinsgesiicht
🦄;Einhornsgesiicht;Einhorn|Einhornsgesiicht|Gesiicht
🦓;Zebra;Sträif|Zebra
🦌;Hirsch;Hirsch
🦬;;
🐮;Kousgesiicht;Gesiicht|Kou|Kousgesiicht
🐂;Ochs;Ochs|Stärzeechen|Stéier
🐃;Waasserbüffel;Büffel|Waasser|Waasserbüffel
🐄;Kou;Kou
🐷;Schwéngsgesiicht;Gesiicht|Schwäin|Schwéngsgesiicht
🐖;Schwäin;Sau|Schwäin
🐗;Wëllschwäin;Schwäin|Wëllschwäin
🐽;Schwéngsnues;Gesiicht|Nues|Schwäin|Schwéngsnues
🐏;Widder;Männchen|Schof|Stärzeechen|Widder
🐑;Mudderschof;Mudder|Mudderschof|Schof|Weibchen
🐐;Geess;Geess|Stärzeechen|Steebock
🐪;Dromedar;Bockel|Dromedar
🐫;Kaméil;Bockel|Kaméil|zwee
🦙;;
🦒;Giraff;Flecken|Giraff
🐘;Elefant;Elefant
🦣;;
🦏;Nashorn;Nashorn
🦛;;
🐭;Mausgesiicht;Gesiicht|Maus|Mausgesiicht
🐁;Maus;Maus
🐀;Rat;Rat
🐹;Hamstersgesiicht;Gesiicht|Hamster|Hamstersgesiicht|Hausdéier
🐰;Huesgesiicht;Gesiicht|Hausdéier|Hues|Huesgesiicht|Kanéngchen
🐇;Hues;Hausdéier|Hues|Kanéngchen
🐿️;Kaweechelchen;Kaweechelchen
🦫;;
🦔;Kéiseker;däreg|Kéiseker
🦇;Fliedermaus;Fliedermaus|Vampir
🐻;Bieregesiicht;Bier|Bieregesiicht|Gesiicht
🐻‍❄️;;
🐨;Koalabier;Bier|Koalabier
🐼;Pandasgesiicht;Gesiicht|Panda|Pandasgesiicht
🦥;;
🦦;;
🦨;;
🦘;;
🦡;;
🐾;Pattenofdréck;Féiss|Ofdrock|Patt|Pattenofdréck
🦃;Schnuddelhong;Schnuddelhong|Vugel
🐔;Hong;Hong|Vugel
🐓;Hunn;Hunn|Vugel
🐣;Jippelchen am Ee;am Ee|Bëbee|Hong|Jippelchen|Jippelchen am Ee|kleng|Vugel
🐤;Jippelchen;Bëbee|Hong|Jippelchen|Vugel
🐥;Jippelche vu vir;Bëbee|Hong|Jippelche vu vir|Jippelchen|Vugel
🐦;Vugel;Vugel
🐧;Pinguin;Pinguin|Vugel
🕊️;Dauf;Dauf|fléien|Fridden|Vugel
🦅;Adler;Adler|Vugel
🦆;Int;Int|Vugel
🦢;;
🦉;Eil;Eil|klug|Vugel
🦤;;
🪶;;
🦩;;
🦚;;
🦜;;
🪽;;
🐦‍⬛;;
🪿;;
🐦‍🔥;;
🐸;Fräschegesiicht;Fräsch|Fräschegesiicht|Gesiicht
🐊;Krokodil;Krokodil
🐢;Deckelsmouk;Deckelsmouk|Douseschildkröt|Schildkröt
🦎;Eidechs;Eidechs|Reptil
🐍;Schlaang;Ophiuchus|Schlaang|Schlaangenträger|Stärzeechen
🐲;Draachegesiicht;Draach|Draachegesiicht|Gesiicht|Mäerchen
🐉;Draach;Draach|Mäerchen
🦕;Dinosaurier;Brachiosaurus|Brontosaurus|Dinosaurier|Diplodokus
🦖;T-Rex;T-Rex|Tyrannosaurus Rex
🐳;sprëtzende Wal;Gesiicht|sprëtzend|sprëtzende Wal|Wal
🐋;Wal;Wal
🐬;Delfin;Delfin|Flipper
🫍;;
🦭;;
🐟;Fësch;Fësch|Stärzeechen
🐠;tropesche Fësch;Fësch|tropesch|tropesche Fësch
🐡;Kugelfësch;Fësch|Kugelfësch
🦈;Hai;Fësch|Hai
🐙;Tëntefësch;Tëntefësch
🐚;Spiralmuschel;Muschel|Spiral|Spiralmuschel
🪸;;
🪼;;
🦀;Kriibs;Kriibs|Stärzeechen
🦞;;
🦐;Crevette;Crevette|Iessen|kleng|Mieresfruucht
🦑;Calamar;Calamar|Iessen|Mollusk
🦪;;
🐌;Schleek;Schleek
🦋;Päiperlek;Insekt|Päiperlek|schéin
🐛;Kiewerlek;Insekt|Kiewerlek
🐜;Seejomes;Insekt|Seejomes
🐝;Bei;Bei|Insekt
🪲;;
🐞;Himmelsdéierchen;Himmelsdéierchen|Insekt|Kiewerlek
🦗;Cricket;Cricket|Heesprénger
🪳;;
🕷️;Spann;Insekt|Spann
🕸️;Spannennetz;Netz|Spann|Spannennetz
🦂;Skorpioun;Skorpioun|Stärzeechen
🦟;;
🪰;;
🪱;;
🦠;;
💐;Blummebouquet;Blumm|Blummebouquet
🌸;Kiischtebléi;Bléi|Blumm|Kiischt|Kiischtebléi
💮;wäiss Blumm;Blumm|wäiss Blumm
🪷;;
🏵️;Rosett;Planz|Rosett
🌹;Rous;Blumm|Rous
🥀;verwielegt Blumm;Blumm|verwielegt
🌺;Hibiskus;Blumm|Hibiskus
🌻;Sonneblumm;Blumm|Sonn|Sonneblumm
🌼;Margréitchen;Blumm|Margréitchen
🌷;Tulp;Blumm|Tulp
🪻;;
🌱;Keimling;jonk|Keimling
🪴;;
🌲;Dännebam;Bam|Dännebam
🌳;Lafbam;Bam|falen|Laf|Lafbam
🌴;Palm;Bam|Palm
🌵;Kaktus;Kaktus|Planz
🌾;Räishallem;Hallem|Kär|Räis|Räishallem
🌿;Kräider;Blat|Kräider
☘️;Kléi;Kléi|Planz
🍀;véierbliederegt Kléiblat;4|Blat|Kléi|véier|véierbliederegt Kléiblat
🍁;Ahornblat;Ahorn|Ahornblat|Blat|falend
🍂;Hierschtblat;Blat|falend|Hierschtblat
🍃;am Wand fléiend Blat;am Wand fléiend Blat|Blat|blosen|fléien|Wand
🪹;;
🪺;;
🍄;Champignon;Champignon|Gëftpilz|Pilz
🪾;;

[food_drink]
🍇;Drauwen;Drauf|Drauwen|Uebst
🍈;Meloun;Meloun|Uebst
🍉;Waassermeloun;Uebst|Waassermeloun
🍊;Mandarine;Mandarine|Orange|Uebst
🍋;Zitroun;Uebst|Zitroun|Zitrusfriicht
🍋‍🟩;;
🍌;Banann;Banann|Uebst
🍍;Ananas;Ananas|Uebst
🥭;;
🍎;rouden Apel;Apel|rouden Apel|rout|Uebst
🍏;gréngen Apel;Apel|gréng|gréngen Apel|Uebst
🍐;Bir (Fruucht);Bir (Fruucht)|Uebst
🍑;Piisch;Piisch|Uebst
🍒;Kiischten;Kiischt|Kiischten|Uebst
🍓;Äerdbier;Äerdbier|Bier|Uebst
🫐;;
🥝;Kiwi;Iessen|Kiwi|Uebst
🍅;Tomat;Geméis|Tomat|Uebst
🫒;;
🥥;Kokosnoss;Kokosnoss|Palm|Piña Colada
🥑;Avocado;Avocado|Fruucht|Iessen
🍆;Aubergine;Aubergine|Geméis
🥔;Gromper;Geméis|Gromper|Iessen
🥕;Wuerzel;Geméis|Iessen|Wuerzel
🌽;Mais;Kolben|Labyrinth|Mais
🌶️;Peperoni;Peperoni|schaarf
🫑;;
🥒;Kornischong;Geméis|Iessen|Kornischong
🥬;;
🥦;Brokkoli;Brokkoli|wëlle Kabes
🧄;;
🧅;;
🥜;Kakuett;Geméis|Iessen|Kakuett|Noss
🫘;;
🌰;Käscht;Käscht|Planz
🫚;;
🫛;;
🍄‍🟫;;
🫜;;
🍞;Brout;Brout
🥐;Croissant;Brout|Croissant|franséisch|Iessen
🥖;Baguette;Baguette|Brout|franséisch|Iessen
🫓;;
🥨;Bretzel;Bretzel|gedréit
🥯;;
🥞;Paangecher;Crêpe|Iessen|Paangech|Paangecher|Pancake
🧇;;
🧀;Stéck Kéis;Kéis|Stéck Kéis
🍖;Fleeschschank;Fleesch|Fleeschschank|Schank
🍗;Pouletssträmpel;Been|Poulet|Pouletssträmpel|Schank|Stämpel
🥩;Stéck Fleesch;Bifdeck|Hämmelskotlett|Kotlett|Schwéngskotlett|Stéck Fleesch
🥓;Speck;Fleesch|Iessen|Speck
🍔;Hamburger;Burger|Hamburger
🍟;Fritten;Fritten
🍕;Pizza;Kéis|Pizza|Stéck
🌭;Hot Dog;Frankfurter|Hot Dog|Hotdog|Wurscht
🥪;Sandwich;Brout|Sandwich
🌮;Taco;mexikanesch|Taco
🌯;Burrito;Burrito|mexikanesch|Wrap
🫔;;
🥙;Kebab;Falafel|flaacht Brout|gefëllt|Gyros|Iessen|Kebab
🧆;;
🥚;Ee;Ee|Iessen
🍳;Pan mat Spigelee;broden|Ee|Pan|Pan mat Spigelee
🥘;Kasseroll mat Iessen;flaach|Iessen|Kasseroll|Kasseroll mat Iessen|Paella|Pan
🍲;Plat an enger Kasseroll;Eintopf|Kasseroll|Plat an enger Kasseroll
🫕;;
🥣;Boll mat Läffel;Boll mat Läffel|Frühstück|Kaffi|Müsli
🥗;gréng Zalot;gréng|Iessen|Zalot
🍿;Popcorn;Popcorn
🧈;;
🧂;;
🥫;Iessen an der Béchs;Béchs|Iessen an der Béchs
🍱;Bento-Box;Bento|Bento-Box|Box|Këscht
🍘;Räiskichelcher;Kichelchen|Räis|Räiskichelcher
🍙;Räisball;Ball|japanesch|Räis|Räisball
🍚;gekachte Räis;gekacht|gekachte Räis|Räis
🍛;Curry mat Räis;Curry|Curry mat Räis|Räis
🍜;Schossel mat Nuddelen;dämpend|Nuddelen|Ramen|Schossel|Schossel mat Nuddelen
🍝;Spagetti;Pasta|Spagetti
🍠;Séissgromper;gebroden|Gromper|séiss|Séissgromper
🍢;Oden;Broschett|Kebab|Mieresfriichten|Oden
🍣;Sushi;Sushi
🍤;Scampi-Tempura;Crevette|frittéiert|Scampi|Scampi-Tempura|Tempura
🍥;gerullte Fëschkichelchen;Fësch|gerullt|gerullte Fëschkichelchen|Kichelchen|Kuch
🥮;;
🍡;Dango;Brochett|Dango|Dessert|japanesch|séiss
🥟;Ravioli;Empanada|Gyoza|Jiaozi|Pierogi|Ravioli
🥠;Gléckskichelchen;Gléckskichelchen|Prophezeiung
🥡;Takeout-Këscht;Austerkëscht|Takeout-Këscht
🍦;Softice;Äis|Crème|Dessert|Glace|séiss|Softice
🍧;Waasserglace;Dessert|Glace|séiss|Waasser|Waasserglace
🍨;Glace;Äis|Dessert|Glace|séiss
🍩;Donut;Dessert|Donut|séiss
🍪;Kichelchen;Dessert|Kichelchen|séiss
🎂;Gebuertsdagskuch;Dessert|Feier|Gebäck|Gebuertsdag|Gebuertsdagskuch|Kuch|séiss
🍰;Stéck Kuch;Dessert|Gebäck|Kuch|séiss|Stéck
🧁;;
🥧;Taart;Fëllung|Gebäck|Taart
🍫;Tablett Schockela;Dessert|Schokela|séiss|Tablett|Tablett Schockela
🍬;Kamell;Dessert|Kamell|séiss
🍭;Lutsch;Dessert|Kamell|Lutsch|séiss
🍮;Pudding;Dessert|Pudding|séiss
🍯;Hunneg;Glas|Hunneg|Hunnegglas|séiss
🍼;Biberon;Biberon|drénken|Fläsch|Mëllech|Puppelchen
🥛;Glas Mëllech;Gedrénks|Glas|Mëllech
☕;waarmt Gedrénks;dämpend|drénken|Gedrénks|Kaffi|Téi|waarm|waarmt Gedrénks
🫖;;
🍵;Taass ouni Hänk;drénken|Gedrénks|Taass|Taass ouni Hänk|Téi|Téitaass
🍶;Sake;Bar|drénken|Fläsch|Gedrénks|Sake|Taass
🍾;Fläsch mat knallendem Stopp;Bar|drénken|Fläsch|Fläsch mat knallendem Stopp|knallend|Stopp
🍷;Wäiglas;Bar|drénken|Gedrénks|Glas|Wäiglas|Wäin
🍸;Cocktailglas;Bar|Cocktail|Cocktailglas|Gedrénks|Glas
🍹;exotescht Gedrénks;Bar|exotesch|exotescht Gedrénks|Gedrénks
🍺;Klensch;Bar|Béier|Gedrénks|Klensch
🍻;prostend Béierklenschen;Bar|Béier|Gedrénks|Klensch|prosten|prostend Béierklenschen
🥂;prostend Glieser;feieren|Gedrénks|Glas|prosten|prostend Glieser
🥃;Whiskyglas;Alkohol|Glas|Shot|Whisky|Whiskyglas
🫗;;
🥤;Glas mat Stréihallem;Glas mat Stréihallem|Jus|Softdrink
🧋;;
🧃;;
🧉;;
🧊;;
🥢;asiatesch Béngelen;asiatesch Béngelen|Hashi
🍽️;Forschett a Messer mat Teller;Forschett|Forschett a Messer mat Teller|kachend|Messer|Teller
🍴;Forschett a Messer;Forschett|Forschett a Messer|kachend|Messer
🥄;Läffel;Geschir|Läffel
🔪;Kichemesser;kachen|Kichemesser|Kichen|Messer|Utensil|Waff
🫙;;
🏺;Amphore;Amphore|Gedrénks|kachend|Krou|Stärzeechen|Utensil|Waassermann|Waff

[travel_places]
🌍;Globus (zentréiert op Europa an Afrika);Äerd|Afrika|Europa|Globus|Globus (zentréiert op Europa an Afrika)|Welt
🌎;Globus (zentréiert op Nord-/Südamerika);Äerd|Globus|Globus (zentréiert op Nord-/Südamerika)|Nordamerika|Südamerika|Welt
🌏;Globus (zentréiert op Asien an Australien);Äerd|Asien|Australien|Globus|Globus (zentréiert op Asien an Australien)|Welt
🌐;Meridianglobus;Äerd|Globus|Meridian|Meridianglobus|Welt
🗺️;Weltkaart;Kaart|Welt|Weltkaart
🗾;Kaart vu Japan;Japan|Kaart|Kaart vu Japan
🧭;;
🏔️;mat Schnéi bedeckte Bierg;Bierg|kal|mat Schnéi bedeckte Bierg|Schnéi
⛰️;Bierg;Bierg
🛘;;
🌋;Vulkan;Bierg|Eruptioun|Vulkan
🗻;Mount Fuji;Bierg|Fuji|Mount Fuji
🏕️;Camping;Camping
🏖️;Plage mat Sonneprabbeli;Plage|Plage mat Sonneprabbeli|Prabbeli
🏜️;Wüst;Wüst
🏝️;Wüsteninsel;Insel|Wüst|Wüsteninsel
🏞️;Nationalpark;Nationalpark|Park
🏟️;Stadion;Stadion
🏛️;klassescht Gebai;klassesch|klassescht Gebai
🏗️;Kran;Aarbechten|Kran|Stroossebarrière
🧱;;
🪨;;
🪵;;
🛖;;
🏘️;Haiser;Haiser
🏚️;eidelt Haus;eidel|eidelt Haus|Haus
🏠;Haus;Doheem|Haus
🏡;Haus mat Gaart;Doheem|Gaart|Haus|Haus mat Gaart
🏢;Bürosgebai;Bürosgebai|Gebai
🏣;japanesche Postbüro;japanesch|japanesche Postbüro|Post
🏤;Postbüro;europäesch|Post|Postbüro
🏥;Spidol;Dokter|Medezin|Spidol
🏦;Bank;Bank|Gebai
🏨;Hotel;Gebai|Hotel
🏩;Love Hotel;Hotel|Léift|Love Hotel
🏪;Supermarché;Geschäft|Supermarché
🏫;Schoul;Gebai|Schoul
🏬;Akafszenter;Akafszenter|Geschäft
🏭;Fabrik;Fabrik|Gebai
🏯;japanescht Schlass;japanesch|japanescht Schlass|Schlass
🏰;Schlass;europäesch|Schlass
💒;Hochzäit;Hochzäit|Kapell|Romanz
🗼;Tokyo Tower;Tokyo|Tower|Tuerm
🗽;Fräiheetsstatu;Fräiheet|Fräiheetsstatu|Statu
⛪;Kierch;chrëschtlech|Kierch|Kräiz|Relioun
🕌;Moschee;Islam|Moschee|Moslem|Relioun
🛕;;
🕍;Synagog;jiddesch|Judd|Relioun|Synagog|Tempel
⛩️;Shinto-Schräin;Relioun|Schräin|Shinto|Shinto-Schräin
🕋;Kaaba;Islam|Kaaba|Moslem|Relioun
⛲;Sprangbuer;Sprangbuer
⛺;Zelt;Camping|Zelt
🌁;niwweleg;Niwwel|niwweleg
🌃;Stärenhimmel;Himmel|Nuecht|Stär|Stärenhimmel
🏙️;Stadlandschaft;Stad|Stadlandschaft
🌄;Sonnenopgang an de Bierger;Bierg|Moien|Sonn|Sonnenopgang|Sonnenopgang an de Bierger
🌅;Sonnenopgang;Moien|Sonn|Sonnenopgang
🌆;Stad an der Dämmerung;Dämmerung|Landschaft|Owend|Sonn|Sonnenënnergang|Stad|Stad an der Dämmerung
🌇;Sonnenënnergang;Dämmerung|Sonn|Sonnenënnergang
🌉;Bréck nuets;Bréck|Nuecht|nuets
♨️;waarm Quellen;dämpend|Quellen|waarm
🎠;Karussellpäerdchen;Karussell|Karussellpäerdchen|Päerdchen
🛝;;
🎡;Riserad;Fouer|Fräizäitpark|Rad|Riserad
🎢;Achterbahn;Achterbahn|Fräizäitpark
💈;Coifferssail;Coiffer|Coifferssail|Coupe|Sail
🎪;Zirkuszelt;Zelt|Zirkus|Zirkuszelt
🚂;Lokomotiv;Damp|Eisebunn|Lokomotiv|Motor|Zuch
🚃;Zuchwaggon;Eisebunn|elektresch|Tram|Trolleybus|Waggon|Zuch|Zuchwaggon
🚄;Schnellzuch;Eisebunn|Schnellzuch|Shinkansen|Vitess|Zuch
🚅;Schnellzuch mat Fligernues;Eisebunn|Fliger|Schnellzuch mat Fligernues|Shinkansen|Vitess|Zuch
🚆;Zuch;Eisebunn|Zuch
🚇;Metro;Metro|U-Bahn
🚈;Stadbunn;Eisebunn|Stadbunn
🚉;Haltestell;Eisebunn|Haltestell|Zuch
🚊;Tram;Tram|Trolleybus
🚝;Monorail;Gefier|Monorail
🚞;Biergzuch;Bierg|Biergzuch|Eisebunn|Waggon
🚋;Tramwaggon;Tram|Tramwaggon|Trolleybus|Waggon
🚌;Bus;Bus|Gefier
🚍;entgéintkommende Bus;Bus|entgéintkommend|entgéintkommende Bus
🚎;Trolleybus;Bus|Tram|Trolley|Trolleybus
🚐;Minibus;Bus|Minibus
🚑;Ambulanz;Ambulanz|Gefier
🚒;Pompjeeswon;Camion|Feier|Motor|Pompjeeswon
🚓;Policeauto;Auto|Patrull|Police|Policeauto
🚔;entgéintkommende Policeauto;Auto|entgéintkommend|entgéintkommende Policeauto|Police
🚕;Taxi;Gefier|Taxi
🚖;entgéintkommenden Taxi;entgéintkommend|entgéintkommenden Taxi|Taxi
🚗;Auto;Auto|Automobil
🚘;entgéintkommenden Auto;Auto|Automobil|entgéintkommend|entgéintkommenden Auto
🚙;SUV;Fräizäit|Sportswon|SUV
🛻;;
🚚;Liwwerwon;Liwwerung|Liwwerwon|Won
🚛;Sattelschlepper;Camion|Sattelschlepper|Schlepper|Semi
🚜;Trakter;Gefier|Trakter
🏎️;Courseauto;Auto|Course|Courseauto
🏍️;Motorrad;Course|Motorrad
🛵;Scooter;Motor|Scooter
🦽;;
🦼;;
🛺;;
🚲;Vëlo;Vëlo
🛴;Trottinette;stoussen|Trottinette
🛹;;
🛼;;
🚏;Bushaltestell;Arrêt|Bus|Bushaltestell
🛣️;Schnellstrooss;Autobunn|Schnellstrooss|Strooss
🛤️;Schinnen;Eisebunn|Schinnen|Zuch
🛢️;Uelegfaass;Faass|Ueleg|Uelegfaass
⛽;Tankstell;Bensin|Pompel|Statioun|Tankstell
🛞;;
🚨;Gyrophar;Auto|dréiend|Gyrophar|Luucht|Police|Signal
🚥;horizontal rout Luucht;horizontal rout Luucht|Luucht|Verkéier|Zeechen
🚦;vertikal rout Luucht;Luucht|Verkéier|vertikal rout Luucht|Zeechen
🛑;Stoppschëld;aachteckeg|Schëld|Stopp|Stoppschëld
🚧;Stroossebarrière;Barrière|Stroossebarrière
⚓;Anker;Anker|Handwierksgeschir|Schëff
🛟;;
⛵;Segelboot;Boot|Mier|Resort|Segelboot|Yacht
🛶;Kanu;Boot|Kanu
🚤;Schnellboot;Boot|Schnellboot
🛳️;Passagéierschëff;Passagéier|Passagéierschëff|Schëff
⛴️;Fähr;Boot|Fähr|Passagéier
🛥️;Motorboot;Boot|Motorboot
🚢;Schëff;Boot|Passagéier|Schëff
✈️;Fliger;Fliger
🛩️;klenge Fliger;Fliger|klenge Fliger
🛫;Fligersdepart;Check-In|Depart|Departen|Fliger|Fligersdepart
🛬;Fligersarrivée;Arrivéeeën|Fliger|Fligersarrivée|landend|ukommend
🪂;;
💺;Sëtz;Sëtz|Sëtzplaz
🚁;Helikopter;Gefier|Helikopter
🚟;Schwiefbunn;Bunn|Schwiefbunn|schwiewen
🚠;Biergseelbunn;Bierg|Biergseelbunn|Gondel|Kabel|Seelbunn
🚡;Loftseelbunn;Bunn|Gondel|Kabel|Loft|Loftseelbunn|Seel|Tram|Waggon
🛰️;Satellit;Satellit|Weltall
🚀;Rakéit;Rakéit|Weltall
🛸;UFO;UFO
🛎️;Hotelpageschell;Hotel|Hotelpage|Hotelpageschell|Schell
🧳;;
⌛;Sandauer;Auer|Sand|Sandauer|Zäit
⏳;Sandauer mat lafendem Sand;Auer|Sand|Sandauer|Sandauer mat lafendem Sand|Zäit
⌚;Auer;Auer
⏰;Wecker;Auer|Wecker
⏱️;Stoppauer;Auer|Stoppauer
⏲️;Timer;Auer|Timer
🕰️;Kamäinauer;Auer|Kamäinauer
🕛;zwielef Auer;00|12|12:00|Auer|Auerzäit|zwielef
🕧;hallwer eng;12|12:30|30|Auer|drësseg|eng|hallwer|zwielef
🕐;eng Auer;00|1|1:00|Auer|Auerzäit|eng
🕜;hallwer zwou;1|1:30|30|Auer|drësseg|eng|hallwer|zwou
🕑;zwou Auer;00|2|2:00|Auer|Auerzäit|zwou
🕝;hallwer dräi;2|2:30|30|Auer|dräi|drësseg|hallwer|zwou
🕒;dräi Auer;00|3|3:00|Auer|Auerzäit|dräi
🕞;hallwer véier;3|3:30|30|Auer|dräi|drësseg|hallwer|véier
🕓;véier Auer;00|4|4:00|Auer|Auerzäit|véier
🕟;hallwer fënnef;30|4|4:30|Auer|drësseg|fënnef|hallwer|véier
🕔;fënnef Auer;00|5|5:00|Auer|Auerzäit|fënnef
🕠;hallwer sechs;30|5|5:30|Auer|drësseg|fënnef|hallwer|sechs
🕕;sechs Auer;00|6|6:00|Auer|Auerzäit|sechs
🕡;hallwer siwen;30|6|6:30|Auer|drësseg|hallwer|sechs|siwen
🕖;siwen Auer;00|7|7:00|Auer|Auerzäit|siwen
🕢;hallwer aacht;30|7|7:30|aacht|Auer|drësseg|hallwer|siwen
🕗;aacht Auer;00|8|8:00|aacht|Auer|Auerzäit
🕣;hallwer néng;30|8|8:30|aacht|Auer|drësseg|hallwer|néng
🕘;néng Auer;00|9|9:00|Auer|Auerzäit|néng
🕤;hallwer zéng;30|9|9:30|Auer|drësseg|hallwer|néng|zéng
🕙;zéng Auer;00|10|10:00|Auer|Auerzäit|zéng
🕥;hallwer eelef;10|10:30|30|Auer|drësseg|eelef|hallwer|zéng
🕚;eelef Auer;00|11|11:00|Auer|Auerzäit|eelef
🕦;hallwer zwielef;11|11:30|30|Auer|drësseg|eelef|hallwer|zwielef
🌑;Neimound;däischter|Mound|Neimound
🌒;Séchelmound am éischte Véierel;éischte Véierel|Mound|Séchelmound|Séchelmound am éischte Véierel
🌓;zouhuelenden Hallefmound;Hallef|Mound|Véierel|zouhuelenden Hallefmound
🌔;Séchelmound am zweete Véierel;Mound|Séchelmound|Séchelmound am zweete Véierel|zweete Véierel
🌕;Vollmound;Mound|voll|Vollmound
🌖;Séchelmound am drëtte Véierel;drëtte Véierel|Mound|Séchelmound|Séchelmound am drëtte Véierel
🌗;ofhuelenden Hallefmound;Hallef|Mound|ofhuelenden Hallefmound|Véierel
🌘;Séchelmound am leschte Véierel;leschte Véierel|Mound|Séchelmound|Séchelmound am leschte Véierel
🌙;Moundséchel;Mound|Moundséchel|Séchel
🌚;Neimoundgesiicht;Gesiicht|Mound|Neimoundgesiicht
🌛;zouhuelenden Hallefmoundgesiicht;Gesiicht|Hallef|Mound|Véierel|zouhuelenden Hallefmoundgesiicht
🌜;ofhuelenden Hallefmoundgesiicht;Gesiicht|Hallef|Mound|ofhuelenden Hallefmoundgesiicht|Véierel
🌡️;Thermometer;Thermometer|Wieder
☀️;Sonn;hell|Sonn|sonneg|Stralen
🌝;Vollmoundgesiicht;Gesiicht|hell|Mound|voll|Vollmoundgesiicht
🌞;Sonnegesiicht;Gesiicht|hell|Sonn|Sonnegesiicht
🪐;;
⭐;mëttelgrousse wäisse Stär;mëttelgrousse wäisse Stär|Stär
🌟;liichtende Stär;blénkeg|blénken|glënnerend|liichtend|liichtende Stär|Stär
🌠;Stäreschnäiz;falend|Stär|Stäreschnäiz
🌌;Mëllechstrooss;Mëllechstrooss|Weltall
☁️;Wollek;Wieder|Wollek
⛅;Sonn hannert Wolleken;Sonn|Sonn hannert Wolleken|Wollek
⛈️;Wollek mat Blëtz a Reen;Donnerwieder|Reen|Wollek|Wollek mat Blëtz a Reen
🌤️;Sonn hannert kleng Wolleken;Sonn|Sonn hannert kleng Wolleken|Wollek
🌥️;Sonn hannert grouss Wolleken;Sonn|Sonn hannert grouss Wolleken|Wollek
🌦️;Sonn hannert Reewollek;Reen|Sonn|Sonn hannert Reewollek|Wollek
🌧️;Wollek mat Reen;Reen|Wollek|Wollek mat Reen
🌨️;Wollek mat Schnéi;kal|Schnéi|Wollek|Wollek mat Schnéi
🌩️;Wollek mat Blëtz;Blëtz|Wollek|Wollek mat Blëtz
🌪️;Tornado;Tornado|Wirbelwand|Wollek
🌫️;Niwwel;Niwwel|Wollek
🌬️;Wandgesiicht;blosen|Gesiicht|Wand|Wandgesiicht|Wollek
🌀;Zyklon;Schwindel|Taifun|Twister|Zyklon
🌈;Reebou;Reebou|Reen
🌂;zoue Prabbeli;Kleedung|Prabbeli|Reen|zoue Prabbeli
☂️;Prabbeli;Kleedung|Prabbeli|Reen
☔;Prabbeli mat Reendrëpsen;Drëps|Kleedung|Prabbeli|Prabbeli mat Reendrëpsen|Reen
⛱️;Prabbeli um Buedem;Prabbeli|Prabbeli um Buedem|Reen|Sonn
⚡;Héichspannung;Blëtz|elektresch|Gefor|Héichspannung|Spannung|Stroum
❄️;Schnéiflack;kal|Schnéi|Schnéiflack
☃️;Schnéimännchen;kal|Schnéi|Schnéimännchen
⛄;Schnéimännchen ouni Schnéi;kal|Schnéi|Schnéimännchen|Schnéimännchen ouni Schnéi
☄️;Komet;Komet|Weltall
🔥;Feier;Feier|Flam|Handwierksgeschir
💧;Drëpschen;Comic|Drëps|Drëpschen|kal|Schweess
🌊;Waasserwell;Ozean|Waasser|Waasserwell|Well

[activities]
🎃;Halloweenkürbis;Feier|Halloween|Halloweenkürbis|Kürbis|Lampion
🎄;Chrëschtbeemchen;Bam|Chrëschtbeemchen|Chrëschtdag|Feier
🎆;Freedefeier;Feier|Freedefeier
🎇;Späizmännchen;Feier|Fonken|Freedefeier|Späizmännchen
🧨;;
✨;fonkelend Stären;fonkelend Stären|Fonken|Stär
🎈;Ballon;Ballon|Feier
🎉;Pochette-surprise;Feier|Iwwerraschung|Party|Pochette|Pochette-surprise|Surprise
🎊;Konfettiball;Ball|Feier|Konfetti|Konfettiball
🎋;Tanabata-Bam;Bam|Banner|Feier|japanesch|Tanabata-Bam
🎍;Dännendekoratioun;Bambus|Dänn|Dännendekoratioun|Feier|japanesch
🎎;Japanesch Poppen;Feier|Festival|japanesch|Japanesch Poppen|Popp
🎏;Koi-Kaarpe-Fändelen;Fändel|Feier|Kaarp|Koi-Kaarpe-Fändelen
🎐;Wandspill;Feier|Klack|Klackespill|Wand|Wandspill
🎑;Moundbetruechtungszeremonie;Feier|Mound|Moundbetruechtungszeremonie|Zeremonie
🧧;;
🎀;Band;Band|Feier
🎁;Kaddo;agepak|Feier|Geschenk|Kaddo|Këscht
🎗️;Commemoratiounsband;Band|Commemoratioun|Commemoratiounsband|Erënnerung|Feier
🎟️;Entréesticket;Billjee|Entrée|Entréesticket|Ticket
🎫;Billjee;Billjee|Entrée
🎖️;Militärmedail;Feier|Medail|Militär|Militärmedail
🏆;Coupe;Coupe|Präis
🏅;Sportsmedail;Medail|Sportsmedail
🥇;Goldmedail;éischt Plaz|Gold|Goldmedail|Medail
🥈;Sëlwermedail;Medail|Sëlwer|Sëlwermedail|zweet Plaz
🥉;Bronzemedail;Bronze|Bronzemedail|drëtt Plaz|Medail
⚽;Fussball;Ball|Fussball
⚾;Baseball;Ball|Baseball
🥎;;
🏀;Basketball;Ball|Basketball|Kuerf|Reef
🏐;Volleyball;Kugel|Spill|Volleyball
