# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ubuso obuhlekayo;hleka|ubuso|ubuso obuhlekayo
	👈🏽;isalathiso somva wesandla esalatha ekhohlo: ithoni yesikhumba esiphakathi;isalathiso|isalathiso somva wesandla esalatha ekhohlo|isandla|ithoni yesikhumba esiphakathi|umnwe|umva wesandla|yalatha
	👈🏾;isalathiso somva wesandla esalatha ekhohlo: ithoni yesikhumba esiphakathi mnyama;isalathiso|isalathiso somva wesandla esalatha ekhohlo|isandla|ithoni yesikhumba esiphakathi mnyama|umnwe|umva wesandla|yalatha
	👈🏿;isalathiso somva wesandla esalatha ekhohlo: ithoni yesikhumba emnyama;isalathiso|isalathiso somva wesandla esalatha ekhohlo|isandla|ithoni yesikhumba emnyama|umnwe|umva wesandla|yalatha
👉;isalathiso somva wesandla esalatha ekunene;isalathiso|isalathiso somva wesandla esalatha ekunene|isandla|umnwe|umva wesandla|yalatha
	👉🏻;isalathiso somva wesandla esalatha ekunene: ithoni yesikhumba esikhanyayo;isalathiso|isalathiso somva wesandla esalatha ekunene|isandla|ithoni yesikhumba esikhanyayo|umnwe|umva wesandla|yalatha
	👉🏼;isalathiso somva wesandla esalatha ekunene: ithoni yesikhumba esikhanyayo phakathi;isalathiso|isalathiso somva wesandla esalatha ekunene|isandla|ithoni yesikhumba esikhanyayo phakathi|umnwe|umva wesandla|yalatha
	👉🏽;isalathiso somva wesandla esalatha ekunene: ithoni yesikhumba esiphakathi;isalathiso|isalathiso somva wesandla esalatha ekunene|isandla|ithoni yesikhumba esiphakathi|umnwe|umva wesandla|yalatha
	👉🏾;isalathiso somva wesandla esalatha ekunene: ithoni yesikhumba esiphakathi mnyama;isalathiso|isalathiso somva wesandla esalatha ekunene|isandla|ithoni yesikhumba esiphakathi mnyama|umnwe|umva wesandla|yalatha
	👉🏿;isalathiso somva wesandla esalatha ekunene: ithoni yesikhumba emnyama;isalathiso|isalathiso somva wesandla esalatha ekunene|isandla|ithoni yesikhumba emnyama|umnwe|umva wesandla|yalatha
👆;isalathiso somva wesandla esalatha phezulu;isalathiso|isalathiso somva wesandla esalatha phezulu|isandla|phezulu|umnwe|umva wesandla|yalatha
	👆🏻;isalathiso somva wesandla esalatha phezulu: ithoni yesikhumba esikhanyayo;isalathiso|isalathiso somva wesandla esalatha phezulu|isandla|ithoni yesikhumba esikhanyayo|phezulu|umnwe|umva wesandla|yalatha
	👆🏼;isalathiso somva wesandla esalatha phezulu: ithoni yesikhumba esikhanyayo phakathi;isalathiso|isalathiso somva wesandla esalatha phezulu|isandla|ithoni yesikhumba esikhanyayo phakathi|phezulu|umnwe|umva wesandla|yalatha
	👆🏽;isalathiso somva wesandla esalatha phezulu: ithoni yesikhumba esiphakathi;isalathiso|isalathiso somva wesandla esalatha phezulu|isandla|ithoni yesikhumba esiphakathi|phezulu|umnwe|umva wesandla|yalatha
	👆🏾;isalathiso somva wesandla esalatha phezulu: ithoni yesikhumba esiphakathi mnyama;isalathiso|isalathiso somva wesandla esalatha phezulu|isandla|ithoni yesikhumba esiphakathi mnyama|phezulu|umnwe|umva wesandla|yalatha
	👆🏿;isalathiso somva wesandla esalatha phezulu: ithoni yesikhumba emnyama;isalathiso|isalathiso somva wesandla esalatha phezulu|isandla|ithoni yesikhumba emnyama|phezulu|umnwe|umva wesandla|yalatha
🖕;umnwe ophakathi;isandla|umnwe|umnwe ophakathi
	🖕🏻;umnwe ophakathi: ithoni yesikhumba esikhanyayo;isandla|ithoni yesikhumba esikhanyayo|umnwe|umnwe ophakathi
	🖕🏼;umnwe ophakathi: ithoni yesikhumba esikhanyayo phakathi;isandla|ithoni yesikhumba esikhanyayo phakathi|umnwe|umnwe ophakathi
	🖕🏽;umnwe ophakathi: ithoni yesikhumba esiphakathi;isandla|ithoni yesikhumba esiphakathi|umnwe|umnwe ophakathi
	🖕🏾;umnwe ophakathi: ithoni yesikhumba esiphakathi mnyama;isandla|ithoni yesikhumba esiphakathi mnyama|umnwe|umnwe ophakathi
	🖕🏿;umnwe ophakathi: ithoni yesikhumba emnyama;isandla|ithoni yesikhumba emnyama|umnwe|umnwe ophakathi
👇;isalathiso somva wesandla esalatha ezantsi;ezantsi|isalathiso|isalathiso somva wesandla esalatha ezantsi|isandla|phezulu|umnwe|umva wesandla|yalatha
	👇🏻;isalathiso somva wesandla esalatha ezantsi: ithoni yesikhumba esikhanyayo;ezantsi|isalathiso|isalathiso somva wesandla esalatha ezantsi|isandla|ithoni yesikhumba esikhanyayo|phezulu|umnwe|umva wesandla|yalatha
	👇🏼;isalathiso somva wesandla esalatha ezantsi: ithoni yesikhumba esikhanyayo phakathi;ezantsi|isalathiso|isalathiso somva wesandla esalatha ezantsi|isandla|ithoni yesikhumba esikhanyayo phakathi|phezulu|umnwe|umva wesandla|yalatha
	👇🏽;isalathiso somva wesandla esalatha ezantsi: ithoni yesikhumba esiphakathi;ezantsi|isalathiso|isalathiso somva wesandla esalatha ezantsi|isandla|ithoni yesikhumba esiphakathi|phezulu|umnwe|umva wesandla|yalatha
	👇🏾;isalathiso somva wesandla esalatha ezantsi: ithoni yesikhumba esiphakathi mnyama;ezantsi|isalathiso|isalathiso somva wesandla esalatha ezantsi|isandla|ithoni yesikhumba esiphakathi mnyama|phezulu|umnwe|umva wesandla|yalatha
	👇🏿;isalathiso somva wesandla esalatha ezantsi: ithoni yesikhumba emnyama;ezantsi|isalathiso|isalathiso somva wesandla esalatha ezantsi|isandla|ithoni yesikhumba emnyama|phezulu|umnwe|umva wesandla|yalatha
☝️;isalathiso esalatha phezulu;isalathiso|isalathiso esalatha phezulu|isandla|phezulu|umnwe|yalatha
	☝🏻;isalathiso esalatha phezulu: ithoni yesikhumba esikhanyayo;isalathiso|isalathiso esalatha phezulu|isandla|ithoni yesikhumba esikhanyayo|phezulu|umnwe|yalatha
	☝🏼;isalathiso esalatha phezulu: ithoni yesikhumba esikhanyayo phakathi;isalathiso|isalathiso esalatha phezulu|isandla|ithoni yesikhumba esikhanyayo phakathi|phezulu|umnwe|yalatha
	☝🏽;isalathiso esalatha phezulu: ithoni yesikhumba esiphakathi;isalathiso|isalathiso esalatha phezulu|isandla|ithoni yesikhumba esiphakathi|phezulu|umnwe|yalatha
	☝🏾;isalathiso esalatha phezulu: ithoni yesikhumba esiphakathi mnyama;isalathiso|isalathiso esalatha phezulu|isandla|ithoni yesikhumba esiphakathi mnyama|phezulu|umnwe|yalatha
	☝🏿;isalathiso esalatha phezulu: ithoni yesikhumba emnyama;isalathiso|isalathiso esalatha phezulu|isandla|ithoni yesikhumba emnyama|phezulu|umnwe|yalatha
🫵;;
	🫵🏻;;
	🫵🏼;;
	🫵🏽;;
	🫵🏾;;
	🫵🏿;;
👍;ubhontsi ojonge phezulu;+1|isandla|phezulu|ubhontsi|ubhontsi ojonge phezulu
	👍🏻;ubhontsi ojonge phezulu: ithoni yesikhumba esikhanyayo;+1|isandla|ithoni yesikhumba esikhanyayo|phezulu|ubhontsi|ubhontsi ojonge phezulu
	👍🏼;ubhontsi ojonge phezulu: ithoni yesikhumba esikhanyayo phakathi;+1|isandla|ithoni yesikhumba esikhanyayo phakathi|phezulu|ubhontsi|ubhontsi ojonge phezulu
	👍🏽;ubhontsi ojonge phezulu: ithoni yesikhumba esiphakathi;+1|isandla|ithoni yesikhumba esiphakathi|phezulu|ubhontsi|ubhontsi ojonge phezulu
	👍🏾;ubhontsi ojonge phezulu: ithoni yesikhumba esiphakathi mnyama;+1|isandla|ithoni yesikhumba esiphakathi mnyama|phezulu|ubhontsi|ubhontsi ojonge phezulu
	👍🏿;ubhontsi ojonge phezulu: ithoni yesikhumba emnyama;+1|isandla|ithoni yesikhumba emnyama|phezulu|ubhontsi|ubhontsi ojonge phezulu
👎;ubhontsi ojonge ezantsi;-1|ezantsi|isandla|ubhontsi|ubhontsi ojonge ezantsi
	👎🏻;ubhontsi ojonge ezantsi: ithoni yesikhumba esikhanyayo;-1|ezantsi|isandla|ithoni yesikhumba esikhanyayo|ubhontsi|ubhontsi ojonge ezantsi
	👎🏼;ubhontsi ojonge ezantsi: ithoni yesikhumba esikhanyayo phakathi;-1|ezantsi|isandla|ithoni yesikhumba esikhanyayo phakathi|ubhontsi|ubhontsi ojonge ezantsi
	👎🏽;ubhontsi ojonge ezantsi: ithoni yesikhumba esiphakathi;-1|ezantsi|isandla|ithoni yesikhumba esiphakathi|ubhontsi|ubhontsi ojonge ezantsi
	👎🏾;ubhontsi ojonge ezantsi: ithoni yesikhumba esiphakathi mnyama;-1|ezantsi|isandla|ithoni yesikhumba esiphakathi mnyama|ubhontsi|ubhontsi ojonge ezantsi
	👎🏿;ubhontsi ojonge ezantsi: ithoni yesikhumba emnyama;-1|ezantsi|isandla|ithoni yesikhumba emnyama|ubhontsi|ubhontsi ojonge ezantsi
✊;inqindi elinyusiweyo;fumbatha|inqindi|inqindi elinyusiweyo|isandla
	✊🏻;inqindi elinyusiweyo: ithoni yesikhumba esikhanyayo;fumbatha|inqindi|inqindi elinyusiweyo|isandla|ithoni yesikhumba esikhanyayo
	✊🏼;inqindi elinyusiweyo: ithoni yesikhumba esikhanyayo phakathi;fumbatha|inqindi|inqindi elinyusiweyo|isandla|ithoni yesikhumba esikhanyayo phakathi
	✊🏽;inqindi elinyusiweyo: ithoni yesikhumba esiphakathi;fumbatha|inqindi|inqindi elinyusiweyo|isandla|ithoni yesikhumba esiphakathi
	✊🏾;inqindi elinyusiweyo: ithoni yesikhumba esiphakathi mnyama;fumbatha|inqindi|inqindi elinyusiweyo|isandla|ithoni yesikhumba esiphakathi mnyama
	✊🏿;inqindi elinyusiweyo: ithoni yesikhumba emnyama;fumbatha|inqindi|inqindi elinyusiweyo|isandla|ithoni yesikhumba emnyama
👊;inqindi elizayo;fumbatha|inqindi|inqindi elizayo|isandla
	👊🏻;inqindi elizayo: ithoni yesikhumba esikhanyayo;fumbatha|inqindi|inqindi elizayo|isandla|ithoni yesikhumba esikhanyayo
	👊🏼;inqindi elizayo: ithoni yesikhumba esikhanyayo phakathi;fumbatha|inqindi|inqindi elizayo|isandla|ithoni yesikhumba esikhanyayo phakathi
	👊🏽;inqindi elizayo: ithoni yesikhumba esiphakathi;fumbatha|inqindi|inqindi elizayo|isandla|ithoni yesikhumba esiphakathi
	👊🏾;inqindi elizayo: ithoni yesikhumba esiphakathi mnyama;fumbatha|inqindi|inqindi elizayo|isandla|ithoni yesikhumba esiphakathi mnyama
	👊🏿;inqindi elizayo: ithoni yesikhumba emnyama;fumbatha|inqindi|inqindi elizayo|isandla|ithoni yesikhumba emnyama
🤛;inqindi elijonge ekhohlo;ekhohlo|inqindi|inqindi elijonge ekhohlo
	🤛🏻;inqindi elijonge ekhohlo: ithoni yesikhumba esikhanyayo;ekhohlo|inqindi|inqindi elijonge ekhohlo|ithoni yesikhumba esikhanyayo
	🤛🏼;inqindi elijonge ekhohlo: ithoni yesikhumba esikhanyayo phakathi;ekhohlo|inqindi|inqindi elijonge ekhohlo|ithoni yesikhumba esikhanyayo phakathi
	🤛🏽;inqindi elijonge ekhohlo: ithoni yesikhumba esiphakathi;ekhohlo|inqindi|inqindi elijonge ekhohlo|ithoni yesikhumba esiphakathi
	🤛🏾;inqindi elijonge ekhohlo: ithoni yesikhumba esiphakathi mnyama;ekhohlo|inqindi|inqindi elijonge ekhohlo|ithoni yesikhumba esiphakathi mnyama
	🤛🏿;inqindi elijonge ekhohlo: ithoni yesikhumba emnyama;ekhohlo|inqindi|inqindi elijonge ekhohlo|ithoni yesikhumba emnyama
🤜;inqindi elijonge ekunene;ekunene|inqindi|inqindi elijonge ekunene
	🤜🏻;inqindi elijonge ekunene: ithoni yesikhumba esikhanyayo;ekunene|inqindi|inqindi elijonge ekunene|ithoni yesikhumba esikhanyayo
	🤜🏼;inqindi elijonge ekunene: ithoni yesikhumba esikhanyayo phakathi;ekunene|inqindi|inqindi elijonge ekunene|ithoni yesikhumba esikhanyayo phakathi
	🤜🏽;inqindi elijonge ekunene: ithoni yesikhumba esiphakathi;ekunene|inqindi|inqindi elijonge ekunene|ithoni yesikhumba esiphakathi
	🤜🏾;inqindi elijonge ekunene: ithoni yesikhumba esiphakathi mnyama;ekunene|inqindi|inqindi elijonge ekunene|ithoni yesikhumba esiphakathi mnyama
	🤜🏿;inqindi elijonge ekunene: ithoni yesikhumba emnyama;ekunene|inqindi|inqindi elijonge ekunene|ithoni yesikhumba emnyama
👏;izandla eziqhwabayo;isandla|izandla eziqhwabayo|qhwaba
	👏🏻;izandla eziqhwabayo: ithoni yesikhumba esikhanyayo;isandla|ithoni yesikhumba esikhanyayo|izandla eziqhwabayo|qhwaba
	👏🏼;izandla eziqhwabayo: ithoni yesikhumba esikhanyayo phakathi;isandla|ithoni yesikhumba esikhanyayo phakathi|izandla eziqhwabayo|qhwaba
	👏🏽;izandla eziqhwabayo: ithoni yesikhumba esiphakathi;isandla|ithoni yesikhumba esiphakathi|izandla eziqhwabayo|qhwaba
	👏🏾;izandla eziqhwabayo: ithoni yesikhumba esiphakathi mnyama;isandla|ithoni yesikhumba esiphakathi mnyama|izandla eziqhwabayo|qhwaba
	👏🏿;izandla eziqhwabayo: ithoni yesikhumba emnyama;isandla|ithoni yesikhumba emnyama|izandla eziqhwabayo|qhwaba
🙌;ukunyusa izandla;ephakanyisiweyo|isandla|jekula|ukunyusa izandla|umbhiyozo|yeleyele
	🙌🏻;ukunyusa izandla: ithoni yesikhumba esikhanyayo;ephakanyisiweyo|isandla|ithoni yesikhumba esikhanyayo|jekula|ukunyusa izandla|umbhiyozo|yeleyele
	🙌🏼;ukunyusa izandla: ithoni yesikhumba esikhanyayo phakathi;ephakanyisiweyo|isandla|ithoni yesikhumba esikhanyayo phakathi|jekula|ukunyusa izandla|umbhiyozo|yeleyele
	🙌🏽;ukunyusa izandla: ithoni yesikhumba esiphakathi;ephakanyisiweyo|isandla|ithoni yesikhumba esiphakathi|jekula|ukunyusa izandla|umbhiyozo|yeleyele
	🙌🏾;ukunyusa izandla: ithoni yesikhumba esiphakathi mnyama;ephakanyisiweyo|isandla|ithoni yesikhumba esiphakathi mnyama|jekula|ukunyusa izandla|umbhiyozo|yeleyele
	🙌🏿;ukunyusa izandla: ithoni yesikhumba emnyama;ephakanyisiweyo|isandla|ithoni yesikhumba emnyama|jekula|ukunyusa izandla|umbhiyozo|yeleyele
🫶;;
	🫶🏻;;
	🫶🏼;;
	🫶🏽;;
	🫶🏾;;
	🫶🏿;;
👐;izandla ezivulekileyo;isandla|izandla ezivulekileyo|vulekileyo
	👐🏻;izandla ezivulekileyo: ithoni yesikhumba esikhanyayo;isandla|ithoni yesikhumba esikhanyayo|izandla ezivulekileyo|vulekileyo
	👐🏼;izandla ezivulekileyo: ithoni yesikhumba esikhanyayo phakathi;isandla|ithoni yesikhumba esikhanyayo phakathi|izandla ezivulekileyo|vulekileyo
	👐🏽;izandla ezivulekileyo: ithoni yesikhumba esiphakathi;isandla|ithoni yesikhumba esiphakathi|izandla ezivulekileyo|vulekileyo
	👐🏾;izandla ezivulekileyo: ithoni yesikhumba esiphakathi mnyama;isandla|ithoni yesikhumba esiphakathi mnyama|izandla ezivulekileyo|vulekileyo
	👐🏿;izandla ezivulekileyo: ithoni yesikhumba emnyama;isandla|ithoni yesikhumba emnyama|izandla ezivulekileyo|vulekileyo
🤲;iintende zesandla ezikunye;iintende zesandla ezikunye|umthandazo
	🤲🏻;iintende zesandla ezikunye: ithoni yesikhumba esikhanyayo;iintende zesandla ezikunye|ithoni yesikhumba esikhanyayo|umthandazo
	🤲🏼;iintende zesandla ezikunye: ithoni yesikhumba esikhanyayo phakathi;iintende zesandla ezikunye|ithoni yesikhumba esikhanyayo phakathi|umthandazo
	🤲🏽;iintende zesandla ezikunye: ithoni yesikhumba esiphakathi;iintende zesandla ezikunye|ithoni yesikhumba esiphakathi|umthandazo
	🤲🏾;iintende zesandla ezikunye: ithoni yesikhumba esiphakathi mnyama;iintende zesandla ezikunye|ithoni yesikhumba esiphakathi mnyama|umthandazo
	🤲🏿;iintende zesandla ezikunye: ithoni yesikhumba emnyama;iintende zesandla ezikunye|ithoni yesikhumba emnyama|umthandazo
🤝;ukubamba isandla;intlanganiso|isandla|isivumelwano|shukumisa|ukubamba isandla
	🤝🏻;ukubamba isandla: ithoni yesikhumba esikhanyayo;intlanganiso|isandla|isivumelwano|ithoni yesikhumba esikhanyayo|shukumisa|ukubamba isandla
	🤝🏼;ukubamba isandla: ithoni yesikhumba esikhanyayo phakathi;intlanganiso|isandla|isivumelwano|ithoni yesikhumba esikhanyayo phakathi|shukumisa|ukubamba isandla
	🤝🏽;ukubamba isandla: ithoni yesikhumba esiphakathi;intlanganiso|isandla|isivumelwano|ithoni yesikhumba esiphakathi|shukumisa|ukubamba isandla
	🤝🏾;ukubamba isandla: ithoni yesikhumba esiphakathi mnyama;intlanganiso|isandla|isivumelwano|ithoni yesikhumba esiphakathi mnyama|shukumisa|ukubamba isandla
	🤝🏿;ukubamba isandla: ithoni yesikhumba emnyama;intlanganiso|isandla|isivumelwano|ithoni yesikhumba emnyama|shukumisa|ukubamba isandla
	🫱🏻‍🫲🏼;ukubamba isandla: ithoni yesikhumba esikhanyayo, ithoni yesikhumba esikhanyayo phakathi;intlanganiso|isandla|isivumelwano|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esikhanyayo phakathi|shukumisa|ukubamba isandla
	🫱🏻‍🫲🏽;ukubamba isandla: ithoni yesikhumba esikhanyayo, ithoni yesikhumba esiphakathi;intlanganiso|isandla|isivumelwano|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi|shukumisa|ukubamba isandla
	🫱🏻‍🫲🏾;ukubamba isandla: ithoni yesikhumba esikhanyayo, ithoni yesikhumba esiphakathi mnyama;intlanganiso|isandla|isivumelwano|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi mnyama|shukumisa|ukubamba isandla
	🫱🏻‍🫲🏿;ukubamba isandla: ithoni yesikhumba esikhanyayo, ithoni yesikhumba emnyama;intlanganiso|isandla|isivumelwano|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo|shukumisa|ukubamba isandla
	🫱🏼‍🫲🏻;ukubamba isandla: ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba esikhanyayo;intlanganiso|isandla|isivumelwano|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esikhanyayo phakathi|shukumisa|ukubamba isandla
	🫱🏼‍🫲🏽;ukubamba isandla: ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba esiphakathi;intlanganiso|isandla|isivumelwano|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi|shukumisa|ukubamba isandla
	🫱🏼‍🫲🏾;ukubamba isandla: ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba esiphakathi mnyama;intlanganiso|isandla|isivumelwano|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi mnyama|shukumisa|ukubamba isandla
	🫱🏼‍🫲🏿;ukubamba isandla: ithoni yesikhumba esikhanyayo phakathi, ithoni yesikhumba emnyama;intlanganiso|isandla|isivumelwano|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo phakathi|shukumisa|ukubamba isandla
	🫱🏽‍🫲🏻;ukubamba isandla: ithoni yesikhumba esiphakathi, ithoni yesikhumba esikhanyayo;intlanganiso|isandla|isivumelwano|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi|shukumisa|ukubamba isandla
	🫱🏽‍🫲🏼;ukubamba isandla: ithoni yesikhumba esiphakathi, ithoni yesikhumba esikhanyayo phakathi;intlanganiso|isandla|isivumelwano|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi|shukumisa|ukubamba isandla
	🫱🏽‍🫲🏾;ukubamba isandla: ithoni yesikhumba esiphakathi, ithoni yesikhumba esiphakathi mnyama;intlanganiso|isandla|isivumelwano|ithoni yesikhumba esiphakathi|ithoni yesikhumba esiphakathi mnyama|shukumisa|ukubamba isandla
	🫱🏽‍🫲🏿;ukubamba isandla: ithoni yesikhumba esiphakathi, ithoni yesikhumba emnyama;intlanganiso|isandla|isivumelwano|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi|shukumisa|ukubamba isandla
	🫱🏾‍🫲🏻;ukubamba isandla: ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba esikhanyayo;intlanganiso|isandla|isivumelwano|ithoni yesikhumba esikhanyayo|ithoni yesikhumba esiphakathi mnyama|shukumisa|ukubamba isandla
	🫱🏾‍🫲🏼;ukubamba isandla: ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba esikhanyayo phakathi;intlanganiso|isandla|isivumelwano|ithoni yesikhumba esikhanyayo phakathi|ithoni yesikhumba esiphakathi mnyama|shukumisa|ukubamba isandla
	🫱🏾‍🫲🏽;ukubamba isandla: ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba esiphakathi;intlanganiso|isandla|isivumelwano|ithoni yesikhumba esiphakathi|ithoni yesikhumba esiphakathi mnyama|shukumisa|ukubamba isandla
	🫱🏾‍🫲🏿;ukubamba isandla: ithoni yesikhumba esiphakathi mnyama, ithoni yesikhumba emnyama;intlanganiso|isandla|isivumelwano|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi mnyama|shukumisa|ukubamba isandla
	🫱🏿‍🫲🏻;ukubamba isandla: ithoni yesikhumba emnyama, ithoni yesikhumba esikhanyayo;intlanganiso|isandla|isivumelwano|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo|shukumisa|ukubamba isandla
	🫱🏿‍🫲🏼;ukubamba isandla: ithoni yesikhumba emnyama, ithoni yesikhumba esikhanyayo phakathi;intlanganiso|isandla|isivumelwano|ithoni yesikhumba emnyama|ithoni yesikhumba esikhanyayo phakathi|shukumisa|ukubamba isandla
	🫱🏿‍🫲🏽;ukubamba isandla: ithoni yesikhumba emnyama, ithoni yesikhumba esiphakathi;intlanganiso|isandla|isivumelwano|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi|shukumisa|ukubamba isandla
	🫱🏿‍🫲🏾;ukubamba isandla: ithoni yesikhumba emnyama, ithoni yesikhumba esiphakathi mnyama;intlanganiso|isandla|isivumelwano|ithoni yesikhumba emnyama|ithoni yesikhumba esiphakathi mnyama|shukumisa|ukubamba isandla
🙏;izandla ezisongiweyo;buza|enkosi|esongiweyo|goba|isandla|izandla ezisongiweyo|jekula|nceda|thandaza
	🙏🏻;izandla ezisongiweyo: ithoni yesikhumba esikhanyayo;buza|enkosi|esongiweyo|goba|isandla|ithoni yesikhumba esikhanyayo|izandla ezisongiweyo|jekula|nceda|thandaza
	🙏🏼;izandla ezisongiweyo: ithoni yesikhumba esikhanyayo phakathi;buza|enkosi|esongiweyo|goba|isandla|ithoni yesikhumba esikhanyayo phakathi|izandla ezisongiweyo|jekula|nceda|thandaza
	🙏🏽;izandla ezisongiweyo: ithoni yesikhumba esiphakathi;buza|enkosi|esongiweyo|goba|isandla|ithoni yesikhumba esiphakathi|izandla ezisongiweyo|jekula|nceda|thandaza
	🙏🏾;izandla ezisongiweyo: ithoni yesikhumba esiphakathi mnyama;buza|enkosi|esongiweyo|goba|isandla|ithoni yesikhumba esiphakathi mnyama|izandla ezisongiweyo|jekula|nceda|thandaza
	🙏🏿;izandla ezisongiweyo: ithoni yesikhumba emnyama;buza|enkosi|esongiweyo|goba|isandla|ithoni yesikhumba emnyama|izandla ezisongiweyo|jekula|nceda|thandaza
✍️;isandla esibhalayo;bhala|isandla|isandla esibhalayo
	✍🏻;isandla esibhalayo: ithoni yesikhumba esikhanyayo;bhala|isandla|isandla esibhalayo|ithoni yesikhumba esikhanyayo
	✍🏼;isandla esibhalayo: ithoni yesikhumba esikhanyayo phakathi;bhala|isandla|isandla esibhalayo|ithoni yesikhumba esikhanyayo phakathi
	✍🏽;isandla esibhalayo: ithoni yesikhumba esiphakathi;bhala|isandla|isandla esibhalayo|ithoni yesikhumba esiphakathi
	✍🏾;isandla esibhalayo: ithoni yesikhumba esiphakathi mnyama;bhala|isandla|isandla esibhalayo|ithoni yesikhumba esiphakathi mnyama
	✍🏿;isandla esibhalayo: ithoni yesikhumba emnyama;bhala|isandla|isandla esibhalayo|ithoni yesikhumba emnyama
💅;ipolishi yeenzipho;i-manicure|ipolishi|ipolishi yeenzipho|izinto zokuchokoza|ukhathalelo|uzipho
	💅🏻;ipolishi yeenzipho: ithoni yesikhumba esikhanyayo;i-manicure|ipolishi|ipolishi yeenzipho|ithoni yesikhumba esikhanyayo|izinto zokuchokoza|ukhathalelo|uzipho
	💅🏼;ipolishi yeenzipho: ithoni yesikhumba esikhanyayo phakathi;i-manicure|ipolishi|ipolishi yeenzipho|ithoni yesikhumba esikhanyayo phakathi|izinto zokuchokoza|ukhathalelo|uzipho
	💅🏽;ipolishi yeenzipho: ithoni yesikhumba esiphakathi;i-manicure|ipolishi|ipolishi yeenzipho|ithoni yesikhumba esiphakathi|izinto zokuchokoza|ukhathalelo|uzipho
	💅🏾;ipolishi yeenzipho: ithoni yesikhumba esiphakathi mnyama;i-manicure|ipolishi|ipolishi yeenzipho|ithoni yesikhumba esiphakathi mnyama|izinto zokuchokoza|ukhathalelo|uzipho
	💅🏿;ipolishi yeenzipho: ithoni yesikhumba emnyama;i-manicure|ipolishi|ipolishi yeenzipho|ithoni yesikhumba emnyama|izinto zokuchokoza|ukhathalelo|uzipho
🤳;iselfi;ifowuni|ikhamera|iselfi
	🤳🏻;iselfi: ithoni yesikhumba esikhanyayo;ifowuni|ikhamera|iselfi|ithoni yesikhumba esikhanyayo
	🤳🏼;iselfi: ithoni yesikhumba esikhanyayo phakathi;ifowuni|ikhamera|iselfi|ithoni yesikhumba esikhanyayo phakathi
	🤳🏽;iselfi: ithoni yesikhumba esiphakathi;ifowuni|ikhamera|iselfi|ithoni yesikhumba esiphakathi
	🤳🏾;iselfi: ithoni yesikhumba esiphakathi mnyama;ifowuni|ikhamera|iselfi|ithoni yesikhumba esiphakathi mnyama
	🤳🏿;iselfi: ithoni yesikhumba emnyama;ifowuni|ikhamera|iselfi|ithoni yesikhumba emnyama
💪;amankonyana agotyiweyo;amankonyana|amankonyana agotyiweyo|goba|isihlunu|ukuhlekisa
	💪🏻;amankonyana agotyiweyo: ithoni yesikhumba esikhanyayo;amankonyana|amankonyana agotyiweyo|goba|isihlunu|ithoni yesikhumba esikhanyayo|ukuhlekisa
	💪🏼;amankonyana agotyiweyo: ithoni yesikhumba esikhanyayo phakathi;amankonyana|amankonyana agotyiweyo|goba|isihlunu|ithoni yesikhumba esikhanyayo phakathi|ukuhlekisa
	💪🏽;amankonyana agotyiweyo: ithoni yesikhumba esiphakathi;amankonyana|amankonyana agotyiweyo|goba|isihlunu|ithoni yesikhumba esiphakathi|ukuhlekisa
