# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;mata fiefia;fiefia|mata|ngutu
👇;tuhu tuʻanima tonu ki lalo;lalo|nima|tuhu|tuhu tuʻanima tonu ki lalo
	👇🏻;tuhu tuʻanima tonu ki lalo: kili hinehina;kili hinehina|lalo|nima|tuhu|tuhu tuʻanima tonu ki lalo
	👇🏼;tuhu tuʻanima tonu ki lalo: kili kelokelo;kili kelokelo|lalo|nima|tuhu|tuhu tuʻanima tonu ki lalo
	👇🏽;tuhu tuʻanima tonu ki lalo: kili melomelo;kili melomelo|lalo|nima|tuhu|tuhu tuʻanima tonu ki lalo
	👇🏾;tuhu tuʻanima tonu ki lalo: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|lalo|nima|tuhu|tuhu tuʻanima tonu ki lalo
	👇🏿;tuhu tuʻanima tonu ki lalo: kili ʻuliʻuli;kili ʻuliʻuli|lalo|nima|tuhu|tuhu tuʻanima tonu ki lalo
☝️;tuhu tonu ki ʻolunga;ʻolunga|nima|tuhu|tuhu tonu ki ʻolunga
	☝🏻;tuhu tonu ki ʻolunga: kili hinehina;ʻolunga|kili hinehina|nima|tuhu|tuhu tonu ki ʻolunga
	☝🏼;tuhu tonu ki ʻolunga: kili kelokelo;ʻolunga|kili kelokelo|nima|tuhu|tuhu tonu ki ʻolunga
	☝🏽;tuhu tonu ki ʻolunga: kili melomelo;ʻolunga|kili melomelo|nima|tuhu|tuhu tonu ki ʻolunga
	☝🏾;tuhu tonu ki ʻolunga: kili melomelo-ʻuliʻuli;ʻolunga|kili melomelo-ʻuliʻuli|nima|tuhu|tuhu tonu ki ʻolunga
	☝🏿;tuhu tonu ki ʻolunga: kili ʻuliʻuli;ʻolunga|kili ʻuliʻuli|nima|tuhu|tuhu tonu ki ʻolunga
🫵;tuhu tonu ki muʻa;ko koe|tuhu|tuhu tonu ki muʻa
	🫵🏻;tuhu tonu ki muʻa: kili hinehina;kili hinehina|ko koe|tuhu|tuhu tonu ki muʻa
	🫵🏼;tuhu tonu ki muʻa: kili kelokelo;kili kelokelo|ko koe|tuhu|tuhu tonu ki muʻa
	🫵🏽;tuhu tonu ki muʻa: kili melomelo;kili melomelo|ko koe|tuhu|tuhu tonu ki muʻa
	🫵🏾;tuhu tonu ki muʻa: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|ko koe|tuhu|tuhu tonu ki muʻa
	🫵🏿;tuhu tonu ki muʻa: kili ʻuliʻuli;kili ʻuliʻuli|ko koe|tuhu|tuhu tonu ki muʻa
👍;motuʻatuhu ki ʻolunga;ʻolunga|motuʻatuhu|motuʻatuhu ki ʻolunga|nima
	👍🏻;motuʻatuhu ki ʻolunga: kili hinehina;ʻolunga|kili hinehina|motuʻatuhu|motuʻatuhu ki ʻolunga|nima
	👍🏼;motuʻatuhu ki ʻolunga: kili kelokelo;ʻolunga|kili kelokelo|motuʻatuhu|motuʻatuhu ki ʻolunga|nima
	👍🏽;motuʻatuhu ki ʻolunga: kili melomelo;ʻolunga|kili melomelo|motuʻatuhu|motuʻatuhu ki ʻolunga|nima
	👍🏾;motuʻatuhu ki ʻolunga: kili melomelo-ʻuliʻuli;ʻolunga|kili melomelo-ʻuliʻuli|motuʻatuhu|motuʻatuhu ki ʻolunga|nima
	👍🏿;motuʻatuhu ki ʻolunga: kili ʻuliʻuli;ʻolunga|kili ʻuliʻuli|motuʻatuhu|motuʻatuhu ki ʻolunga|nima
👎;motuʻatuhu ki lalo;lalo|motuʻatuhu|motuʻatuhu ki lalo|nima
	👎🏻;motuʻatuhu ki lalo: kili hinehina;kili hinehina|lalo|motuʻatuhu|motuʻatuhu ki lalo|nima
	👎🏼;motuʻatuhu ki lalo: kili kelokelo;kili kelokelo|lalo|motuʻatuhu|motuʻatuhu ki lalo|nima
	👎🏽;motuʻatuhu ki lalo: kili melomelo;kili melomelo|lalo|motuʻatuhu|motuʻatuhu ki lalo|nima
	👎🏾;motuʻatuhu ki lalo: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|lalo|motuʻatuhu|motuʻatuhu ki lalo|nima
	👎🏿;motuʻatuhu ki lalo: kili ʻuliʻuli;kili ʻuliʻuli|lalo|motuʻatuhu|motuʻatuhu ki lalo|nima
✊;tuke hiki ki ʻolunga;ʻolunga|nima|tuke|tuke hiki ki ʻolunga
	✊🏻;tuke hiki ki ʻolunga: kili hinehina;ʻolunga|kili hinehina|nima|tuke|tuke hiki ki ʻolunga
	✊🏼;tuke hiki ki ʻolunga: kili kelokelo;ʻolunga|kili kelokelo|nima|tuke|tuke hiki ki ʻolunga
	✊🏽;tuke hiki ki ʻolunga: kili melomelo;ʻolunga|kili melomelo|nima|tuke|tuke hiki ki ʻolunga
	✊🏾;tuke hiki ki ʻolunga: kili melomelo-ʻuliʻuli;ʻolunga|kili melomelo-ʻuliʻuli|nima|tuke|tuke hiki ki ʻolunga
	✊🏿;tuke hiki ki ʻolunga: kili ʻuliʻuli;ʻolunga|kili ʻuliʻuli|nima|tuke|tuke hiki ki ʻolunga
👊;tuke ki muʻa;muʻa|nima|tuke|tuke ki muʻa
	👊🏻;tuke ki muʻa: kili hinehina;kili hinehina|muʻa|nima|tuke|tuke ki muʻa
	👊🏼;tuke ki muʻa: kili kelokelo;kili kelokelo|muʻa|nima|tuke|tuke ki muʻa
	👊🏽;tuke ki muʻa: kili melomelo;kili melomelo|muʻa|nima|tuke|tuke ki muʻa
	👊🏾;tuke ki muʻa: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|muʻa|nima|tuke|tuke ki muʻa
	👊🏿;tuke ki muʻa: kili ʻuliʻuli;kili ʻuliʻuli|muʻa|nima|tuke|tuke ki muʻa
🤛;tuke ki hema;hema|nima|tuke|tuke ki hema
	🤛🏻;tuke ki hema: kili hinehina;hema|kili hinehina|nima|tuke|tuke ki hema
	🤛🏼;tuke ki hema: kili kelokelo;hema|kili kelokelo|nima|tuke|tuke ki hema
	🤛🏽;tuke ki hema: kili melomelo;hema|kili melomelo|nima|tuke|tuke ki hema
	🤛🏾;tuke ki hema: kili melomelo-ʻuliʻuli;hema|kili melomelo-ʻuliʻuli|nima|tuke|tuke ki hema
	🤛🏿;tuke ki hema: kili ʻuliʻuli;hema|kili ʻuliʻuli|nima|tuke|tuke ki hema
🤜;tuke ki mataʻu;mataʻu|nima|tuke|tuke ki mataʻu
	🤜🏻;tuke ki mataʻu: kili hinehina;kili hinehina|mataʻu|nima|tuke|tuke ki mataʻu
	🤜🏼;tuke ki mataʻu: kili kelokelo;kili kelokelo|mataʻu|nima|tuke|tuke ki mataʻu
	🤜🏽;tuke ki mataʻu: kili melomelo;kili melomelo|mataʻu|nima|tuke|tuke ki mataʻu
	🤜🏾;tuke ki mataʻu: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|mataʻu|nima|tuke|tuke ki mataʻu
	🤜🏿;tuke ki mataʻu: kili ʻuliʻuli;kili ʻuliʻuli|mataʻu|nima|tuke|tuke ki mataʻu
👏;nima pasipasi;nima|pasipasi
	👏🏻;nima pasipasi: kili hinehina;kili hinehina|nima|pasipasi
	👏🏼;nima pasipasi: kili kelokelo;kili kelokelo|nima|pasipasi
	👏🏽;nima pasipasi: kili melomelo;kili melomelo|nima|pasipasi
	👏🏾;nima pasipasi: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|nima|pasipasi
	👏🏿;nima pasipasi: kili ʻuliʻuli;kili ʻuliʻuli|nima|pasipasi
🙌;ongo nima hiki ki ʻolunga;ʻolunga|nima|ongo|ongo nima hiki ki ʻolunga
	🙌🏻;ongo nima hiki ki ʻolunga: kili hinehina;ʻolunga|kili hinehina|nima|ongo|ongo nima hiki ki ʻolunga
	🙌🏼;ongo nima hiki ki ʻolunga: kili kelokelo;ʻolunga|kili kelokelo|nima|ongo|ongo nima hiki ki ʻolunga
	🙌🏽;ongo nima hiki ki ʻolunga: kili melomelo;ʻolunga|kili melomelo|nima|ongo|ongo nima hiki ki ʻolunga
	🙌🏾;ongo nima hiki ki ʻolunga: kili melomelo-ʻuliʻuli;ʻolunga|kili melomelo-ʻuliʻuli|nima|ongo|ongo nima hiki ki ʻolunga
	🙌🏿;ongo nima hiki ki ʻolunga: kili ʻuliʻuli;ʻolunga|kili ʻuliʻuli|nima|ongo|ongo nima hiki ki ʻolunga
🫶;ongo nima fakamafu;ʻofa|ongo nima fakamafu
	🫶🏻;ongo nima fakamafu: kili hinehina;ʻofa|kili hinehina|ongo nima fakamafu
	🫶🏼;ongo nima fakamafu: kili kelokelo;ʻofa|kili kelokelo|ongo nima fakamafu
	🫶🏽;ongo nima fakamafu: kili melomelo;ʻofa|kili melomelo|ongo nima fakamafu
	🫶🏾;ongo nima fakamafu: kili melomelo-ʻuliʻuli;ʻofa|kili melomelo-ʻuliʻuli|ongo nima fakamafu
	🫶🏿;ongo nima fakamafu: kili ʻuliʻuli;ʻofa|kili ʻuliʻuli|ongo nima fakamafu
👐;nima homo;homo|nima|ongo
	👐🏻;nima homo: kili hinehina;homo|kili hinehina|nima|ongo
	👐🏼;nima homo: kili kelokelo;homo|kili kelokelo|nima|ongo
	👐🏽;nima homo: kili melomelo;homo|kili melomelo|nima|ongo
	👐🏾;nima homo: kili melomelo-ʻuliʻuli;homo|kili melomelo-ʻuliʻuli|nima|ongo
	👐🏿;nima homo: kili ʻuliʻuli;homo|kili ʻuliʻuli|nima|ongo
🤲;ongo aofinima hiki ki ʻolunga;aofinima|ʻolunga|nima|ongo|ongo aofinima hiki ki ʻolunga
	🤲🏻;ongo aofinima hiki ki ʻolunga: kili hinehina;aofinima|ʻolunga|kili hinehina|nima|ongo|ongo aofinima hiki ki ʻolunga
	🤲🏼;ongo aofinima hiki ki ʻolunga: kili kelokelo;aofinima|ʻolunga|kili kelokelo|nima|ongo|ongo aofinima hiki ki ʻolunga
	🤲🏽;ongo aofinima hiki ki ʻolunga: kili melomelo;aofinima|ʻolunga|kili melomelo|nima|ongo|ongo aofinima hiki ki ʻolunga
	🤲🏾;ongo aofinima hiki ki ʻolunga: kili melomelo-ʻuliʻuli;aofinima|ʻolunga|kili melomelo-ʻuliʻuli|nima|ongo|ongo aofinima hiki ki ʻolunga
	🤲🏿;ongo aofinima hiki ki ʻolunga: kili ʻuliʻuli;aofinima|ʻolunga|kili ʻuliʻuli|nima|ongo|ongo aofinima hiki ki ʻolunga
🤝;lulululu;lulululu|nima
	🤝🏻;lulululu: kili hinehina;kili hinehina|lulululu|nima
	🤝🏼;lulululu: kili kelokelo;kili kelokelo|lulululu|nima
	🤝🏽;lulululu: kili melomelo;kili melomelo|lulululu|nima
	🤝🏾;lulululu: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|lulululu|nima
	🤝🏿;lulululu: kili ʻuliʻuli;kili ʻuliʻuli|lulululu|nima
	🫱🏻‍🫲🏼;lulululu: kili hinehina mo e kili kelokelo;kili hinehina|kili kelokelo|lulululu|nima
	🫱🏻‍🫲🏽;lulululu: kili hinehina mo e kili melomelo;kili hinehina|kili melomelo|lulululu|nima
	🫱🏻‍🫲🏾;lulululu: kili hinehina mo e kili melomelo-ʻuliʻuli;kili hinehina|kili melomelo-ʻuliʻuli|lulululu|nima
	🫱🏻‍🫲🏿;lulululu: kili hinehina mo e kili ʻuliʻuli;kili hinehina|kili ʻuliʻuli|lulululu|nima
	🫱🏼‍🫲🏻;lulululu: kili kelokelo mo e kili hinehina;kili hinehina|kili kelokelo|lulululu|nima
	🫱🏼‍🫲🏽;lulululu: kili kelokelo mo e kili melomelo;kili kelokelo|kili melomelo|lulululu|nima
	🫱🏼‍🫲🏾;lulululu: kili kelokelo mo e kili melomelo-ʻuliʻuli;kili kelokelo|kili melomelo-ʻuliʻuli|lulululu|nima
	🫱🏼‍🫲🏿;lulululu: kili kelokelo mo e kili ʻuliʻuli;kili ʻuliʻuli|kili kelokelo|lulululu|nima
	🫱🏽‍🫲🏻;lulululu: kili melomelo mo e kili hinehina;kili hinehina|kili melomelo|lulululu|nima
	🫱🏽‍🫲🏼;lulululu: kili melomelo mo e kili kelokelo;kili kelokelo|kili melomelo|lulululu|nima
	🫱🏽‍🫲🏾;lulululu: kili melomelo mo e kili melomelo-ʻuliʻuli;kili melomelo|kili melomelo-ʻuliʻuli|lulululu|nima
	🫱🏽‍🫲🏿;lulululu: kili melomelo mo e kili ʻuliʻuli;kili ʻuliʻuli|kili melomelo|lulululu|nima
	🫱🏾‍🫲🏻;lulululu: kili melomelo-ʻuliʻuli mo e kili hinehina;kili hinehina|kili melomelo-ʻuliʻuli|lulululu|nima
	🫱🏾‍🫲🏼;lulululu: kili melomelo-ʻuliʻuli mo e kili kelokelo;kili kelokelo|kili melomelo-ʻuliʻuli|lulululu|nima
	🫱🏾‍🫲🏽;lulululu: kili melomelo-ʻuliʻuli mo e kili melomelo;kili melomelo|kili melomelo-ʻuliʻuli|lulululu|nima
	🫱🏾‍🫲🏿;lulululu: kili melomelo-ʻuliʻuli mo e kili ʻuliʻuli;kili ʻuliʻuli|kili melomelo-ʻuliʻuli|lulululu|nima
	🫱🏿‍🫲🏻;lulululu: kili ʻuliʻuli mo e kili hinehina;kili hinehina|kili ʻuliʻuli|lulululu|nima
	🫱🏿‍🫲🏼;lulululu: kili ʻuliʻuli mo e kili kelokelo;kili ʻuliʻuli|kili kelokelo|lulululu|nima
	🫱🏿‍🫲🏽;lulululu: kili ʻuliʻuli mo e kili melomelo;kili ʻuliʻuli|kili melomelo|lulululu|nima
	🫱🏿‍🫲🏾;lulululu: kili ʻuliʻuli mo e kili melomelo-ʻuliʻuli;kili ʻuliʻuli|kili melomelo-ʻuliʻuli|lulululu|nima
🙏;ongo nima tataʻo;lotu|nima|ongo|tataʻo
	🙏🏻;ongo nima tataʻo: kili hinehina;kili hinehina|lotu|nima|ongo|tataʻo
	🙏🏼;ongo nima tataʻo: kili kelokelo;kili kelokelo|lotu|nima|ongo|tataʻo
	🙏🏽;ongo nima tataʻo: kili melomelo;kili melomelo|lotu|nima|ongo|tataʻo
	🙏🏾;ongo nima tataʻo: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|lotu|nima|ongo|tataʻo
	🙏🏿;ongo nima tataʻo: kili ʻuliʻuli;kili ʻuliʻuli|lotu|nima|ongo|tataʻo
✍️;nima ʻoku tohi;nima|nima ʻoku tohi|peni|tohi
	✍🏻;nima ʻoku tohi: kili hinehina;kili hinehina|nima|nima ʻoku tohi|peni|tohi
	✍🏼;nima ʻoku tohi: kili kelokelo;kili kelokelo|nima|nima ʻoku tohi|peni|tohi
	✍🏽;nima ʻoku tohi: kili melomelo;kili melomelo|nima|nima ʻoku tohi|peni|tohi
	✍🏾;nima ʻoku tohi: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|nima|nima ʻoku tohi|peni|tohi
	✍🏿;nima ʻoku tohi: kili ʻuliʻuli;kili ʻuliʻuli|nima|nima ʻoku tohi|peni|tohi
💅;valivali ngeʻesinima;ngeʻesinima|valivali
	💅🏻;valivali ngeʻesinima: kili hinehina;kili hinehina|ngeʻesinima|valivali
	💅🏼;valivali ngeʻesinima: kili kelokelo;kili kelokelo|ngeʻesinima|valivali
	💅🏽;valivali ngeʻesinima: kili melomelo;kili melomelo|ngeʻesinima|valivali
	💅🏾;valivali ngeʻesinima: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|ngeʻesinima|valivali
	💅🏿;valivali ngeʻesinima: kili ʻuliʻuli;kili ʻuliʻuli|ngeʻesinima|valivali
🤳;faitaaʻi pē kita;faitā|faitaaʻi pē kita|foni|kita
	🤳🏻;faitaaʻi pē kita: kili hinehina;faitā|faitaaʻi pē kita|foni|kili hinehina|kita
	🤳🏼;faitaaʻi pē kita: kili kelokelo;faitā|faitaaʻi pē kita|foni|kili kelokelo|kita
	🤳🏽;faitaaʻi pē kita: kili melomelo;faitā|faitaaʻi pē kita|foni|kili melomelo|kita
	🤳🏾;faitaaʻi pē kita: kili melomelo-ʻuliʻuli;faitā|faitaaʻi pē kita|foni|kili melomelo-ʻuliʻuli|kita
	🤳🏿;faitaaʻi pē kita: kili ʻuliʻuli;faitā|faitaaʻi pē kita|foni|kili ʻuliʻuli|kita
💪;pāpela ʻoku pelu;pāpela|pāpela ʻoku pelu|pelu|uoua
	💪🏻;pāpela ʻoku pelu: kili hinehina;kili hinehina|pāpela|pāpela ʻoku pelu|pelu|uoua
	💪🏼;pāpela ʻoku pelu: kili kelokelo;kili kelokelo|pāpela|pāpela ʻoku pelu|pelu|uoua
	💪🏽;pāpela ʻoku pelu: kili melomelo;kili melomelo|pāpela|pāpela ʻoku pelu|pelu|uoua
	💪🏾;pāpela ʻoku pelu: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|pāpela|pāpela ʻoku pelu|pelu|uoua
	💪🏿;pāpela ʻoku pelu: kili ʻuliʻuli;kili ʻuliʻuli|pāpela|pāpela ʻoku pelu|pelu|uoua
🦾;nima ukamea;nima|ukamea
🦿;vaʻe ukamea;ukamea|vaʻe
🦵;vaʻe;vaʻe
	🦵🏻;vaʻe: kili hinehina;kili hinehina|vaʻe
	🦵🏼;vaʻe: kili kelokelo;kili kelokelo|vaʻe
	🦵🏽;vaʻe: kili melomelo;kili melomelo|vaʻe
	🦵🏾;vaʻe: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|vaʻe
	🦵🏿;vaʻe: kili ʻuliʻuli;kili ʻuliʻuli|vaʻe
🦶;lauʻivaʻe;lauʻivaʻe
	🦶🏻;lauʻivaʻe: kili hinehina;kili hinehina|lauʻivaʻe
	🦶🏼;lauʻivaʻe: kili kelokelo;kili kelokelo|lauʻivaʻe
	🦶🏽;lauʻivaʻe: kili melomelo;kili melomelo|lauʻivaʻe
	🦶🏾;lauʻivaʻe: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|lauʻivaʻe
	🦶🏿;lauʻivaʻe: kili ʻuliʻuli;kili ʻuliʻuli|lauʻivaʻe
👂;telinga;telinga
	👂🏻;telinga: kili hinehina;kili hinehina|telinga
	👂🏼;telinga: kili kelokelo;kili kelokelo|telinga
	👂🏽;telinga: kili melomelo;kili melomelo|telinga
	👂🏾;telinga: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|telinga
	👂🏿;telinga: kili ʻuliʻuli;kili ʻuliʻuli|telinga
🦻;telinga moe meʻa fakafanongo;meʻa fakafanongo|telinga|telinga moe meʻa fakafanongo
	🦻🏻;telinga moe meʻa fakafanongo: kili hinehina;kili hinehina|meʻa fakafanongo|telinga|telinga moe meʻa fakafanongo
	🦻🏼;telinga moe meʻa fakafanongo: kili kelokelo;kili kelokelo|meʻa fakafanongo|telinga|telinga moe meʻa fakafanongo
	🦻🏽;telinga moe meʻa fakafanongo: kili melomelo;kili melomelo|meʻa fakafanongo|telinga|telinga moe meʻa fakafanongo
	🦻🏾;telinga moe meʻa fakafanongo: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|meʻa fakafanongo|telinga|telinga moe meʻa fakafanongo
	🦻🏿;telinga moe meʻa fakafanongo: kili ʻuliʻuli;kili ʻuliʻuli|meʻa fakafanongo|telinga|telinga moe meʻa fakafanongo
👃;ihu;ihu
	👃🏻;ihu: kili hinehina;ihu|kili hinehina
	👃🏼;ihu: kili kelokelo;ihu|kili kelokelo
	👃🏽;ihu: kili melomelo;ihu|kili melomelo
	👃🏾;ihu: kili melomelo-ʻuliʻuli;ihu|kili melomelo-ʻuliʻuli
	👃🏿;ihu: kili ʻuliʻuli;ihu|kili ʻuliʻuli
🧠;ʻuto;ʻuto
🫀;mafu;mafu
🫁;maʻamaʻa;maʻamaʻa
🦷;nifo;nifo
🦴;hui;hui
👀;ongo kanoʻimata;kanoʻimata|ongo
👁️;kanoʻimata;kanoʻimata
👅;ʻelelo;ʻelelo
👄;ngutu;ngutu
🫦;uʻu loungutu;hohaʻa|lotomoʻua|ngutu|uʻu loungutu
👶;valevale;valevale
	👶🏻;valevale: kili hinehina;kili hinehina|valevale
	👶🏼;valevale: kili kelokelo;kili kelokelo|valevale
	👶🏽;valevale: kili melomelo;kili melomelo|valevale
	👶🏾;valevale: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|valevale
	👶🏿;valevale: kili ʻuliʻuli;kili ʻuliʻuli|valevale
🧒;fānau;fānau
	🧒🏻;fānau: kili hinehina;fānau|kili hinehina
	🧒🏼;fānau: kili kelokelo;fānau|kili kelokelo
	🧒🏽;fānau: kili melomelo;fānau|kili melomelo
	🧒🏾;fānau: kili melomelo-ʻuliʻuli;fānau|kili melomelo-ʻuliʻuli
	🧒🏿;fānau: kili ʻuliʻuli;fānau|kili ʻuliʻuli
👦;tamasiʻi;tamasiʻi
	👦🏻;tamasiʻi: kili hinehina;kili hinehina|tamasiʻi
	👦🏼;tamasiʻi: kili kelokelo;kili kelokelo|tamasiʻi
	👦🏽;tamasiʻi: kili melomelo;kili melomelo|tamasiʻi
	👦🏾;tamasiʻi: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tamasiʻi
	👦🏿;tamasiʻi: kili ʻuliʻuli;kili ʻuliʻuli|tamasiʻi
👧;taʻahine;taʻahine
	👧🏻;taʻahine: kili hinehina;kili hinehina|taʻahine
	👧🏼;taʻahine: kili kelokelo;kili kelokelo|taʻahine
	👧🏽;taʻahine: kili melomelo;kili melomelo|taʻahine
	👧🏾;taʻahine: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|taʻahine
	👧🏿;taʻahine: kili ʻuliʻuli;kili ʻuliʻuli|taʻahine
🧑;kakai lalahi;kakai lalahi
	🧑🏻;kakai lalahi: kili hinehina;kakai lalahi|kili hinehina
	🧑🏼;kakai lalahi: kili kelokelo;kakai lalahi|kili kelokelo
	🧑🏽;kakai lalahi: kili melomelo;kakai lalahi|kili melomelo
	🧑🏾;kakai lalahi: kili melomelo-ʻuliʻuli;kakai lalahi|kili melomelo-ʻuliʻuli
	🧑🏿;kakai lalahi: kili ʻuliʻuli;kakai lalahi|kili ʻuliʻuli
👱;tokotaha ʻulu kelo;ʻulu|kelo|tokotaha
	👱🏻;tokotaha ʻulu kelo: kili hinehina;ʻulu|kelo|kili hinehina|tokotaha
	👱🏼;tokotaha ʻulu kelo: kili kelokelo;ʻulu|kelo|kili kelokelo|tokotaha
	👱🏽;tokotaha ʻulu kelo: kili melomelo;ʻulu|kelo|kili melomelo|tokotaha
	👱🏾;tokotaha ʻulu kelo: kili melomelo-ʻuliʻuli;ʻulu|kelo|kili melomelo-ʻuliʻuli|tokotaha
	👱🏿;tokotaha ʻulu kelo: kili ʻuliʻuli;ʻulu|kelo|kili ʻuliʻuli|tokotaha
👨;tangata;tangata
	👨🏻;tangata: kili hinehina;kili hinehina|tangata
	👨🏼;tangata: kili kelokelo;kili kelokelo|tangata
	👨🏽;tangata: kili melomelo;kili melomelo|tangata
	👨🏾;tangata: kili melomelo-ʻuliʻuli;kili melomelo-ʻuliʻuli|tangata
	👨🏿;tangata: kili ʻuliʻuli;kili ʻuliʻuli|tangata
🧔;tokotaha kava;kava|tokotaha
	🧔🏻;tokotaha kava: kili hinehina;kava|kili hinehina|tokotaha
	🧔🏼;tokotaha kava: kili kelokelo;kava|kili kelokelo|tokotaha
	🧔🏽;tokotaha kava: kili melomelo;kava|kili melomelo|tokotaha
	🧔🏾;tokotaha kava: kili melomelo-ʻuliʻuli;kava|kili melomelo-ʻuliʻuli|tokotaha
	🧔🏿;tokotaha kava: kili ʻuliʻuli;kava|kili ʻuliʻuli|tokotaha
🧔‍♂️;tangata kava;
	🧔🏻‍♂️;tangata kava: kili hinehina;kava|kili hinehina|tangata
	🧔🏼‍♂️;tangata kava: kili kelokelo;kava|kili kelokelo|tangata
	🧔🏽‍♂️;tangata kava: kili melomelo;kava|kili melomelo|tangata
	🧔🏾‍♂️;tangata kava: kili melomelo-ʻuliʻuli;kava|kili melomelo-ʻuliʻuli|tangata
	🧔🏿‍♂️;tangata kava: kili ʻuliʻuli;kava|kili ʻuliʻuli|tangata
🧔‍♀️;;
	🧔🏻‍♀️;fefine kava: kili hinehina;fefine|kava|kili hinehina
	🧔🏼‍♀️;fefine kava: kili kelokelo;fefine|kava|kili kelokelo
	🧔🏽‍♀️;fefine kava: kili melomelo;fefine|kava|kili melomelo
	🧔🏾‍♀️;fefine kava: kili melomelo-ʻuliʻuli;fefine|kava|kili melomelo-ʻuliʻuli
	🧔🏿‍♀️;fefine kava: kili ʻuliʻuli;fefine|kava|kili ʻuliʻuli
👨‍🦰;tangata: ʻulu kulokula;ʻulu kulokula|tangata
	👨🏻‍🦰;tangata: kili hinehina mo e ʻulu kulokula;ʻulu kulokula|kili hinehina|tangata
	👨🏼‍🦰;tangata: kili kelokelo mo e ʻulu kulokula;ʻulu kulokula|kili kelokelo|tangata
	👨🏽‍🦰;tangata: kili melomelo mo e ʻulu kulokula;ʻulu kulokula|kili melomelo|tangata
	👨🏾‍🦰;tangata: kili melomelo-ʻuliʻuli mo e ʻulu kulokula;ʻulu kulokula|kili melomelo-ʻuliʻuli|tangata
	👨🏿‍🦰;tangata: kili ʻuliʻuli mo e ʻulu kulokula;ʻulu kulokula|kili ʻuliʻuli|tangata
👨‍🦱;tangata: ʻulu mingimingi;ʻulu mingimingi|tangata
	👨🏻‍🦱;tangata: kili hinehina mo e ʻulu mingimingi;ʻulu mingimingi|kili hinehina|tangata
	👨🏼‍🦱;tangata: kili kelokelo mo e ʻulu mingimingi;ʻulu mingimingi|kili kelokelo|tangata
	👨🏽‍🦱;tangata: kili melomelo mo e ʻulu mingimingi;ʻulu mingimingi|kili melomelo|tangata
	👨🏾‍🦱;tangata: kili melomelo-ʻuliʻuli mo e ʻulu mingimingi;ʻulu mingimingi|kili melomelo-ʻuliʻuli|tangata
	👨🏿‍🦱;tangata: kili ʻuliʻuli mo e ʻulu mingimingi;ʻulu mingimingi|kili ʻuliʻuli|tangata
👨‍🦳;tangata: ʻulu hinā;ʻulu hinā|tangata
	👨🏻‍🦳;tangata: kili hinehina mo e ʻulu hinā;ʻulu hinā|kili hinehina|tangata
	👨🏼‍🦳;tangata: kili kelokelo mo e ʻulu hinā;ʻulu hinā|kili kelokelo|tangata
	👨🏽‍🦳;tangata: kili melomelo mo e ʻulu hinā;ʻulu hinā|kili melomelo|tangata
	👨🏾‍🦳;tangata: kili melomelo-ʻuliʻuli mo e ʻulu hinā;ʻulu hinā|kili melomelo-ʻuliʻuli|tangata
	👨🏿‍🦳;tangata: kili ʻuliʻuli mo e ʻulu hinā;ʻulu hinā|kili ʻuliʻuli|tangata
👨‍🦲;tangata: ʻulu tula;ʻulu tula|tangata
	👨🏻‍🦲;tangata: kili hinehina mo e ʻulu tula;ʻulu tula|kili hinehina|tangata
	👨🏼‍🦲;tangata: kili kelokelo mo e ʻulu tula;ʻulu tula|kili kelokelo|tangata
	👨🏽‍🦲;tangata: kili melomelo mo e ʻulu tula;ʻulu tula|kili melomelo|tangata
	👨🏾‍🦲;tangata: kili melomelo-ʻuliʻuli mo e ʻulu tula;ʻulu tula|kili melomelo-ʻuliʻuli|tangata
	👨🏿‍🦲;tangata: kili ʻuliʻuli mo e ʻulu tula;ʻulu tula|kili ʻuliʻuli|tangata
👩;fefine;fefine
	👩🏻;fefine: kili hinehina;fefine|kili hinehina
	👩🏼;fefine: kili kelokelo;fefine|kili kelokelo
	👩🏽;fefine: kili melomelo;fefine|kili melomelo
	👩🏾;fefine: kili melomelo-ʻuliʻuli;fefine|kili melomelo-ʻuliʻuli
	👩🏿;fefine: kili ʻuliʻuli;fefine|kili ʻuliʻuli
