# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ᎤᏤᏣᏍᏗ ᎤᎧᏛ;ᎤᎧᏛ|ᎤᏤᏣᏍᏗ ᎤᎧᏛ|ᎤᏰᏍᎩ
	👩🏻‍🔧;ᎠᎨᏯ ᏙᏆᎴᎷ ᎣᏍᏓ ᏱᏗᎬᏁᎯ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᏙᏆᎴᎷ ᎣᏍᏓ ᏱᏗᎬᏁᎯ|ᎠᎵᎢᏛᎲᏍᎩ|ᎠᎹ ᏧᏪᏓᏍᏗᎢ ᎣᏍᏓ ᏱᏗᎬᏁᎯ|ᎠᎾᎦᎵᏍᎩ ᏧᎸᏫᏍᏓᏁᎯ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᏙᏆᎴᎷ ᎣᏍᏓ ᏱᏗᎬᏁᎯ
	👩🏼‍🔧;ᎠᎨᏯ ᏙᏆᎴᎷ ᎣᏍᏓ ᏱᏗᎬᏁᎯ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᏙᏆᎴᎷ ᎣᏍᏓ ᏱᏗᎬᏁᎯ|ᎠᎵᎢᏛᎲᏍᎩ|ᎠᎹ ᏧᏪᏓᏍᏗᎢ ᎣᏍᏓ ᏱᏗᎬᏁᎯ|ᎠᎾᎦᎵᏍᎩ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᏙᏆᎴᎷ ᎣᏍᏓ ᏱᏗᎬᏁᎯ
	👩🏽‍🔧;ᎠᎨᏯ ᏙᏆᎴᎷ ᎣᏍᏓ ᏱᏗᎬᏁᎯ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᏙᏆᎴᎷ ᎣᏍᏓ ᏱᏗᎬᏁᎯ|ᎠᎵᎢᏛᎲᏍᎩ|ᎠᎹ ᏧᏪᏓᏍᏗᎢ ᎣᏍᏓ ᏱᏗᎬᏁᎯ|ᎠᎾᎦᎵᏍᎩ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᏙᏆᎴᎷ ᎣᏍᏓ ᏱᏗᎬᏁᎯ
	👩🏾‍🔧;ᎠᎨᏯ ᏙᏆᎴᎷ ᎣᏍᏓ ᏱᏗᎬᏁᎯ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᏙᏆᎴᎷ ᎣᏍᏓ ᏱᏗᎬᏁᎯ|ᎠᎵᎢᏛᎲᏍᎩ|ᎠᎹ ᏧᏪᏓᏍᏗᎢ ᎣᏍᏓ ᏱᏗᎬᏁᎯ|ᎠᎾᎦᎵᏍᎩ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᏙᏆᎴᎷ ᎣᏍᏓ ᏱᏗᎬᏁᎯ
	👩🏿‍🔧;ᎠᎨᏯ ᏙᏆᎴᎷ ᎣᏍᏓ ᏱᏗᎬᏁᎯ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᏙᏆᎴᎷ ᎣᏍᏓ ᏱᏗᎬᏁᎯ|ᎠᎵᎢᏛᎲᏍᎩ|ᎠᎹ ᏧᏪᏓᏍᏗᎢ ᎣᏍᏓ ᏱᏗᎬᏁᎯ|ᎠᎾᎦᎵᏍᎩ ᏧᎸᏫᏍᏓᏁᎯ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᏙᏆᎴᎷ ᎣᏍᏓ ᏱᏗᎬᏁᎯ
🧑‍🏭;ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ;ᏂᎦᏓ ᏚᏂᎸᏫᏍᏓᏁᎲᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᎤᏙᎴᏒᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᏚᏙᏢᏒᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ|ᏧᎸᏫᏍᏓᏁᎯ
	🧑🏻‍🏭;ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᏂᎦᏓ ᏚᏂᎸᏫᏍᏓᏁᎲᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᎤᏙᎴᏒᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᏚᏙᏢᏒᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ|ᏧᎸᏫᏍᏓᏁᎯ
	🧑🏼‍🏭;ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᏂᎦᏓ ᏚᏂᎸᏫᏍᏓᏁᎲᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᎤᏙᎴᏒᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᏚᏙᏢᏒᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ|ᏧᎸᏫᏍᏓᏁᎯ
	🧑🏽‍🏭;ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᏂᎦᏓ ᏚᏂᎸᏫᏍᏓᏁᎲᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᎤᏙᎴᏒᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᏚᏙᏢᏒᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ|ᏧᎸᏫᏍᏓᏁᎯ
	🧑🏾‍🏭;ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᏂᎦᏓ ᏚᏂᎸᏫᏍᏓᏁᎲᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᎤᏙᎴᏒᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᏚᏙᏢᏒᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ|ᏧᎸᏫᏍᏓᏁᎯ
	🧑🏿‍🏭;ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᏂᎦᏓ ᏚᏂᎸᏫᏍᏓᏁᎲᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᎤᏙᎴᏒᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᏚᏙᏢᏒᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ|ᏧᎸᏫᏍᏓᏁᎯ
👨‍🏭;ᎠᏍᎦᏯ ᎤᏃᏢᏅᏗ ᏧᎸᏫᏍᏓᏁᎯ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎤᏃᏢᏅᏗ ᏧᎸᏫᏍᏓᏁᎯ|ᎤᎾᏓᏟᏌᎲ|ᎤᏃᏢᏅᏗ|ᏧᏂᎸᏫᏍᏓᏁᎯ|ᏧᏂᎸᏫᏍᏓᏁᏗ
	👨🏻‍🏭;ᎠᏍᎦᏯ ᎤᏃᏢᏅᏗ ᏧᎸᏫᏍᏓᏁᎯ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎤᏃᏢᏅᏗ ᏧᎸᏫᏍᏓᏁᎯ|ᎤᎾᏓᏟᏌᎲ|ᎤᏃᏢᏅᏗ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᏧᏂᎸᏫᏍᏓᏁᎯ|ᏧᏂᎸᏫᏍᏓᏁᏗ
	👨🏼‍🏭;ᎠᏍᎦᏯ ᎤᏃᏢᏅᏗ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎤᏃᏢᏅᏗ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᎾᏓᏟᏌᎲ|ᎤᏃᏢᏅᏗ|ᏧᏂᎸᏫᏍᏓᏁᎯ|ᏧᏂᎸᏫᏍᏓᏁᏗ
	👨🏽‍🏭;ᎠᏍᎦᏯ ᎤᏃᏢᏅᏗ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎤᏃᏢᏅᏗ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎾᏓᏟᏌᎲ|ᎤᏃᏢᏅᏗ|ᏧᏂᎸᏫᏍᏓᏁᎯ|ᏧᏂᎸᏫᏍᏓᏁᏗ
	👨🏾‍🏭;ᎠᏍᎦᏯ ᎤᏃᏢᏅᏗ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎤᏃᏢᏅᏗ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎾᏓᏟᏌᎲ|ᎤᏃᏢᏅᏗ|ᏧᏂᎸᏫᏍᏓᏁᎯ|ᏧᏂᎸᏫᏍᏓᏁᏗ
	👨🏿‍🏭;ᎠᏍᎦᏯ ᎤᏃᏢᏅᏗ ᏧᎸᏫᏍᏓᏁᎯ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎤᏃᏢᏅᏗ ᏧᎸᏫᏍᏓᏁᎯ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎾᏓᏟᏌᎲ|ᎤᏃᏢᏅᏗ|ᏧᏂᎸᏫᏍᏓᏁᎯ|ᏧᏂᎸᏫᏍᏓᏁᏗ
👩‍🏭;ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ;ᎠᎨᏯ|ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ|ᏂᎦᏓ ᏚᏂᎸᏫᏍᏓᏁᎲᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᎤᏙᎴᏒᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᏚᏙᏢᏒᎢ|ᏧᎸᏫᏍᏓᏁᎯ
	👩🏻‍🏭;ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᏂᎦᏓ ᏚᏂᎸᏫᏍᏓᏁᎲᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᎤᏙᎴᏒᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᏚᏙᏢᏒᎢ|ᏧᎸᏫᏍᏓᏁᎯ
	👩🏼‍🏭;ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᏂᎦᏓ ᏚᏂᎸᏫᏍᏓᏁᎲᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᎤᏙᎴᏒᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᏚᏙᏢᏒᎢ|ᏧᎸᏫᏍᏓᏁᎯ
	👩🏽‍🏭;ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᏂᎦᏓ ᏚᏂᎸᏫᏍᏓᏁᎲᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᎤᏙᎴᏒᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᏚᏙᏢᏒᎢ|ᏧᎸᏫᏍᏓᏁᎯ
	👩🏾‍🏭;ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᏂᎦᏓ ᏚᏂᎸᏫᏍᏓᏁᎲᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᎤᏙᎴᏒᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᏚᏙᏢᏒᎢ|ᏧᎸᏫᏍᏓᏁᎯ
	👩🏿‍🏭;ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᏂᎦᏓ ᏚᏂᎸᏫᏍᏓᏁᎲᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᎤᏙᎴᏒᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᏚᏙᏢᏒᎢ|ᏧᎸᏫᏍᏓᏁᎯ
🧑‍💼;ᏗᎦᎸᏫᏍᏓᏁᏗᎢ ᏧᎸᏫᏍᏓᏁᎯ;ᎠᏓᏅᏖᏟᏙᎯ|ᎤᏁᎦ-ᎤᎩᏝᏝᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᎤᏙᏢᏒᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	🧑🏻‍💼;ᏗᎦᎸᏫᏍᏓᏁᏗᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᏓᏅᏖᏟᏙᎯ|ᎤᏁᎦ-ᎤᎩᏝᏝᎢ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᎤᏙᏢᏒᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	🧑🏼‍💼;ᏗᎦᎸᏫᏍᏓᏁᏗᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᏓᏅᏖᏟᏙᎯ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᏁᎦ-ᎤᎩᏝᏝᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᎤᏙᏢᏒᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	🧑🏽‍💼;ᏗᎦᎸᏫᏍᏓᏁᏗᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏓᏅᏖᏟᏙᎯ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏁᎦ-ᎤᎩᏝᏝᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᎤᏙᏢᏒᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	🧑🏾‍💼;ᏗᎦᎸᏫᏍᏓᏁᏗᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏓᏅᏖᏟᏙᎯ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏁᎦ-ᎤᎩᏝᏝᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᎤᏙᏢᏒᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	🧑🏿‍💼;ᏗᎦᎸᏫᏍᏓᏁᏗᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏓᏅᏖᏟᏙᎯ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏁᎦ-ᎤᎩᏝᏝᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᎤᏙᏢᏒᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗᎢ ᏧᎸᏫᏍᏓᏁᎯ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
👨‍💼;ᎠᏍᎦᏯ ᎤᏬᏟ ᏧᎸᏫᏍᏓᏁᎯ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎤᏬᏟ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏓᏅᏖᏟᏙᎯ|ᎤᏁᎦ ᎤᎦᏝᏝᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗᎢ ᎤᏙᏢᏒ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	👨🏻‍💼;ᎠᏍᎦᏯ ᎤᏬᏟ ᏧᎸᏫᏍᏓᏁᎯ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎤᏬᏟ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏓᏅᏖᏟᏙᎯ|ᎤᏁᎦ ᎤᎦᏝᏝᎢ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗᎢ ᎤᏙᏢᏒ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	👨🏼‍💼;ᎠᏍᎦᏯ ᎤᏬᏟ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎤᏬᏟ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏓᏅᏖᏟᏙᎯ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᏁᎦ ᎤᎦᏝᏝᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗᎢ ᎤᏙᏢᏒ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	👨🏽‍💼;ᎠᏍᎦᏯ ᎤᏬᏟ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎤᏬᏟ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏓᏅᏖᏟᏙᎯ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏁᎦ ᎤᎦᏝᏝᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗᎢ ᎤᏙᏢᏒ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	👨🏾‍💼;ᎠᏍᎦᏯ ᎤᏬᏟ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎤᏬᏟ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏓᏅᏖᏟᏙᎯ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏁᎦ ᎤᎦᏝᏝᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗᎢ ᎤᏙᏢᏒ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	👨🏿‍💼;ᎠᏍᎦᏯ ᎤᏬᏟ ᏧᎸᏫᏍᏓᏁᎯ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎤᏬᏟ ᏧᎸᏫᏍᏓᏁᎯ|ᎠᏓᏅᏖᏟᏙᎯ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏁᎦ ᎤᎦᏝᏝᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗᎢ ᎤᏙᏢᏒ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
👩‍💼;ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᏄᏫᏍᏓᏁᎯ;ᎠᎨᏯ|ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᏄᏫᏍᏓᏁᎯ|ᎠᏓᏅᏖᏟᏙᎯ|ᎤᏁᎦ-ᎤᎩᏝᏝᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᎤᏙᏢᏒᎢ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	👩🏻‍💼;ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᏄᏫᏍᏓᏁᎯ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᏄᏫᏍᏓᏁᎯ|ᎠᏓᏅᏖᏟᏙᎯ|ᎤᏁᎦ-ᎤᎩᏝᏝᎢ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᎤᏙᏢᏒᎢ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	👩🏼‍💼;ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᏄᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᏄᏫᏍᏓᏁᎯ|ᎠᏓᏅᏖᏟᏙᎯ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᏁᎦ-ᎤᎩᏝᏝᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᎤᏙᏢᏒᎢ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
	👩🏽‍💼;ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᏄᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏧᏄᏫᏍᏓᏁᎯ|ᎠᏓᏅᏖᏟᏙᎯ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏁᎦ-ᎤᎩᏝᏝᎢ|ᏗᎦᎸᏫᏍᏓᏁᏗ ᎤᏙᏢᏒᎢ|ᏗᏟᎶᏍᏔᏅᎲᏍᎩ
