# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ырсайган бет;бет|ырсай|ырсайган бет
😖;апкаарыган бет;апкаарыган|бет
😣;өжөрлөнгөн бет;бет|өжөр|өжөрлөнгөн бет
😞;көңүлү чөккөн бет;бет|көңүлү калган|көңүлү чөккөн бет|чөккөн
😓;муздак тер аккан бет;бет|муздак|муздак тер аккан бет|тер
😩;тажаган бет;бет|тажаган|чарчаган
😫;чарчаган бет;бет|чарчаган
🥱;эстеп жаткан жүз;зериккен|чарчаган|эстеп жаткан|эстеп жаткан жүз
😤;ачуулангандан таноосу кыпчылган бет;ачуулан|ачуулангандан таноосу кыпчылган бет|бет|кыпчыл|таноо
😡;тултуюп таарынган бет;ачуулуу|бет|кызарган|тултуй|тултуюп таарынган бет
😠;ачуулуу бет;ачуулуу|бет
🤬;символдорду тиштеп алган жүз;символдорду тиштеп алган жүз|урушуу
😈;кытмыр жылмайган мүйүздүү шайтан;жылмай|кытмыр|кытмыр жылмайган мүйүздүү шайтан|мүйүз|шайтан
👿;шайтан;бет|жин|жомок|фантастика|шайтан
💀;баш сөөк;баш сөөк|бет|желмогуз|жомок|өлүм
☠️;баш сөөк жана кайчылашкан сөөктөр;баш сөөк|баш сөөк жана кайчылашкан сөөктөр|желмогуз|кайчылашкан сөөктөр|өлүм
💩;үйүлгөн заң;бок|заңдоо|тамаша|үйүл|үйүлгөн заң
🤡;маскарапоздун бети;бет|маскарапоз|маскарапоздун бети
👹;дөө;бет|дөө|желмогуз|жомок|фантастика
👺;гоблин;бет|гоблин|желмогуз|жомок|фантастика
👻;арбак;арбак|бет|желмогуз|жомок|фантастика
👽;чоочун планетадан;бет|бөтөн планеталык|буо|жандык|желмогуз|чоочун планетадан
👾;чоочун планеталык желмогуз;бет|бөтөн планеталык|буо|жандык|желмогуз|чоочун планеталык желмогуз
🤖;робот;бет|желмогуз|робот
😺;күлүп жаткан мышык;күл|күлүп жаткан мышык|мышык
😸;көздөрүн жымыңдатып ырсайган мышык;жылмай|көз|көздөрүн жымыңдатып ырсайган мышык|мышык|ырсай
😹;боору эзилип күлгөн мышык;боору эзилип күлгөн мышык|жаш|күл|мышык|эзил
😻;сүйүүгө башы айланган мышык;жылмай|көз|мышык|сүйүү|сүйүүгө башы айланган мышык|сүйүүгө башы айланып жылмайган мышык
😼;мыйыгынан жылмайган мышык;жылмай|мазактаган|мыйыгынан|мыйыгынан жылмайган мышык|мышык
😽;көздөрүн жумуп өөп жаткан мышык;жум|көз|көздөрүн жумуп өөп жаткан мышык|мышык|өп
🙀;таң калган мышык;мышык|таң калган|таң калган мышык|ух
😿;ыйлап жаткан мышык;жаш|капа|мышык|ый|ыйлап жаткан мышык
😾;тултуюп таарынган мышык;мышык|таарын|тултуй|тултуюп таарынган мышык
🙈;көзүм жамандыкты көрбөсүн;жаман|көзүм жамандыкты көрбөсүн|көрбө|маймыл|тыюу салынган
🙉;кулагым жамандыкты укпасын;жаман|кулагым жамандыкты укпасын|маймыл|тыюу салынган|укпа
🙊;оозуман жаман сөз чыкпасын;жаман|оозуман жаман сөз чыкпасын|сүйлөбө|тыюу салынган
💌;сүйүү каты;жүрөк|кат|почта|романтика|сүйүү|сүйүү каты
💘;жебе сайылган жүрөк;жебе|жебе сайылган жүрөк|жүрөк|романтика
💝;лента байланган жүрөк;валентин|жүрөк|лента|лента байланган жүрөк
💖;жылтылдаган жүрөк;жүрөк|жылтылда|жылтылдаган жүрөк|толкунданган
💗;чоңоюп жаткан жүрөк;жүрөк|жүрөк пульсу|толкунданган|чоңой|чоңоюп жаткан жүрөк
💓;кагып жаткан жүрөк;жүрөк|жүрөк кагышы|кагуу|кагып жаткан жүрөк|пульс
💞;айланып жаткан жүрөктөр;айланып жаткан|айланып жаткан жүрөктөр|жүрөк
💕;кош жүрөк;жүрөк|кош|сүйүү|эки
💟;жүрөк менен кооздолгон;жүрөк|жүрөк менен кооздолгон
❣️;жүрөк менен жазылган илеп белгиси;белги|жүрөк|жүрөк менен жазылган илеп белгиси|илеп|пунктуация
💔;жараланган жүрөк;жараланган|жүрөк
❤️‍🔥;өрттөнгөн жүрөк;жүрөк|күйүү|өрттөнгөн жүрөк|сүйүү|ыйык жүрөк
❤️‍🩹;жарасы чапталган жүрөк;дени сагыраак|жакшы болуп калган|жакшырып жаткан|жарасы чапталган жүрөк|калыбына келип жаткан|оңдолуп жаткан|оңдолуп жаткан жүрөк|өзүнө келип жаткан
❤️;кызыл жүрөк;жүрөк|кызыл жүрөк
🩷;кызгылт түстөгү жүрөк;жакты|жүрөк|кызгылт|кызгылт түстөгү жүрөк|сүйкүмдүү
🧡;кызгылтым сары жүрөк;кызгылтым сары|кызгылтым сары жүрөк
💛;сары жүрөк;жүрөк|сары
💚;жашыл жүрөк;жашыл|жүрөк
💙;көк жүрөк;жүрөк|көк
🩵;көгүш түстүү жүрөк;143|асман|ачык көк|жагымдуу|жүрөк|көгүлтүр|көгүш|көгүш түстүү жүрөк|өзгөчө|эмоция
💜;сыя түстүү жүрөк;жүрөк|сыя көк|сыя түстүү жүрөк
🤎;күрөң жүрөк;жүрөк|күрөң
🖤;кара жүрөк;жинденүү|жүрөк|кара
🩶;боз түстөгү жүрөк;143|боз|боз түстөгү жүрөк|жүрөк|күмүш|өзгөчө|шифер түстүү|эмоция
🤍;ак жүрөк;ак|жүрөк
💋;өбүү белгиси;өбүү белгиси|өп|романтика|эрин
💯;жүз упай;100|жүз|толук|упай
💢;ачуулануу белгиси;ачуулануу белгиси|ачуулуу|комикс
🫯;булут менен күрөшүү;келишпестик|күрөш|мушташ|талаш
💥;сүзүшүү;комикс|сүзүш|сүзүшүү
💫;башы айланган;башы айланган|жылдыз|комикс
💦;тер тамчылары;комикс|тер|тер тамчылары|чачыраган
💨;куюндай;комикс|куюндай|чурка
🕳️;тешик;тешик
💬;кеп шарчасы;диалог|кеп|кеп көбүгү|кеп шарчасы|комикс|көбүк
👁️‍🗨️;кеп көбүгүндөгү көз;кеп көбүгү|кеп көбүгүндөгү көз|көз|күбө
🗨️;сол тараптагы кеп көбүгү;диалог|кеп|сол тараптагы кеп көбүгү
🗯️;оң тараптагы ачуулу кеп көбүгү;ачуулуу|көбүк|оң тараптагы ачуулу кеп көбүгү|шарча
💭;ойлонуу көбүгү;комикс|көбүк|ой|ойлонуу көбүгү|шарча
💤;шшш;комикс|уйку|шшш

[people_body]
👋;кол булгалоо;булгалоо|дене|кол
	👋🏻;кол булгалоо: акжуумал;акжуумал|булгалоо|дене|кол
	👋🏼;кол булгалоо: буудай жүздүү;булгалоо|буудай жүздүү|дене|кол
	👋🏽;кол булгалоо: орточо;булгалоо|дене|кол|орточо
	👋🏾;кол булгалоо: кара тору;булгалоо|дене|кара тору|кол
	👋🏿;кол булгалоо: кара;булгалоо|дене|кара|кол
🤚;көтөрүлгөн алакан;алакан|көтөрүлгөн
	🤚🏻;көтөрүлгөн алакан: акжуумал;акжуумал|алакан|көтөрүлгөн
	🤚🏼;көтөрүлгөн алакан: буудай жүздүү;алакан|буудай жүздүү|көтөрүлгөн
	🤚🏽;көтөрүлгөн алакан: орточо;алакан|көтөрүлгөн|орточо
	🤚🏾;көтөрүлгөн алакан: кара тору;алакан|кара тору|көтөрүлгөн
	🤚🏿;көтөрүлгөн алакан: кара;алакан|кара|көтөрүлгөн
🖐️;беш манжа;ачык|бармак|беш|дене|манжа
	🖐🏻;беш манжа: акжуумал;акжуумал|ачык|бармак|беш|дене|манжа
	🖐🏼;беш манжа: буудай жүздүү;ачык|бармак|беш|буудай жүздүү|дене|манжа
	🖐🏽;беш манжа: орточо;ачык|бармак|беш|дене|манжа|орточо
	🖐🏾;беш манжа: кара тору;ачык|бармак|беш|дене|кара тору|манжа
	🖐🏿;беш манжа: кара;ачык|бармак|беш|дене|кара|манжа
✋;кол көтөрүү;дене|кол|кол көтөрүү
	✋🏻;кол көтөрүү: акжуумал;акжуумал|дене|кол|кол көтөрүү
	✋🏼;кол көтөрүү: буудай жүздүү;буудай жүздүү|дене|кол|кол көтөрүү
	✋🏽;кол көтөрүү: орточо;дене|кол|кол көтөрүү|орточо
	✋🏾;кол көтөрүү: кара тору;дене|кара тору|кол|кол көтөрүү
	✋🏿;кол көтөрүү: кара;дене|кара|кол|кол көтөрүү
🖖;вулкандыктарча салам;вулкан|вулкандыктарча салам|дене|кол|манжа
	🖖🏻;вулкандыктарча салам: акжуумал;акжуумал|вулкан|вулкандыктарча салам|дене|кол|манжа
	🖖🏼;вулкандыктарча салам: буудай жүздүү;буудай жүздүү|вулкан|вулкандыктарча салам|дене|кол|манжа
	🖖🏽;вулкандыктарча салам: орточо;вулкан|вулкандыктарча салам|дене|кол|манжа|орточо
	🖖🏾;вулкандыктарча салам: кара тору;вулкан|вулкандыктарча салам|дене|кара тору|кол|манжа
	🖖🏿;вулкандыктарча салам: кара;вулкан|вулкандыктарча салам|дене|кара|кол|манжа
🫱;оңду көрсөткөн кол;оңду көрсөткөн кол
	🫱🏻;оңду көрсөткөн кол: акжуумал;акжуумал|оңду көрсөткөн кол
	🫱🏼;оңду көрсөткөн кол: буудай жүздүү;буудай жүздүү|оңду көрсөткөн кол
	🫱🏽;оңду көрсөткөн кол: орточо;оңду көрсөткөн кол|орточо
	🫱🏾;оңду көрсөткөн кол: кара тору;кара тору|оңду көрсөткөн кол
	🫱🏿;оңду көрсөткөн кол: кара;кара|оңду көрсөткөн кол
🫲;солду көрсөткөн кол;солду көрсөткөн кол
	🫲🏻;солду көрсөткөн кол: акжуумал;акжуумал|солду көрсөткөн кол
	🫲🏼;солду көрсөткөн кол: буудай жүздүү;буудай жүздүү|солду көрсөткөн кол
	🫲🏽;солду көрсөткөн кол: орточо;орточо|солду көрсөткөн кол
	🫲🏾;солду көрсөткөн кол: кара тору;кара тору|солду көрсөткөн кол
	🫲🏿;солду көрсөткөн кол: кара;кара|солду көрсөткөн кол
🫳;алаканы ылдый караган кол;алаканы ылдый караган кол
	🫳🏻;алаканы ылдый караган кол: акжуумал;акжуумал|алаканы ылдый караган кол
	🫳🏼;алаканы ылдый караган кол: буудай жүздүү;алаканы ылдый караган кол|буудай жүздүү
	🫳🏽;алаканы ылдый караган кол: орточо;алаканы ылдый караган кол|орточо
	🫳🏾;алаканы ылдый караган кол: кара тору;алаканы ылдый караган кол|кара тору
	🫳🏿;алаканы ылдый караган кол: кара;алаканы ылдый караган кол|кара
🫴;алаканы өйдө караган кол;алаканы өйдө караган кол
	🫴🏻;алаканы өйдө караган кол: акжуумал;акжуумал|алаканы өйдө караган кол
	🫴🏼;алаканы өйдө караган кол: буудай жүздүү;алаканы өйдө караган кол|буудай жүздүү
	🫴🏽;алаканы өйдө караган кол: орточо;алаканы өйдө караган кол|орточо
	🫴🏾;алаканы өйдө караган кол: кара тору;алаканы өйдө караган кол|кара тору
	🫴🏿;алаканы өйдө караган кол: кара;алаканы өйдө караган кол|кара
🫷;сол жакка түрткөн кол;баш тартуу|беш берүү|күтүү|сол жакка|сол жакка түрткөн кол|токтотуу|түртүү
	🫷🏻;сол жакка түрткөн кол: акжуумал;акжуумал|баш тартуу|беш берүү|күтүү|сол жакка|сол жакка түрткөн кол|токтотуу|түртүү
	🫷🏼;сол жакка түрткөн кол: буудай жүздүү;баш тартуу|беш берүү|буудай жүздүү|күтүү|сол жакка|сол жакка түрткөн кол|токтотуу|түртүү
	🫷🏽;сол жакка түрткөн кол: орточо;баш тартуу|беш берүү|күтүү|орточо|сол жакка|сол жакка түрткөн кол|токтотуу|түртүү
	🫷🏾;сол жакка түрткөн кол: кара тору;баш тартуу|беш берүү|кара тору|күтүү|сол жакка|сол жакка түрткөн кол|токтотуу|түртүү
	🫷🏿;сол жакка түрткөн кол: кара;баш тартуу|беш берүү|кара|күтүү|сол жакка|сол жакка түрткөн кол|токтотуу|түртүү
🫸;оң жакка түрткөн кол;баш тартуу|беш берүү|күтүү|оң жакка|оң жакка түрткөн кол|токтотуу|түртүү
	🫸🏻;оң жакка түрткөн кол: акжуумал;акжуумал|баш тартуу|беш берүү|күтүү|оң жакка|оң жакка түрткөн кол|токтотуу|түртүү
	🫸🏼;оң жакка түрткөн кол: буудай жүздүү;баш тартуу|беш берүү|буудай жүздүү|күтүү|оң жакка|оң жакка түрткөн кол|токтотуу|түртүү
	🫸🏽;оң жакка түрткөн кол: орточо;баш тартуу|беш берүү|күтүү|оң жакка|оң жакка түрткөн кол|орточо|токтотуу|түртүү
	🫸🏾;оң жакка түрткөн кол: кара тору;баш тартуу|беш берүү|кара тору|күтүү|оң жакка|оң жакка түрткөн кол|токтотуу|түртүү
	🫸🏿;оң жакка түрткөн кол: кара;баш тартуу|беш берүү|кара|күтүү|оң жакка|оң жакка түрткөн кол|токтотуу|түртүү
👌;«ОК» белгиси;«ОК» белгиси|дене|кол|ОК
	👌🏻;«ОК» белгиси: акжуумал;«ОК» белгиси|акжуумал|дене|кол|ОК
	👌🏼;«ОК» белгиси: буудай жүздүү;«ОК» белгиси|буудай жүздүү|дене|кол|ОК
	👌🏽;«ОК» белгиси: орточо;«ОК» белгиси|дене|кол|ОК|орточо
	👌🏾;«ОК» белгиси: кара тору;«ОК» белгиси|дене|кара тору|кол|ОК
	👌🏿;«ОК» белгиси: кара;«ОК» белгиси|дене|кара|кол|ОК
🤌;кыстырылган манжалар;кыстырылган манжалар
	🤌🏻;кыстырылган манжалар: акжуумал;акжуумал|кыстырылган манжалар
	🤌🏼;кыстырылган манжалар: буудай жүздүү;буудай жүздүү|кыстырылган манжалар
	🤌🏽;кыстырылган манжалар: орточо;кыстырылган манжалар|орточо
	🤌🏾;кыстырылган манжалар: кара тору;кара тору|кыстырылган манжалар
	🤌🏿;кыстырылган манжалар: кара;кара|кыстырылган манжалар
🤏;чычмыган кол;аз санда|чычмыган кол
	🤏🏻;чычмыган кол: акжуумал;аз санда|акжуумал|чычмыган кол
	🤏🏼;чычмыган кол: буудай жүздүү;аз санда|буудай жүздүү|чычмыган кол
	🤏🏽;чычмыган кол: орточо;аз санда|орточо|чычмыган кол
	🤏🏾;чычмыган кол: кара тору;аз санда|кара тору|чычмыган кол
	🤏🏿;чычмыган кол: кара;аз санда|кара|чычмыган кол
✌️;эки дегенди көрсөткөн манжалар;ийгилик|кол|эки дегенди көрсөткөн манжалар
	✌🏻;эки дегенди көрсөткөн манжалар: акжуумал;акжуумал|ийгилик|кол|эки дегенди көрсөткөн манжалар
	✌🏼;эки дегенди көрсөткөн манжалар: буудай жүздүү;буудай жүздүү|ийгилик|кол|эки дегенди көрсөткөн манжалар
	✌🏽;эки дегенди көрсөткөн манжалар: орточо;ийгилик|кол|орточо|эки дегенди көрсөткөн манжалар
	✌🏾;эки дегенди көрсөткөн манжалар: кара тору;ийгилик|кара тору|кол|эки дегенди көрсөткөн манжалар
	✌🏿;эки дегенди көрсөткөн манжалар: кара;ийгилик|кара|кол|эки дегенди көрсөткөн манжалар
🤞;кайчылаштырылган манжалар;ийгилик|кайчылаштырылган манжалар
	🤞🏻;кайчылаштырылган манжалар: акжуумал;акжуумал|ийгилик|кайчылаштырылган манжалар
	🤞🏼;кайчылаштырылган манжалар: буудай жүздүү;буудай жүздүү|ийгилик|кайчылаштырылган манжалар
	🤞🏽;кайчылаштырылган манжалар: орточо;ийгилик|кайчылаштырылган манжалар|орточо
	🤞🏾;кайчылаштырылган манжалар: кара тору;ийгилик|кайчылаштырылган манжалар|кара тору
	🤞🏿;кайчылаштырылган манжалар: кара;ийгилик|кайчылаштырылган манжалар|кара
🫰;сөөмөй менен бармак кайчылаштырылган кол;сөөмөй менен бармак кайчылаштырылган кол
	🫰🏻;сөөмөй менен бармак кайчылаштырылган кол: акжуумал;акжуумал|сөөмөй менен бармак кайчылаштырылган кол
	🫰🏼;сөөмөй менен бармак кайчылаштырылган кол: буудай жүздүү;буудай жүздүү|сөөмөй менен бармак кайчылаштырылган кол
	🫰🏽;сөөмөй менен бармак кайчылаштырылган кол: орточо;орточо|сөөмөй менен бармак кайчылаштырылган кол
	🫰🏾;сөөмөй менен бармак кайчылаштырылган кол: кара тору;кара тору|сөөмөй менен бармак кайчылаштырылган кол
	🫰🏿;сөөмөй менен бармак кайчылаштырылган кол: кара;кара|сөөмөй менен бармак кайчылаштырылган кол
🤟;сүйөм сени деген ишарат;кол|сени сүйөм|сүйөм сени деген ишарат
	🤟🏻;сүйөм сени деген ишарат: акжуумал;акжуумал|кол|сени сүйөм|сүйөм сени деген ишарат
	🤟🏼;сүйөм сени деген ишарат: буудай жүздүү;буудай жүздүү|кол|сени сүйөм|сүйөм сени деген ишарат
	🤟🏽;сүйөм сени деген ишарат: орточо;кол|орточо|сени сүйөм|сүйөм сени деген ишарат
	🤟🏾;сүйөм сени деген ишарат: кара тору;кара тору|кол|сени сүйөм|сүйөм сени деген ишарат
	🤟🏿;сүйөм сени деген ишарат: кара;кара|кол|сени сүйөм|сүйөм сени деген ишарат
🤘;мүйүз белгиси;дене|кол|манжа|мүйүз|мүйүз белгиси
	🤘🏻;мүйүз белгиси: акжуумал;акжуумал|дене|кол|манжа|мүйүз|мүйүз белгиси
	🤘🏼;мүйүз белгиси: буудай жүздүү;буудай жүздүү|дене|кол|манжа|мүйүз|мүйүз белгиси
	🤘🏽;мүйүз белгиси: орточо;дене|кол|манжа|мүйүз|мүйүз белгиси|орточо
	🤘🏾;мүйүз белгиси: кара тору;дене|кара тору|кол|манжа|мүйүз|мүйүз белгиси
	🤘🏿;мүйүз белгиси: кара;дене|кара|кол|манжа|мүйүз|мүйүз белгиси
🤙;“мага чал” ишараты;“мага чал” ишараты|ишарат|кол|мага чал
	🤙🏻;“мага чал” ишараты: акжуумал;“мага чал” ишараты|акжуумал|ишарат|кол|мага чал
	🤙🏼;“мага чал” ишараты: буудай жүздүү;“мага чал” ишараты|буудай жүздүү|ишарат|кол|мага чал
	🤙🏽;“мага чал” ишараты: орточо;“мага чал” ишараты|ишарат|кол|мага чал|орточо
	🤙🏾;“мага чал” ишараты: кара тору;“мага чал” ишараты|ишарат|кара тору|кол|мага чал
	🤙🏿;“мага чал” ишараты: кара;“мага чал” ишараты|ишарат|кара|кол|мага чал
👈;сол тарапты көрсөткөн сөөмөй;кол|көрсөт|манжа|сол тарапты көрсөткөн сөөмөй|сөөмөй
	👈🏻;сол тарапты көрсөткөн сөөмөй: акжуумал;акжуумал|кол|көрсөт|манжа|сол тарапты көрсөткөн сөөмөй|сөөмөй
	👈🏼;сол тарапты көрсөткөн сөөмөй: буудай жүздүү;буудай жүздүү|кол|көрсөт|манжа|сол тарапты көрсөткөн сөөмөй|сөөмөй
	👈🏽;сол тарапты көрсөткөн сөөмөй: орточо;кол|көрсөт|манжа|орточо|сол тарапты көрсөткөн сөөмөй|сөөмөй
	👈🏾;сол тарапты көрсөткөн сөөмөй: кара тору;кара тору|кол|көрсөт|манжа|сол тарапты көрсөткөн сөөмөй|сөөмөй
	👈🏿;сол тарапты көрсөткөн сөөмөй: кара;кара|кол|көрсөт|манжа|сол тарапты көрсөткөн сөөмөй|сөөмөй
👉;оң тарапты көрсөткөн сөөмөй;кол|көрсөт|манжа|оң тарапты көрсөткөн сөөмөй|сөөмөй
