# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ырсайган бет;бет|ырсай|ырсайган бет
	🧑🏼‍🐰‍🧑🏽;кыз-келиндер кечеси: буудай жүздүү, орточо;бийчи|буудай жүздүү|коёнек|кулак|кыз|кыз-келиндер кечеси|орточо
	🧑🏼‍🐰‍🧑🏾;кыз-келиндер кечеси: буудай жүздүү, кара тору;бийчи|буудай жүздүү|кара тору|коёнек|кулак|кыз|кыз-келиндер кечеси
	🧑🏼‍🐰‍🧑🏿;кыз-келиндер кечеси: буудай жүздүү, кара;бийчи|буудай жүздүү|кара|коёнек|кулак|кыз|кыз-келиндер кечеси
	🧑🏽‍🐰‍🧑🏻;кыз-келиндер кечеси: орточо, акжуумал;акжуумал|бийчи|коёнек|кулак|кыз|кыз-келиндер кечеси|орточо
	🧑🏽‍🐰‍🧑🏼;кыз-келиндер кечеси: орточо, буудай жүздүү;бийчи|буудай жүздүү|коёнек|кулак|кыз|кыз-келиндер кечеси|орточо
	🧑🏽‍🐰‍🧑🏾;кыз-келиндер кечеси: орточо, кара тору;бийчи|кара тору|коёнек|кулак|кыз|кыз-келиндер кечеси|орточо
	🧑🏽‍🐰‍🧑🏿;кыз-келиндер кечеси: орточо, кара;бийчи|кара|коёнек|кулак|кыз|кыз-келиндер кечеси|орточо
	🧑🏾‍🐰‍🧑🏻;кыз-келиндер кечеси: кара тору, акжуумал;акжуумал|бийчи|кара тору|коёнек|кулак|кыз|кыз-келиндер кечеси
	🧑🏾‍🐰‍🧑🏼;кыз-келиндер кечеси: кара тору, буудай жүздүү;бийчи|буудай жүздүү|кара тору|коёнек|кулак|кыз|кыз-келиндер кечеси
	🧑🏾‍🐰‍🧑🏽;кыз-келиндер кечеси: кара тору, орточо;бийчи|кара тору|коёнек|кулак|кыз|кыз-келиндер кечеси|орточо
	🧑🏾‍🐰‍🧑🏿;кыз-келиндер кечеси: кара тору, кара;бийчи|кара|кара тору|коёнек|кулак|кыз|кыз-келиндер кечеси
	🧑🏿‍🐰‍🧑🏻;кыз-келиндер кечеси: кара, акжуумал;акжуумал|бийчи|кара|коёнек|кулак|кыз|кыз-келиндер кечеси
	🧑🏿‍🐰‍🧑🏼;кыз-келиндер кечеси: кара, буудай жүздүү;бийчи|буудай жүздүү|кара|коёнек|кулак|кыз|кыз-келиндер кечеси
	🧑🏿‍🐰‍🧑🏽;кыз-келиндер кечеси: кара, орточо;бийчи|кара|коёнек|кулак|кыз|кыз-келиндер кечеси|орточо
	🧑🏿‍🐰‍🧑🏾;кыз-келиндер кечеси: кара, кара тору;бийчи|кара|кара тору|коёнек|кулак|кыз|кыз-келиндер кечеси
	👨🏻‍🐰‍👨🏼;коен кулактарын тагынган эркектер: акжуумал, буудай жүздүү;акжуумал|бий|буудай жүздүү|кече|коён кулактары|коен кулактарын тагынган эркектер|эркектер
	👨🏻‍🐰‍👨🏽;коен кулактарын тагынган эркектер: акжуумал, орточо;акжуумал|бий|кече|коён кулактары|коен кулактарын тагынган эркектер|орточо|эркектер
	👨🏻‍🐰‍👨🏾;коен кулактарын тагынган эркектер: акжуумал, кара тору;акжуумал|бий|кара тору|кече|коён кулактары|коен кулактарын тагынган эркектер|эркектер
	👨🏻‍🐰‍👨🏿;коен кулактарын тагынган эркектер: акжуумал, кара;акжуумал|бий|кара|кече|коён кулактары|коен кулактарын тагынган эркектер|эркектер
	👨🏼‍🐰‍👨🏻;коен кулактарын тагынган эркектер: буудай жүздүү, акжуумал;акжуумал|бий|буудай жүздүү|кече|коён кулактары|коен кулактарын тагынган эркектер|эркектер
	👨🏼‍🐰‍👨🏽;коен кулактарын тагынган эркектер: буудай жүздүү, орточо;бий|буудай жүздүү|кече|коён кулактары|коен кулактарын тагынган эркектер|орточо|эркектер
	👨🏼‍🐰‍👨🏾;коен кулактарын тагынган эркектер: буудай жүздүү, кара тору;бий|буудай жүздүү|кара тору|кече|коён кулактары|коен кулактарын тагынган эркектер|эркектер
	👨🏼‍🐰‍👨🏿;коен кулактарын тагынган эркектер: буудай жүздүү, кара;бий|буудай жүздүү|кара|кече|коён кулактары|коен кулактарын тагынган эркектер|эркектер
	👨🏽‍🐰‍👨🏻;коен кулактарын тагынган эркектер: орточо, акжуумал;акжуумал|бий|кече|коён кулактары|коен кулактарын тагынган эркектер|орточо|эркектер
	👨🏽‍🐰‍👨🏼;коен кулактарын тагынган эркектер: орточо, буудай жүздүү;бий|буудай жүздүү|кече|коён кулактары|коен кулактарын тагынган эркектер|орточо|эркектер
	👨🏽‍🐰‍👨🏾;коен кулактарын тагынган эркектер: орточо, кара тору;бий|кара тору|кече|коён кулактары|коен кулактарын тагынган эркектер|орточо|эркектер
	👨🏽‍🐰‍👨🏿;коен кулактарын тагынган эркектер: орточо, кара;бий|кара|кече|коён кулактары|коен кулактарын тагынган эркектер|орточо|эркектер
	👨🏾‍🐰‍👨🏻;коен кулактарын тагынган эркектер: кара тору, акжуумал;акжуумал|бий|кара тору|кече|коён кулактары|коен кулактарын тагынган эркектер|эркектер
	👨🏾‍🐰‍👨🏼;коен кулактарын тагынган эркектер: кара тору, буудай жүздүү;бий|буудай жүздүү|кара тору|кече|коён кулактары|коен кулактарын тагынган эркектер|эркектер
	👨🏾‍🐰‍👨🏽;коен кулактарын тагынган эркектер: кара тору, орточо;бий|кара тору|кече|коён кулактары|коен кулактарын тагынган эркектер|орточо|эркектер
	👨🏾‍🐰‍👨🏿;коен кулактарын тагынган эркектер: кара тору, кара;бий|кара|кара тору|кече|коён кулактары|коен кулактарын тагынган эркектер|эркектер
	👨🏿‍🐰‍👨🏻;коен кулактарын тагынган эркектер: кара, акжуумал;акжуумал|бий|кара|кече|коён кулактары|коен кулактарын тагынган эркектер|эркектер
	👨🏿‍🐰‍👨🏼;коен кулактарын тагынган эркектер: кара, буудай жүздүү;бий|буудай жүздүү|кара|кече|коён кулактары|коен кулактарын тагынган эркектер|эркектер
	👨🏿‍🐰‍👨🏽;коен кулактарын тагынган эркектер: кара, орточо;бий|кара|кече|коён кулактары|коен кулактарын тагынган эркектер|орточо|эркектер
	👨🏿‍🐰‍👨🏾;коен кулактарын тагынган эркектер: кара, кара тору;бий|кара|кара тору|кече|коён кулактары|коен кулактарын тагынган эркектер|эркектер
	👩🏻‍🐰‍👩🏼;коен кулактарын тагынган кыздар: акжуумал, буудай жүздүү;акжуумал|бий|буудай жүздүү|кече|коён кулактары|коен кулактарын тагынган кыздар|кыздар
	👩🏻‍🐰‍👩🏽;коен кулактарын тагынган кыздар: акжуумал, орточо;акжуумал|бий|кече|коён кулактары|коен кулактарын тагынган кыздар|кыздар|орточо
	👩🏻‍🐰‍👩🏾;коен кулактарын тагынган кыздар: акжуумал, кара тору;акжуумал|бий|кара тору|кече|коён кулактары|коен кулактарын тагынган кыздар|кыздар
	👩🏻‍🐰‍👩🏿;коен кулактарын тагынган кыздар: акжуумал, кара;акжуумал|бий|кара|кече|коён кулактары|коен кулактарын тагынган кыздар|кыздар
	👩🏼‍🐰‍👩🏻;коен кулактарын тагынган кыздар: буудай жүздүү, акжуумал;акжуумал|бий|буудай жүздүү|кече|коён кулактары|коен кулактарын тагынган кыздар|кыздар
	👩🏼‍🐰‍👩🏽;коен кулактарын тагынган кыздар: буудай жүздүү, орточо;бий|буудай жүздүү|кече|коён кулактары|коен кулактарын тагынган кыздар|кыздар|орточо
	👩🏼‍🐰‍👩🏾;коен кулактарын тагынган кыздар: буудай жүздүү, кара тору;бий|буудай жүздүү|кара тору|кече|коён кулактары|коен кулактарын тагынган кыздар|кыздар
	👩🏼‍🐰‍👩🏿;коен кулактарын тагынган кыздар: буудай жүздүү, кара;бий|буудай жүздүү|кара|кече|коён кулактары|коен кулактарын тагынган кыздар|кыздар
	👩🏽‍🐰‍👩🏻;коен кулактарын тагынган кыздар: орточо, акжуумал;акжуумал|бий|кече|коён кулактары|коен кулактарын тагынган кыздар|кыздар|орточо
	👩🏽‍🐰‍👩🏼;коен кулактарын тагынган кыздар: орточо, буудай жүздүү;бий|буудай жүздүү|кече|коён кулактары|коен кулактарын тагынган кыздар|кыздар|орточо
	👩🏽‍🐰‍👩🏾;коен кулактарын тагынган кыздар: орточо, кара тору;бий|кара тору|кече|коён кулактары|коен кулактарын тагынган кыздар|кыздар|орточо
	👩🏽‍🐰‍👩🏿;коен кулактарын тагынган кыздар: орточо, кара;бий|кара|кече|коён кулактары|коен кулактарын тагынган кыздар|кыздар|орточо
	👩🏾‍🐰‍👩🏻;коен кулактарын тагынган кыздар: кара тору, акжуумал;акжуумал|бий|кара тору|кече|коён кулактары|коен кулактарын тагынган кыздар|кыздар
	👩🏾‍🐰‍👩🏼;коен кулактарын тагынган кыздар: кара тору, буудай жүздүү;бий|буудай жүздүү|кара тору|кече|коён кулактары|коен кулактарын тагынган кыздар|кыздар
	👩🏾‍🐰‍👩🏽;коен кулактарын тагынган кыздар: кара тору, орточо;бий|кара тору|кече|коён кулактары|коен кулактарын тагынган кыздар|кыздар|орточо
	👩🏾‍🐰‍👩🏿;коен кулактарын тагынган кыздар: кара тору, кара;бий|кара|кара тору|кече|коён кулактары|коен кулактарын тагынган кыздар|кыздар
	👩🏿‍🐰‍👩🏻;коен кулактарын тагынган кыздар: кара, акжуумал;акжуумал|бий|кара|кече|коён кулактары|коен кулактарын тагынган кыздар|кыздар
	👩🏿‍🐰‍👩🏼;коен кулактарын тагынган кыздар: кара, буудай жүздүү;бий|буудай жүздүү|кара|кече|коён кулактары|коен кулактарын тагынган кыздар|кыздар
	👩🏿‍🐰‍👩🏽;коен кулактарын тагынган кыздар: кара, орточо;бий|кара|кече|коён кулактары|коен кулактарын тагынган кыздар|кыздар|орточо
	👩🏿‍🐰‍👩🏾;коен кулактарын тагынган кыздар: кара, кара тору;бий|кара|кара тору|кече|коён кулактары|коен кулактарын тагынган кыздар|кыздар
🧖;бууланган бөлмөдө отурган адам;бууланган бөлмө|бууланган бөлмөдө отурган адам|сауна
	🧖🏻;бууланган бөлмөдө отурган адам: акжуумал;акжуумал|бууланган бөлмө|бууланган бөлмөдө отурган адам|сауна
	🧖🏼;бууланган бөлмөдө отурган адам: буудай жүздүү;буудай жүздүү|бууланган бөлмө|бууланган бөлмөдө отурган адам|сауна
	🧖🏽;бууланган бөлмөдө отурган адам: орточо;бууланган бөлмө|бууланган бөлмөдө отурган адам|орточо|сауна
	🧖🏾;бууланган бөлмөдө отурган адам: кара тору;бууланган бөлмө|бууланган бөлмөдө отурган адам|кара тору|сауна
	🧖🏿;бууланган бөлмөдө отурган адам: кара;бууланган бөлмө|бууланган бөлмөдө отурган адам|кара|сауна
🧖‍♂️;бууланган бөлмөдө отурган эркек;бууланган бөлмө|бууланган бөлмөдө отурган эркек|сауна
	🧖🏻‍♂️;бууланган бөлмөдө отурган эркек: акжуумал;акжуумал|бууланган бөлмө|бууланган бөлмөдө отурган эркек|сауна
	🧖🏼‍♂️;бууланган бөлмөдө отурган эркек: буудай жүздүү;буудай жүздүү|бууланган бөлмө|бууланган бөлмөдө отурган эркек|сауна
	🧖🏽‍♂️;бууланган бөлмөдө отурган эркек: орточо;бууланган бөлмө|бууланган бөлмөдө отурган эркек|орточо|сауна
	🧖🏾‍♂️;бууланган бөлмөдө отурган эркек: кара тору;бууланган бөлмө|бууланган бөлмөдө отурган эркек|кара тору|сауна
	🧖🏿‍♂️;бууланган бөлмөдө отурган эркек: кара;бууланган бөлмө|бууланган бөлмөдө отурган эркек|кара|сауна
🧖‍♀️;бууланган бөлмөдө отурган аял;бууланган бөлмө|бууланган бөлмөдө отурган аял|сауна
	🧖🏻‍♀️;бууланган бөлмөдө отурган аял: акжуумал;акжуумал|бууланган бөлмө|бууланган бөлмөдө отурган аял|сауна
	🧖🏼‍♀️;бууланган бөлмөдө отурган аял: буудай жүздүү;буудай жүздүү|бууланган бөлмө|бууланган бөлмөдө отурган аял|сауна
	🧖🏽‍♀️;бууланган бөлмөдө отурган аял: орточо;бууланган бөлмө|бууланган бөлмөдө отурган аял|орточо|сауна
	🧖🏾‍♀️;бууланган бөлмөдө отурган аял: кара тору;бууланган бөлмө|бууланган бөлмөдө отурган аял|кара тору|сауна
	🧖🏿‍♀️;бууланган бөлмөдө отурган аял: кара;бууланган бөлмө|бууланган бөлмөдө отурган аял|кара|сауна
🧗;тоого чыгып жаткан адам;альпинист|тоого чыгып жаткан адам
	🧗🏻;тоого чыгып жаткан адам: акжуумал;акжуумал|альпинист|тоого чыгып жаткан адам
	🧗🏼;тоого чыгып жаткан адам: буудай жүздүү;альпинист|буудай жүздүү|тоого чыгып жаткан адам
	🧗🏽;тоого чыгып жаткан адам: орточо;альпинист|орточо|тоого чыгып жаткан адам
	🧗🏾;тоого чыгып жаткан адам: кара тору;альпинист|кара тору|тоого чыгып жаткан адам
	🧗🏿;тоого чыгып жаткан адам: кара;альпинист|кара|тоого чыгып жаткан адам
🧗‍♂️;тоого чыгып жаткан эркек;альпинист|тоого чыгып жаткан эркек
	🧗🏻‍♂️;тоого чыгып жаткан эркек: акжуумал;акжуумал|альпинист|тоого чыгып жаткан эркек
	🧗🏼‍♂️;тоого чыгып жаткан эркек: буудай жүздүү;альпинист|буудай жүздүү|тоого чыгып жаткан эркек
	🧗🏽‍♂️;тоого чыгып жаткан эркек: орточо;альпинист|орточо|тоого чыгып жаткан эркек
	🧗🏾‍♂️;тоого чыгып жаткан эркек: кара тору;альпинист|кара тору|тоого чыгып жаткан эркек
	🧗🏿‍♂️;тоого чыгып жаткан эркек: кара;альпинист|кара|тоого чыгып жаткан эркек
🧗‍♀️;тоого чыгып жаткан аял;альпинист|тоого чыгып жаткан аял
	🧗🏻‍♀️;тоого чыгып жаткан аял: акжуумал;акжуумал|альпинист|тоого чыгып жаткан аял
	🧗🏼‍♀️;тоого чыгып жаткан аял: буудай жүздүү;альпинист|буудай жүздүү|тоого чыгып жаткан аял
	🧗🏽‍♀️;тоого чыгып жаткан аял: орточо;альпинист|орточо|тоого чыгып жаткан аял
	🧗🏾‍♀️;тоого чыгып жаткан аял: кара тору;альпинист|кара тору|тоого чыгып жаткан аял
	🧗🏿‍♀️;тоого чыгып жаткан аял: кара;альпинист|кара|тоого чыгып жаткан аял
🤺;сайышуу;адам|рапира|сайышуу|сайышуу боюнча спортчу|спорт
🏇;ат чабыш;ат|ат чабыш|чабарман
	🏇🏻;ат чабыш: акжуумал;акжуумал|ат|ат чабыш|чабарман
	🏇🏼;ат чабыш: буудай жүздүү;ат|ат чабыш|буудай жүздүү|чабарман
	🏇🏽;ат чабыш: орточо;ат|ат чабыш|орточо|чабарман
	🏇🏾;ат чабыш: кара тору;ат|ат чабыш|кара тору|чабарман
	🏇🏿;ат чабыш: кара;ат|ат чабыш|кара|чабарман
⛷️;лыжачы;кар|лыжа|лыжачы
🏂;сноубордчу;кар|лыжа|сноуборд|сноубордчу
	🏂🏻;сноубордчу: акжуумал;акжуумал|кар|лыжа|сноуборд|сноубордчу
	🏂🏼;сноубордчу: буудай жүздүү;буудай жүздүү|кар|лыжа|сноуборд|сноубордчу
	🏂🏽;сноубордчу: орточо;кар|лыжа|орточо|сноуборд|сноубордчу
	🏂🏾;сноубордчу: кара тору;кар|кара тору|лыжа|сноуборд|сноубордчу
	🏂🏿;сноубордчу: кара;кар|кара|лыжа|сноуборд|сноубордчу
🏌️;гольф оюнчусу;гольф|гольф оюнчусу|топ
	🏌🏻;гольф оюнчусу: акжуумал;акжуумал|гольф|гольф оюнчусу|топ
	🏌🏼;гольф оюнчусу: буудай жүздүү;буудай жүздүү|гольф|гольф оюнчусу|топ
	🏌🏽;гольф оюнчусу: орточо;гольф|гольф оюнчусу|орточо|топ
	🏌🏾;гольф оюнчусу: кара тору;гольф|гольф оюнчусу|кара тору|топ
	🏌🏿;гольф оюнчусу: кара;гольф|гольф оюнчусу|кара|топ
🏌️‍♂️;гольф ойноп жаткан эркек;гольф|гольф ойноп жаткан эркек|эркек
	🏌🏻‍♂️;гольф ойноп жаткан эркек: акжуумал;акжуумал|гольф|гольф ойноп жаткан эркек|эркек
	🏌🏼‍♂️;гольф ойноп жаткан эркек: буудай жүздүү;буудай жүздүү|гольф|гольф ойноп жаткан эркек|эркек
	🏌🏽‍♂️;гольф ойноп жаткан эркек: орточо;гольф|гольф ойноп жаткан эркек|орточо|эркек
	🏌🏾‍♂️;гольф ойноп жаткан эркек: кара тору;гольф|гольф ойноп жаткан эркек|кара тору|эркек
	🏌🏿‍♂️;гольф ойноп жаткан эркек: кара;гольф|гольф ойноп жаткан эркек|кара|эркек
🏌️‍♀️;гольф ойноп жаткан аял;аял|гольф|гольф ойноп жаткан аял
	🏌🏻‍♀️;гольф ойноп жаткан аял: акжуумал;акжуумал|аял|гольф|гольф ойноп жаткан аял
	🏌🏼‍♀️;гольф ойноп жаткан аял: буудай жүздүү;аял|буудай жүздүү|гольф|гольф ойноп жаткан аял
	🏌🏽‍♀️;гольф ойноп жаткан аял: орточо;аял|гольф|гольф ойноп жаткан аял|орточо
	🏌🏾‍♀️;гольф ойноп жаткан аял: кара тору;аял|гольф|гольф ойноп жаткан аял|кара тору
	🏌🏿‍♀️;гольф ойноп жаткан аял: кара;аял|гольф|гольф ойноп жаткан аял|кара
🏄;сёрфер;сёрфер|сёрфинг
	🏄🏻;сёрфер: акжуумал;акжуумал|сёрфер|сёрфинг
	🏄🏼;сёрфер: буудай жүздүү;буудай жүздүү|сёрфер|сёрфинг
	🏄🏽;сёрфер: орточо;орточо|сёрфер|сёрфинг
	🏄🏾;сёрфер: кара тору;кара тору|сёрфер|сёрфинг
	🏄🏿;сёрфер: кара;кара|сёрфер|сёрфинг
🏄‍♂️;сёрфинг ойноп жаткан эркек;серфинг|сёрфинг ойноп жаткан эркек|эркек
	🏄🏻‍♂️;сёрфинг ойноп жаткан эркек: акжуумал;акжуумал|серфинг|сёрфинг ойноп жаткан эркек|эркек
	🏄🏼‍♂️;сёрфинг ойноп жаткан эркек: буудай жүздүү;буудай жүздүү|серфинг|сёрфинг ойноп жаткан эркек|эркек
	🏄🏽‍♂️;сёрфинг ойноп жаткан эркек: орточо;орточо|серфинг|сёрфинг ойноп жаткан эркек|эркек
	🏄🏾‍♂️;сёрфинг ойноп жаткан эркек: кара тору;кара тору|серфинг|сёрфинг ойноп жаткан эркек|эркек
	🏄🏿‍♂️;сёрфинг ойноп жаткан эркек: кара;кара|серфинг|сёрфинг ойноп жаткан эркек|эркек
🏄‍♀️;сёрфинг ойноп жаткан аял;аял|серфинг|сёрфинг ойноп жаткан аял
	🏄🏻‍♀️;сёрфинг ойноп жаткан аял: акжуумал;акжуумал|аял|серфинг|сёрфинг ойноп жаткан аял
	🏄🏼‍♀️;сёрфинг ойноп жаткан аял: буудай жүздүү;аял|буудай жүздүү|серфинг|сёрфинг ойноп жаткан аял
	🏄🏽‍♀️;сёрфинг ойноп жаткан аял: орточо;аял|орточо|серфинг|сёрфинг ойноп жаткан аял
	🏄🏾‍♀️;сёрфинг ойноп жаткан аял: кара тору;аял|кара тору|серфинг|сёрфинг ойноп жаткан аял
	🏄🏿‍♀️;сёрфинг ойноп жаткан аял: кара;аял|кара|серфинг|сёрфинг ойноп жаткан аял
🚣;кайык;кайык|унаа
	🚣🏻;кайык: акжуумал;акжуумал|кайык|унаа
	🚣🏼;кайык: буудай жүздүү;буудай жүздүү|кайык|унаа
	🚣🏽;кайык: орточо;кайык|орточо|унаа
	🚣🏾;кайык: кара тору;кайык|кара тору|унаа
	🚣🏿;кайык: кара;кайык|кара|унаа
🚣‍♂️;калак сүзүп жаткан эркек;кайык|калак|калак сүзүп жаткан эркек|эркек
	🚣🏻‍♂️;калак сүзүп жаткан эркек: акжуумал;акжуумал|кайык|калак|калак сүзүп жаткан эркек|эркек
	🚣🏼‍♂️;калак сүзүп жаткан эркек: буудай жүздүү;буудай жүздүү|кайык|калак|калак сүзүп жаткан эркек|эркек
	🚣🏽‍♂️;калак сүзүп жаткан эркек: орточо;кайык|калак|калак сүзүп жаткан эркек|орточо|эркек
	🚣🏾‍♂️;калак сүзүп жаткан эркек: кара тору;кайык|калак|калак сүзүп жаткан эркек|кара тору|эркек
	🚣🏿‍♂️;калак сүзүп жаткан эркек: кара;кайык|калак|калак сүзүп жаткан эркек|кара|эркек
🚣‍♀️;калак сүзүп жаткан аял;аял|кайык|калак|калак сүзүп жаткан аял
	🚣🏻‍♀️;калак сүзүп жаткан аял: акжуумал;акжуумал|аял|кайык|калак|калак сүзүп жаткан аял
	🚣🏼‍♀️;калак сүзүп жаткан аял: буудай жүздүү;аял|буудай жүздүү|кайык|калак|калак сүзүп жаткан аял
	🚣🏽‍♀️;калак сүзүп жаткан аял: орточо;аял|кайык|калак|калак сүзүп жаткан аял|орточо
	🚣🏾‍♀️;калак сүзүп жаткан аял: кара тору;аял|кайык|калак|калак сүзүп жаткан аял|кара тору
	🚣🏿‍♀️;калак сүзүп жаткан аял: кара;аял|кайык|калак|калак сүзүп жаткан аял|кара
🏊;сүзгүч;сүз|сүзгүч
	🏊🏻;сүзгүч: акжуумал;акжуумал|сүз|сүзгүч
	🏊🏼;сүзгүч: буудай жүздүү;буудай жүздүү|сүз|сүзгүч
	🏊🏽;сүзгүч: орточо;орточо|сүз|сүзгүч
	🏊🏾;сүзгүч: кара тору;кара тору|сүз|сүзгүч
	🏊🏿;сүзгүч: кара;кара|сүз|сүзгүч
🏊‍♂️;сүзүп бара жаткан эркек;сүзүп бара жаткан эркек|сүзүү|эркек
	🏊🏻‍♂️;сүзүп бара жаткан эркек: акжуумал;акжуумал|сүзүп бара жаткан эркек|сүзүү|эркек
	🏊🏼‍♂️;сүзүп бара жаткан эркек: буудай жүздүү;буудай жүздүү|сүзүп бара жаткан эркек|сүзүү|эркек
	🏊🏽‍♂️;сүзүп бара жаткан эркек: орточо;орточо|сүзүп бара жаткан эркек|сүзүү|эркек
	🏊🏾‍♂️;сүзүп бара жаткан эркек: кара тору;кара тору|сүзүп бара жаткан эркек|сүзүү|эркек
	🏊🏿‍♂️;сүзүп бара жаткан эркек: кара;кара|сүзүп бара жаткан эркек|сүзүү|эркек
🏊‍♀️;сүзүп бара жаткан аял;аял|сүзүп бара жаткан аял|сүзүү
	🏊🏻‍♀️;сүзүп бара жаткан аял: акжуумал;акжуумал|аял|сүзүп бара жаткан аял|сүзүү
	🏊🏼‍♀️;сүзүп бара жаткан аял: буудай жүздүү;аял|буудай жүздүү|сүзүп бара жаткан аял|сүзүү
	🏊🏽‍♀️;сүзүп бара жаткан аял: орточо;аял|орточо|сүзүп бара жаткан аял|сүзүү
	🏊🏾‍♀️;сүзүп бара жаткан аял: кара тору;аял|кара тору|сүзүп бара жаткан аял|сүзүү
	🏊🏿‍♀️;сүзүп бара жаткан аял: кара;аял|кара|сүзүп бара жаткан аял|сүзүү
⛹️;топ менен киши;топ|топ менен киши
	⛹🏻;топ менен киши: акжуумал;акжуумал|топ|топ менен киши
	⛹🏼;топ менен киши: буудай жүздүү;буудай жүздүү|топ|топ менен киши
	⛹🏽;топ менен киши: орточо;орточо|топ|топ менен киши
	⛹🏾;топ менен киши: кара тору;кара тору|топ|топ менен киши
	⛹🏿;топ менен киши: кара;кара|топ|топ менен киши
⛹️‍♂️;топ кармаган эркек;топ|топ кармаган эркек|эркек
	⛹🏻‍♂️;топ кармаган эркек: акжуумал;акжуумал|топ|топ кармаган эркек|эркек
	⛹🏼‍♂️;топ кармаган эркек: буудай жүздүү;буудай жүздүү|топ|топ кармаган эркек|эркек
	⛹🏽‍♂️;топ кармаган эркек: орточо;орточо|топ|топ кармаган эркек|эркек
	⛹🏾‍♂️;топ кармаган эркек: кара тору;кара тору|топ|топ кармаган эркек|эркек
	⛹🏿‍♂️;топ кармаган эркек: кара;кара|топ|топ кармаган эркек|эркек
⛹️‍♀️;топ кармаган аял;аял|топ|топ кармаган аял
	⛹🏻‍♀️;топ кармаган аял: акжуумал;акжуумал|аял|топ|топ кармаган аял
	⛹🏼‍♀️;топ кармаган аял: буудай жүздүү;аял|буудай жүздүү|топ|топ кармаган аял
	⛹🏽‍♀️;топ кармаган аял: орточо;аял|орточо|топ|топ кармаган аял
	⛹🏾‍♀️;топ кармаган аял: кара тору;аял|кара тору|топ|топ кармаган аял
	⛹🏿‍♀️;топ кармаган аял: кара;аял|кара|топ|топ кармаган аял
🏋️;оор көтөргөн спортчу;көтөр|оор көтөргөн спортчу|салмак
	🏋🏻;оор көтөргөн спортчу: акжуумал;акжуумал|көтөр|оор көтөргөн спортчу|салмак
	🏋🏼;оор көтөргөн спортчу: буудай жүздүү;буудай жүздүү|көтөр|оор көтөргөн спортчу|салмак
	🏋🏽;оор көтөргөн спортчу: орточо;көтөр|оор көтөргөн спортчу|орточо|салмак
	🏋🏾;оор көтөргөн спортчу: кара тору;кара тору|көтөр|оор көтөргөн спортчу|салмак
	🏋🏿;оор көтөргөн спортчу: кара;кара|көтөр|оор көтөргөн спортчу|салмак
🏋️‍♂️;штанга көтөргөн эркек;штанга көтөргөн эркек|штангист|эркек
	🏋🏻‍♂️;штанга көтөргөн эркек: акжуумал;акжуумал|штанга көтөргөн эркек|штангист|эркек
	🏋🏼‍♂️;штанга көтөргөн эркек: буудай жүздүү;буудай жүздүү|штанга көтөргөн эркек|штангист|эркек
	🏋🏽‍♂️;штанга көтөргөн эркек: орточо;орточо|штанга көтөргөн эркек|штангист|эркек
	🏋🏾‍♂️;штанга көтөргөн эркек: кара тору;кара тору|штанга көтөргөн эркек|штангист|эркек
	🏋🏿‍♂️;штанга көтөргөн эркек: кара;кара|штанга көтөргөн эркек|штангист|эркек
🏋️‍♀️;штанга көтөргөн аял;аял|штанга көтөргөн аял|штангист
	🏋🏻‍♀️;штанга көтөргөн аял: акжуумал;акжуумал|аял|штанга көтөргөн аял|штангист
	🏋🏼‍♀️;штанга көтөргөн аял: буудай жүздүү;аял|буудай жүздүү|штанга көтөргөн аял|штангист
	🏋🏽‍♀️;штанга көтөргөн аял: орточо;аял|орточо|штанга көтөргөн аял|штангист
	🏋🏾‍♀️;штанга көтөргөн аял: кара тору;аял|кара тору|штанга көтөргөн аял|штангист
	🏋🏿‍♀️;штанга көтөргөн аял: кара;аял|кара|штанга көтөргөн аял|штангист
🚴;велосипедчи;велосипед|велосипедчи
	🚴🏻;велосипедчи: акжуумал;акжуумал|велосипед|велосипедчи
	🚴🏼;велосипедчи: буудай жүздүү;буудай жүздүү|велосипед|велосипедчи
	🚴🏽;велосипедчи: орточо;велосипед|велосипедчи|орточо
	🚴🏾;велосипедчи: кара тору;велосипед|велосипедчи|кара тору
	🚴🏿;велосипедчи: кара;велосипед|велосипедчи|кара
🚴‍♂️;велосипед тээп бара жаткан эркек;велосипед|велосипед тебүү|велосипед тээп бара жаткан эркек|велосипедчи|эркек
	🚴🏻‍♂️;велосипед тээп бара жаткан эркек: акжуумал;акжуумал|велосипед|велосипед тебүү|велосипед тээп бара жаткан эркек|велосипедчи|эркек
	🚴🏼‍♂️;велосипед тээп бара жаткан эркек: буудай жүздүү;буудай жүздүү|велосипед|велосипед тебүү|велосипед тээп бара жаткан эркек|велосипедчи|эркек
	🚴🏽‍♂️;велосипед тээп бара жаткан эркек: орточо;велосипед|велосипед тебүү|велосипед тээп бара жаткан эркек|велосипедчи|орточо|эркек
	🚴🏾‍♂️;велосипед тээп бара жаткан эркек: кара тору;велосипед|велосипед тебүү|велосипед тээп бара жаткан эркек|велосипедчи|кара тору|эркек
	🚴🏿‍♂️;велосипед тээп бара жаткан эркек: кара;велосипед|велосипед тебүү|велосипед тээп бара жаткан эркек|велосипедчи|кара|эркек
🚴‍♀️;велосипед тээп бара жаткан аял;аял|велосипед|велосипед тебүү|велосипед тээп бара жаткан аял|велосипедчи
