# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;kanohi pakiri;kanohi|pakiri
	👩🏽‍❤️‍💋‍👩🏽;kihi: wahine, wahine, kiri āhua waenga;kihi|kiri āhua waenga|tokorua|wahine
	👩🏽‍❤️‍💋‍👩🏾;kihi: wahine, wahine, kiri āhua waenga, kiri āhua waenga-parauri;kihi|kiri āhua waenga|kiri āhua waenga-parauri|tokorua|wahine
	👩🏽‍❤️‍💋‍👩🏿;kihi: wahine, wahine, kiri āhua waenga, kiri āhua parauri;kihi|kiri āhua parauri|kiri āhua waenga|tokorua|wahine
	👩🏾‍❤️‍💋‍👩🏻;kihi: wahine, wahine, kiri āhua waenga-parauri, kiri āhua māmā;kihi|kiri āhua māmā|kiri āhua waenga-parauri|tokorua|wahine
	👩🏾‍❤️‍💋‍👩🏼;kihi: wahine, wahine, kiri āhua waenga-parauri, kiri āhua māmā-waenga;kihi|kiri āhua māmā-waenga|kiri āhua waenga-parauri|tokorua|wahine
	👩🏾‍❤️‍💋‍👩🏽;kihi: wahine, wahine, kiri āhua waenga-parauri, kiri āhua waenga;kihi|kiri āhua waenga|kiri āhua waenga-parauri|tokorua|wahine
	👩🏾‍❤️‍💋‍👩🏾;kihi: wahine, wahine, kiri āhua waenga-parauri;kihi|kiri āhua waenga-parauri|tokorua|wahine
	👩🏾‍❤️‍💋‍👩🏿;kihi: wahine, wahine, kiri āhua waenga-parauri, kiri āhua parauri;kihi|kiri āhua parauri|kiri āhua waenga-parauri|tokorua|wahine
	👩🏿‍❤️‍💋‍👩🏻;kihi: wahine, wahine, kiri āhua parauri, kiri āhua māmā;kihi|kiri āhua māmā|kiri āhua parauri|tokorua|wahine
	👩🏿‍❤️‍💋‍👩🏼;kihi: wahine, wahine, kiri āhua parauri, kiri āhua māmā-waenga;kihi|kiri āhua māmā-waenga|kiri āhua parauri|tokorua|wahine
	👩🏿‍❤️‍💋‍👩🏽;kihi: wahine, wahine, kiri āhua parauri, kiri āhua waenga;kihi|kiri āhua parauri|kiri āhua waenga|tokorua|wahine
	👩🏿‍❤️‍💋‍👩🏾;kihi: wahine, wahine, kiri āhua parauri, kiri āhua waenga-parauri;kihi|kiri āhua parauri|kiri āhua waenga-parauri|tokorua|wahine
	👩🏿‍❤️‍💋‍👩🏿;kihi: wahine, wahine, kiri āhua parauri;kihi|kiri āhua parauri|tokorua|wahine
💑;tokorua me te manawa;aroha|tokorua|tokorua me te manawa
	💑🏻;tokorua me te manawa: kiri āhua māmā;aroha|kiri āhua māmā|tokorua|tokorua me te manawa
	💑🏼;tokorua me te manawa: kiri āhua māmā-waenga;aroha|kiri āhua māmā-waenga|tokorua|tokorua me te manawa
	💑🏽;tokorua me te manawa: kiri āhua waenga;aroha|kiri āhua waenga|tokorua|tokorua me te manawa
	💑🏾;tokorua me te manawa: kiri āhua waenga-parauri;aroha|kiri āhua waenga-parauri|tokorua|tokorua me te manawa
	💑🏿;tokorua me te manawa: kiri āhua parauri;aroha|kiri āhua parauri|tokorua|tokorua me te manawa
	🧑🏻‍❤️‍🧑🏼;tokorua me te manawa: pakeke, pakeke, kiri āhua māmā, kiri āhua māmā-waenga;aroha|kiri āhua māmā|kiri āhua māmā-waenga|pakeke|tokorua|tokorua me te manawa
	🧑🏻‍❤️‍🧑🏽;tokorua me te manawa: pakeke, pakeke, kiri āhua māmā, kiri āhua waenga;aroha|kiri āhua māmā|kiri āhua waenga|pakeke|tokorua|tokorua me te manawa
	🧑🏻‍❤️‍🧑🏾;tokorua me te manawa: pakeke, pakeke, kiri āhua māmā, kiri āhua waenga-parauri;aroha|kiri āhua māmā|kiri āhua waenga-parauri|pakeke|tokorua|tokorua me te manawa
	🧑🏻‍❤️‍🧑🏿;tokorua me te manawa: pakeke, pakeke, kiri āhua māmā, kiri āhua parauri;aroha|kiri āhua māmā|kiri āhua parauri|pakeke|tokorua|tokorua me te manawa
	🧑🏼‍❤️‍🧑🏻;tokorua me te manawa: pakeke, pakeke, kiri āhua māmā-waenga, kiri āhua māmā;aroha|kiri āhua māmā|kiri āhua māmā-waenga|pakeke|tokorua|tokorua me te manawa
	🧑🏼‍❤️‍🧑🏽;tokorua me te manawa: pakeke, pakeke, kiri āhua māmā-waenga, kiri āhua waenga;aroha|kiri āhua māmā-waenga|kiri āhua waenga|pakeke|tokorua|tokorua me te manawa
	🧑🏼‍❤️‍🧑🏾;tokorua me te manawa: pakeke, pakeke, kiri āhua māmā-waenga, kiri āhua waenga-parauri;aroha|kiri āhua māmā-waenga|kiri āhua waenga-parauri|pakeke|tokorua|tokorua me te manawa
	🧑🏼‍❤️‍🧑🏿;tokorua me te manawa: pakeke, pakeke, kiri āhua māmā-waenga, kiri āhua parauri;aroha|kiri āhua māmā-waenga|kiri āhua parauri|pakeke|tokorua|tokorua me te manawa
	🧑🏽‍❤️‍🧑🏻;tokorua me te manawa: pakeke, pakeke, kiri āhua waenga, kiri āhua māmā;aroha|kiri āhua māmā|kiri āhua waenga|pakeke|tokorua|tokorua me te manawa
	🧑🏽‍❤️‍🧑🏼;tokorua me te manawa: pakeke, pakeke, kiri āhua waenga, kiri āhua māmā-waenga;aroha|kiri āhua māmā-waenga|kiri āhua waenga|pakeke|tokorua|tokorua me te manawa
	🧑🏽‍❤️‍🧑🏾;tokorua me te manawa: pakeke, pakeke, kiri āhua waenga, kiri āhua waenga-parauri;aroha|kiri āhua waenga|kiri āhua waenga-parauri|pakeke|tokorua|tokorua me te manawa
	🧑🏽‍❤️‍🧑🏿;tokorua me te manawa: pakeke, pakeke, kiri āhua waenga, kiri āhua parauri;aroha|kiri āhua parauri|kiri āhua waenga|pakeke|tokorua|tokorua me te manawa
	🧑🏾‍❤️‍🧑🏻;tokorua me te manawa: pakeke, pakeke, kiri āhua waenga-parauri, kiri āhua māmā;aroha|kiri āhua māmā|kiri āhua waenga-parauri|pakeke|tokorua|tokorua me te manawa
	🧑🏾‍❤️‍🧑🏼;tokorua me te manawa: pakeke, pakeke, kiri āhua waenga-parauri, kiri āhua māmā-waenga;aroha|kiri āhua māmā-waenga|kiri āhua waenga-parauri|pakeke|tokorua|tokorua me te manawa
	🧑🏾‍❤️‍🧑🏽;tokorua me te manawa: pakeke, pakeke, kiri āhua waenga-parauri, kiri āhua waenga;aroha|kiri āhua waenga|kiri āhua waenga-parauri|pakeke|tokorua|tokorua me te manawa
	🧑🏾‍❤️‍🧑🏿;tokorua me te manawa: pakeke, pakeke, kiri āhua waenga-parauri, kiri āhua parauri;aroha|kiri āhua parauri|kiri āhua waenga-parauri|pakeke|tokorua|tokorua me te manawa
	🧑🏿‍❤️‍🧑🏻;tokorua me te manawa: pakeke, pakeke, kiri āhua parauri, kiri āhua māmā;aroha|kiri āhua māmā|kiri āhua parauri|pakeke|tokorua|tokorua me te manawa
	🧑🏿‍❤️‍🧑🏼;tokorua me te manawa: pakeke, pakeke, kiri āhua parauri, kiri āhua māmā-waenga;aroha|kiri āhua māmā-waenga|kiri āhua parauri|pakeke|tokorua|tokorua me te manawa
	🧑🏿‍❤️‍🧑🏽;tokorua me te manawa: pakeke, pakeke, kiri āhua parauri, kiri āhua waenga;aroha|kiri āhua parauri|kiri āhua waenga|pakeke|tokorua|tokorua me te manawa
	🧑🏿‍❤️‍🧑🏾;tokorua me te manawa: pakeke, pakeke, kiri āhua parauri, kiri āhua waenga-parauri;aroha|kiri āhua parauri|kiri āhua waenga-parauri|pakeke|tokorua|tokorua me te manawa
👩‍❤️‍👨;tokorua me te manawa: wahine, tāne;aroha|tāne|tokorua|tokorua me te manawa|wahine
	👩🏻‍❤️‍👨🏻;tokorua me te manawa: wahine, tāne, kiri āhua māmā;aroha|kiri āhua māmā|tāne|tokorua|tokorua me te manawa|wahine
	👩🏻‍❤️‍👨🏼;tokorua me te manawa: wahine, tāne, kiri āhua māmā, kiri āhua māmā-waenga;aroha|kiri āhua māmā|kiri āhua māmā-waenga|tāne|tokorua|tokorua me te manawa|wahine
	👩🏻‍❤️‍👨🏽;tokorua me te manawa: wahine, tāne, kiri āhua māmā, kiri āhua waenga;aroha|kiri āhua māmā|kiri āhua waenga|tāne|tokorua|tokorua me te manawa|wahine
	👩🏻‍❤️‍👨🏾;tokorua me te manawa: wahine, tāne, kiri āhua māmā, kiri āhua waenga-parauri;aroha|kiri āhua māmā|kiri āhua waenga-parauri|tāne|tokorua|tokorua me te manawa|wahine
	👩🏻‍❤️‍👨🏿;tokorua me te manawa: wahine, tāne, kiri āhua māmā, kiri āhua parauri;aroha|kiri āhua māmā|kiri āhua parauri|tāne|tokorua|tokorua me te manawa|wahine
	👩🏼‍❤️‍👨🏻;tokorua me te manawa: wahine, tāne, kiri āhua māmā-waenga, kiri āhua māmā;aroha|kiri āhua māmā|kiri āhua māmā-waenga|tāne|tokorua|tokorua me te manawa|wahine
	👩🏼‍❤️‍👨🏼;tokorua me te manawa: wahine, tāne, kiri āhua māmā-waenga;aroha|kiri āhua māmā-waenga|tāne|tokorua|tokorua me te manawa|wahine
	👩🏼‍❤️‍👨🏽;tokorua me te manawa: wahine, tāne, kiri āhua māmā-waenga, kiri āhua waenga;aroha|kiri āhua māmā-waenga|kiri āhua waenga|tāne|tokorua|tokorua me te manawa|wahine
	👩🏼‍❤️‍👨🏾;tokorua me te manawa: wahine, tāne, kiri āhua māmā-waenga, kiri āhua waenga-parauri;aroha|kiri āhua māmā-waenga|kiri āhua waenga-parauri|tāne|tokorua|tokorua me te manawa|wahine
	👩🏼‍❤️‍👨🏿;tokorua me te manawa: wahine, tāne, kiri āhua māmā-waenga, kiri āhua parauri;aroha|kiri āhua māmā-waenga|kiri āhua parauri|tāne|tokorua|tokorua me te manawa|wahine
	👩🏽‍❤️‍👨🏻;tokorua me te manawa: wahine, tāne, kiri āhua waenga, kiri āhua māmā;aroha|kiri āhua māmā|kiri āhua waenga|tāne|tokorua|tokorua me te manawa|wahine
	👩🏽‍❤️‍👨🏼;tokorua me te manawa: wahine, tāne, kiri āhua waenga, kiri āhua māmā-waenga;aroha|kiri āhua māmā-waenga|kiri āhua waenga|tāne|tokorua|tokorua me te manawa|wahine
	👩🏽‍❤️‍👨🏽;tokorua me te manawa: wahine, tāne, kiri āhua waenga;aroha|kiri āhua waenga|tāne|tokorua|tokorua me te manawa|wahine
	👩🏽‍❤️‍👨🏾;tokorua me te manawa: wahine, tāne, kiri āhua waenga, kiri āhua waenga-parauri;aroha|kiri āhua waenga|kiri āhua waenga-parauri|tāne|tokorua|tokorua me te manawa|wahine
	👩🏽‍❤️‍👨🏿;tokorua me te manawa: wahine, tāne, kiri āhua waenga, kiri āhua parauri;aroha|kiri āhua parauri|kiri āhua waenga|tāne|tokorua|tokorua me te manawa|wahine
	👩🏾‍❤️‍👨🏻;tokorua me te manawa: wahine, tāne, kiri āhua waenga-parauri, kiri āhua māmā;aroha|kiri āhua māmā|kiri āhua waenga-parauri|tāne|tokorua|tokorua me te manawa|wahine
	👩🏾‍❤️‍👨🏼;tokorua me te manawa: wahine, tāne, kiri āhua waenga-parauri, kiri āhua māmā-waenga;aroha|kiri āhua māmā-waenga|kiri āhua waenga-parauri|tāne|tokorua|tokorua me te manawa|wahine
	👩🏾‍❤️‍👨🏽;tokorua me te manawa: wahine, tāne, kiri āhua waenga-parauri, kiri āhua waenga;aroha|kiri āhua waenga|kiri āhua waenga-parauri|tāne|tokorua|tokorua me te manawa|wahine
	👩🏾‍❤️‍👨🏾;tokorua me te manawa: wahine, tāne, kiri āhua waenga-parauri;aroha|kiri āhua waenga-parauri|tāne|tokorua|tokorua me te manawa|wahine
	👩🏾‍❤️‍👨🏿;tokorua me te manawa: wahine, tāne, kiri āhua waenga-parauri, kiri āhua parauri;aroha|kiri āhua parauri|kiri āhua waenga-parauri|tāne|tokorua|tokorua me te manawa|wahine
	👩🏿‍❤️‍👨🏻;tokorua me te manawa: wahine, tāne, kiri āhua parauri, kiri āhua māmā;aroha|kiri āhua māmā|kiri āhua parauri|tāne|tokorua|tokorua me te manawa|wahine
	👩🏿‍❤️‍👨🏼;tokorua me te manawa: wahine, tāne, kiri āhua parauri, kiri āhua māmā-waenga;aroha|kiri āhua māmā-waenga|kiri āhua parauri|tāne|tokorua|tokorua me te manawa|wahine
	👩🏿‍❤️‍👨🏽;tokorua me te manawa: wahine, tāne, kiri āhua parauri, kiri āhua waenga;aroha|kiri āhua parauri|kiri āhua waenga|tāne|tokorua|tokorua me te manawa|wahine
	👩🏿‍❤️‍👨🏾;tokorua me te manawa: wahine, tāne, kiri āhua parauri, kiri āhua waenga-parauri;aroha|kiri āhua parauri|kiri āhua waenga-parauri|tāne|tokorua|tokorua me te manawa|wahine
	👩🏿‍❤️‍👨🏿;tokorua me te manawa: wahine, tāne, kiri āhua parauri;aroha|kiri āhua parauri|tāne|tokorua|tokorua me te manawa|wahine
👨‍❤️‍👨;tokorua me te manawa: tāne, tāne;aroha|tāne|tokorua|tokorua me te manawa
	👨🏻‍❤️‍👨🏻;tokorua me te manawa: tāne, tāne, kiri āhua māmā;aroha|kiri āhua māmā|tāne|tokorua|tokorua me te manawa
	👨🏻‍❤️‍👨🏼;tokorua me te manawa: tāne, tāne, kiri āhua māmā, kiri āhua māmā-waenga;aroha|kiri āhua māmā|kiri āhua māmā-waenga|tāne|tokorua|tokorua me te manawa
	👨🏻‍❤️‍👨🏽;tokorua me te manawa: tāne, tāne, kiri āhua māmā, kiri āhua waenga;aroha|kiri āhua māmā|kiri āhua waenga|tāne|tokorua|tokorua me te manawa
	👨🏻‍❤️‍👨🏾;tokorua me te manawa: tāne, tāne, kiri āhua māmā, kiri āhua waenga-parauri;aroha|kiri āhua māmā|kiri āhua waenga-parauri|tāne|tokorua|tokorua me te manawa
	👨🏻‍❤️‍👨🏿;tokorua me te manawa: tāne, tāne, kiri āhua māmā, kiri āhua parauri;aroha|kiri āhua māmā|kiri āhua parauri|tāne|tokorua|tokorua me te manawa
	👨🏼‍❤️‍👨🏻;tokorua me te manawa: tāne, tāne, kiri āhua māmā-waenga, kiri āhua māmā;aroha|kiri āhua māmā|kiri āhua māmā-waenga|tāne|tokorua|tokorua me te manawa
	👨🏼‍❤️‍👨🏼;tokorua me te manawa: tāne, tāne, kiri āhua māmā-waenga;aroha|kiri āhua māmā-waenga|tāne|tokorua|tokorua me te manawa
	👨🏼‍❤️‍👨🏽;tokorua me te manawa: tāne, tāne, kiri āhua māmā-waenga, kiri āhua waenga;aroha|kiri āhua māmā-waenga|kiri āhua waenga|tāne|tokorua|tokorua me te manawa
	👨🏼‍❤️‍👨🏾;tokorua me te manawa: tāne, tāne, kiri āhua māmā-waenga, kiri āhua waenga-parauri;aroha|kiri āhua māmā-waenga|kiri āhua waenga-parauri|tāne|tokorua|tokorua me te manawa
	👨🏼‍❤️‍👨🏿;tokorua me te manawa: tāne, tāne, kiri āhua māmā-waenga, kiri āhua parauri;aroha|kiri āhua māmā-waenga|kiri āhua parauri|tāne|tokorua|tokorua me te manawa
	👨🏽‍❤️‍👨🏻;tokorua me te manawa: tāne, tāne, kiri āhua waenga, kiri āhua māmā;aroha|kiri āhua māmā|kiri āhua waenga|tāne|tokorua|tokorua me te manawa
	👨🏽‍❤️‍👨🏼;tokorua me te manawa: tāne, tāne, kiri āhua waenga, kiri āhua māmā-waenga;aroha|kiri āhua māmā-waenga|kiri āhua waenga|tāne|tokorua|tokorua me te manawa
	👨🏽‍❤️‍👨🏽;tokorua me te manawa: tāne, tāne, kiri āhua waenga;aroha|kiri āhua waenga|tāne|tokorua|tokorua me te manawa
	👨🏽‍❤️‍👨🏾;tokorua me te manawa: tāne, tāne, kiri āhua waenga, kiri āhua waenga-parauri;aroha|kiri āhua waenga|kiri āhua waenga-parauri|tāne|tokorua|tokorua me te manawa
	👨🏽‍❤️‍👨🏿;tokorua me te manawa: tāne, tāne, kiri āhua waenga, kiri āhua parauri;aroha|kiri āhua parauri|kiri āhua waenga|tāne|tokorua|tokorua me te manawa
	👨🏾‍❤️‍👨🏻;tokorua me te manawa: tāne, tāne, kiri āhua waenga-parauri, kiri āhua māmā;aroha|kiri āhua māmā|kiri āhua waenga-parauri|tāne|tokorua|tokorua me te manawa
	👨🏾‍❤️‍👨🏼;tokorua me te manawa: tāne, tāne, kiri āhua waenga-parauri, kiri āhua māmā-waenga;aroha|kiri āhua māmā-waenga|kiri āhua waenga-parauri|tāne|tokorua|tokorua me te manawa
	👨🏾‍❤️‍👨🏽;tokorua me te manawa: tāne, tāne, kiri āhua waenga-parauri, kiri āhua waenga;aroha|kiri āhua waenga|kiri āhua waenga-parauri|tāne|tokorua|tokorua me te manawa
	👨🏾‍❤️‍👨🏾;tokorua me te manawa: tāne, tāne, kiri āhua waenga-parauri;aroha|kiri āhua waenga-parauri|tāne|tokorua|tokorua me te manawa
	👨🏾‍❤️‍👨🏿;tokorua me te manawa: tāne, tāne, kiri āhua waenga-parauri, kiri āhua parauri;aroha|kiri āhua parauri|kiri āhua waenga-parauri|tāne|tokorua|tokorua me te manawa
	👨🏿‍❤️‍👨🏻;tokorua me te manawa: tāne, tāne, kiri āhua parauri, kiri āhua māmā;aroha|kiri āhua māmā|kiri āhua parauri|tāne|tokorua|tokorua me te manawa
	👨🏿‍❤️‍👨🏼;tokorua me te manawa: tāne, tāne, kiri āhua parauri, kiri āhua māmā-waenga;aroha|kiri āhua māmā-waenga|kiri āhua parauri|tāne|tokorua|tokorua me te manawa
	👨🏿‍❤️‍👨🏽;tokorua me te manawa: tāne, tāne, kiri āhua parauri, kiri āhua waenga;aroha|kiri āhua parauri|kiri āhua waenga|tāne|tokorua|tokorua me te manawa
	👨🏿‍❤️‍👨🏾;tokorua me te manawa: tāne, tāne, kiri āhua parauri, kiri āhua waenga-parauri;aroha|kiri āhua parauri|kiri āhua waenga-parauri|tāne|tokorua|tokorua me te manawa
	👨🏿‍❤️‍👨🏿;tokorua me te manawa: tāne, tāne, kiri āhua parauri;aroha|kiri āhua parauri|tāne|tokorua|tokorua me te manawa
👩‍❤️‍👩;tokorua me te manawa: wahine, wahine;aroha|tokorua|tokorua me te manawa|wahine
	👩🏻‍❤️‍👩🏻;tokorua me te manawa: wahine, wahine, kiri āhua māmā;aroha|kiri āhua māmā|tokorua|tokorua me te manawa|wahine
	👩🏻‍❤️‍👩🏼;tokorua me te manawa: wahine, wahine, kiri āhua māmā, kiri āhua māmā-waenga;aroha|kiri āhua māmā|kiri āhua māmā-waenga|tokorua|tokorua me te manawa|wahine
	👩🏻‍❤️‍👩🏽;tokorua me te manawa: wahine, wahine, kiri āhua māmā, kiri āhua waenga;aroha|kiri āhua māmā|kiri āhua waenga|tokorua|tokorua me te manawa|wahine
	👩🏻‍❤️‍👩🏾;tokorua me te manawa: wahine, wahine, kiri āhua māmā, kiri āhua waenga-parauri;aroha|kiri āhua māmā|kiri āhua waenga-parauri|tokorua|tokorua me te manawa|wahine
	👩🏻‍❤️‍👩🏿;tokorua me te manawa: wahine, wahine, kiri āhua māmā, kiri āhua parauri;aroha|kiri āhua māmā|kiri āhua parauri|tokorua|tokorua me te manawa|wahine
	👩🏼‍❤️‍👩🏻;tokorua me te manawa: wahine, wahine, kiri āhua māmā-waenga, kiri āhua māmā;aroha|kiri āhua māmā|kiri āhua māmā-waenga|tokorua|tokorua me te manawa|wahine
	👩🏼‍❤️‍👩🏼;tokorua me te manawa: wahine, wahine, kiri āhua māmā-waenga;aroha|kiri āhua māmā-waenga|tokorua|tokorua me te manawa|wahine
	👩🏼‍❤️‍👩🏽;tokorua me te manawa: wahine, wahine, kiri āhua māmā-waenga, kiri āhua waenga;aroha|kiri āhua māmā-waenga|kiri āhua waenga|tokorua|tokorua me te manawa|wahine
	👩🏼‍❤️‍👩🏾;tokorua me te manawa: wahine, wahine, kiri āhua māmā-waenga, kiri āhua waenga-parauri;aroha|kiri āhua māmā-waenga|kiri āhua waenga-parauri|tokorua|tokorua me te manawa|wahine
	👩🏼‍❤️‍👩🏿;tokorua me te manawa: wahine, wahine, kiri āhua māmā-waenga, kiri āhua parauri;aroha|kiri āhua māmā-waenga|kiri āhua parauri|tokorua|tokorua me te manawa|wahine
	👩🏽‍❤️‍👩🏻;tokorua me te manawa: wahine, wahine, kiri āhua waenga, kiri āhua māmā;aroha|kiri āhua māmā|kiri āhua waenga|tokorua|tokorua me te manawa|wahine
	👩🏽‍❤️‍👩🏼;tokorua me te manawa: wahine, wahine, kiri āhua waenga, kiri āhua māmā-waenga;aroha|kiri āhua māmā-waenga|kiri āhua waenga|tokorua|tokorua me te manawa|wahine
	👩🏽‍❤️‍👩🏽;tokorua me te manawa: wahine, wahine, kiri āhua waenga;aroha|kiri āhua waenga|tokorua|tokorua me te manawa|wahine
	👩🏽‍❤️‍👩🏾;tokorua me te manawa: wahine, wahine, kiri āhua waenga, kiri āhua waenga-parauri;aroha|kiri āhua waenga|kiri āhua waenga-parauri|tokorua|tokorua me te manawa|wahine
	👩🏽‍❤️‍👩🏿;tokorua me te manawa: wahine, wahine, kiri āhua waenga, kiri āhua parauri;aroha|kiri āhua parauri|kiri āhua waenga|tokorua|tokorua me te manawa|wahine
	👩🏾‍❤️‍👩🏻;tokorua me te manawa: wahine, wahine, kiri āhua waenga-parauri, kiri āhua māmā;aroha|kiri āhua māmā|kiri āhua waenga-parauri|tokorua|tokorua me te manawa|wahine
	👩🏾‍❤️‍👩🏼;tokorua me te manawa: wahine, wahine, kiri āhua waenga-parauri, kiri āhua māmā-waenga;aroha|kiri āhua māmā-waenga|kiri āhua waenga-parauri|tokorua|tokorua me te manawa|wahine
	👩🏾‍❤️‍👩🏽;tokorua me te manawa: wahine, wahine, kiri āhua waenga-parauri, kiri āhua waenga;aroha|kiri āhua waenga|kiri āhua waenga-parauri|tokorua|tokorua me te manawa|wahine
	👩🏾‍❤️‍👩🏾;tokorua me te manawa: wahine, wahine, kiri āhua waenga-parauri;aroha|kiri āhua waenga-parauri|tokorua|tokorua me te manawa|wahine
	👩🏾‍❤️‍👩🏿;tokorua me te manawa: wahine, wahine, kiri āhua waenga-parauri, kiri āhua parauri;aroha|kiri āhua parauri|kiri āhua waenga-parauri|tokorua|tokorua me te manawa|wahine
	👩🏿‍❤️‍👩🏻;tokorua me te manawa: wahine, wahine, kiri āhua parauri, kiri āhua māmā;aroha|kiri āhua māmā|kiri āhua parauri|tokorua|tokorua me te manawa|wahine
	👩🏿‍❤️‍👩🏼;tokorua me te manawa: wahine, wahine, kiri āhua parauri, kiri āhua māmā-waenga;aroha|kiri āhua māmā-waenga|kiri āhua parauri|tokorua|tokorua me te manawa|wahine
	👩🏿‍❤️‍👩🏽;tokorua me te manawa: wahine, wahine, kiri āhua parauri, kiri āhua waenga;aroha|kiri āhua parauri|kiri āhua waenga|tokorua|tokorua me te manawa|wahine
	👩🏿‍❤️‍👩🏾;tokorua me te manawa: wahine, wahine, kiri āhua parauri, kiri āhua waenga-parauri;aroha|kiri āhua parauri|kiri āhua waenga-parauri|tokorua|tokorua me te manawa|wahine
	👩🏿‍❤️‍👩🏿;tokorua me te manawa: wahine, wahine, kiri āhua parauri;aroha|kiri āhua parauri|tokorua|tokorua me te manawa|wahine
👨‍👩‍👦;whānau: tāne, wahine, tamatāne;tamatāne|tāne|wahine|whānau
👨‍👩‍👧;whānau: tāne, wahine, kōtiro;kōtiro|tāne|wahine|whānau
👨‍👩‍👧‍👦;whānau: tāne, wahine, kōtiro, tamatāne;kōtiro|tamatāne|tāne|wahine|whānau
👨‍👩‍👦‍👦;whānau: tāne, wahine, tamatāne, tamatāne;tamatāne|tāne|wahine|whānau
👨‍👩‍👧‍👧;whānau: tāne, wahine, kōtiro, kōtiro;kōtiro|tāne|wahine|whānau
👨‍👨‍👦;whānau: tāne, tāne, tamatāne;tamatāne|tāne|whānau
👨‍👨‍👧;whānau: tāne, tāne, kōtiro;kōtiro|tāne|whānau
👨‍👨‍👧‍👦;whānau: tāne, tāne, kōtiro, tamatāne;kōtiro|tamatāne|tāne|whānau
👨‍👨‍👦‍👦;whānau: tāne, tāne, tamatāne, tamatāne;tamatāne|tāne|whānau
👨‍👨‍👧‍👧;whānau: tāne, tāne, kōtiro, kōtiro;kōtiro|tāne|whānau
👩‍👩‍👦;whānau: wahine, wahine, tamatāne;tamatāne|wahine|whānau
👩‍👩‍👧;whānau: wahine, wahine, kōtiro;kōtiro|wahine|whānau
👩‍👩‍👧‍👦;whānau: wahine, wahine, kōtiro, tamatāne;kōtiro|tamatāne|wahine|whānau
👩‍👩‍👦‍👦;whānau: wahine, wahine, tamatāne, tamatāne;tamatāne|wahine|whānau
👩‍👩‍👧‍👧;whānau: wahine, wahine, kōtiro, kōtiro;kōtiro|wahine|whānau
👨‍👦;whānau: tāne, tamatāne;tamatāne|tāne|whānau
👨‍👦‍👦;whānau: tāne, tamatāne, tamatāne;tamatāne|tāne|whānau
👨‍👧;whānau: tāne, kōtiro;kōtiro|tāne|whānau
👨‍👧‍👦;whānau: tāne, kōtiro, tamatāne;kōtiro|tamatāne|tāne|whānau
👨‍👧‍👧;whānau: tāne, kōtiro, kōtiro;kōtiro|tāne|whānau
👩‍👦;whānau: wahine, tamatāne;tamatāne|wahine|whānau
👩‍👦‍👦;whānau: wahine, tamatāne, tamatāne;tamatāne|wahine|whānau
👩‍👧;whānau: wahine, kōtiro;kōtiro|wahine|whānau
👩‍👧‍👦;whānau: wahine, kōtiro, tamatāne;kōtiro|tamatāne|wahine|whānau
👩‍👧‍👧;whānau: wahine, kōtiro, kōtiro;kōtiro|wahine|whānau
🗣️;upoko kōrero;ataata|kanohi|kōrero|kōrero ana|upoko
👤;poho rō ataata;ataata|poho|poho rō ataata
👥;ngā poho rō ataata;ataata|ngā poho rō ataata|poho
🫂;;
👪;whānau;whānau
🧑‍🧑‍🧒;;
🧑‍🧑‍🧒‍🧒;;
🧑‍🧒;;
🧑‍🧒‍🧒;;
👣;ngā tapuwae;kākahu|ngā tapuwae|tā|tapuwae
🫆;;

[animals_nature]
🐵;kanohi makimaki;kanohi|makimaki
🐒;makimaki;makimaki
🦍;makimaki nui;makimaki nui
🦧;;
🐶;kanohi kurī;kanohi|kurī|mōkai
🐕;kurī;kurī|mōkai
🦮;;
🐕‍🦺;;
🐩;kurī poipoi;kurī|kurī poipoi
🐺;kanohi wūruhi;kanohi|wūruhi
🦊;kanohi pōkiha;kanohi|pōkiha
🦝;;
🐱;kanohi ngeru;kanohi|mōkai|ngeru
🐈;ngeru;mōkai|ngeru
🐈‍⬛;;
🦁;kanohi raiona;kanohi|Leo|poutiriao|raiona
🐯;kanohi taika;kanohi|taika
🐅;taika;taika
🐆;reparo;reparo
🐴;kanohi hōiho;hoiho|kanohi|kanohi hōiho
🫎;;
🫏;;
🐎;hōiho;hōiho|hoiho tauomaoma|hoihotanga|tauomaoma
🦄;kanohi hōiho pihi;hoiho pihi|kanohi|kanohi hōiho pihi
🦓;hepapa;hepapa|tāheke
🦌;tia;tia
🦬;;
🐮;kanohi kau;kanohi|kau
🐂;ōkiha;ōkiha|poutiriao|pūru|Taurus
🐃;pūru wai;pūru|wai
🐄;kau;kau
🐷;kanohi poaka;kanohi|poaka
🐖;poaka;poaka|poaka uha
🐗;poaka toa;poaka|poaka toa
🐽;ihu poaka;ihu|kanohi|poaka
🐏;hipi toa;Aries|hipi|poutiriao|toa
🐑;uha hipi;hipi|uha
🐐;koati;Capricorn|koati|poutiriao
🐪;kāmera;kāmera|taromitari|tuapuku
🐫;kāmera rua-tuapuku;kāmera|rua-tuapuku|tuapuku
🦙;;
🦒;kakīroa;kakīroa|ngā kōiraira
🐘;erewhana;erewhana
🦣;;
🦏;rinorino;rinorino
🦛;;
🐭;kanohi kiore;kanohi|kiore
🐁;kiore iti;kiore iti
