# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;kanohi pakiri;kanohi|pakiri
🤛;meke anga-mauī;meke|meke anga-mauī|whakatemauī
	🤛🏻;meke anga-mauī: kiri āhua māmā;kiri āhua māmā|meke|meke anga-mauī|whakatemauī
	🤛🏼;meke anga-mauī: kiri āhua māmā-waenga;kiri āhua māmā-waenga|meke|meke anga-mauī|whakatemauī
	🤛🏽;meke anga-mauī: kiri āhua waenga;kiri āhua waenga|meke|meke anga-mauī|whakatemauī
	🤛🏾;meke anga-mauī: kiri āhua waenga-parauri;kiri āhua waenga-parauri|meke|meke anga-mauī|whakatemauī
	🤛🏿;meke anga-mauī: kiri āhua parauri;kiri āhua parauri|meke|meke anga-mauī|whakatemauī
🤜;meke anga-matau;meke|meke anga-matau|whakatematau
	🤜🏻;meke anga-matau: kiri āhua māmā;kiri āhua māmā|meke|meke anga-matau|whakatematau
	🤜🏼;meke anga-matau: kiri āhua māmā-waenga;kiri āhua māmā-waenga|meke|meke anga-matau|whakatematau
	🤜🏽;meke anga-matau: kiri āhua waenga;kiri āhua waenga|meke|meke anga-matau|whakatematau
	🤜🏾;meke anga-matau: kiri āhua waenga-parauri;kiri āhua waenga-parauri|meke|meke anga-matau|whakatematau
	🤜🏿;meke anga-matau: kiri āhua parauri;kiri āhua parauri|meke|meke anga-matau|whakatematau
👏;ringa pakipaki;pakipaki|ringa
	👏🏻;ringa pakipaki: kiri āhua māmā;kiri āhua māmā|pakipaki|ringa
