[smileys_emotion]
😀;دند پیسدی شکل;داند پیسنا|دند پیسدی شکل|دی شکل
😤;چوندے ہوئے ناک نال شکل;جیتا|چوندے ہوئے ناک نال شکل|دی شکل|فتح یابی
😡;لٹکی ہوئی شکل;آگ بگولا ہونا|پاگل|دی شکل|رُسنا|لال|لٹکی ہوئی شکل|منہ بسورنا
😠;رُسی شکل;پاگل|دی شکل|رُسنا|رُسی شکل
🤬;منہ اُوتے علامتاں نال شکل;گالاں دینا|منہ اُوتے علامتاں نال شکل
😈;سینگاں نال مسکراندی شکل;پریاں دی کہانی|تصور|دی شکل|سینگ|سینگاں نال مسکراندی شکل|مسکرانا
👿;سینگاں نال غصے آلی شکل;بدرُوح|بُھتنا|پریاں دی کہانی|تصور|دی شکل|سینگاں نال غصے آلی شکل|شیطان
💀;کھوپڑی;پریاں دی کہانی|دی شکل|دیو|کھوپڑی|موت
☠️;انتباہ دی علامت اتے کھوپڑی;انتباہ دی علامت|انتباہ دی علامت اتے کھوپڑی|دی شکل|دیو|کھوپڑی|موت
💩;پو دا انبار;پو دا انبار|دنبالہ|دی شکل|دیو|ڈرون آلی شکل|گویا|مُضحِکہ خیز
🤡;مسخرے دی شکل;دی شکل|مسخرے|مسخرے دی شکل
👹;دیو;پریاں دی کہانی|تصور|دی شکل|دیو|مخلوق
👺;آسیب;آسیب|پریاں دی کہانی|تصور|دی شکل|دیو|مخلوق
👻;بھوت;بھوت|پریاں دی کہانی|تصور|دی شکل|دیو|مخلوق
👽;اجنبی;اجنبی|اڑن طشتری|پریاں دی کہانی|تصور|دی شکل|دیو|غیر ارضی|مخلوق
👾;بدصورت اجنبی;اجنبی|اڑن طشتری|بدصورت اجنبی|پریاں دی کہانی|تصور|دی شکل|دیو|غیر ارضی|مخلوق
🤖;روبوٹ دی شکل;دی شکل|دیو|رُوبوٹ|روبوٹ دی شکل
😺;کھلے منہ نال بلی دی مسکراندی شکل;بلی|دی شکل|کُھلا|کھلے منہ نال بلی دی مسکراندی شکل|مسکرانا|منہ
😸;مسکراندیاں اکھاں نال دند پیسدی بلی دی شکل;اکھ|بلی|داند پیسنا|دی شکل|مسکرانا|مسکراندیاں اکھاں نال دند پیسدی بلی دی شکل
😹;خوشی دے اتھرواں نال بلی دی شکل;اتھرو|بلی|خوشی|خوشی دے اتھرواں نال بلی دی شکل|دی شکل
😻;دل آلیاں ـ اکھاں نال مسکراندی شکل;اکھ|بلی|پریم|دل آلیاں ـ اکھاں نال مسکراندی شکل|دی شکل|مسکرانا
😼;وگڑی ہوئی مسکراہٹ نال بلی دی شکل;بلی|ٹیڑھا|دی شکل|طنزیہ|مسکرانا|وگڑی ہوئی مسکراہٹ نال بلی دی شکل
😽;بند اکھاں نال بلی دی چومدی ہوئی شکل;اکھ|بلی|بند اکھاں نال بلی دی چومدی ہوئی شکل|چومنا|دی شکل
🙀;بلی دی بیزار شکل;اوہ|بلی|بلی دی بیزار شکل|تھکیا ہوئیا|حیرت انگیز|دی شکل
😿;بلی دی روندی شکل;اتھرو|بلی|بلی دی روندی شکل|دی شکل|رونا|غمگین
😾;بلی دی لٹکی شکل;بلی|بلی دی لٹکی شکل|دی شکل|منہ بسورنا
🙈;ویکھو-کوئی-شیطان باندر نہیں;اشارہ|باندر|بھیڑ|حرام|دی شکل|ممنوع کیتا|نہیں|ویکھو|ویکھو-کوئی-شیطان باندر نہیں
🙉;سنو-کوئی-شیطان باندر نہیں;اشارہ|باندر|بھیڑ|حرام|دی شکل|سُننا|سنو-کوئی-شیطان باندر نہیں|ممنوع کیتا|نہیں
🙊;بولو-کوئی-شیطان-باندر نہیں;اشارہ|باندر|بھیڑ|بولنا|بولو-کوئی-شیطان-باندر نہیں|حرام|دی شکل|ممنوع کیتا|نہیں
💌;پیار دا پتر;پریم|پیار دا پتر|خط|دل|میل
💘;تیر نال دل;تیر|تیر نال دل|کیوپڈ
💝;فیتے نال دل;فیتہ|فیتے نال دل|ویلنٹائن
💖;عشق دا اظہار کردا دل;جذباتی ہونا|جگ مگ کرنا|عشق دا اظہار کردا دل
💗;وددھا ہوئیا دل;اعصابی|جذباتی ہونا|نبض|وددھا ہوئیا دل|ودھنا
💓;دھڑکدا دل;چلدی نبض|دل دی دھڑکن|دھڑکدا دل|مارنا
💞;گھومدا دل;گھمدا ہوئیا|گھومدا دل
💕;دو دل;پریم|دو دل
💟;دل دی سجاوٹ;دل|دل دی سجاوٹ
