[smileys_emotion]
😀;cara sonriendo;cara|cara sonriendo|contento|divertido|sonrisa
	👨🏿‍❤️‍👨🏼;hombre y mujer enamorados: hombre, hombre, tono de piel oscuro, tono de piel claro medio;hombre|hombre y mujer enamorados|hombre y mujer enamorados: hombre, hombre, tono de piel oscuro, tono de piel claro medio|tono de piel claro medio|tono de piel oscuro
	👨🏿‍❤️‍👨🏽;hombre y mujer enamorados: hombre, hombre, tono de piel oscuro, tono de piel medio;hombre|hombre y mujer enamorados|hombre y mujer enamorados: hombre, hombre, tono de piel oscuro, tono de piel medio|tono de piel medio|tono de piel oscuro
	👨🏿‍❤️‍👨🏾;hombre y mujer enamorados: hombre, hombre, tono de piel oscuro, tono de piel oscuro medio;hombre|hombre y mujer enamorados|hombre y mujer enamorados: hombre, hombre, tono de piel oscuro, tono de piel oscuro medio|tono de piel oscuro|tono de piel oscuro medio
	👨🏿‍❤️‍👨🏿;hombre y mujer enamorados: hombre, hombre, tono de piel oscuro;hombre|hombre y mujer enamorados|hombre y mujer enamorados: hombre, hombre, tono de piel oscuro|tono de piel oscuro
👩‍❤️‍👩;hombre y mujer enamorados: mujer y mujer;hombre y mujer enamorados|hombre y mujer enamorados: mujer y mujer|mujer
	👩🏻‍❤️‍👩🏻;hombre y mujer enamorados: mujer, mujer, tono de piel claro;hombre y mujer enamorados|hombre y mujer enamorados: mujer, mujer, tono de piel claro|mujer|tono de piel claro
	👩🏻‍❤️‍👩🏼;hombre y mujer enamorados: mujer, mujer, tono de piel claro, tono de piel claro medio;hombre y mujer enamorados|hombre y mujer enamorados: mujer, mujer, tono de piel claro, tono de piel claro medio|mujer|tono de piel claro|tono de piel claro medio
	👩🏻‍❤️‍👩🏽;hombre y mujer enamorados: mujer, mujer, tono de piel claro, tono de piel medio;hombre y mujer enamorados|hombre y mujer enamorados: mujer, mujer, tono de piel claro, tono de piel medio|mujer|tono de piel claro|tono de piel medio
	👩🏻‍❤️‍👩🏾;hombre y mujer enamorados: mujer, mujer, tono de piel claro, tono de piel oscuro medio;hombre y mujer enamorados|hombre y mujer enamorados: mujer, mujer, tono de piel claro, tono de piel oscuro medio|mujer|tono de piel claro|tono de piel oscuro medio
	👩🏻‍❤️‍👩🏿;hombre y mujer enamorados: mujer, mujer, tono de piel claro, tono de piel oscuro;hombre y mujer enamorados|hombre y mujer enamorados: mujer, mujer, tono de piel claro, tono de piel oscuro|mujer|tono de piel claro|tono de piel oscuro
	👩🏼‍❤️‍👩🏻;hombre y mujer enamorados: mujer, mujer, tono de piel claro medio, tono de piel claro;hombre y mujer enamorados|hombre y mujer enamorados: mujer, mujer, tono de piel claro medio, tono de piel claro|mujer|tono de piel claro|tono de piel claro medio
	👩🏼‍❤️‍👩🏼;hombre y mujer enamorados: mujer, mujer, tono de piel claro medio;hombre y mujer enamorados|hombre y mujer enamorados: mujer, mujer, tono de piel claro medio|mujer|tono de piel claro medio
	👩🏼‍❤️‍👩🏽;hombre y mujer enamorados: mujer, mujer, tono de piel claro medio, tono de piel medio;hombre y mujer enamorados|hombre y mujer enamorados: mujer, mujer, tono de piel claro medio, tono de piel medio|mujer|tono de piel claro medio|tono de piel medio
	👩🏼‍❤️‍👩🏾;hombre y mujer enamorados: mujer, mujer, tono de piel claro medio, tono de piel oscuro medio;hombre y mujer enamorados|hombre y mujer enamorados: mujer, mujer, tono de piel claro medio, tono de piel oscuro medio|mujer|tono de piel claro medio|tono de piel oscuro medio
	👩🏼‍❤️‍👩🏿;hombre y mujer enamorados: mujer, mujer, tono de piel claro medio, tono de piel oscuro;hombre y mujer enamorados|hombre y mujer enamorados: mujer, mujer, tono de piel claro medio, tono de piel oscuro|mujer|tono de piel claro medio|tono de piel oscuro
	👩🏽‍❤️‍👩🏻;hombre y mujer enamorados: mujer, mujer, tono de piel medio, tono de piel claro;hombre y mujer enamorados|hombre y mujer enamorados: mujer, mujer, tono de piel medio, tono de piel claro|mujer|tono de piel claro|tono de piel medio
	👩🏽‍❤️‍👩🏼;hombre y mujer enamorados: mujer, mujer, tono de piel medio, tono de piel claro medio;hombre y mujer enamorados|hombre y mujer enamorados: mujer, mujer, tono de piel medio, tono de piel claro medio|mujer|tono de piel claro medio|tono de piel medio
	👩🏽‍❤️‍👩🏽;hombre y mujer enamorados: mujer, mujer, tono de piel medio;hombre y mujer enamorados|hombre y mujer enamorados: mujer, mujer, tono de piel medio|mujer|tono de piel medio
	👩🏽‍❤️‍👩🏾;hombre y mujer enamorados: mujer, mujer, tono de piel medio, tono de piel oscuro medio;hombre y mujer enamorados|hombre y mujer enamorados: mujer, mujer, tono de piel medio, tono de piel oscuro medio|mujer|tono de piel medio|tono de piel oscuro medio
	👩🏽‍❤️‍👩🏿;hombre y mujer enamorados: mujer, mujer, tono de piel medio, tono de piel oscuro;hombre y mujer enamorados|hombre y mujer enamorados: mujer, mujer, tono de piel medio, tono de piel oscuro|mujer|tono de piel medio|tono de piel oscuro
	👩🏾‍❤️‍👩🏻;hombre y mujer enamorados: mujer, mujer, tono de piel oscuro medio, tono de piel claro;hombre y mujer enamorados|hombre y mujer enamorados: mujer, mujer, tono de piel oscuro medio, tono de piel claro|mujer|tono de piel claro|tono de piel oscuro medio
	👩🏾‍❤️‍👩🏼;hombre y mujer enamorados: mujer, mujer, tono de piel oscuro medio, tono de piel claro medio;hombre y mujer enamorados|hombre y mujer enamorados: mujer, mujer, tono de piel oscuro medio, tono de piel claro medio|mujer|tono de piel claro medio|tono de piel oscuro medio
	👩🏾‍❤️‍👩🏽;hombre y mujer enamorados: mujer, mujer, tono de piel oscuro medio, tono de piel medio;hombre y mujer enamorados|hombre y mujer enamorados: mujer, mujer, tono de piel oscuro medio, tono de piel medio|mujer|tono de piel medio|tono de piel oscuro medio
	👩🏾‍❤️‍👩🏾;hombre y mujer enamorados: mujer, mujer, tono de piel oscuro medio;hombre y mujer enamorados|hombre y mujer enamorados: mujer, mujer, tono de piel oscuro medio|mujer|tono de piel oscuro medio
	👩🏾‍❤️‍👩🏿;hombre y mujer enamorados: mujer, mujer, tono de piel oscuro medio, tono de piel oscuro;hombre y mujer enamorados|hombre y mujer enamorados: mujer, mujer, tono de piel oscuro medio, tono de piel oscuro|mujer|tono de piel oscuro|tono de piel oscuro medio
	👩🏿‍❤️‍👩🏻;hombre y mujer enamorados: mujer, mujer, tono de piel oscuro, tono de piel claro;hombre y mujer enamorados|hombre y mujer enamorados: mujer, mujer, tono de piel oscuro, tono de piel claro|mujer|tono de piel claro|tono de piel oscuro
	👩🏿‍❤️‍👩🏼;hombre y mujer enamorados: mujer, mujer, tono de piel oscuro, tono de piel claro medio;hombre y mujer enamorados|hombre y mujer enamorados: mujer, mujer, tono de piel oscuro, tono de piel claro medio|mujer|tono de piel claro medio|tono de piel oscuro
	👩🏿‍❤️‍👩🏽;hombre y mujer enamorados: mujer, mujer, tono de piel oscuro, tono de piel medio;hombre y mujer enamorados|hombre y mujer enamorados: mujer, mujer, tono de piel oscuro, tono de piel medio|mujer|tono de piel medio|tono de piel oscuro
	👩🏿‍❤️‍👩🏾;hombre y mujer enamorados: mujer, mujer, tono de piel oscuro, tono de piel oscuro medio;hombre y mujer enamorados|hombre y mujer enamorados: mujer, mujer, tono de piel oscuro, tono de piel oscuro medio|mujer|tono de piel oscuro|tono de piel oscuro medio
	👩🏿‍❤️‍👩🏿;hombre y mujer enamorados: mujer, mujer, tono de piel oscuro;hombre y mujer enamorados|hombre y mujer enamorados: mujer, mujer, tono de piel oscuro|mujer|tono de piel oscuro
👨‍👩‍👦;;familia|familia: hombre, mujer, niño|hija|hijo|hombre|madre|mujer|niño|padre
👨‍👩‍👧;;familia|familia: hombre, mujer, niña|hija|hijo|hombre|madre|mujer|niña|padre
👨‍👩‍👧‍👦;;familia|familia: hombre, mujer, niña, niño|hija|hijo|hombre|madre|mujer|niña|niño|padre
👨‍👩‍👦‍👦;;familia|familia: hombre, mujer, niño, niño|hija|hijo|hombre|madre|mujer|niño|padre
👨‍👩‍👧‍👧;;familia|familia: hombre, mujer, niña, niña|hija|hijo|hombre|madre|mujer|niña|padre
👨‍👨‍👦;;familia|familia: hombre, hombre, niño|hija|hijo|hombre|madre|niño|padre
👨‍👨‍👧;;familia|familia: hombre, hombre, niña|hija|hijo|hombre|madre|niña|padre
👨‍👨‍👧‍👦;;familia|familia: hombre, hombre, niña, niño|hija|hijo|hombre|madre|niña|niño|padre
👨‍👨‍👦‍👦;;familia|familia: hombre, hombre, niño, niño|hija|hijo|hombre|madre|niño|padre
👨‍👨‍👧‍👧;;familia|familia: hombre, hombre, niña, niña|hija|hijo|hombre|madre|niña|padre
👩‍👩‍👦;;familia|familia: mujer, mujer, niño|hija|hijo|madre|mujer|niño|padre
👩‍👩‍👧;;familia|familia: mujer, mujer, niña|hija|hijo|madre|mujer|niña|padre
👩‍👩‍👧‍👦;;familia|familia: mujer, mujer, niña, niño|hija|hijo|madre|mujer|niña|niño|padre
👩‍👩‍👦‍👦;;familia|familia: mujer, mujer, niño, niño|hija|hijo|madre|mujer|niño|padre
👩‍👩‍👧‍👧;;familia|familia: mujer, mujer, niña, niña|hija|hijo|madre|mujer|niña|padre
👨‍👦;;familia|familia: hombre y niño|hija|hijo|hombre|madre|niño|padre
👨‍👦‍👦;;familia|familia: hombre, niño, niño|hija|hijo|hombre|madre|niño|padre
👨‍👧;;familia|familia: hombre y niña|hija|hijo|hombre|madre|niña|padre
👨‍👧‍👦;;familia|familia: hombre, niña, niño|hija|hijo|hombre|madre|niña|niño|padre
👨‍👧‍👧;;familia|familia: hombre, niña, niña|hija|hijo|hombre|madre|niña|padre
👩‍👦;;familia|familia: mujer y niño|hija|hijo|madre|mujer|niño|padre
👩‍👦‍👦;;familia|familia: mujer, niño, niño|hija|hijo|madre|mujer|niño|padre
👩‍👧;;familia|familia: mujer y niña|hija|hijo|madre|mujer|niña|padre
👩‍👧‍👦;;familia|familia: mujer, niña, niño|hija|hijo|madre|mujer|niña|niño|padre
👩‍👧‍👧;;familia|familia: mujer, niña, niña|hija|hijo|madre|mujer|niña|padre
🗣️;↑↑↑;↑↑↑
👤;↑↑↑;↑↑↑
👥;↑↑↑;↑↑↑
🫂;↑↑↑;↑↑↑
👪;↑↑↑;familia|hija|hijo|madre|padre
🧑‍🧑‍🧒;↑↑↑;↑↑↑
🧑‍🧑‍🧒‍🧒;↑↑↑;↑↑↑
🧑‍🧒;↑↑↑;↑↑↑
🧑‍🧒‍🧒;↑↑↑;↑↑↑
👣;huellas de pies;cuerpo|huellas de pies|pie|pisada

[animals_nature]
🐵;↑↑↑;↑↑↑
🐒;↑↑↑;↑↑↑
🦍;↑↑↑;cara|gorila
🦧;↑↑↑;↑↑↑
🐶;↑↑↑;cara|cara de perro|perro
🐕;↑↑↑;animal|canino|mascota|perro
🦮;↑↑↑;↑↑↑
🐕‍🦺;↑↑↑;↑↑↑
🐩;↑↑↑;animal|caniche|perro|perro de aguas|poodle
🐺;↑↑↑;↑↑↑
🦊;↑↑↑;↑↑↑
🦝;↑↑↑;astucia|curiosidad|mapache
🐱;↑↑↑;↑↑↑
🐈;↑↑↑;animal|felino|gato|minino
🐈‍⬛;↑↑↑;↑↑↑
🦁;↑↑↑;↑↑↑
🐯;↑↑↑;↑↑↑
🐅;↑↑↑;animal|felino|tigre
🐆;↑↑↑;animal|felino|leopardo
🐴;↑↑↑;↑↑↑
🫎;↑↑↑;↑↑↑
🫏;↑↑↑;↑↑↑
🐎;↑↑↑;animal|caballo|ecuestre|equino|galopar
🦄;↑↑↑;↑↑↑
🦓;↑↑↑;↑↑↑
🦌;↑↑↑;↑↑↑
🦬;↑↑↑;bisonte
🐮;↑↑↑;↑↑↑
🐂;↑↑↑;↑↑↑
🐃;↑↑↑;↑↑↑
🐄;↑↑↑;animal|vaca|vacuno
🐷;↑↑↑;animal|cara|cara de cerdo|cerdo|porcino|puerco
🐖;↑↑↑;animal|cerdo|marrano|porcino|puerco
🐗;↑↑↑;animal|jabalí
🐽;↑↑↑;cara|cerdo|chancho|hocico|hocico de cerdo
🐏;↑↑↑;animal|aries|carnero
🐑;↑↑↑;animal|oveja|ovejero|ovino
🐐;↑↑↑;animal|cabra|caprino
🐪;↑↑↑;animal|camélido|dromedario|joroba
🐫;↑↑↑;animal|camélido|camello|joroba
🦙;↑↑↑;alpaca|camélido|guanaco|lana|llama|vicuña
🦒;↑↑↑;↑↑↑
🐘;↑↑↑;animal|elefante
🦣;↑↑↑;mamut
🦏;↑↑↑;↑↑↑
🦛;↑↑↑;animal|hipopótamo
🐭;↑↑↑;↑↑↑
🐁;↑↑↑;animal|ratón
🐀;↑↑↑;animal|rata
🐹;↑↑↑;↑↑↑
🐰;↑↑↑;cara|cara de conejo|conejo
🐇;↑↑↑;animal|conejo
🐿️;↑↑↑;↑↑↑
🦫;↑↑↑;castor
🦔;↑↑↑;erizo
🦇;↑↑↑;↑↑↑
🐻;↑↑↑;↑↑↑
🐻‍❄️;↑↑↑;↑↑↑
🐨;↑↑↑;↑↑↑
🐼;↑↑↑;↑↑↑
🦥;↑↑↑;↑↑↑
🦦;↑↑↑;↑↑↑
🦨;zorrillo;zorrillo
🦘;↑↑↑;canguro|marsupial|saltar
🦡;↑↑↑;tejón|tejón de la miel
🐾;↑↑↑;↑↑↑
🦃;↑↑↑;↑↑↑
🐔;↑↑↑;gallina
🐓;↑↑↑;animal|ave|gallo
🐣;↑↑↑;↑↑↑
🐤;↑↑↑;↑↑↑
🐥;↑↑↑;↑↑↑
🐦;↑↑↑;animal|ave|pájaro|periquito|periquito australiano
🐧;↑↑↑;animal|ave|pingüino
🕊️;↑↑↑;animal|ave|paloma|paz
🦅;↑↑↑;↑↑↑
🦆;↑↑↑;↑↑↑
🦢;↑↑↑;animal|ave|cisne|patito feo
🦉;↑↑↑;↑↑↑
🦤;↑↑↑;dodo
🪶;↑↑↑;pluma
🦩;↑↑↑;↑↑↑
🦚;↑↑↑;ave|orgullo|ostentación|pavo|pavo real
🦜;↑↑↑;animal|ave|cotorro|hablar|loro|perico
🪽;↑↑↑;↑↑↑
🐦‍⬛;ave negra;ave negra
🪿;↑↑↑;↑↑↑
🐦‍🔥;↑↑↑;fénix
🐸;↑↑↑;↑↑↑
🐊;↑↑↑;animal|cocodrilo|lagarto|reptil
🐢;↑↑↑;animal|reptil|tortuga
🦎;↑↑↑;↑↑↑
🐍;↑↑↑;animal|reptil|serpiente|víbora
🐲;↑↑↑;animal|cara de dragón|cuento|dragón|fantasía
🐉;↑↑↑;animal|cuento|dragón|fantasía
🦕;↑↑↑;↑↑↑
🦖;↑↑↑;↑↑↑
🐳;↑↑↑;↑↑↑
🐋;↑↑↑;animal|ballena
🐬;↑↑↑;animal|delfín
🦭;↑↑↑;foca
🐟;↑↑↑;animal|pez
🐠;↑↑↑;↑↑↑
🐡;↑↑↑;↑↑↑
🦈;↑↑↑;↑↑↑
🐙;↑↑↑;animal|pulpo|tentáculos
🐚;caracol marino;caracol marino
🪸;↑↑↑;↑↑↑
🪼;↑↑↑;↑↑↑
🐌;↑↑↑;animal|babosa|baboso|caracol|insecto
🦋;↑↑↑;animal|bonita|insecto|mariposa
🐛;↑↑↑;↑↑↑
🐜;↑↑↑;animal|hormiga|insecto
🐝;↑↑↑;abeja|animal|insecto
🪲;↑↑↑;escarabajo
🐞;↑↑↑;↑↑↑
🦗;↑↑↑;animal|grillo|insecto|saltamontes
🪳;↑↑↑;cucaracha
🕷️;↑↑↑;↑↑↑
🕸️;↑↑↑;araña|telaraña
🦂;↑↑↑;animal|escorpión|insecto|venenoso
🦟;↑↑↑;enfermedad|fiebre|insecto|malaria|mosquito|virus
🪰;↑↑↑;mosca
🪱;↑↑↑;gusano
🦠;↑↑↑;ameba|amiba|bacteria|microbio|virus
💐;↑↑↑;↑↑↑
🌸;↑↑↑;↑↑↑
💮;↑↑↑;↑↑↑
🪷;loto;budismo|flor|hinduismo|loto|lotus|pureza
🏵️;↑↑↑;↑↑↑
🌹;↑↑↑;amor|flor|planta|rosa
🥀;↑↑↑;↑↑↑
🌺;↑↑↑;↑↑↑
🌻;↑↑↑;flor|girasol|planta
🌼;↑↑↑;flor|florecer
🌷;↑↑↑;↑↑↑
🪻;↑↑↑;↑↑↑
🌱;↑↑↑;↑↑↑
🪴;planta en una maceta;planta en una maceta
🌲;↑↑↑;↑↑↑
🌳;↑↑↑;↑↑↑
🌴;↑↑↑;árbol|cocos|palmera
🌵;↑↑↑;↑↑↑
🌾;↑↑↑;↑↑↑
🌿;↑↑↑;↑↑↑
☘️;↑↑↑;↑↑↑
🍀;↑↑↑;cuatro|hojas|suerte|trébol|trébol de cuatro hojas
🍁;↑↑↑;arce|hoja|hoja de arce|maple
🍂;↑↑↑;↑↑↑
🍃;↑↑↑;↑↑↑
🪹;↑↑↑;↑↑↑
🪺;↑↑↑;↑↑↑
🍄;↑↑↑;↑↑↑

[food_drink]
🍇;↑↑↑;↑↑↑
🍈;↑↑↑;fruta|melón|planta
🍉;↑↑↑;fruta|planta|sandía
🍊;↑↑↑;cítrico|fruta|mandarina
🍋;↑↑↑;↑↑↑
🍋‍🟩;↑↑↑;lima
🍌;plátano;plátano
🍍;↑↑↑;piña
🥭;↑↑↑;árbol|fruta|mango
🍎;↑↑↑;↑↑↑
🍏;↑↑↑;↑↑↑
🍐;↑↑↑;↑↑↑
🍑;↑↑↑;↑↑↑
🍒;↑↑↑;↑↑↑
🍓;↑↑↑;fresa
🫐;↑↑↑;arándanos
🥝;↑↑↑;fruta|kiwi|planta
🍅;↑↑↑;jitomate|planta|tomate|vegetal|verdura
🫒;↑↑↑;aceituna
🥥;↑↑↑;↑↑↑
🥑;↑↑↑;aguacate
🍆;↑↑↑;↑↑↑
🥔;↑↑↑;↑↑↑
🥕;↑↑↑;↑↑↑
🌽;↑↑↑;↑↑↑
🌶️;chile picante;chile picante
🫑;pimiento morrón;pimiento morrón
🥒;↑↑↑;↑↑↑
🥬;verdura de hoja;col|kale|lechuga|repollo chino|verdura de hoja
🥦;↑↑↑;↑↑↑
🧄;↑↑↑;↑↑↑
🧅;↑↑↑;↑↑↑
🥜;cacahuate;cacahuate
🫘;↑↑↑;↑↑↑
🌰;↑↑↑;castaña|comida|fruto seco|planta
🫚;↑↑↑;↑↑↑
🫛;↑↑↑;↑↑↑
🍄‍🟫;hongo marrón;hongo marrón
🍞;↑↑↑;barra de pan|comida|pan
🥐;↑↑↑;comida|croissant|cuernito|medialuna|pan
🥖;↑↑↑;baguette|comida|pan francés
🫓;pan plano;pan plano
🥨;↑↑↑;↑↑↑
🥯;↑↑↑;bagel|panadería|untar
🥞;↑↑↑;↑↑↑
🧇;waffle;waffle
🧀;↑↑↑;↑↑↑
🍖;↑↑↑;carne|carne con hueso|comida|hueso
🍗;↑↑↑;comida|pata|pata de pollo|pollo
🥩;↑↑↑;↑↑↑
🥓;↑↑↑;↑↑↑
🍔;↑↑↑;comida|hamburguesa
🍟;↑↑↑;comida|papas fritas
🍕;↑↑↑;↑↑↑
🌭;perro caliente;perro caliente
🥪;↑↑↑;sándwich
🌮;↑↑↑;comida|comida mexicana|taco|tacos|taquitos
🌯;↑↑↑;burrito|comida|comida mexicana
🫔;↑↑↑;tamal
🥙;↑↑↑;↑↑↑
🧆;↑↑↑;albóndigas|bolas de garbanzo|falafel
🥚;↑↑↑;↑↑↑
🍳;↑↑↑;cocina|huevo|sartén
🥘;↑↑↑;↑↑↑
🍲;↑↑↑;comida|estofado|guisado|guiso|olla|olla de comida
🫕;↑↑↑;fondue
🥣;tazón con cuchara;tazón con cuchara
🥗;↑↑↑;↑↑↑
🍿;↑↑↑;↑↑↑
🧈;↑↑↑;↑↑↑
🧂;↑↑↑;↑↑↑
🥫;↑↑↑;↑↑↑
🍱;↑↑↑;↑↑↑
🍘;↑↑↑;↑↑↑
🍙;↑↑↑;↑↑↑
🍚;↑↑↑;↑↑↑
🍛;↑↑↑;↑↑↑
🍜;↑↑↑;tazón de fideos
🍝;↑↑↑;comida|comida italiana|espagueti|espaguetis|pastas
🍠;↑↑↑;asada|batata|comida|planta|tubérculo
🍢;↑↑↑;brocheta de mariscos|brochetas|brochettes|comida|mariscos
🍣;↑↑↑;↑↑↑
🍤;↑↑↑;camarones|camarones fritos|comida|japonesa|tempura
🍥;↑↑↑;↑↑↑
🥮;↑↑↑;festival|otoño|pastel de luna|yuebing
🍡;↑↑↑;brocheta|comida|dango|dulce|japonesa
🥟;empanada;empanada
🥠;↑↑↑;↑↑↑
🥡;↑↑↑;caja para llevar|comida para llevar|recipiente para llevar
🦀;↑↑↑;animal|cáncer|cangrejo|crustáceo|mariscos
🦞;langosta;bisque|langosta|mariscos|pinzas
🦐;↑↑↑;camarón|comida|langostino|mariscos
🦑;↑↑↑;calamar|comida|mariscos
🦪;ostión;ostión
🍦;helado en barquillo;helado en barquillo
🍧;↑↑↑;dulce|frío|helado|hielo|hielo molido
🍨;↑↑↑;↑↑↑
🍩;↑↑↑;↑↑↑
🍪;↑↑↑;dulce|galleta|postre
🎂;pastel de cumpleaños;pastel de cumpleaños
🍰;rebanada de pastel;rebanada de pastel
🧁;pastelito;cupcake|madalena|madgalena|pastelito
🥧;pay;pay
🍫;↑↑↑;chocolate|dulce|postre|tableta de chocolate
🍬;↑↑↑;↑↑↑
🍭;↑↑↑;↑↑↑
🍮;↑↑↑;↑↑↑
🍯;↑↑↑;↑↑↑
🍼;↑↑↑;↑↑↑
🥛;↑↑↑;↑↑↑
☕;↑↑↑;↑↑↑
🫖;↑↑↑;tetera
🍵;↑↑↑;↑↑↑
🍶;↑↑↑;↑↑↑
🍾;↑↑↑;botella|botella descorchada|celebrar|champán|champaña|festejar
🍷;↑↑↑;↑↑↑
🍸;↑↑↑;↑↑↑
🍹;↑↑↑;bar|bebida|cóctel|trago|tropical
🍺;↑↑↑;↑↑↑
🍻;↑↑↑;bebida|brindis|brindis con cerveza|celebrar|cerveza
🥂;↑↑↑;↑↑↑
🥃;↑↑↑;↑↑↑
🫗;líquido derramándose;bebida|líquido derramándose|vacío|vaso|verter
🥤;↑↑↑;↑↑↑
🧋;↑↑↑;té de burbujas
🧃;↑↑↑;↑↑↑
🧉;↑↑↑;↑↑↑
🧊;hielo;hielo
🥢;↑↑↑;↑↑↑
🍽️;↑↑↑;↑↑↑
🍴;↑↑↑;↑↑↑
🥄;↑↑↑;↑↑↑
🔪;↑↑↑;↑↑↑
🫙;↑↑↑;↑↑↑
🏺;↑↑↑;↑↑↑

[travel_places]
🌍;↑↑↑;África|Europa|globo|globo terráqueo Europa/África
🌎;↑↑↑;↑↑↑
🌏;↑↑↑;Asia|Australia|globo|globo terráqueo Asia/Oceanía
🌐;↑↑↑;globo|globo terráqueo con meridianos|meridianos|mundo|paralelos|terráqueo
🗺️;↑↑↑;↑↑↑
🗾;↑↑↑;↑↑↑
🧭;↑↑↑;brújula|dirección|magnetismo|navegación|orientación|rumbo
🏔️;↑↑↑;↑↑↑
⛰️;↑↑↑;↑↑↑
🌋;↑↑↑;↑↑↑
🗻;↑↑↑;↑↑↑
🏕️;↑↑↑;↑↑↑
🏖️;↑↑↑;↑↑↑
🏜️;↑↑↑;arena|desierto|seco|sequía
🏝️;↑↑↑;isla|isla desierta
🏞️;↑↑↑;atracción|naturaleza|parque|parque nacional|vacaciones
🏟️;↑↑↑;deporte|estadio|eventos
🏛️;↑↑↑;↑↑↑
🏗️;↑↑↑;↑↑↑
🧱;ladrillos;cemento|ladrillo|ladrillos|mezcla|pared
🪨;↑↑↑;↑↑↑
🪵;↑↑↑;↑↑↑
🛖;choza;choza
🏘️;↑↑↑;↑↑↑
🏚️;↑↑↑;↑↑↑
🏠;↑↑↑;↑↑↑
🏡;↑↑↑;↑↑↑
🏢;↑↑↑;↑↑↑
🏣;↑↑↑;↑↑↑
🏤;↑↑↑;↑↑↑
🏥;↑↑↑;↑↑↑
🏦;↑↑↑;↑↑↑
🏨;↑↑↑;↑↑↑
🏩;↑↑↑;↑↑↑
🏪;↑↑↑;24/7|edificio|siempre abierto|tienda|tienda 24 horas
🏫;↑↑↑;colegio|edificio|escuela
🏬;tienda departamental;tienda departamental
🏭;↑↑↑;↑↑↑
🏯;↑↑↑;↑↑↑
🏰;↑↑↑;↑↑↑
💒;boda religiosa;boda religiosa
🗼;↑↑↑;↑↑↑
🗽;↑↑↑;Estados Unidos|Estatua de la Libertad|Nueva York|NYC
⛪;↑↑↑;cristianismo|edificio|iglesia|religión
🕌;↑↑↑;↑↑↑
🛕;↑↑↑;↑↑↑
🕍;↑↑↑;↑↑↑
⛩️;↑↑↑;↑↑↑
🕋;↑↑↑;edificio|El Cubo|islam|Kaaba|musulmán|religión
⛲;↑↑↑;↑↑↑
⛺;casa de campaña;casa de campaña
🌁;↑↑↑;↑↑↑
🌃;↑↑↑;↑↑↑
🏙️;↑↑↑;↑↑↑
🌄;↑↑↑;↑↑↑
🌅;↑↑↑;↑↑↑
🌆;↑↑↑;↑↑↑
🌇;↑↑↑;amanecer|atardecer|edificios|puesta|puesta de sol sobre edificios
🌉;↑↑↑;↑↑↑
♨️;↑↑↑;aguas|caliente|fuentes termales|termales|termas
🎠;↑↑↑;↑↑↑
🛝;↑↑↑;↑↑↑
🎡;rueda de la fortuna;rueda de la fortuna
🎢;↑↑↑;feria|montaña rusa|parque|parque de atracciones|rusa
💈;peluquería;peluquería
🎪;↑↑↑;carpa|circo|entretenimiento|espectáculo artístico|show de circo
🚂;locomotora;locomotora
🚃;↑↑↑;↑↑↑
🚄;↑↑↑;bala|ferrocarril|rápido|tren|tren de alta velocidad|velocidad
🚅;↑↑↑;bala|ferrocarril|rápido|tren|velocidad
🚆;↑↑↑;↑↑↑
🚇;↑↑↑;↑↑↑
🚈;↑↑↑;↑↑↑
🚉;↑↑↑;↑↑↑
🚊;↑↑↑;transporte|tranvía|tren ligero
🚝;↑↑↑;↑↑↑
🚞;↑↑↑;ferrocarril|ferrocarril de montaña|montaña|transporte|tren|viajar
🚋;↑↑↑;↑↑↑
🚌;↑↑↑;autobús|bus|camión|colectivo|ruta|transporte
🚍;↑↑↑;autobús se aproxima
🚎;↑↑↑;↑↑↑
🚐;↑↑↑;↑↑↑
🚑;↑↑↑;ambulancia|hospital|transporte|urgencia
🚒;↑↑↑;↑↑↑
🚓;↑↑↑;auto|auto de policía|patrulla|policía|transporte
🚔;patrulla se aproxima;patrulla se aproxima
🚕;↑↑↑;taxi|transporte
🚖;↑↑↑;↑↑↑
🚗;↑↑↑;↑↑↑
🚘;↑↑↑;↑↑↑
🚙;vehículo utilitario deportivo;vehículo utilitario deportivo
🛻;↑↑↑;↑↑↑
🚚;↑↑↑;↑↑↑
🚛;trailer;trailer
🚜;↑↑↑;campo|tractor|vehículo|vehículo de trabajo
🏎️;auto de carreras;auto de carreras
🏍️;↑↑↑;↑↑↑
🛵;motoneta;motoneta
🦽;↑↑↑;↑↑↑
🦼;↑↑↑;↑↑↑
🛺;↑↑↑;↑↑↑
🚲;↑↑↑;↑↑↑
🛴;patín del diablo;patín del diablo
🛹;patineta;↑↑↑
🛼;patín;patín
🚏;↑↑↑;↑↑↑
🛣️;↑↑↑;↑↑↑
🛤️;↑↑↑;↑↑↑
🛢️;barril de petróleo;barril de petróleo
⛽;↑↑↑;dispensador|estación de gasolina|gasolina|nafta|surtidor
🛞;↑↑↑;↑↑↑
🚨;sirena de patrulla;sirena de patrulla
🚥;↑↑↑;↑↑↑
🚦;↑↑↑;↑↑↑
🛑;señal de alto;señal de alto
🚧;↑↑↑;↑↑↑
⚓;↑↑↑;↑↑↑
🛟;↑↑↑;↑↑↑
⛵;↑↑↑;bote|deporte acuático|mar|transporte|velero
🛶;↑↑↑;bote|canoa|deporte acuático|remo|transporte
