[smileys_emotion]
😀;cara sonriendo;cara|cara sonriendo|contento|divertido|sonrisa
	👈🏼;mano apuntando índice a la izquierda: tono de piel claro medio;apuntar|dedo|dorso|índice|índice hacia la izquierda|mano apuntando índice a la izquierda|mano apuntando índice a la izquierda: tono de piel claro medio|mano con dedo índice hacia la izquierda|tono de piel claro medio
	👈🏽;mano apuntando índice a la izquierda: tono de piel medio;apuntar|dedo|dorso|índice|índice hacia la izquierda|mano apuntando índice a la izquierda|mano apuntando índice a la izquierda: tono de piel medio|mano con dedo índice hacia la izquierda|tono de piel medio
	👈🏾;mano apuntando índice a la izquierda: tono de piel oscuro medio;apuntar|dedo|dorso|índice|índice hacia la izquierda|mano apuntando índice a la izquierda|mano apuntando índice a la izquierda: tono de piel oscuro medio|mano con dedo índice hacia la izquierda|tono de piel oscuro medio
	👈🏿;mano apuntando índice a la izquierda: tono de piel oscuro;apuntar|dedo|dorso|índice|índice hacia la izquierda|mano apuntando índice a la izquierda|mano apuntando índice a la izquierda: tono de piel oscuro|mano con dedo índice hacia la izquierda|tono de piel oscuro
👉;mano apuntando índice a la derecha;apuntar|dedo|dorso|índice|índice hacia la derecha|mano apuntando índice a la derecha|mano con dedo índice hacia la derecha
	👉🏻;mano apuntando índice a la derecha: tono de piel claro;apuntar|dedo|dorso|índice|índice hacia la derecha|mano apuntando índice a la derecha|mano apuntando índice a la derecha: tono de piel claro|mano con dedo índice hacia la derecha|tono de piel claro
	👉🏼;mano apuntando índice a la derecha: tono de piel claro medio;apuntar|dedo|dorso|índice|índice hacia la derecha|mano apuntando índice a la derecha|mano apuntando índice a la derecha: tono de piel claro medio|mano con dedo índice hacia la derecha|tono de piel claro medio
	👉🏽;mano apuntando índice a la derecha: tono de piel medio;apuntar|dedo|dorso|índice|índice hacia la derecha|mano apuntando índice a la derecha|mano apuntando índice a la derecha: tono de piel medio|mano con dedo índice hacia la derecha|tono de piel medio
	👉🏾;mano apuntando índice a la derecha: tono de piel oscuro medio;apuntar|dedo|dorso|índice|índice hacia la derecha|mano apuntando índice a la derecha|mano apuntando índice a la derecha: tono de piel oscuro medio|mano con dedo índice hacia la derecha|tono de piel oscuro medio
	👉🏿;mano apuntando índice a la derecha: tono de piel oscuro;apuntar|dedo|dorso|índice|índice hacia la derecha|mano apuntando índice a la derecha|mano apuntando índice a la derecha: tono de piel oscuro|mano con dedo índice hacia la derecha|tono de piel oscuro
👆;mano con dedo índice hacia arriba;apuntar|dedo|dorso de mano con dedo índice hacia arriba|índice|mano|mano con dedo índice hacia arriba|señalar
	👆🏻;mano con dedo índice hacia arriba: tono de piel claro;apuntar|dedo|dorso de mano con dedo índice hacia arriba|índice|mano|mano con dedo índice hacia arriba|mano con dedo índice hacia arriba: tono de piel claro|señalar|tono de piel claro
	👆🏼;mano con dedo índice hacia arriba: tono de piel claro medio;apuntar|dedo|dorso de mano con dedo índice hacia arriba|índice|mano|mano con dedo índice hacia arriba|mano con dedo índice hacia arriba: tono de piel claro medio|señalar|tono de piel claro medio
	👆🏽;mano con dedo índice hacia arriba: tono de piel medio;apuntar|dedo|dorso de mano con dedo índice hacia arriba|índice|mano|mano con dedo índice hacia arriba|mano con dedo índice hacia arriba: tono de piel medio|señalar|tono de piel medio
