[smileys_emotion]
😀;cara feliz;cara|cara feliz|contento|divertido|sonrisa
💞;corazones que giran;amor|corazón|corazones que giran|emoción|girar|vueltas
💕;↑↑↑;amor|corazón|dos corazones|enamorado
💟;corazón de decoración;corazón|corazón de decoración
❣️;exclamación con forma de corazón;corazón|exclamación|exclamación con forma de corazón
💔;↑↑↑;corazón roto
❤️‍🔥;↑↑↑;↑↑↑
❤️‍🩹;↑↑↑;↑↑↑
❤️;↑↑↑;corazón rojo
🩷;↑↑↑;amor|corazón|rosa|tierno
🧡;↑↑↑;↑↑↑
💛;↑↑↑;corazón amarillo
💚;↑↑↑;corazón verde
💙;↑↑↑;corazón azul
🩵;corazón celeste;azulado|celeste|cian|corazón
💜;↑↑↑;corazón morado
🤎;↑↑↑;↑↑↑
🖤;↑↑↑;↑↑↑
🩶;↑↑↑;corazón|gris|metalizado|plateado
🤍;↑↑↑;↑↑↑
💋;↑↑↑;↑↑↑
💯;100 puntos;↑↑↑
💢;enojo;cómics|emoción|enojo|señal de enojo
💥;↑↑↑;choque|colisión|cómic|emoción|explosión
💫;mareado;cómic|emoción|estrellas|mareado|mareo|ver
💦;↑↑↑;cómics|emoción|gotas de sudor|sudar
💨;↑↑↑;↑↑↑
🕳️;↑↑↑;↑↑↑
💬;globo de diálogo;burbuja|cómic|diálogo|globo|globo de diálogo|hablar
👁️‍🗨️;ojo en una burbuja de texto;bocadillo de texto|ojo|ojo en una burbuja de texto|testigo
🗨️;globo de diálogo izquierdo;burbuja|cómic|diálogo|globo|globo de diálogo izquierdo|izquierdo
🗯️;globo de enojo derecho;burbuja|cómic|derecho|enojado|enojo|globo|globo de enojo derecho
💭;globo de pensamiento;burbuja|cómic|globo|globo de pensamiento|pensamiento|pensar
💤;↑↑↑;cómics|dormido|emoción|estar durmiendo|roncar|símbolo de sueño

[people_body]
👋;↑↑↑;↑↑↑
	👋🏻;;
	👋🏼;;
	👋🏽;;
	👋🏾;;
	👋🏿;;
🤚;palma de la mano;mano|palma|palma de la mano
	🤚🏻;palma de la mano: tono de piel claro;mano|palma|palma de la mano|palma de la mano: tono de piel claro|tono de piel claro
	🤚🏼;palma de la mano: tono de piel claro medio;mano|palma|palma de la mano|palma de la mano: tono de piel claro medio|tono de piel claro medio
	🤚🏽;palma de la mano: tono de piel medio;mano|palma|palma de la mano|palma de la mano: tono de piel medio|tono de piel medio
	🤚🏾;palma de la mano: tono de piel oscuro medio;mano|palma|palma de la mano|palma de la mano: tono de piel oscuro medio|tono de piel oscuro medio
	🤚🏿;palma de la mano: tono de piel oscuro;mano|palma|palma de la mano|palma de la mano: tono de piel oscuro|tono de piel oscuro
🖐️;↑↑↑;abierta|dedos|mano|palma|yo
	🖐🏻;;abierta|dedos|mano|mano abierta: tono de piel claro|palma|tono de piel claro|yo
	🖐🏼;;abierta|dedos|mano|mano abierta: tono de piel claro medio|palma|tono de piel claro medio|yo
