# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;হাস্য মুখী;মুখ|হাস্য মুখী|হাঁহি
😑;অভিব্যক্তিহীন মুখ;অভিব্যক্তিহীন|অৰ্থশূণ্য|অৰ্থহীন|মুখ
😶;মুখবিহীন চেহেৰা;নিঃশব্দ|মুখ|মুখবিহীন চেহেৰা|শান্ত
🫥;ডটযুক্ত ৰেখা থকা মুখ;অদৃশ্য|উদাস|ডটযুক্ত ৰেখা থকা মুখ|নাইকিয়া হোৱা|লাজকুৰীয়া|লুকুওৱা
😶‍🌫️;মেঘত মুখ;অমনোযোগী|কুঁৱলীত মুখ|মেঘত মুখ|মেঘত মূৰ
😏;কৃত্ৰিম হাঁহি মৰা মুখ;কৃত্ৰিম হাঁহি|কৃত্ৰিম হাঁহি মৰা মুখ|মুখ
😒;দুঃখিত মুখ;অসুখী|দুঃখিত|মুখ
🙄;চকু পকাই থকা মুখ;চকু|চকু পকাই থকা মুখ|পকোৱা|মুখ
😬;বিকৃত মুখ;বিকৃত মুখ|মুখ|মুখ বিকৃত কৰা
😮‍💨;নিশাহ এৰা মুখ;আৰাম|গেঁথনি|নিশাহ|নিশাহ এৰা মুখ|ফুচ-ফুচনি|ফোফা|সুহুৰি
🤥;মিছা কোৱা মুখ;পিনোচিয়ো|মিছা|মিছা কোৱা মুখ|মুখ
🫨;কঁপি থকা চেহেৰা;কঁপি থকা|কঁপি থকা চেহেৰা|কম্পন|চেহেৰা|ভূমিকম্প|শ্বক
🙂‍↔️;অনুভূমিকভাৱে মূৰ জোকাৰি থকা;অনুভূমিকভাৱে মূৰ জোকাৰি থকা|নহয় বুলি মূৰ জোকাৰা
🙂‍↕️;উলম্বভাৱে মূৰ জোকাৰি থকা;উলম্বভাৱে মূৰ জোকাৰি থকা|হয় বুলি তল মূৰ কৰা
😌;স্বস্তিৰ মুখ;মুখ|স্বস্তি|স্বস্তিৰ মুখ
😔;চিন্তাম্বিত মুখ;চিন্তাম্বিত|বিষণ্ণ|মুখ
😪;নিদ্ৰালু মুখ;নিদ্ৰা|নিদ্ৰালু মুখ|মুখ
