# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;হাস্য মুখী;মুখ|হাস্য মুখী|হাঁহি
	🧑🏽‍🦽;হস্তচালিত হুইলচেয়াৰত বহি থকা ব্যক্তি: মধ্যমীয়া ছালৰ ৰং;দিব্যাংগ|মধ্যমীয়া ছালৰ ৰং|হস্তচালিত হুইলচেয়াৰত বহি থকা ব্যক্তি|হস্তচালিত হুইলচেয়াৰত বহি থকা ব্যক্তি: মধ্যমীয়া ছালৰ ৰং|হুইলচেয়াৰ
	🧑🏾‍🦽;হস্তচালিত হুইলচেয়াৰত বহি থকা ব্যক্তি: মধ্যমীয়া-ক’লা ছালৰ ৰং;দিব্যাংগ|মধ্যমীয়া-ক’লা ছালৰ ৰং|হস্তচালিত হুইলচেয়াৰত বহি থকা ব্যক্তি|হস্তচালিত হুইলচেয়াৰত বহি থকা ব্যক্তি: মধ্যমীয়া-ক’লা ছালৰ ৰং|হুইলচেয়াৰ
	🧑🏿‍🦽;হস্তচালিত হুইলচেয়াৰত বহি থকা ব্যক্তি: ক’লা ছালৰ ৰং;ক’লা ছালৰ ৰং|দিব্যাংগ|হস্তচালিত হুইলচেয়াৰত বহি থকা ব্যক্তি|হস্তচালিত হুইলচেয়াৰত বহি থকা ব্যক্তি: ক’লা ছালৰ ৰং|হুইলচেয়াৰ
🧑‍🦽‍➡️;হস্তচালিত হুইলচেয়াৰত বহি থকা ব্যক্তি সোঁফালে মুখ কৰা;দিব্যাংগ|হস্তচালিত হুইলচেয়াৰত বহি থকা ব্যক্তি|হস্তচালিত হুইলচেয়াৰত বহি থকা ব্যক্তি সোঁফালে মুখ কৰা|হুইলচেয়াৰ
	🧑🏻‍🦽‍➡️;হস্তচালিত হুইলচেয়াৰত বহি থকা ব্যক্তি সোঁফালে মুখ কৰা;দিব্যাংগ|হস্তচালিত হুইলচেয়াৰত বহি থকা ব্যক্তি|হস্তচালিত হুইলচেয়াৰত বহি থকা ব্যক্তি সোঁফালে মুখ কৰা|হুইলচেয়াৰ
	🧑🏼‍🦽‍➡️;হস্তচালিত হুইলচেয়াৰত বহি থকা ব্যক্তি সোঁফালে মুখ কৰা;দিব্যাংগ|হস্তচালিত হুইলচেয়াৰত বহি থকা ব্যক্তি|হস্তচালিত হুইলচেয়াৰত বহি থকা ব্যক্তি সোঁফালে মুখ কৰা|হুইলচেয়াৰ
	🧑🏽‍🦽‍➡️;হস্তচালিত হুইলচেয়াৰত বহি থকা ব্যক্তি সোঁফালে মুখ কৰা;দিব্যাংগ|হস্তচালিত হুইলচেয়াৰত বহি থকা ব্যক্তি|হস্তচালিত হুইলচেয়াৰত বহি থকা ব্যক্তি সোঁফালে মুখ কৰা|হুইলচেয়াৰ
	🧑🏾‍🦽‍➡️;হস্তচালিত হুইলচেয়াৰত বহি থকা ব্যক্তি সোঁফালে মুখ কৰা;দিব্যাংগ|হস্তচালিত হুইলচেয়াৰত বহি থকা ব্যক্তি|হস্তচালিত হুইলচেয়াৰত বহি থকা ব্যক্তি সোঁফালে মুখ কৰা|হুইলচেয়াৰ
	🧑🏿‍🦽‍➡️;হস্তচালিত হুইলচেয়াৰত বহি থকা ব্যক্তি সোঁফালে মুখ কৰা;দিব্যাংগ|হস্তচালিত হুইলচেয়াৰত বহি থকা ব্যক্তি|হস্তচালিত হুইলচেয়াৰত বহি থকা ব্যক্তি সোঁফালে মুখ কৰা|হুইলচেয়াৰ
👨‍🦽;হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি;দিব্যাংগ|পুৰুষ|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি|হুইলশ্বেয়াৰ
	👨🏻‍🦽;হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি: পাতল ছালৰ ৰং;দিব্যাংগ|পাতল ছালৰ ৰং|পুৰুষ|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি: পাতল ছালৰ ৰং|হুইলশ্বেয়াৰ
	👨🏼‍🦽;হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি: মধ্যমীয়া-পাতল ছালৰ ৰং;দিব্যাংগ|পুৰুষ|মধ্যমীয়া-পাতল ছালৰ ৰং|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি: মধ্যমীয়া-পাতল ছালৰ ৰং|হুইলশ্বেয়াৰ
	👨🏽‍🦽;হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি: মধ্যমীয়া ছালৰ ৰং;দিব্যাংগ|পুৰুষ|মধ্যমীয়া ছালৰ ৰং|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি: মধ্যমীয়া ছালৰ ৰং|হুইলশ্বেয়াৰ
	👨🏾‍🦽;হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি: মধ্যমীয়া-ক’লা ছালৰ ৰং;দিব্যাংগ|পুৰুষ|মধ্যমীয়া-ক’লা ছালৰ ৰং|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি: মধ্যমীয়া-ক’লা ছালৰ ৰং|হুইলশ্বেয়াৰ
	👨🏿‍🦽;হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি: ক’লা ছালৰ ৰং;ক’লা ছালৰ ৰং|দিব্যাংগ|পুৰুষ|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি: ক’লা ছালৰ ৰং|হুইলশ্বেয়াৰ
👨‍🦽‍➡️;হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি সোঁফালে মুখ কৰা;দিব্যাংগ|পুৰুষ|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি সোঁফালে মুখ কৰা|হুইলশ্বেয়াৰ
	👨🏻‍🦽‍➡️;হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি সোঁফালে মুখ কৰা;দিব্যাংগ|পুৰুষ|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি সোঁফালে মুখ কৰা|হুইলশ্বেয়াৰ
	👨🏼‍🦽‍➡️;হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি সোঁফালে মুখ কৰা;দিব্যাংগ|পুৰুষ|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি সোঁফালে মুখ কৰা|হুইলশ্বেয়াৰ
	👨🏽‍🦽‍➡️;হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি সোঁফালে মুখ কৰা;দিব্যাংগ|পুৰুষ|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি সোঁফালে মুখ কৰা|হুইলশ্বেয়াৰ
	👨🏾‍🦽‍➡️;হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি সোঁফালে মুখ কৰা;দিব্যাংগ|পুৰুষ|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি সোঁফালে মুখ কৰা|হুইলশ্বেয়াৰ
	👨🏿‍🦽‍➡️;হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি সোঁফালে মুখ কৰা;দিব্যাংগ|পুৰুষ|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি সোঁফালে মুখ কৰা|হুইলশ্বেয়াৰ
👩‍🦽;হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি;দিব্যাংগ|মহিলা|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি|হুইলশ্বেয়াৰ
	👩🏻‍🦽;হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি: পাতল ছালৰ ৰং;দিব্যাংগ|পাতল ছালৰ ৰং|মহিলা|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি: পাতল ছালৰ ৰং|হুইলশ্বেয়াৰ
	👩🏼‍🦽;হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি: মধ্যমীয়া-পাতল ছালৰ ৰং;দিব্যাংগ|মধ্যমীয়া-পাতল ছালৰ ৰং|মহিলা|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি: মধ্যমীয়া-পাতল ছালৰ ৰং|হুইলশ্বেয়াৰ
	👩🏽‍🦽;হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি: মধ্যমীয়া ছালৰ ৰং;দিব্যাংগ|মধ্যমীয়া ছালৰ ৰং|মহিলা|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি: মধ্যমীয়া ছালৰ ৰং|হুইলশ্বেয়াৰ
	👩🏾‍🦽;হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি: মধ্যমীয়া-ক’লা ছালৰ ৰং;দিব্যাংগ|মধ্যমীয়া-ক’লা ছালৰ ৰং|মহিলা|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি: মধ্যমীয়া-ক’লা ছালৰ ৰং|হুইলশ্বেয়াৰ
	👩🏿‍🦽;হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি: ক’লা ছালৰ ৰং;ক’লা ছালৰ ৰং|দিব্যাংগ|মহিলা|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি: ক’লা ছালৰ ৰং|হুইলশ্বেয়াৰ
👩‍🦽‍➡️;হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি সোঁফালে মুখ কৰা;দিব্যাংগ|মহিলা|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি সোঁফালে মুখ কৰা|হুইলশ্বেয়াৰ
	👩🏻‍🦽‍➡️;হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি সোঁফালে মুখ কৰা;দিব্যাংগ|মহিলা|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি সোঁফালে মুখ কৰা|হুইলশ্বেয়াৰ
	👩🏼‍🦽‍➡️;হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি সোঁফালে মুখ কৰা;দিব্যাংগ|মহিলা|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি সোঁফালে মুখ কৰা|হুইলশ্বেয়াৰ
	👩🏽‍🦽‍➡️;হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি সোঁফালে মুখ কৰা;দিব্যাংগ|মহিলা|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি সোঁফালে মুখ কৰা|হুইলশ্বেয়াৰ
	👩🏾‍🦽‍➡️;হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি সোঁফালে মুখ কৰা;দিব্যাংগ|মহিলা|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি সোঁফালে মুখ কৰা|হুইলশ্বেয়াৰ
	👩🏿‍🦽‍➡️;হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি সোঁফালে মুখ কৰা;দিব্যাংগ|মহিলা|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি|হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি সোঁফালে মুখ কৰা|হুইলশ্বেয়াৰ
🏃;দৌৰি থকা ব্যক্তি;দৌৰা|দৌৰি থকা ব্যক্তি|মাৰাথন
	🏃🏻;দৌৰি থকা ব্যক্তি: পাতল ছালৰ ৰং;দৌৰা|দৌৰি থকা ব্যক্তি|দৌৰি থকা ব্যক্তি: পাতল ছালৰ ৰং|পাতল ছালৰ ৰং|মাৰাথন
	🏃🏼;দৌৰি থকা ব্যক্তি: মধ্যমীয়া-পাতল ছালৰ ৰং;দৌৰা|দৌৰি থকা ব্যক্তি|দৌৰি থকা ব্যক্তি: মধ্যমীয়া-পাতল ছালৰ ৰং|মধ্যমীয়া-পাতল ছালৰ ৰং|মাৰাথন
	🏃🏽;দৌৰি থকা ব্যক্তি: মধ্যমীয়া ছালৰ ৰং;দৌৰা|দৌৰি থকা ব্যক্তি|দৌৰি থকা ব্যক্তি: মধ্যমীয়া ছালৰ ৰং|মধ্যমীয়া ছালৰ ৰং|মাৰাথন
	🏃🏾;দৌৰি থকা ব্যক্তি: মধ্যমীয়া-ক’লা ছালৰ ৰং;দৌৰা|দৌৰি থকা ব্যক্তি|দৌৰি থকা ব্যক্তি: মধ্যমীয়া-ক’লা ছালৰ ৰং|মধ্যমীয়া-ক’লা ছালৰ ৰং|মাৰাথন
	🏃🏿;দৌৰি থকা ব্যক্তি: ক’লা ছালৰ ৰং;ক’লা ছালৰ ৰং|দৌৰা|দৌৰি থকা ব্যক্তি|দৌৰি থকা ব্যক্তি: ক’লা ছালৰ ৰং|মাৰাথন
🏃‍♂️;দৌৰি থকা পুৰুষ;দৌৰা|দৌৰি থকা পুৰুষ|পুৰুষ|মাৰাথন|ৰেচিং
	🏃🏻‍♂️;দৌৰি থকা পুৰুষ: পাতল ছালৰ ৰং;দৌৰা|দৌৰি থকা পুৰুষ|দৌৰি থকা পুৰুষ: পাতল ছালৰ ৰং|পাতল ছালৰ ৰং|পুৰুষ|মাৰাথন|ৰেচিং
	🏃🏼‍♂️;দৌৰি থকা পুৰুষ: মধ্যমীয়া-পাতল ছালৰ ৰং;দৌৰা|দৌৰি থকা পুৰুষ|দৌৰি থকা পুৰুষ: মধ্যমীয়া-পাতল ছালৰ ৰং|পুৰুষ|মধ্যমীয়া-পাতল ছালৰ ৰং|মাৰাথন|ৰেচিং
	🏃🏽‍♂️;দৌৰি থকা পুৰুষ: মধ্যমীয়া ছালৰ ৰং;দৌৰা|দৌৰি থকা পুৰুষ|দৌৰি থকা পুৰুষ: মধ্যমীয়া ছালৰ ৰং|পুৰুষ|মধ্যমীয়া ছালৰ ৰং|মাৰাথন|ৰেচিং
	🏃🏾‍♂️;দৌৰি থকা পুৰুষ: মধ্যমীয়া-ক’লা ছালৰ ৰং;দৌৰা|দৌৰি থকা পুৰুষ|দৌৰি থকা পুৰুষ: মধ্যমীয়া-ক’লা ছালৰ ৰং|পুৰুষ|মধ্যমীয়া-ক’লা ছালৰ ৰং|মাৰাথন|ৰেচিং
	🏃🏿‍♂️;দৌৰি থকা পুৰুষ: ক’লা ছালৰ ৰং;ক’লা ছালৰ ৰং|দৌৰা|দৌৰি থকা পুৰুষ|দৌৰি থকা পুৰুষ: ক’লা ছালৰ ৰং|পুৰুষ|মাৰাথন|ৰেচিং
🏃‍♀️;দৌৰি থকা মহিলা;দৌৰা|দৌৰি থকা মহিলা|মহিলা|মাৰাথন|ৰেচিং
	🏃🏻‍♀️;দৌৰি থকা মহিলা: পাতল ছালৰ ৰং;দৌৰা|দৌৰি থকা মহিলা|দৌৰি থকা মহিলা: পাতল ছালৰ ৰং|পাতল ছালৰ ৰং|মহিলা|মাৰাথন|ৰেচিং
	🏃🏼‍♀️;দৌৰি থকা মহিলা: মধ্যমীয়া-পাতল ছালৰ ৰং;দৌৰা|দৌৰি থকা মহিলা|দৌৰি থকা মহিলা: মধ্যমীয়া-পাতল ছালৰ ৰং|মধ্যমীয়া-পাতল ছালৰ ৰং|মহিলা|মাৰাথন|ৰেচিং
	🏃🏽‍♀️;দৌৰি থকা মহিলা: মধ্যমীয়া ছালৰ ৰং;দৌৰা|দৌৰি থকা মহিলা|দৌৰি থকা মহিলা: মধ্যমীয়া ছালৰ ৰং|মধ্যমীয়া ছালৰ ৰং|মহিলা|মাৰাথন|ৰেচিং
	🏃🏾‍♀️;দৌৰি থকা মহিলা: মধ্যমীয়া-ক’লা ছালৰ ৰং;দৌৰা|দৌৰি থকা মহিলা|দৌৰি থকা মহিলা: মধ্যমীয়া-ক’লা ছালৰ ৰং|মধ্যমীয়া-ক’লা ছালৰ ৰং|মহিলা|মাৰাথন|ৰেচিং
	🏃🏿‍♀️;দৌৰি থকা মহিলা: ক’লা ছালৰ ৰং;ক’লা ছালৰ ৰং|দৌৰা|দৌৰি থকা মহিলা|দৌৰি থকা মহিলা: ক’লা ছালৰ ৰং|মহিলা|মাৰাথন|ৰেচিং
🏃‍➡️;দৌৰি থকা ব্যক্তি সোঁফালে মুখ কৰা;দৌৰা|দৌৰি থকা ব্যক্তি|দৌৰি থকা ব্যক্তি সোঁফালে মুখ কৰা|মাৰাথন
	🏃🏻‍➡️;দৌৰি থকা ব্যক্তি সোঁফালে মুখ কৰা;দৌৰা|দৌৰি থকা ব্যক্তি|দৌৰি থকা ব্যক্তি সোঁফালে মুখ কৰা|মাৰাথন
	🏃🏼‍➡️;দৌৰি থকা ব্যক্তি সোঁফালে মুখ কৰা;দৌৰা|দৌৰি থকা ব্যক্তি|দৌৰি থকা ব্যক্তি সোঁফালে মুখ কৰা|মাৰাথন
	🏃🏽‍➡️;দৌৰি থকা ব্যক্তি সোঁফালে মুখ কৰা;দৌৰা|দৌৰি থকা ব্যক্তি|দৌৰি থকা ব্যক্তি সোঁফালে মুখ কৰা|মাৰাথন
	🏃🏾‍➡️;দৌৰি থকা ব্যক্তি সোঁফালে মুখ কৰা;দৌৰা|দৌৰি থকা ব্যক্তি|দৌৰি থকা ব্যক্তি সোঁফালে মুখ কৰা|মাৰাথন
	🏃🏿‍➡️;দৌৰি থকা ব্যক্তি সোঁফালে মুখ কৰা;দৌৰা|দৌৰি থকা ব্যক্তি|দৌৰি থকা ব্যক্তি সোঁফালে মুখ কৰা|মাৰাথন
🏃‍♀️‍➡️;দৌৰি থকা মহিলা সোঁফালে মুখ কৰা;দৌৰা|দৌৰি থকা মহিলা|দৌৰি থকা মহিলা সোঁফালে মুখ কৰা|মহিলা|মাৰাথন|ৰেচিং
	🏃🏻‍♀️‍➡️;দৌৰি থকা মহিলা সোঁফালে মুখ কৰা;দৌৰা|দৌৰি থকা মহিলা|দৌৰি থকা মহিলা সোঁফালে মুখ কৰা|মহিলা|মাৰাথন|ৰেচিং
	🏃🏼‍♀️‍➡️;দৌৰি থকা মহিলা সোঁফালে মুখ কৰা;দৌৰা|দৌৰি থকা মহিলা|দৌৰি থকা মহিলা সোঁফালে মুখ কৰা|মহিলা|মাৰাথন|ৰেচিং
	🏃🏽‍♀️‍➡️;দৌৰি থকা মহিলা সোঁফালে মুখ কৰা;দৌৰা|দৌৰি থকা মহিলা|দৌৰি থকা মহিলা সোঁফালে মুখ কৰা|মহিলা|মাৰাথন|ৰেচিং
	🏃🏾‍♀️‍➡️;দৌৰি থকা মহিলা সোঁফালে মুখ কৰা;দৌৰা|দৌৰি থকা মহিলা|দৌৰি থকা মহিলা সোঁফালে মুখ কৰা|মহিলা|মাৰাথন|ৰেচিং
	🏃🏿‍♀️‍➡️;দৌৰি থকা মহিলা সোঁফালে মুখ কৰা;দৌৰা|দৌৰি থকা মহিলা|দৌৰি থকা মহিলা সোঁফালে মুখ কৰা|মহিলা|মাৰাথন|ৰেচিং
🏃‍♂️‍➡️;দৌৰি থকা পুৰুষ সোঁফালে মুখ কৰা;দৌৰা|দৌৰি থকা পুৰুষ|দৌৰি থকা পুৰুষ সোঁফালে মুখ কৰা|পুৰুষ|মাৰাথন|ৰেচিং
	🏃🏻‍♂️‍➡️;দৌৰি থকা পুৰুষ সোঁফালে মুখ কৰা;দৌৰা|দৌৰি থকা পুৰুষ|দৌৰি থকা পুৰুষ সোঁফালে মুখ কৰা|পুৰুষ|মাৰাথন|ৰেচিং
	🏃🏼‍♂️‍➡️;দৌৰি থকা পুৰুষ সোঁফালে মুখ কৰা;দৌৰা|দৌৰি থকা পুৰুষ|দৌৰি থকা পুৰুষ সোঁফালে মুখ কৰা|পুৰুষ|মাৰাথন|ৰেচিং
	🏃🏽‍♂️‍➡️;দৌৰি থকা পুৰুষ সোঁফালে মুখ কৰা;দৌৰা|দৌৰি থকা পুৰুষ|দৌৰি থকা পুৰুষ সোঁফালে মুখ কৰা|পুৰুষ|মাৰাথন|ৰেচিং
	🏃🏾‍♂️‍➡️;দৌৰি থকা পুৰুষ সোঁফালে মুখ কৰা;দৌৰা|দৌৰি থকা পুৰুষ|দৌৰি থকা পুৰুষ সোঁফালে মুখ কৰা|পুৰুষ|মাৰাথন|ৰেচিং
	🏃🏿‍♂️‍➡️;দৌৰি থকা পুৰুষ সোঁফালে মুখ কৰা;দৌৰা|দৌৰি থকা পুৰুষ|দৌৰি থকা পুৰুষ সোঁফালে মুখ কৰা|পুৰুষ|মাৰাথন|ৰেচিং
💃;নাচি থকা মহিলা;নাচি থকা মহিলা|নৃত্য|মহিলা
	💃🏻;নাচি থকা মহিলা: পাতল ছালৰ ৰং;নাচি থকা মহিলা|নাচি থকা মহিলা: পাতল ছালৰ ৰং|নৃত্য|পাতল ছালৰ ৰং|মহিলা
	💃🏼;নাচি থকা মহিলা: মধ্যমীয়া-পাতল ছালৰ ৰং;নাচি থকা মহিলা|নাচি থকা মহিলা: মধ্যমীয়া-পাতল ছালৰ ৰং|নৃত্য|মধ্যমীয়া-পাতল ছালৰ ৰং|মহিলা
	💃🏽;নাচি থকা মহিলা: মধ্যমীয়া ছালৰ ৰং;নাচি থকা মহিলা|নাচি থকা মহিলা: মধ্যমীয়া ছালৰ ৰং|নৃত্য|মধ্যমীয়া ছালৰ ৰং|মহিলা
	💃🏾;নাচি থকা মহিলা: মধ্যমীয়া-ক’লা ছালৰ ৰং;নাচি থকা মহিলা|নাচি থকা মহিলা: মধ্যমীয়া-ক’লা ছালৰ ৰং|নৃত্য|মধ্যমীয়া-ক’লা ছালৰ ৰং|মহিলা
	💃🏿;নাচি থকা মহিলা: ক’লা ছালৰ ৰং;ক’লা ছালৰ ৰং|নাচি থকা মহিলা|নাচি থকা মহিলা: ক’লা ছালৰ ৰং|নৃত্য|মহিলা
🕺;নাচি থকা পুৰুষ;নাচি থকা পুৰুষ|নৃত্য|পুৰুষ
	🕺🏻;নাচি থকা পুৰুষ: পাতল ছালৰ ৰং;নাচি থকা পুৰুষ|নাচি থকা পুৰুষ: পাতল ছালৰ ৰং|নৃত্য|পাতল ছালৰ ৰং|পুৰুষ
	🕺🏼;নাচি থকা পুৰুষ: মধ্যমীয়া-পাতল ছালৰ ৰং;নাচি থকা পুৰুষ|নাচি থকা পুৰুষ: মধ্যমীয়া-পাতল ছালৰ ৰং|নৃত্য|পুৰুষ|মধ্যমীয়া-পাতল ছালৰ ৰং
	🕺🏽;নাচি থকা পুৰুষ: মধ্যমীয়া ছালৰ ৰং;নাচি থকা পুৰুষ|নাচি থকা পুৰুষ: মধ্যমীয়া ছালৰ ৰং|নৃত্য|পুৰুষ|মধ্যমীয়া ছালৰ ৰং
	🕺🏾;নাচি থকা পুৰুষ: মধ্যমীয়া-ক’লা ছালৰ ৰং;নাচি থকা পুৰুষ|নাচি থকা পুৰুষ: মধ্যমীয়া-ক’লা ছালৰ ৰং|নৃত্য|পুৰুষ|মধ্যমীয়া-ক’লা ছালৰ ৰং
	🕺🏿;নাচি থকা পুৰুষ: ক’লা ছালৰ ৰং;ক’লা ছালৰ ৰং|নাচি থকা পুৰুষ|নাচি থকা পুৰুষ: ক’লা ছালৰ ৰং|নৃত্য|পুৰুষ
🕴️;চুট পৰিহিত পুৰুষ;চুট|চুট পৰিহিত পুৰুষ|পুৰুষ|ব্যৱসায়
	🕴🏻;চুট পৰিহিত পুৰুষ: পাতল ছালৰ ৰং;চুট|চুট পৰিহিত পুৰুষ|চুট পৰিহিত পুৰুষ: পাতল ছালৰ ৰং|পাতল ছালৰ ৰং|পুৰুষ|ব্যৱসায়
	🕴🏼;চুট পৰিহিত পুৰুষ: মধ্যমীয়া-পাতল ছালৰ ৰং;চুট|চুট পৰিহিত পুৰুষ|চুট পৰিহিত পুৰুষ: মধ্যমীয়া-পাতল ছালৰ ৰং|পুৰুষ|ব্যৱসায়|মধ্যমীয়া-পাতল ছালৰ ৰং
	🕴🏽;চুট পৰিহিত পুৰুষ: মধ্যমীয়া ছালৰ ৰং;চুট|চুট পৰিহিত পুৰুষ|চুট পৰিহিত পুৰুষ: মধ্যমীয়া ছালৰ ৰং|পুৰুষ|ব্যৱসায়|মধ্যমীয়া ছালৰ ৰং
	🕴🏾;চুট পৰিহিত পুৰুষ: মধ্যমীয়া-ক’লা ছালৰ ৰং;চুট|চুট পৰিহিত পুৰুষ|চুট পৰিহিত পুৰুষ: মধ্যমীয়া-ক’লা ছালৰ ৰং|পুৰুষ|ব্যৱসায়|মধ্যমীয়া-ক’লা ছালৰ ৰং
	🕴🏿;চুট পৰিহিত পুৰুষ: ক’লা ছালৰ ৰং;ক’লা ছালৰ ৰং|চুট|চুট পৰিহিত পুৰুষ|চুট পৰিহিত পুৰুষ: ক’লা ছালৰ ৰং|পুৰুষ|ব্যৱসায়
👯;শহাপহুৰ কাণৰ ব্যক্তি;নৰ্তকী|পাৰ্টি কৰি থকা|শহাপহুৰ কাণ|শহাপহুৰ কাণৰ ব্যক্তি
👯‍♂️;শহাপহুৰ কাণৰ পুৰুষ;নৰ্তকী|পাৰ্টি কৰি থকা|পুৰুষ|শহাপহুৰ কাণ|শহাপহুৰ কাণৰ পুৰুষ
👯‍♀️;শহাপহুৰ কাণৰ মহিলা;নৰ্তকী|পাৰ্টি কৰি থকা|মহিলা|শহাপহুৰ কাণ|শহাপহুৰ কাণৰ মহিলা
🧖;বাষ্পৰ কোঠাত থকা ব্যক্তি;চ’না|বাষ্পৰ কোঠা|বাষ্পৰ কোঠাত থকা ব্যক্তি
