# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;barre egiten ari den aurpegia;aurpegi|barre egiten ari den aurpegia|irribarre
❣️;bihotz-itxurako harridura-marka;bihotz|bihotz-itxurako harridura-marka|harridura|marka|puntuazioa
💔;bihotz hautsia;bihotz|bihotz hautsia|hautsi|hautsita
❤️‍🔥;sutan dagoen bihotza;bihotz sakratua|bihotza|erre|lizunkeria|maitasuna|sutan dagoen bihotza
❤️‍🩹;sendatzen ari den bihotza;hobetzen|leheneratzen|ondo|osasuntsuago|sendatzen|sendatzen ari den bihotza|suspertzen
❤️;bihotz gorria;bihotz|bihotz gorria
🩷;bihotz arrosa;arrosa|atsegin|bihotz arrosa|bihotza|gogoko|maitagarria|maitasuna|polita
🧡;bihotz laranja;bihotz laranja|laranja
💛;bihotz horia;bihotz|bihotz horia|hori
💚;bihotz berdea;berde|bihotz|bihotz berdea
💙;bihotz urdina;bihotz|bihotz urdina|urdin
🩵;bihotz urdin argia;anila|bihotz urdin argia|bihotza|urdin argia|ziana
💜;bihotz morea;bihotz|bihotz morea|more
🤎;bihotz marroia;bihotz|bihotz marroia|marroi
🖤;bihotz beltza;beltz|bihotz|bihotz beltza|zital|zorigaitz
🩶;bihotz grisa;arbela|bihotz grisa|bihotza|grisa|zilarra
🤍;bihotz zuria;bihotz|bihotz zuria|zuri
💋;musu-aztarna;ezpainak|musu|musu-aztarna
💯;ehun puntu;100|ehun|ehun puntu|oso|puntuazio
💢;amorruaren ikurra;amorruaren ikurra|haserre|komiki|sutan
💥;eztanda;bum|eztanda|komiki
💫;zorabiatuta;izar|komiki|zorabiatuta
💦;izerdi-tantatxoak;izerdi|izerdi-tantatxoak|komiki|zipriztin
💨;ziztu bizian;bizi|komiki|korrika|lasterka|ziztu bizian
🕳️;zuloa;zulo|zuloa
💬;bunbuiloa;bunbuiloa|elkarrizketa|hizketa
👁️‍🗨️;begi bat duen bunbuiloa;begi bat duen bunbuiloa|begia|bunbuiloa|burbuila|hizketa|lekukoa|puxika
🗨️;ezkerrera doan bunbuiloa;bunbuiloa|burbuila|elkarrizketa|ezkerrera doan bunbuiloa|hizketa|puxika
🗯️;eskuinera doan sumindura-bunbuiloa;bunbuilo|eskuinera doan sumindura-bunbuiloa|haserre|sumindu
💭;burutazio-bunbuiloa;bunbuilo|burutazio|burutazio-bunbuiloa|komiki|pentsamendu
💤;zzz;gabon|komikia|lo|zzz

[people_body]
👋;mugitzen ari den eskua;eskua|gorputza|mugitu|mugitzen ari den eskua
	👋🏻;mugitzen ari den eskua: 1–2. mota;1–2. mota|eskua|gorputza|mugitu|mugitzen ari den eskua|mugitzen ari den eskua: 1–2. mota
	👋🏼;mugitzen ari den eskua: 3. mota;3. mota|eskua|gorputza|mugitu|mugitzen ari den eskua|mugitzen ari den eskua: 3. mota
	👋🏽;mugitzen ari den eskua: bitarteko azal-tonua;bitarteko azal-tonua|eskua|gorputza|mugitu|mugitzen ari den eskua|mugitzen ari den eskua: bitarteko azal-tonua
	👋🏾;mugitzen ari den eskua: 5. mota;5. mota|eskua|gorputza|mugitu|mugitzen ari den eskua|mugitzen ari den eskua: 5. mota
	👋🏿;mugitzen ari den eskua: 6. mota;6. mota|eskua|gorputza|mugitu|mugitzen ari den eskua|mugitzen ari den eskua: 6. mota
🤚;esku-azpia altxatuta;altxatuta|esku-azpia
	🤚🏻;esku-azpia altxatuta: 1–2. mota;1–2. mota|altxatuta|esku-azpia|esku-azpia altxatuta: 1–2. mota
	🤚🏼;esku-azpia altxatuta: 3. mota;3. mota|altxatuta|esku-azpia|esku-azpia altxatuta: 3. mota
	🤚🏽;esku-azpia altxatuta: bitarteko azal-tonua;altxatuta|bitarteko azal-tonua|esku-azpia|esku-azpia altxatuta: bitarteko azal-tonua
	🤚🏾;esku-azpia altxatuta: 5. mota;5. mota|altxatuta|esku-azpia|esku-azpia altxatuta: 5. mota
	🤚🏿;esku-azpia altxatuta: 6. mota;6. mota|altxatuta|esku-azpia|esku-azpia altxatuta: 6. mota
🖐️;esku altxatua eta hatz hedatuak;esku altxatua eta hatz hedatuak|eskua|gorputza|hatza|hedatu
	🖐🏻;esku altxatua eta hatz hedatuak: 1–2. mota;1–2. mota|esku altxatua eta hatz hedatuak|esku altxatua eta hatz hedatuak: 1–2. mota|eskua|gorputza|hatza|hedatu
	🖐🏼;esku altxatua eta hatz hedatuak: 3. mota;3. mota|esku altxatua eta hatz hedatuak|esku altxatua eta hatz hedatuak: 3. mota|eskua|gorputza|hatza|hedatu
	🖐🏽;esku altxatua eta hatz hedatuak: bitarteko azal-tonua;bitarteko azal-tonua|esku altxatua eta hatz hedatuak|esku altxatua eta hatz hedatuak: bitarteko azal-tonua|eskua|gorputza|hatza|hedatu
	🖐🏾;esku altxatua eta hatz hedatuak: 5. mota;5. mota|esku altxatua eta hatz hedatuak|esku altxatua eta hatz hedatuak: 5. mota|eskua|gorputza|hatza|hedatu
	🖐🏿;esku altxatua eta hatz hedatuak: 6. mota;6. mota|esku altxatua eta hatz hedatuak|esku altxatua eta hatz hedatuak: 6. mota|eskua|gorputza|hatza|hedatu
✋;esku altxatua;esku altxatua|eskua
	✋🏻;esku altxatua: 1–2. mota;1–2. mota|esku altxatua|esku altxatua: 1–2. mota|eskua
	✋🏼;esku altxatua: 3. mota;3. mota|esku altxatua|esku altxatua: 3. mota|eskua
	✋🏽;esku altxatua: bitarteko azal-tonua;bitarteko azal-tonua|esku altxatua|esku altxatua: bitarteko azal-tonua|eskua
	✋🏾;esku altxatua: 5. mota;5. mota|esku altxatua|esku altxatua: 5. mota|eskua
	✋🏿;esku altxatua: 6. mota;6. mota|esku altxatua|esku altxatua: 6. mota|eskua
🖖;vulcandar agur;agur vulcandarra|eskua|hatza|spock|vulcandar agur|vulcandarra
	🖖🏻;vulcandar agur: 1–2. mota;1–2. mota|agur vulcandarra|eskua|hatza|spock|vulcandar agur|vulcandar agur: 1–2. mota|vulcandarra
	🖖🏼;vulcandar agur: 3. mota;3. mota|agur vulcandarra|eskua|hatza|spock|vulcandar agur|vulcandar agur: 3. mota|vulcandarra
	🖖🏽;vulcandar agur: bitarteko azal-tonua;agur vulcandarra|bitarteko azal-tonua|eskua|hatza|spock|vulcandar agur|vulcandar agur: bitarteko azal-tonua|vulcandarra
	🖖🏾;vulcandar agur: 5. mota;5. mota|agur vulcandarra|eskua|hatza|spock|vulcandar agur|vulcandar agur: 5. mota|vulcandarra
	🖖🏿;vulcandar agur: 6. mota;6. mota|agur vulcandarra|eskua|hatza|spock|vulcandar agur|vulcandar agur: 6. mota|vulcandarra
🫱;eskuinera begira dagoen eskua;eskua|eskuina|eskuinera begira dagoen eskua|eskuinerantz
	🫱🏻;eskuinera begira dagoen eskua: 1–2. mota;1–2. mota|eskua|eskuina|eskuinera begira dagoen eskua|eskuinera begira dagoen eskua: 1–2. mota|eskuinerantz
	🫱🏼;eskuinera begira dagoen eskua: 3. mota;3. mota|eskua|eskuina|eskuinera begira dagoen eskua|eskuinera begira dagoen eskua: 3. mota|eskuinerantz
	🫱🏽;eskuinera begira dagoen eskua: bitarteko azal-tonua;bitarteko azal-tonua|eskua|eskuina|eskuinera begira dagoen eskua|eskuinera begira dagoen eskua: bitarteko azal-tonua|eskuinerantz
	🫱🏾;eskuinera begira dagoen eskua: 5. mota;5. mota|eskua|eskuina|eskuinera begira dagoen eskua|eskuinera begira dagoen eskua: 5. mota|eskuinerantz
	🫱🏿;eskuinera begira dagoen eskua: 6. mota;6. mota|eskua|eskuina|eskuinera begira dagoen eskua|eskuinera begira dagoen eskua: 6. mota|eskuinerantz
🫲;ezkerrera begira dagoen eskua;eskua|ezkerra|ezkerrera begira dagoen eskua|ezkerrerantz
