[smileys_emotion]
😀;isura imwenyura;inseko|isura|isura imwenyura
💖;umutima ubengerana;bishimye|ibishashi|umutima ubengerana
💗;umutima ukura;bishimishije|gicitse intege|gushishira|ubukure|umutima ukura
💓;umutima utera;gutera|gutera kw’umutima|gutitira|umutima utera
💞;imitima izenguruka;bihinduka|imitima izenguruka
💕;imitima ibiri;imitima ibiri|urukundo
💟;umuteguro w’imitima;umuteguro w’imitima|umutima
❣️;akamenyetso k’umutima gatangara;agatangaro|akamenyetso k’umutima gatangara|akarango|akatuzo
💔;umutima umenetse;bitandukanye|Gutandukana|umutima umenetse
❤️‍🔥;;
❤️‍🩹;;
❤️;umutima utukura;umutima|umutima utukura
🩷;;
🧡;umutima wa oranje;oranje|umutima wa oranje
💛;umutima w’umuhondo;umuhondo|umutima w’umuhondo
💚;umutima w’icyatsi;icyatsi|umutima w’icyatsi
💙;umutima w’ubururu;ubururu|umutima w’ubururu
🩵;;
💜;umutima wa move;umutima wa move|umwura
🤎;;
🖤;imitima yirabura;cy’umugome|ikibi|imitima yirabura|umukara
🩶;;
🤍;;
💋;ikimenyetso cyo gusomana;gusoma|ikimenyetso cyo gusomana|iminwa
💯;amanota ijana;100|amanota ijana|ijana|inota|yuzuye
💢;ikimenyetso cy’uburakari;ikimenyetso cy’uburakari|inkuru ishushanyije|irakaje
💥;igongana;buum|igongana|inkuru ishushanyije
💫;ufite isereri;inyenyeri|ishimishije|ufite isereri
💦;udutonyanga tw’ibyuya;icyuya|inkuru ishushanyije|kudumbura|udutonyanga tw’ibyuya
💨;ikimenyetso cy’ibinyaruka;ikimenyetso cy’ibinyaruka|inkuru ishushanyije|kwiruka|umuvuduko
🕳️;umwobo;umwobo
💬;igipurizomvugo;akabaruni|akabarunigitekerezo|igipurizomvugo|ikiganiro|imvugo|inkuru ishushanyije
👁️‍🗨️;ijisho riri mu kabaruni;akabaruni|ijisho|ijisho riri mu kabaruni|umuhamya
🗨️;ikiganiro cy’akabaruni k’ibumoso;ikiganiro|ikiganiro cy’akabaruni k’ibumoso|imvugo
🗯️;akabaruni gasongoye k’iburyo;akabaruni|akabaruni gasongoye k’iburyo|igipirizo|karakaje|kirakaje
💭;akazu kagaragaza gutekereza;akabaruni|akazu kagaragaza gutekereza|gisekeje|igitekerezo
💤;zzz;bisekeje|ibitotsi|zzz

[people_body]
👋;ikiganza gipepera;gupepera|ikiganza|ikiganza gipepera
	👋🏻;ikiganza gipepera: ibara ry’uruhu rwera;gupepera|ibara ry’uruhu rwera|ikiganza|ikiganza gipepera|ikiganza gipepera: ibara ry’uruhu rwera
	👋🏼;ikiganza gipepera: ibara ry’uruhu rwera gahoro;gupepera|ibara ry’uruhu rwera gahoro|ikiganza|ikiganza gipepera|ikiganza gipepera: ibara ry’uruhu rwera gahoro
	👋🏽;ikiganza gipepera: ibara ry’uruhu rw’inzobe;gupepera|ibara ry’uruhu rw’inzobe|ikiganza|ikiganza gipepera|ikiganza gipepera: ibara ry’uruhu rw’inzobe
	👋🏾;ikiganza gipepera: ibara ry’uruhu rw’inzobe yirabura;gupepera|ibara ry’uruhu rw’inzobe yirabura|ikiganza|ikiganza gipepera|ikiganza gipepera: ibara ry’uruhu rw’inzobe yirabura
	👋🏿;ikiganza gipepera: ibara ry’uruhu rwirabura;gupepera|ibara ry’uruhu rwirabura|ikiganza|ikiganza gipepera|ikiganza gipepera: ibara ry’uruhu rwirabura
🤚;inyuma y’ikiganza kizamuye;inyuma y’ikiganza kizamuye|ruzamuye|urushyi rw’ikiganza
	🤚🏻;inyuma y’ikiganza kizamuye: ibara ry’uruhu rwera;ibara ry’uruhu rwera|inyuma y’ikiganza kizamuye|inyuma y’ikiganza kizamuye: ibara ry’uruhu rwera|ruzamuye|urushyi rw’ikiganza
	🤚🏼;inyuma y’ikiganza kizamuye: ibara ry’uruhu rwera gahoro;ibara ry’uruhu rwera gahoro|inyuma y’ikiganza kizamuye|inyuma y’ikiganza kizamuye: ibara ry’uruhu rwera gahoro|ruzamuye|urushyi rw’ikiganza
	🤚🏽;inyuma y’ikiganza kizamuye: ibara ry’uruhu rw’inzobe;ibara ry’uruhu rw’inzobe|inyuma y’ikiganza kizamuye|inyuma y’ikiganza kizamuye: ibara ry’uruhu rw’inzobe|ruzamuye|urushyi rw’ikiganza
	🤚🏾;inyuma y’ikiganza kizamuye: ibara ry’uruhu rw’inzobe yirabura;ibara ry’uruhu rw’inzobe yirabura|inyuma y’ikiganza kizamuye|inyuma y’ikiganza kizamuye: ibara ry’uruhu rw’inzobe yirabura|ruzamuye|urushyi rw’ikiganza
	🤚🏿;inyuma y’ikiganza kizamuye: ibara ry’uruhu rwirabura;ibara ry’uruhu rwirabura|inyuma y’ikiganza kizamuye|inyuma y’ikiganza kizamuye: ibara ry’uruhu rwirabura|ruzamuye|urushyi rw’ikiganza
🖐️;ikiganza kizamuye intoki zitandukanyije;bitanye|ikiganza|ikiganza kizamuye intoki zitandukanyije|urutoki
	🖐🏻;ikiganza kizamuye intoki zitandukanyije: ibara ry’uruhu rwera;bitanye|ibara ry’uruhu rwera|ikiganza|ikiganza kizamuye intoki zitandukanyije|ikiganza kizamuye intoki zitandukanyije: ibara ry’uruhu rwera|urutoki
	🖐🏼;ikiganza kizamuye intoki zitandukanyije: ibara ry’uruhu rwera gahoro;bitanye|ibara ry’uruhu rwera gahoro|ikiganza|ikiganza kizamuye intoki zitandukanyije|ikiganza kizamuye intoki zitandukanyije: ibara ry’uruhu rwera gahoro|urutoki
	🖐🏽;ikiganza kizamuye intoki zitandukanyije: ibara ry’uruhu rw’inzobe;bitanye|ibara ry’uruhu rw’inzobe|ikiganza|ikiganza kizamuye intoki zitandukanyije|ikiganza kizamuye intoki zitandukanyije: ibara ry’uruhu rw’inzobe|urutoki
	🖐🏾;ikiganza kizamuye intoki zitandukanyije: ibara ry’uruhu rw’inzobe yirabura;bitanye|ibara ry’uruhu rw’inzobe yirabura|ikiganza|ikiganza kizamuye intoki zitandukanyije|ikiganza kizamuye intoki zitandukanyije: ibara ry’uruhu rw’inzobe yirabura|urutoki
	🖐🏿;ikiganza kizamuye intoki zitandukanyije: ibara ry’uruhu rwirabura;bitanye|ibara ry’uruhu rwirabura|ikiganza|ikiganza kizamuye intoki zitandukanyije|ikiganza kizamuye intoki zitandukanyije: ibara ry’uruhu rwirabura|urutoki
✋;ikiganza kizamuye;Ikiganza|ikiganza kizamuye
	✋🏻;ikiganza kizamuye: ibara ry’uruhu rwera;ibara ry’uruhu rwera|Ikiganza|ikiganza kizamuye|ikiganza kizamuye: ibara ry’uruhu rwera
	✋🏼;ikiganza kizamuye: ibara ry’uruhu rwera gahoro;ibara ry’uruhu rwera gahoro|Ikiganza|ikiganza kizamuye|ikiganza kizamuye: ibara ry’uruhu rwera gahoro
	✋🏽;ikiganza kizamuye: ibara ry’uruhu rw’inzobe;ibara ry’uruhu rw’inzobe|Ikiganza|ikiganza kizamuye|ikiganza kizamuye: ibara ry’uruhu rw’inzobe
	✋🏾;ikiganza kizamuye: ibara ry’uruhu rw’inzobe yirabura;ibara ry’uruhu rw’inzobe yirabura|Ikiganza|ikiganza kizamuye|ikiganza kizamuye: ibara ry’uruhu rw’inzobe yirabura
	✋🏿;ikiganza kizamuye: ibara ry’uruhu rwirabura;ibara ry’uruhu rwirabura|Ikiganza|ikiganza kizamuye|ikiganza kizamuye: ibara ry’uruhu rwirabura
🖖;indamukanyo ya vulcan;gutandukanya intoki enye|ikiganza|ikigirwamana cy’umuriro|indamukanyo ya vulcan|urutoki
	🖖🏻;indamukanyo ya vulcan: ibara ry’uruhu rwera;gutandukanya intoki enye|ibara ry’uruhu rwera|ikiganza|ikigirwamana cy’umuriro|indamukanyo ya vulcan|indamukanyo ya vulcan: ibara ry’uruhu rwera|urutoki
