[smileys_emotion]
😀;isura imwenyura;inseko|isura|isura imwenyura
🏄‍♂️;umugabo winyereza ku mazi;kwinyereza|umugabo|umugabo winyereza ku mazi
	🏄🏻‍♂️;umugabo winyereza ku mazi: ibara ry’uruhu rwera;ibara ry’uruhu rwera|kwinyereza|umugabo|umugabo winyereza ku mazi|umugabo winyereza ku mazi: ibara ry’uruhu rwera
	🏄🏼‍♂️;umugabo winyereza ku mazi: ibara ry’uruhu rwera gahoro;ibara ry’uruhu rwera gahoro|kwinyereza|umugabo|umugabo winyereza ku mazi|umugabo winyereza ku mazi: ibara ry’uruhu rwera gahoro
	🏄🏽‍♂️;umugabo winyereza ku mazi: ibara ry’uruhu rw’inzobe;ibara ry’uruhu rw’inzobe|kwinyereza|umugabo|umugabo winyereza ku mazi|umugabo winyereza ku mazi: ibara ry’uruhu rw’inzobe
	🏄🏾‍♂️;umugabo winyereza ku mazi: ibara ry’uruhu rw’inzobe yirabura;ibara ry’uruhu rw’inzobe yirabura|kwinyereza|umugabo|umugabo winyereza ku mazi|umugabo winyereza ku mazi: ibara ry’uruhu rw’inzobe yirabura
	🏄🏿‍♂️;umugabo winyereza ku mazi: ibara ry’uruhu rwirabura;ibara ry’uruhu rwirabura|kwinyereza|umugabo|umugabo winyereza ku mazi|umugabo winyereza ku mazi: ibara ry’uruhu rwirabura
🏄‍♀️;umugore winyereza ku mazi;kwinyereza|umugore|umugore winyereza ku mazi
	🏄🏻‍♀️;umugore winyereza ku mazi: ibara ry’uruhu rwera;ibara ry’uruhu rwera|kwinyereza|umugore|umugore winyereza ku mazi|umugore winyereza ku mazi: ibara ry’uruhu rwera
	🏄🏼‍♀️;umugore winyereza ku mazi: ibara ry’uruhu rwera gahoro;ibara ry’uruhu rwera gahoro|kwinyereza|umugore|umugore winyereza ku mazi|umugore winyereza ku mazi: ibara ry’uruhu rwera gahoro
	🏄🏽‍♀️;umugore winyereza ku mazi: ibara ry’uruhu rw’inzobe;ibara ry’uruhu rw’inzobe|kwinyereza|umugore|umugore winyereza ku mazi|umugore winyereza ku mazi: ibara ry’uruhu rw’inzobe
	🏄🏾‍♀️;umugore winyereza ku mazi: ibara ry’uruhu rw’inzobe yirabura;ibara ry’uruhu rw’inzobe yirabura|kwinyereza|umugore|umugore winyereza ku mazi|umugore winyereza ku mazi: ibara ry’uruhu rw’inzobe yirabura
	🏄🏿‍♀️;umugore winyereza ku mazi: ibara ry’uruhu rwirabura;ibara ry’uruhu rwirabura|kwinyereza|umugore|umugore winyereza ku mazi|umugore winyereza ku mazi: ibara ry’uruhu rwirabura
🚣;umuntu uri kugashya;ubwato|ubwato buto bukozwe mu biti|umuntu uri kugashya
	🚣🏻;umuntu uri kugashya: ibara ry’uruhu rwera;ibara ry’uruhu rwera|ubwato|ubwato buto bukozwe mu biti|umuntu uri kugashya|umuntu uri kugashya: ibara ry’uruhu rwera
	🚣🏼;umuntu uri kugashya: ibara ry’uruhu rwera gahoro;ibara ry’uruhu rwera gahoro|ubwato|ubwato buto bukozwe mu biti|umuntu uri kugashya|umuntu uri kugashya: ibara ry’uruhu rwera gahoro
	🚣🏽;umuntu uri kugashya: ibara ry’uruhu rw’inzobe;ibara ry’uruhu rw’inzobe|ubwato|ubwato buto bukozwe mu biti|umuntu uri kugashya|umuntu uri kugashya: ibara ry’uruhu rw’inzobe
	🚣🏾;umuntu uri kugashya: ibara ry’uruhu rw’inzobe yirabura;ibara ry’uruhu rw’inzobe yirabura|ubwato|ubwato buto bukozwe mu biti|umuntu uri kugashya|umuntu uri kugashya: ibara ry’uruhu rw’inzobe yirabura
	🚣🏿;umuntu uri kugashya: ibara ry’uruhu rwirabura;ibara ry’uruhu rwirabura|ubwato|ubwato buto bukozwe mu biti|umuntu uri kugashya|umuntu uri kugashya: ibara ry’uruhu rwirabura
🚣‍♂️;umugabo utwaye ubwato agashya;ubwato|ubwato buto bukozwe mu biti|umugabo|umugabo utwaye ubwato agashya
	🚣🏻‍♂️;umugabo utwaye ubwato agashya: ibara ry’uruhu rwera;ibara ry’uruhu rwera|ubwato|ubwato buto bukozwe mu biti|umugabo|umugabo utwaye ubwato agashya|umugabo utwaye ubwato agashya: ibara ry’uruhu rwera
	🚣🏼‍♂️;umugabo utwaye ubwato agashya: ibara ry’uruhu rwera gahoro;ibara ry’uruhu rwera gahoro|ubwato|ubwato buto bukozwe mu biti|umugabo|umugabo utwaye ubwato agashya|umugabo utwaye ubwato agashya: ibara ry’uruhu rwera gahoro
	🚣🏽‍♂️;umugabo utwaye ubwato agashya: ibara ry’uruhu rw’inzobe;ibara ry’uruhu rw’inzobe|ubwato|ubwato buto bukozwe mu biti|umugabo|umugabo utwaye ubwato agashya|umugabo utwaye ubwato agashya: ibara ry’uruhu rw’inzobe
	🚣🏾‍♂️;umugabo utwaye ubwato agashya: ibara ry’uruhu rw’inzobe yirabura;ibara ry’uruhu rw’inzobe yirabura|ubwato|ubwato buto bukozwe mu biti|umugabo|umugabo utwaye ubwato agashya|umugabo utwaye ubwato agashya: ibara ry’uruhu rw’inzobe yirabura
	🚣🏿‍♂️;umugabo utwaye ubwato agashya: ibara ry’uruhu rwirabura;ibara ry’uruhu rwirabura|ubwato|ubwato buto bukozwe mu biti|umugabo|umugabo utwaye ubwato agashya|umugabo utwaye ubwato agashya: ibara ry’uruhu rwirabura
🚣‍♀️;umugore utwaye ubwato agashya;ubwato|ubwato buto bukozwe mu biti|umugore|umugore utwaye ubwato agashya
	🚣🏻‍♀️;umugore utwaye ubwato agashya: ibara ry’uruhu rwera;ibara ry’uruhu rwera|ubwato|ubwato buto bukozwe mu biti|umugore|umugore utwaye ubwato agashya|umugore utwaye ubwato agashya: ibara ry’uruhu rwera
	🚣🏼‍♀️;umugore utwaye ubwato agashya: ibara ry’uruhu rwera gahoro;ibara ry’uruhu rwera gahoro|ubwato|ubwato buto bukozwe mu biti|umugore|umugore utwaye ubwato agashya|umugore utwaye ubwato agashya: ibara ry’uruhu rwera gahoro
	🚣🏽‍♀️;umugore utwaye ubwato agashya: ibara ry’uruhu rw’inzobe;ibara ry’uruhu rw’inzobe|ubwato|ubwato buto bukozwe mu biti|umugore|umugore utwaye ubwato agashya|umugore utwaye ubwato agashya: ibara ry’uruhu rw’inzobe
	🚣🏾‍♀️;umugore utwaye ubwato agashya: ibara ry’uruhu rw’inzobe yirabura;ibara ry’uruhu rw’inzobe yirabura|ubwato|ubwato buto bukozwe mu biti|umugore|umugore utwaye ubwato agashya|umugore utwaye ubwato agashya: ibara ry’uruhu rw’inzobe yirabura
	🚣🏿‍♀️;umugore utwaye ubwato agashya: ibara ry’uruhu rwirabura;ibara ry’uruhu rwirabura|ubwato|ubwato buto bukozwe mu biti|umugore|umugore utwaye ubwato agashya|umugore utwaye ubwato agashya: ibara ry’uruhu rwirabura
🏊;umuntu uri koga;koga|umuntu uri koga
	🏊🏻;umuntu uri koga: ibara ry’uruhu rwera;ibara ry’uruhu rwera|koga|umuntu uri koga|umuntu uri koga: ibara ry’uruhu rwera
	🏊🏼;umuntu uri koga: ibara ry’uruhu rwera gahoro;ibara ry’uruhu rwera gahoro|koga|umuntu uri koga|umuntu uri koga: ibara ry’uruhu rwera gahoro
	🏊🏽;umuntu uri koga: ibara ry’uruhu rw’inzobe;ibara ry’uruhu rw’inzobe|koga|umuntu uri koga|umuntu uri koga: ibara ry’uruhu rw’inzobe
	🏊🏾;umuntu uri koga: ibara ry’uruhu rw’inzobe yirabura;ibara ry’uruhu rw’inzobe yirabura|koga|umuntu uri koga|umuntu uri koga: ibara ry’uruhu rw’inzobe yirabura
	🏊🏿;umuntu uri koga: ibara ry’uruhu rwirabura;ibara ry’uruhu rwirabura|koga|umuntu uri koga|umuntu uri koga: ibara ry’uruhu rwirabura
🏊‍♂️;umugabo uri koga;umugabo|umugabo uri koga|umugore
	🏊🏻‍♂️;umugabo uri koga: ibara ry’uruhu rwera;ibara ry’uruhu rwera|umugabo|umugabo uri koga|umugabo uri koga: ibara ry’uruhu rwera|umugore
	🏊🏼‍♂️;umugabo uri koga: ibara ry’uruhu rwera gahoro;ibara ry’uruhu rwera gahoro|umugabo|umugabo uri koga|umugabo uri koga: ibara ry’uruhu rwera gahoro|umugore
	🏊🏽‍♂️;umugabo uri koga: ibara ry’uruhu rw’inzobe;ibara ry’uruhu rw’inzobe|umugabo|umugabo uri koga|umugabo uri koga: ibara ry’uruhu rw’inzobe|umugore
	🏊🏾‍♂️;umugabo uri koga: ibara ry’uruhu rw’inzobe yirabura;ibara ry’uruhu rw’inzobe yirabura|umugabo|umugabo uri koga|umugabo uri koga: ibara ry’uruhu rw’inzobe yirabura|umugore
	🏊🏿‍♂️;umugabo uri koga: ibara ry’uruhu rwirabura;ibara ry’uruhu rwirabura|umugabo|umugabo uri koga|umugabo uri koga: ibara ry’uruhu rwirabura|umugore
🏊‍♀️;umugore uri koga;koga|umugabo|umugore uri koga
	🏊🏻‍♀️;umugore uri koga: ibara ry’uruhu rwera;ibara ry’uruhu rwera|koga|umugabo|umugore uri koga|umugore uri koga: ibara ry’uruhu rwera
	🏊🏼‍♀️;umugore uri koga: ibara ry’uruhu rwera gahoro;ibara ry’uruhu rwera gahoro|koga|umugabo|umugore uri koga|umugore uri koga: ibara ry’uruhu rwera gahoro
	🏊🏽‍♀️;umugore uri koga: ibara ry’uruhu rw’inzobe;ibara ry’uruhu rw’inzobe|koga|umugabo|umugore uri koga|umugore uri koga: ibara ry’uruhu rw’inzobe
	🏊🏾‍♀️;umugore uri koga: ibara ry’uruhu rw’inzobe yirabura;ibara ry’uruhu rw’inzobe yirabura|koga|umugabo|umugore uri koga|umugore uri koga: ibara ry’uruhu rw’inzobe yirabura
	🏊🏿‍♀️;umugore uri koga: ibara ry’uruhu rwirabura;ibara ry’uruhu rwirabura|koga|umugabo|umugore uri koga|umugore uri koga: ibara ry’uruhu rwirabura
⛹️;umuntu uri gutera umupira;umuntu uri gutera umupira|umupira
	⛹🏻;umuntu uri gutera umupira: ibara ry’uruhu rwera;ibara ry’uruhu rwera|umuntu uri gutera umupira|umuntu uri gutera umupira: ibara ry’uruhu rwera|umupira
	⛹🏼;umuntu uri gutera umupira: ibara ry’uruhu rwera gahoro;ibara ry’uruhu rwera gahoro|umuntu uri gutera umupira|umuntu uri gutera umupira: ibara ry’uruhu rwera gahoro|umupira
	⛹🏽;umuntu uri gutera umupira: ibara ry’uruhu rw’inzobe;ibara ry’uruhu rw’inzobe|umuntu uri gutera umupira|umuntu uri gutera umupira: ibara ry’uruhu rw’inzobe|umupira
	⛹🏾;umuntu uri gutera umupira: ibara ry’uruhu rw’inzobe yirabura;ibara ry’uruhu rw’inzobe yirabura|umuntu uri gutera umupira|umuntu uri gutera umupira: ibara ry’uruhu rw’inzobe yirabura|umupira
	⛹🏿;umuntu uri gutera umupira: ibara ry’uruhu rwirabura;ibara ry’uruhu rwirabura|umuntu uri gutera umupira|umuntu uri gutera umupira: ibara ry’uruhu rwirabura|umupira
⛹️‍♂️;umugabo uri gutera umupira;umugabo|umugabo uri gutera umupira|umupira
	⛹🏻‍♂️;umugabo uri gutera umupira: ibara ry’uruhu rwera;ibara ry’uruhu rwera|umugabo|umugabo uri gutera umupira|umugabo uri gutera umupira: ibara ry’uruhu rwera|umupira
	⛹🏼‍♂️;umugabo uri gutera umupira: ibara ry’uruhu rwera gahoro;ibara ry’uruhu rwera gahoro|umugabo|umugabo uri gutera umupira|umugabo uri gutera umupira: ibara ry’uruhu rwera gahoro|umupira
	⛹🏽‍♂️;umugabo uri gutera umupira: ibara ry’uruhu rw’inzobe;ibara ry’uruhu rw’inzobe|umugabo|umugabo uri gutera umupira|umugabo uri gutera umupira: ibara ry’uruhu rw’inzobe|umupira
	⛹🏾‍♂️;umugabo uri gutera umupira: ibara ry’uruhu rw’inzobe yirabura;ibara ry’uruhu rw’inzobe yirabura|umugabo|umugabo uri gutera umupira|umugabo uri gutera umupira: ibara ry’uruhu rw’inzobe yirabura|umupira
	⛹🏿‍♂️;umugabo uri gutera umupira: ibara ry’uruhu rwirabura;ibara ry’uruhu rwirabura|umugabo|umugabo uri gutera umupira|umugabo uri gutera umupira: ibara ry’uruhu rwirabura|umupira
⛹️‍♀️;umugore uri gutera umupira;umugore|umugore uri gutera umupira|umupira
	⛹🏻‍♀️;umugore uri gutera umupira: ibara ry’uruhu rwera;ibara ry’uruhu rwera|umugore|umugore uri gutera umupira|umugore uri gutera umupira: ibara ry’uruhu rwera|umupira
	⛹🏼‍♀️;umugore uri gutera umupira: ibara ry’uruhu rwera gahoro;ibara ry’uruhu rwera gahoro|umugore|umugore uri gutera umupira|umugore uri gutera umupira: ibara ry’uruhu rwera gahoro|umupira
	⛹🏽‍♀️;umugore uri gutera umupira: ibara ry’uruhu rw’inzobe;ibara ry’uruhu rw’inzobe|umugore|umugore uri gutera umupira|umugore uri gutera umupira: ibara ry’uruhu rw’inzobe|umupira
	⛹🏾‍♀️;umugore uri gutera umupira: ibara ry’uruhu rw’inzobe yirabura;ibara ry’uruhu rw’inzobe yirabura|umugore|umugore uri gutera umupira|umugore uri gutera umupira: ibara ry’uruhu rw’inzobe yirabura|umupira
	⛹🏿‍♀️;umugore uri gutera umupira: ibara ry’uruhu rwirabura;ibara ry’uruhu rwirabura|umugore|umugore uri gutera umupira|umugore uri gutera umupira: ibara ry’uruhu rwirabura|umupira
🏋️;umuntu uterura ibyuma;ibiro|umuntu uterura ibyuma|uterura
	🏋🏻;umuntu uterura ibyuma: ibara ry’uruhu rwera;ibara ry’uruhu rwera|ibiro|umuntu uterura ibyuma|umuntu uterura ibyuma: ibara ry’uruhu rwera|uterura
	🏋🏼;umuntu uterura ibyuma: ibara ry’uruhu rwera gahoro;ibara ry’uruhu rwera gahoro|ibiro|umuntu uterura ibyuma|umuntu uterura ibyuma: ibara ry’uruhu rwera gahoro|uterura
	🏋🏽;umuntu uterura ibyuma: ibara ry’uruhu rw’inzobe;ibara ry’uruhu rw’inzobe|ibiro|umuntu uterura ibyuma|umuntu uterura ibyuma: ibara ry’uruhu rw’inzobe|uterura
	🏋🏾;umuntu uterura ibyuma: ibara ry’uruhu rw’inzobe yirabura;ibara ry’uruhu rw’inzobe yirabura|ibiro|umuntu uterura ibyuma|umuntu uterura ibyuma: ibara ry’uruhu rw’inzobe yirabura|uterura
	🏋🏿;umuntu uterura ibyuma: ibara ry’uruhu rwirabura;ibara ry’uruhu rwirabura|ibiro|umuntu uterura ibyuma|umuntu uterura ibyuma: ibara ry’uruhu rwirabura|uterura
🏋️‍♂️;umugabo uterura ibyuma;umugabo|umugabo uterura ibyuma|uterura ibyuma
	🏋🏻‍♂️;umugabo uterura ibyuma: ibara ry’uruhu rwera;ibara ry’uruhu rwera|umugabo|umugabo uterura ibyuma|umugabo uterura ibyuma: ibara ry’uruhu rwera|uterura ibyuma
	🏋🏼‍♂️;umugabo uterura ibyuma: ibara ry’uruhu rwera gahoro;ibara ry’uruhu rwera gahoro|umugabo|umugabo uterura ibyuma|umugabo uterura ibyuma: ibara ry’uruhu rwera gahoro|uterura ibyuma
	🏋🏽‍♂️;umugabo uterura ibyuma: ibara ry’uruhu rw’inzobe;ibara ry’uruhu rw’inzobe|umugabo|umugabo uterura ibyuma|umugabo uterura ibyuma: ibara ry’uruhu rw’inzobe|uterura ibyuma
	🏋🏾‍♂️;umugabo uterura ibyuma: ibara ry’uruhu rw’inzobe yirabura;ibara ry’uruhu rw’inzobe yirabura|umugabo|umugabo uterura ibyuma|umugabo uterura ibyuma: ibara ry’uruhu rw’inzobe yirabura|uterura ibyuma
	🏋🏿‍♂️;umugabo uterura ibyuma: ibara ry’uruhu rwirabura;ibara ry’uruhu rwirabura|umugabo|umugabo uterura ibyuma|umugabo uterura ibyuma: ibara ry’uruhu rwirabura|uterura ibyuma
🏋️‍♀️;umugore uterura ibyuma;guterura ibyuma|umugore|umugore uterura ibyuma
	🏋🏻‍♀️;umugore uterura ibyuma: ibara ry’uruhu rwera;guterura ibyuma|ibara ry’uruhu rwera|umugore|umugore uterura ibyuma|umugore uterura ibyuma: ibara ry’uruhu rwera
	🏋🏼‍♀️;umugore uterura ibyuma: ibara ry’uruhu rwera gahoro;guterura ibyuma|ibara ry’uruhu rwera gahoro|umugore|umugore uterura ibyuma|umugore uterura ibyuma: ibara ry’uruhu rwera gahoro
	🏋🏽‍♀️;umugore uterura ibyuma: ibara ry’uruhu rw’inzobe;guterura ibyuma|ibara ry’uruhu rw’inzobe|umugore|umugore uterura ibyuma|umugore uterura ibyuma: ibara ry’uruhu rw’inzobe
	🏋🏾‍♀️;umugore uterura ibyuma: ibara ry’uruhu rw’inzobe yirabura;guterura ibyuma|ibara ry’uruhu rw’inzobe yirabura|umugore|umugore uterura ibyuma|umugore uterura ibyuma: ibara ry’uruhu rw’inzobe yirabura
	🏋🏿‍♀️;umugore uterura ibyuma: ibara ry’uruhu rwirabura;guterura ibyuma|ibara ry’uruhu rwirabura|umugore|umugore uterura ibyuma|umugore uterura ibyuma: ibara ry’uruhu rwirabura
🚴;umuntu utwaye igare;gutwara igare|igare|umuntu utwaye igare|urwara igare
	🚴🏻;umuntu utwaye igare: ibara ry’uruhu rwera;gutwara igare|ibara ry’uruhu rwera|igare|umuntu utwaye igare|umuntu utwaye igare: ibara ry’uruhu rwera|urwara igare
	🚴🏼;umuntu utwaye igare: ibara ry’uruhu rwera gahoro;gutwara igare|ibara ry’uruhu rwera gahoro|igare|umuntu utwaye igare|umuntu utwaye igare: ibara ry’uruhu rwera gahoro|urwara igare
	🚴🏽;umuntu utwaye igare: ibara ry’uruhu rw’inzobe;gutwara igare|ibara ry’uruhu rw’inzobe|igare|umuntu utwaye igare|umuntu utwaye igare: ibara ry’uruhu rw’inzobe|urwara igare
	🚴🏾;umuntu utwaye igare: ibara ry’uruhu rw’inzobe yirabura;gutwara igare|ibara ry’uruhu rw’inzobe yirabura|igare|umuntu utwaye igare|umuntu utwaye igare: ibara ry’uruhu rw’inzobe yirabura|urwara igare
	🚴🏿;umuntu utwaye igare: ibara ry’uruhu rwirabura;gutwara igare|ibara ry’uruhu rwirabura|igare|umuntu utwaye igare|umuntu utwaye igare: ibara ry’uruhu rwirabura|urwara igare
🚴‍♂️;umugabo utwara igare;gutwara igare|igare|umugabo|umugabo utwara igare|umunyonzi
	🚴🏻‍♂️;umugabo utwara igare: ibara ry’uruhu rwera;gutwara igare|ibara ry’uruhu rwera|igare|umugabo|umugabo utwara igare|umugabo utwara igare: ibara ry’uruhu rwera|umunyonzi
	🚴🏼‍♂️;umugabo utwara igare: ibara ry’uruhu rwera gahoro;gutwara igare|ibara ry’uruhu rwera gahoro|igare|umugabo|umugabo utwara igare|umugabo utwara igare: ibara ry’uruhu rwera gahoro|umunyonzi
	🚴🏽‍♂️;umugabo utwara igare: ibara ry’uruhu rw’inzobe;gutwara igare|ibara ry’uruhu rw’inzobe|igare|umugabo|umugabo utwara igare|umugabo utwara igare: ibara ry’uruhu rw’inzobe|umunyonzi
	🚴🏾‍♂️;umugabo utwara igare: ibara ry’uruhu rw’inzobe yirabura;gutwara igare|ibara ry’uruhu rw’inzobe yirabura|igare|umugabo|umugabo utwara igare|umugabo utwara igare: ibara ry’uruhu rw’inzobe yirabura|umunyonzi
	🚴🏿‍♂️;umugabo utwara igare: ibara ry’uruhu rwirabura;gutwara igare|ibara ry’uruhu rwirabura|igare|umugabo|umugabo utwara igare|umugabo utwara igare: ibara ry’uruhu rwirabura|umunyonzi
🚴‍♀️;umugore utwara igare;gutwara igare|igare|umugore|umugore utwara igare|umunyozi
	🚴🏻‍♀️;umugore utwara igare: ibara ry’uruhu rwera;gutwara igare|ibara ry’uruhu rwera|igare|umugore|umugore utwara igare|umugore utwara igare: ibara ry’uruhu rwera|umunyozi
	🚴🏼‍♀️;umugore utwara igare: ibara ry’uruhu rwera gahoro;gutwara igare|ibara ry’uruhu rwera gahoro|igare|umugore|umugore utwara igare|umugore utwara igare: ibara ry’uruhu rwera gahoro|umunyozi
	🚴🏽‍♀️;umugore utwara igare: ibara ry’uruhu rw’inzobe;gutwara igare|ibara ry’uruhu rw’inzobe|igare|umugore|umugore utwara igare|umugore utwara igare: ibara ry’uruhu rw’inzobe|umunyozi
	🚴🏾‍♀️;umugore utwara igare: ibara ry’uruhu rw’inzobe yirabura;gutwara igare|ibara ry’uruhu rw’inzobe yirabura|igare|umugore|umugore utwara igare|umugore utwara igare: ibara ry’uruhu rw’inzobe yirabura|umunyozi
	🚴🏿‍♀️;umugore utwara igare: ibara ry’uruhu rwirabura;gutwara igare|ibara ry’uruhu rwirabura|igare|umugore|umugore utwara igare|umugore utwara igare: ibara ry’uruhu rwirabura|umunyozi
🚵;umuntu utwaye igare mu misozi;igare|umuntu utwaye igare mu misozi|umunyonzi|umusozi
	🚵🏻;umuntu utwaye igare mu misozi: ibara ry’uruhu rwera;ibara ry’uruhu rwera|igare|umuntu utwaye igare mu misozi|umuntu utwaye igare mu misozi: ibara ry’uruhu rwera|umunyonzi|umusozi
	🚵🏼;umuntu utwaye igare mu misozi: ibara ry’uruhu rwera gahoro;ibara ry’uruhu rwera gahoro|igare|umuntu utwaye igare mu misozi|umuntu utwaye igare mu misozi: ibara ry’uruhu rwera gahoro|umunyonzi|umusozi
	🚵🏽;umuntu utwaye igare mu misozi: ibara ry’uruhu rw’inzobe;ibara ry’uruhu rw’inzobe|igare|umuntu utwaye igare mu misozi|umuntu utwaye igare mu misozi: ibara ry’uruhu rw’inzobe|umunyonzi|umusozi
	🚵🏾;umuntu utwaye igare mu misozi: ibara ry’uruhu rw’inzobe yirabura;ibara ry’uruhu rw’inzobe yirabura|igare|umuntu utwaye igare mu misozi|umuntu utwaye igare mu misozi: ibara ry’uruhu rw’inzobe yirabura|umunyonzi|umusozi
	🚵🏿;umuntu utwaye igare mu misozi: ibara ry’uruhu rwirabura;ibara ry’uruhu rwirabura|igare|umuntu utwaye igare mu misozi|umuntu utwaye igare mu misozi: ibara ry’uruhu rwirabura|umunyonzi|umusozi
🚵‍♂️;umugabo utwara igare ku musozi;igare|umugabo|umugabo utwara igare ku musozi|umunyonzi|umusozi
	🚵🏻‍♂️;umugabo utwara igare ku musozi: ibara ry’uruhu rwera;ibara ry’uruhu rwera|igare|umugabo|umugabo utwara igare ku musozi|umugabo utwara igare ku musozi: ibara ry’uruhu rwera|umunyonzi|umusozi
	🚵🏼‍♂️;umugabo utwara igare ku musozi: ibara ry’uruhu rwera gahoro;ibara ry’uruhu rwera gahoro|igare|umugabo|umugabo utwara igare ku musozi|umugabo utwara igare ku musozi: ibara ry’uruhu rwera gahoro|umunyonzi|umusozi
	🚵🏽‍♂️;umugabo utwara igare ku musozi: ibara ry’uruhu rw’inzobe;ibara ry’uruhu rw’inzobe|igare|umugabo|umugabo utwara igare ku musozi|umugabo utwara igare ku musozi: ibara ry’uruhu rw’inzobe|umunyonzi|umusozi
	🚵🏾‍♂️;umugabo utwara igare ku musozi: ibara ry’uruhu rw’inzobe yirabura;ibara ry’uruhu rw’inzobe yirabura|igare|umugabo|umugabo utwara igare ku musozi|umugabo utwara igare ku musozi: ibara ry’uruhu rw’inzobe yirabura|umunyonzi|umusozi
	🚵🏿‍♂️;umugabo utwara igare ku musozi: ibara ry’uruhu rwirabura;ibara ry’uruhu rwirabura|igare|umugabo|umugabo utwara igare ku musozi|umugabo utwara igare ku musozi: ibara ry’uruhu rwirabura|umunyonzi|umusozi
🚵‍♀️;umugore utwara igare ku musozi;gutwar igare|igare|umugore|umugore utwara igare ku musozi|umunyonzi|umusozi
	🚵🏻‍♀️;umugore utwara igare ku musozi: ibara ry’uruhu rwera;gutwar igare|ibara ry’uruhu rwera|igare|umugore|umugore utwara igare ku musozi|umugore utwara igare ku musozi: ibara ry’uruhu rwera|umunyonzi|umusozi
	🚵🏼‍♀️;umugore utwara igare ku musozi: ibara ry’uruhu rwera gahoro;gutwar igare|ibara ry’uruhu rwera gahoro|igare|umugore|umugore utwara igare ku musozi|umugore utwara igare ku musozi: ibara ry’uruhu rwera gahoro|umunyonzi|umusozi
	🚵🏽‍♀️;umugore utwara igare ku musozi: ibara ry’uruhu rw’inzobe;gutwar igare|ibara ry’uruhu rw’inzobe|igare|umugore|umugore utwara igare ku musozi|umugore utwara igare ku musozi: ibara ry’uruhu rw’inzobe|umunyonzi|umusozi
	🚵🏾‍♀️;umugore utwara igare ku musozi: ibara ry’uruhu rw’inzobe yirabura;gutwar igare|ibara ry’uruhu rw’inzobe yirabura|igare|umugore|umugore utwara igare ku musozi|umugore utwara igare ku musozi: ibara ry’uruhu rw’inzobe yirabura|umunyonzi|umusozi
	🚵🏿‍♀️;umugore utwara igare ku musozi: ibara ry’uruhu rwirabura;gutwar igare|ibara ry’uruhu rwirabura|igare|umugore|umugore utwara igare ku musozi|umugore utwara igare ku musozi: ibara ry’uruhu rwirabura|umunyonzi|umusozi
🤸;umuntu uri kumangamanga;kumangamanga|ubugororangingo|umuntu uri kumangamanga
	🤸🏻;umuntu uri kumangamanga: ibara ry’uruhu rwera;ibara ry’uruhu rwera|kumangamanga|ubugororangingo|umuntu uri kumangamanga|umuntu uri kumangamanga: ibara ry’uruhu rwera
	🤸🏼;umuntu uri kumangamanga: ibara ry’uruhu rwera gahoro;ibara ry’uruhu rwera gahoro|kumangamanga|ubugororangingo|umuntu uri kumangamanga|umuntu uri kumangamanga: ibara ry’uruhu rwera gahoro
	🤸🏽;umuntu uri kumangamanga: ibara ry’uruhu rw’inzobe;ibara ry’uruhu rw’inzobe|kumangamanga|ubugororangingo|umuntu uri kumangamanga|umuntu uri kumangamanga: ibara ry’uruhu rw’inzobe
	🤸🏾;umuntu uri kumangamanga: ibara ry’uruhu rw’inzobe yirabura;ibara ry’uruhu rw’inzobe yirabura|kumangamanga|ubugororangingo|umuntu uri kumangamanga|umuntu uri kumangamanga: ibara ry’uruhu rw’inzobe yirabura
	🤸🏿;umuntu uri kumangamanga: ibara ry’uruhu rwirabura;ibara ry’uruhu rwirabura|kumangamanga|ubugororangingo|umuntu uri kumangamanga|umuntu uri kumangamanga: ibara ry’uruhu rwirabura
🤸‍♂️;umugabo umangamanga;kumangamanga|ubugororangingo|umugabo|umugabo umangamanga
	🤸🏻‍♂️;umugabo umangamanga: ibara ry’uruhu rwera;ibara ry’uruhu rwera|kumangamanga|ubugororangingo|umugabo|umugabo umangamanga|umugabo umangamanga: ibara ry’uruhu rwera
	🤸🏼‍♂️;umugabo umangamanga: ibara ry’uruhu rwera gahoro;ibara ry’uruhu rwera gahoro|kumangamanga|ubugororangingo|umugabo|umugabo umangamanga|umugabo umangamanga: ibara ry’uruhu rwera gahoro
	🤸🏽‍♂️;umugabo umangamanga: ibara ry’uruhu rw’inzobe;ibara ry’uruhu rw’inzobe|kumangamanga|ubugororangingo|umugabo|umugabo umangamanga|umugabo umangamanga: ibara ry’uruhu rw’inzobe
	🤸🏾‍♂️;umugabo umangamanga: ibara ry’uruhu rw’inzobe yirabura;ibara ry’uruhu rw’inzobe yirabura|kumangamanga|ubugororangingo|umugabo|umugabo umangamanga|umugabo umangamanga: ibara ry’uruhu rw’inzobe yirabura
	🤸🏿‍♂️;umugabo umangamanga: ibara ry’uruhu rwirabura;ibara ry’uruhu rwirabura|kumangamanga|ubugororangingo|umugabo|umugabo umangamanga|umugabo umangamanga: ibara ry’uruhu rwirabura
🤸‍♀️;umugore umangamanga;kumangamanga|ubugororangingo|umugore|umugore umangamanga
	🤸🏻‍♀️;umugore umangamanga: ibara ry’uruhu rwera;ibara ry’uruhu rwera|kumangamanga|ubugororangingo|umugore|umugore umangamanga|umugore umangamanga: ibara ry’uruhu rwera
