[smileys_emotion]
😀;笑臉;微笑|笑臉|臉
	🧛🏾‍♂️;男吸血鬼: 中深膚色;中深膚色|亡靈|德古拉|男吸血鬼|男吸血鬼: 中深膚色
	🧛🏿‍♂️;男吸血鬼: 深膚色;亡靈|德古拉|深膚色|男吸血鬼|男吸血鬼: 深膚色
🧛‍♀️;女吸血鬼;亡靈|女吸血鬼
	🧛🏻‍♀️;女吸血鬼: 淺膚色;亡靈|女吸血鬼|女吸血鬼: 淺膚色|淺膚色
	🧛🏼‍♀️;女吸血鬼: 中淺膚色;中淺膚色|亡靈|女吸血鬼|女吸血鬼: 中淺膚色
	🧛🏽‍♀️;女吸血鬼: 中膚色;中膚色|亡靈|女吸血鬼|女吸血鬼: 中膚色
	🧛🏾‍♀️;女吸血鬼: 中深膚色;中深膚色|亡靈|女吸血鬼|女吸血鬼: 中深膚色
	🧛🏿‍♀️;女吸血鬼: 深膚色;亡靈|女吸血鬼|女吸血鬼: 深膚色|深膚色
🧜;人魚;人魚|女美人魚|男美人魚|美人魚
	🧜🏻;人魚: 淺膚色;人魚|人魚: 淺膚色|女美人魚|淺膚色|男美人魚|美人魚
	🧜🏼;人魚: 中淺膚色;中淺膚色|人魚|人魚: 中淺膚色|女美人魚|男美人魚|美人魚
	🧜🏽;人魚: 中膚色;中膚色|人魚|人魚: 中膚色|女美人魚|男美人魚|美人魚
	🧜🏾;人魚: 中深膚色;中深膚色|人魚|人魚: 中深膚色|女美人魚|男美人魚|美人魚
	🧜🏿;人魚: 深膚色;人魚|人魚: 深膚色|女美人魚|深膚色|男美人魚|美人魚
🧜‍♂️;男美人魚;Triton|男美人魚
	🧜🏻‍♂️;男美人魚: 淺膚色;Triton|淺膚色|男美人魚|男美人魚: 淺膚色
	🧜🏼‍♂️;男美人魚: 中淺膚色;Triton|中淺膚色|男美人魚|男美人魚: 中淺膚色
	🧜🏽‍♂️;男美人魚: 中膚色;Triton|中膚色|男美人魚|男美人魚: 中膚色
	🧜🏾‍♂️;男美人魚: 中深膚色;Triton|中深膚色|男美人魚|男美人魚: 中深膚色
	🧜🏿‍♂️;男美人魚: 深膚色;Triton|深膚色|男美人魚|男美人魚: 深膚色
🧜‍♀️;美人魚;女美人魚|美人魚
	🧜🏻‍♀️;美人魚: 淺膚色;女美人魚|淺膚色|美人魚|美人魚: 淺膚色
	🧜🏼‍♀️;美人魚: 中淺膚色;中淺膚色|女美人魚|美人魚|美人魚: 中淺膚色
	🧜🏽‍♀️;美人魚: 中膚色;中膚色|女美人魚|美人魚|美人魚: 中膚色
	🧜🏾‍♀️;美人魚: 中深膚色;中深膚色|女美人魚|美人魚|美人魚: 中深膚色
	🧜🏿‍♀️;美人魚: 深膚色;女美人魚|深膚色|美人魚|美人魚: 深膚色
🧝;小精靈;小精靈|神奇
	🧝🏻;小精靈: 淺膚色;小精靈|小精靈: 淺膚色|淺膚色|神奇
	🧝🏼;小精靈: 中淺膚色;中淺膚色|小精靈|小精靈: 中淺膚色|神奇
	🧝🏽;小精靈: 中膚色;中膚色|小精靈|小精靈: 中膚色|神奇
	🧝🏾;小精靈: 中深膚色;中深膚色|小精靈|小精靈: 中深膚色|神奇
	🧝🏿;小精靈: 深膚色;小精靈|小精靈: 深膚色|深膚色|神奇
🧝‍♂️;男精靈;男精靈|神奇
	🧝🏻‍♂️;男精靈: 淺膚色;淺膚色|男精靈|男精靈: 淺膚色|神奇
	🧝🏼‍♂️;男精靈: 中淺膚色;中淺膚色|男精靈|男精靈: 中淺膚色|神奇
	🧝🏽‍♂️;男精靈: 中膚色;中膚色|男精靈|男精靈: 中膚色|神奇
	🧝🏾‍♂️;男精靈: 中深膚色;中深膚色|男精靈|男精靈: 中深膚色|神奇
	🧝🏿‍♂️;男精靈: 深膚色;深膚色|男精靈|男精靈: 深膚色|神奇
🧝‍♀️;女精靈;女精靈|神奇
	🧝🏻‍♀️;女精靈: 淺膚色;女精靈|女精靈: 淺膚色|淺膚色|神奇
	🧝🏼‍♀️;女精靈: 中淺膚色;中淺膚色|女精靈|女精靈: 中淺膚色|神奇
	🧝🏽‍♀️;女精靈: 中膚色;中膚色|女精靈|女精靈: 中膚色|神奇
	🧝🏾‍♀️;女精靈: 中深膚色;中深膚色|女精靈|女精靈: 中深膚色|神奇
	🧝🏿‍♀️;女精靈: 深膚色;女精靈|女精靈: 深膚色|深膚色|神奇
🧞;神燈精靈;巨靈|神燈精靈
🧞‍♂️;男神燈精靈;巨靈|男神燈精靈
🧞‍♀️;女神燈精靈;女神燈精靈|巨靈
🧟;殭屍;亡靈|殭屍|行屍
🧟‍♂️;男殭屍;亡靈|男殭屍|行屍
🧟‍♀️;女殭屍;亡靈|女殭屍|行屍
🧌;巨魔;巨魔|幻想|怪物|童話
💆;享受按摩嘅人;享受按摩嘅人|按摩|美容店|臉
	💆🏻;享受按摩嘅人: 淺膚色;享受按摩嘅人|享受按摩嘅人: 淺膚色|按摩|淺膚色|美容店|臉
	💆🏼;享受按摩嘅人: 中淺膚色;中淺膚色|享受按摩嘅人|享受按摩嘅人: 中淺膚色|按摩|美容店|臉
	💆🏽;享受按摩嘅人: 中膚色;中膚色|享受按摩嘅人|享受按摩嘅人: 中膚色|按摩|美容店|臉
	💆🏾;享受按摩嘅人: 中深膚色;中深膚色|享受按摩嘅人|享受按摩嘅人: 中深膚色|按摩|美容店|臉
	💆🏿;享受按摩嘅人: 深膚色;享受按摩嘅人|享受按摩嘅人: 深膚色|按摩|深膚色|美容店|臉
💆‍♂️;享受按摩嘅男人;享受按摩嘅男人|按摩|男|臉
	💆🏻‍♂️;享受按摩嘅男人: 淺膚色;享受按摩嘅男人|享受按摩嘅男人: 淺膚色|按摩|淺膚色|男|臉
	💆🏼‍♂️;享受按摩嘅男人: 中淺膚色;中淺膚色|享受按摩嘅男人|享受按摩嘅男人: 中淺膚色|按摩|男|臉
	💆🏽‍♂️;享受按摩嘅男人: 中膚色;中膚色|享受按摩嘅男人|享受按摩嘅男人: 中膚色|按摩|男|臉
	💆🏾‍♂️;享受按摩嘅男人: 中深膚色;中深膚色|享受按摩嘅男人|享受按摩嘅男人: 中深膚色|按摩|男|臉
	💆🏿‍♂️;享受按摩嘅男人: 深膚色;享受按摩嘅男人|享受按摩嘅男人: 深膚色|按摩|深膚色|男|臉
💆‍♀️;享受按摩嘅女人;享受按摩嘅女人|女|按摩|臉
	💆🏻‍♀️;享受按摩嘅女人: 淺膚色;享受按摩嘅女人|享受按摩嘅女人: 淺膚色|女|按摩|淺膚色|臉
	💆🏼‍♀️;享受按摩嘅女人: 中淺膚色;中淺膚色|享受按摩嘅女人|享受按摩嘅女人: 中淺膚色|女|按摩|臉
	💆🏽‍♀️;享受按摩嘅女人: 中膚色;中膚色|享受按摩嘅女人|享受按摩嘅女人: 中膚色|女|按摩|臉
	💆🏾‍♀️;享受按摩嘅女人: 中深膚色;中深膚色|享受按摩嘅女人|享受按摩嘅女人: 中深膚色|女|按摩|臉
	💆🏿‍♀️;享受按摩嘅女人: 深膚色;享受按摩嘅女人|享受按摩嘅女人: 深膚色|女|按摩|深膚色|臉
💇;剪頭髮嘅人;剪頭髮嘅人|客廳|理髮|美容|髮型師
	💇🏻;剪頭髮嘅人: 淺膚色;剪頭髮嘅人|剪頭髮嘅人: 淺膚色|客廳|淺膚色|理髮|美容|髮型師
	💇🏼;剪頭髮嘅人: 中淺膚色;中淺膚色|剪頭髮嘅人|剪頭髮嘅人: 中淺膚色|客廳|理髮|美容|髮型師
	💇🏽;剪頭髮嘅人: 中膚色;中膚色|剪頭髮嘅人|剪頭髮嘅人: 中膚色|客廳|理髮|美容|髮型師
	💇🏾;剪頭髮嘅人: 中深膚色;中深膚色|剪頭髮嘅人|剪頭髮嘅人: 中深膚色|客廳|理髮|美容|髮型師
	💇🏿;剪頭髮嘅人: 深膚色;剪頭髮嘅人|剪頭髮嘅人: 深膚色|客廳|深膚色|理髮|美容|髮型師
💇‍♂️;剪頭髮嘅男人;剪頭髮|剪頭髮嘅男人|男
	💇🏻‍♂️;剪頭髮嘅男人: 淺膚色;剪頭髮|剪頭髮嘅男人|剪頭髮嘅男人: 淺膚色|淺膚色|男
	💇🏼‍♂️;剪頭髮嘅男人: 中淺膚色;中淺膚色|剪頭髮|剪頭髮嘅男人|剪頭髮嘅男人: 中淺膚色|男
	💇🏽‍♂️;剪頭髮嘅男人: 中膚色;中膚色|剪頭髮|剪頭髮嘅男人|剪頭髮嘅男人: 中膚色|男
	💇🏾‍♂️;剪頭髮嘅男人: 中深膚色;中深膚色|剪頭髮|剪頭髮嘅男人|剪頭髮嘅男人: 中深膚色|男
	💇🏿‍♂️;剪頭髮嘅男人: 深膚色;剪頭髮|剪頭髮嘅男人|剪頭髮嘅男人: 深膚色|深膚色|男
💇‍♀️;剪頭髮嘅女人;剪頭髮|剪頭髮嘅女人|女
	💇🏻‍♀️;剪頭髮嘅女人: 淺膚色;剪頭髮|剪頭髮嘅女人|剪頭髮嘅女人: 淺膚色|女|淺膚色
	💇🏼‍♀️;剪頭髮嘅女人: 中淺膚色;中淺膚色|剪頭髮|剪頭髮嘅女人|剪頭髮嘅女人: 中淺膚色|女
	💇🏽‍♀️;剪頭髮嘅女人: 中膚色;中膚色|剪頭髮|剪頭髮嘅女人|剪頭髮嘅女人: 中膚色|女
	💇🏾‍♀️;剪頭髮嘅女人: 中深膚色;中深膚色|剪頭髮|剪頭髮嘅女人|剪頭髮嘅女人: 中深膚色|女
	💇🏿‍♀️;剪頭髮嘅女人: 深膚色;剪頭髮|剪頭髮嘅女人|剪頭髮嘅女人: 深膚色|女|深膚色
🚶;行路嘅人;行緊路|行路|行路嘅人|遠足
	🚶🏻;行路嘅人: 淺膚色;淺膚色|行緊路|行路|行路嘅人|行路嘅人: 淺膚色|遠足
	🚶🏼;行路嘅人: 中淺膚色;中淺膚色|行緊路|行路|行路嘅人|行路嘅人: 中淺膚色|遠足
	🚶🏽;行路嘅人: 中膚色;中膚色|行緊路|行路|行路嘅人|行路嘅人: 中膚色|遠足
	🚶🏾;行路嘅人: 中深膚色;中深膚色|行緊路|行路|行路嘅人|行路嘅人: 中深膚色|遠足
	🚶🏿;行路嘅人: 深膚色;深膚色|行緊路|行路|行路嘅人|行路嘅人: 深膚色|遠足
🚶‍♂️;行路嘅男人;男|行路|行路嘅男人|遠足
	🚶🏻‍♂️;行路嘅男人: 淺膚色;淺膚色|男|行路|行路嘅男人|行路嘅男人: 淺膚色|遠足
	🚶🏼‍♂️;行路嘅男人: 中淺膚色;中淺膚色|男|行路|行路嘅男人|行路嘅男人: 中淺膚色|遠足
	🚶🏽‍♂️;行路嘅男人: 中膚色;中膚色|男|行路|行路嘅男人|行路嘅男人: 中膚色|遠足
	🚶🏾‍♂️;行路嘅男人: 中深膚色;中深膚色|男|行路|行路嘅男人|行路嘅男人: 中深膚色|遠足
	🚶🏿‍♂️;行路嘅男人: 深膚色;深膚色|男|行路|行路嘅男人|行路嘅男人: 深膚色|遠足
🚶‍♀️;行路嘅女人;女|行路|行路嘅女人|遠足
	🚶🏻‍♀️;行路嘅女人: 淺膚色;女|淺膚色|行路|行路嘅女人|行路嘅女人: 淺膚色|遠足
	🚶🏼‍♀️;行路嘅女人: 中淺膚色;中淺膚色|女|行路|行路嘅女人|行路嘅女人: 中淺膚色|遠足
	🚶🏽‍♀️;行路嘅女人: 中膚色;中膚色|女|行路|行路嘅女人|行路嘅女人: 中膚色|遠足
	🚶🏾‍♀️;行路嘅女人: 中深膚色;中深膚色|女|行路|行路嘅女人|行路嘅女人: 中深膚色|遠足
	🚶🏿‍♀️;行路嘅女人: 深膚色;女|深膚色|行路|行路嘅女人|行路嘅女人: 深膚色|遠足
🚶‍➡️;行路嘅人 向右;行緊路|行路|行路嘅人|行路嘅人 向右|遠足
	🚶🏻‍➡️;行路嘅人 向右;行緊路|行路|行路嘅人|行路嘅人 向右|遠足
	🚶🏼‍➡️;行路嘅人 向右;行緊路|行路|行路嘅人|行路嘅人 向右|遠足
	🚶🏽‍➡️;行路嘅人 向右;行緊路|行路|行路嘅人|行路嘅人 向右|遠足
	🚶🏾‍➡️;行路嘅人 向右;行緊路|行路|行路嘅人|行路嘅人 向右|遠足
	🚶🏿‍➡️;行路嘅人 向右;行緊路|行路|行路嘅人|行路嘅人 向右|遠足
🚶‍♀️‍➡️;行路嘅女人 向右;女|行路|行路嘅女人|行路嘅女人 向右|遠足
	🚶🏻‍♀️‍➡️;行路嘅女人 向右;女|行路|行路嘅女人|行路嘅女人 向右|遠足
	🚶🏼‍♀️‍➡️;行路嘅女人 向右;女|行路|行路嘅女人|行路嘅女人 向右|遠足
	🚶🏽‍♀️‍➡️;行路嘅女人 向右;女|行路|行路嘅女人|行路嘅女人 向右|遠足
	🚶🏾‍♀️‍➡️;行路嘅女人 向右;女|行路|行路嘅女人|行路嘅女人 向右|遠足
	🚶🏿‍♀️‍➡️;行路嘅女人 向右;女|行路|行路嘅女人|行路嘅女人 向右|遠足
🚶‍♂️‍➡️;行路嘅男人 向右;男|行路|行路嘅男人|行路嘅男人 向右|遠足
	🚶🏻‍♂️‍➡️;行路嘅男人 向右;男|行路|行路嘅男人|行路嘅男人 向右|遠足
	🚶🏼‍♂️‍➡️;行路嘅男人 向右;男|行路|行路嘅男人|行路嘅男人 向右|遠足
	🚶🏽‍♂️‍➡️;行路嘅男人 向右;男|行路|行路嘅男人|行路嘅男人 向右|遠足
	🚶🏾‍♂️‍➡️;行路嘅男人 向右;男|行路|行路嘅男人|行路嘅男人 向右|遠足
	🚶🏿‍♂️‍➡️;行路嘅男人 向右;男|行路|行路嘅男人|行路嘅男人 向右|遠足
🧍;企喺度嘅人;企|企喺度嘅人
	🧍🏻;企喺度嘅人: 淺膚色;企|企喺度嘅人|企喺度嘅人: 淺膚色|淺膚色
	🧍🏼;企喺度嘅人: 中淺膚色;中淺膚色|企|企喺度嘅人|企喺度嘅人: 中淺膚色
	🧍🏽;企喺度嘅人: 中膚色;中膚色|企|企喺度嘅人|企喺度嘅人: 中膚色
	🧍🏾;企喺度嘅人: 中深膚色;中深膚色|企|企喺度嘅人|企喺度嘅人: 中深膚色
	🧍🏿;企喺度嘅人: 深膚色;企|企喺度嘅人|企喺度嘅人: 深膚色|深膚色
🧍‍♂️;企喺度嘅男人;企|企喺度嘅男人|男
	🧍🏻‍♂️;企喺度嘅男人: 淺膚色;企|企喺度嘅男人|企喺度嘅男人: 淺膚色|淺膚色|男
	🧍🏼‍♂️;企喺度嘅男人: 中淺膚色;中淺膚色|企|企喺度嘅男人|企喺度嘅男人: 中淺膚色|男
	🧍🏽‍♂️;企喺度嘅男人: 中膚色;中膚色|企|企喺度嘅男人|企喺度嘅男人: 中膚色|男
	🧍🏾‍♂️;企喺度嘅男人: 中深膚色;中深膚色|企|企喺度嘅男人|企喺度嘅男人: 中深膚色|男
	🧍🏿‍♂️;企喺度嘅男人: 深膚色;企|企喺度嘅男人|企喺度嘅男人: 深膚色|深膚色|男
🧍‍♀️;企喺度嘅女人;企|企喺度嘅女人|女人
	🧍🏻‍♀️;企喺度嘅女人: 淺膚色;企|企喺度嘅女人|企喺度嘅女人: 淺膚色|女人|淺膚色
	🧍🏼‍♀️;企喺度嘅女人: 中淺膚色;中淺膚色|企|企喺度嘅女人|企喺度嘅女人: 中淺膚色|女人
	🧍🏽‍♀️;企喺度嘅女人: 中膚色;中膚色|企|企喺度嘅女人|企喺度嘅女人: 中膚色|女人
	🧍🏾‍♀️;企喺度嘅女人: 中深膚色;中深膚色|企|企喺度嘅女人|企喺度嘅女人: 中深膚色|女人
	🧍🏿‍♀️;企喺度嘅女人: 深膚色;企|企喺度嘅女人|企喺度嘅女人: 深膚色|女人|深膚色
🧎;跪嘅人;跪|跪嘅人
	🧎🏻;跪嘅人: 淺膚色;淺膚色|跪|跪嘅人|跪嘅人: 淺膚色
	🧎🏼;跪嘅人: 中淺膚色;中淺膚色|跪|跪嘅人|跪嘅人: 中淺膚色
	🧎🏽;跪嘅人: 中膚色;中膚色|跪|跪嘅人|跪嘅人: 中膚色
	🧎🏾;跪嘅人: 中深膚色;中深膚色|跪|跪嘅人|跪嘅人: 中深膚色
	🧎🏿;跪嘅人: 深膚色;深膚色|跪|跪嘅人|跪嘅人: 深膚色
🧎‍♂️;跪嘅男人;男|跪|跪嘅男人
	🧎🏻‍♂️;跪嘅男人: 淺膚色;淺膚色|男|跪|跪嘅男人|跪嘅男人: 淺膚色
	🧎🏼‍♂️;跪嘅男人: 中淺膚色;中淺膚色|男|跪|跪嘅男人|跪嘅男人: 中淺膚色
	🧎🏽‍♂️;跪嘅男人: 中膚色;中膚色|男|跪|跪嘅男人|跪嘅男人: 中膚色
	🧎🏾‍♂️;跪嘅男人: 中深膚色;中深膚色|男|跪|跪嘅男人|跪嘅男人: 中深膚色
	🧎🏿‍♂️;跪嘅男人: 深膚色;深膚色|男|跪|跪嘅男人|跪嘅男人: 深膚色
🧎‍♀️;跪嘅女人;女|跪|跪嘅女人
	🧎🏻‍♀️;跪嘅女人: 淺膚色;女|淺膚色|跪|跪嘅女人|跪嘅女人: 淺膚色
	🧎🏼‍♀️;跪嘅女人: 中淺膚色;中淺膚色|女|跪|跪嘅女人|跪嘅女人: 中淺膚色
	🧎🏽‍♀️;跪嘅女人: 中膚色;中膚色|女|跪|跪嘅女人|跪嘅女人: 中膚色
	🧎🏾‍♀️;跪嘅女人: 中深膚色;中深膚色|女|跪|跪嘅女人|跪嘅女人: 中深膚色
	🧎🏿‍♀️;跪嘅女人: 深膚色;女|深膚色|跪|跪嘅女人|跪嘅女人: 深膚色
🧎‍➡️;跪嘅人 向右;跪|跪嘅人|跪嘅人 向右
	🧎🏻‍➡️;跪嘅人 向右;跪|跪嘅人|跪嘅人 向右
	🧎🏼‍➡️;跪嘅人 向右;跪|跪嘅人|跪嘅人 向右
	🧎🏽‍➡️;跪嘅人 向右;跪|跪嘅人|跪嘅人 向右
	🧎🏾‍➡️;跪嘅人 向右;跪|跪嘅人|跪嘅人 向右
	🧎🏿‍➡️;跪嘅人 向右;跪|跪嘅人|跪嘅人 向右
🧎‍♀️‍➡️;跪嘅女人 向右;女|跪|跪嘅女人|跪嘅女人 向右
	🧎🏻‍♀️‍➡️;跪嘅女人 向右;女|跪|跪嘅女人|跪嘅女人 向右
	🧎🏼‍♀️‍➡️;跪嘅女人 向右;女|跪|跪嘅女人|跪嘅女人 向右
	🧎🏽‍♀️‍➡️;跪嘅女人 向右;女|跪|跪嘅女人|跪嘅女人 向右
	🧎🏾‍♀️‍➡️;跪嘅女人 向右;女|跪|跪嘅女人|跪嘅女人 向右
	🧎🏿‍♀️‍➡️;跪嘅女人 向右;女|跪|跪嘅女人|跪嘅女人 向右
🧎‍♂️‍➡️;跪嘅男人 向右;男|跪|跪嘅男人|跪嘅男人 向右
	🧎🏻‍♂️‍➡️;跪嘅男人 向右;男|跪|跪嘅男人|跪嘅男人 向右
	🧎🏼‍♂️‍➡️;跪嘅男人 向右;男|跪|跪嘅男人|跪嘅男人 向右
	🧎🏽‍♂️‍➡️;跪嘅男人 向右;男|跪|跪嘅男人|跪嘅男人 向右
	🧎🏾‍♂️‍➡️;跪嘅男人 向右;男|跪|跪嘅男人|跪嘅男人 向右
	🧎🏿‍♂️‍➡️;跪嘅男人 向右;男|跪|跪嘅男人|跪嘅男人 向右
🧑‍🦯;揸柺杖嘅人;揸柺杖嘅人|揸白色柺杖嘅人|無障礙|盲人
	🧑🏻‍🦯;揸柺杖嘅人: 淺膚色;揸柺杖嘅人|揸柺杖嘅人: 淺膚色|揸白色柺杖嘅人|淺膚色|無障礙|盲人
	🧑🏼‍🦯;揸柺杖嘅人: 中淺膚色;中淺膚色|揸柺杖嘅人|揸柺杖嘅人: 中淺膚色|揸白色柺杖嘅人|無障礙|盲人
	🧑🏽‍🦯;揸柺杖嘅人: 中膚色;中膚色|揸柺杖嘅人|揸柺杖嘅人: 中膚色|揸白色柺杖嘅人|無障礙|盲人
	🧑🏾‍🦯;揸柺杖嘅人: 中深膚色;中深膚色|揸柺杖嘅人|揸柺杖嘅人: 中深膚色|揸白色柺杖嘅人|無障礙|盲人
	🧑🏿‍🦯;揸柺杖嘅人: 深膚色;揸柺杖嘅人|揸柺杖嘅人: 深膚色|揸白色柺杖嘅人|深膚色|無障礙|盲人
🧑‍🦯‍➡️;揸柺杖嘅人 向右;揸柺杖嘅人|揸柺杖嘅人 向右|揸白色柺杖嘅人|無障礙|盲人
	🧑🏻‍🦯‍➡️;揸柺杖嘅人 向右;揸柺杖嘅人|揸柺杖嘅人 向右|揸白色柺杖嘅人|無障礙|盲人
	🧑🏼‍🦯‍➡️;揸柺杖嘅人 向右;揸柺杖嘅人|揸柺杖嘅人 向右|揸白色柺杖嘅人|無障礙|盲人
	🧑🏽‍🦯‍➡️;揸柺杖嘅人 向右;揸柺杖嘅人|揸柺杖嘅人 向右|揸白色柺杖嘅人|無障礙|盲人
	🧑🏾‍🦯‍➡️;揸柺杖嘅人 向右;揸柺杖嘅人|揸柺杖嘅人 向右|揸白色柺杖嘅人|無障礙|盲人
	🧑🏿‍🦯‍➡️;揸柺杖嘅人 向右;揸柺杖嘅人|揸柺杖嘅人 向右|揸白色柺杖嘅人|無障礙|盲人
👨‍🦯;拎拐杖嘅男人;拎拐杖嘅男人|拎白色拐杖嘅男人|無障礙|男人|盲
	👨🏻‍🦯;拎拐杖嘅男人: 淺膚色;拎拐杖嘅男人|拎拐杖嘅男人: 淺膚色|拎白色拐杖嘅男人|淺膚色|無障礙|男人|盲
	👨🏼‍🦯;拎拐杖嘅男人: 中淺膚色;中淺膚色|拎拐杖嘅男人|拎拐杖嘅男人: 中淺膚色|拎白色拐杖嘅男人|無障礙|男人|盲
	👨🏽‍🦯;拎拐杖嘅男人: 中膚色;中膚色|拎拐杖嘅男人|拎拐杖嘅男人: 中膚色|拎白色拐杖嘅男人|無障礙|男人|盲
	👨🏾‍🦯;拎拐杖嘅男人: 中深膚色;中深膚色|拎拐杖嘅男人|拎拐杖嘅男人: 中深膚色|拎白色拐杖嘅男人|無障礙|男人|盲
	👨🏿‍🦯;拎拐杖嘅男人: 深膚色;拎拐杖嘅男人|拎拐杖嘅男人: 深膚色|拎白色拐杖嘅男人|深膚色|無障礙|男人|盲
👨‍🦯‍➡️;拎拐杖嘅男人 向右;拎拐杖嘅男人|拎拐杖嘅男人 向右|拎白色拐杖嘅男人|無障礙|男人|盲
	👨🏻‍🦯‍➡️;拎拐杖嘅男人 向右;拎拐杖嘅男人|拎拐杖嘅男人 向右|拎白色拐杖嘅男人|無障礙|男人|盲
	👨🏼‍🦯‍➡️;拎拐杖嘅男人 向右;拎拐杖嘅男人|拎拐杖嘅男人 向右|拎白色拐杖嘅男人|無障礙|男人|盲
	👨🏽‍🦯‍➡️;拎拐杖嘅男人 向右;拎拐杖嘅男人|拎拐杖嘅男人 向右|拎白色拐杖嘅男人|無障礙|男人|盲
	👨🏾‍🦯‍➡️;拎拐杖嘅男人 向右;拎拐杖嘅男人|拎拐杖嘅男人 向右|拎白色拐杖嘅男人|無障礙|男人|盲
	👨🏿‍🦯‍➡️;拎拐杖嘅男人 向右;拎拐杖嘅男人|拎拐杖嘅男人 向右|拎白色拐杖嘅男人|無障礙|男人|盲
👩‍🦯;拎拐杖嘅女人;女人|拎拐杖嘅女人|拎白色拐杖嘅女人|無障礙|盲
	👩🏻‍🦯;拎拐杖嘅女人: 淺膚色;女人|拎拐杖嘅女人|拎拐杖嘅女人: 淺膚色|拎白色拐杖嘅女人|淺膚色|無障礙|盲
	👩🏼‍🦯;拎拐杖嘅女人: 中淺膚色;中淺膚色|女人|拎拐杖嘅女人|拎拐杖嘅女人: 中淺膚色|拎白色拐杖嘅女人|無障礙|盲
	👩🏽‍🦯;拎拐杖嘅女人: 中膚色;中膚色|女人|拎拐杖嘅女人|拎拐杖嘅女人: 中膚色|拎白色拐杖嘅女人|無障礙|盲
	👩🏾‍🦯;拎拐杖嘅女人: 中深膚色;中深膚色|女人|拎拐杖嘅女人|拎拐杖嘅女人: 中深膚色|拎白色拐杖嘅女人|無障礙|盲
	👩🏿‍🦯;拎拐杖嘅女人: 深膚色;女人|拎拐杖嘅女人|拎拐杖嘅女人: 深膚色|拎白色拐杖嘅女人|深膚色|無障礙|盲
👩‍🦯‍➡️;拎拐杖嘅女人 向右;女人|拎拐杖嘅女人|拎拐杖嘅女人 向右|拎白色拐杖嘅女人|無障礙|盲
	👩🏻‍🦯‍➡️;拎拐杖嘅女人 向右;女人|拎拐杖嘅女人|拎拐杖嘅女人 向右|拎白色拐杖嘅女人|無障礙|盲
	👩🏼‍🦯‍➡️;拎拐杖嘅女人 向右;女人|拎拐杖嘅女人|拎拐杖嘅女人 向右|拎白色拐杖嘅女人|無障礙|盲
	👩🏽‍🦯‍➡️;拎拐杖嘅女人 向右;女人|拎拐杖嘅女人|拎拐杖嘅女人 向右|拎白色拐杖嘅女人|無障礙|盲
	👩🏾‍🦯‍➡️;拎拐杖嘅女人 向右;女人|拎拐杖嘅女人|拎拐杖嘅女人 向右|拎白色拐杖嘅女人|無障礙|盲
	👩🏿‍🦯‍➡️;拎拐杖嘅女人 向右;女人|拎拐杖嘅女人|拎拐杖嘅女人 向右|拎白色拐杖嘅女人|無障礙|盲
🧑‍🦼;坐電動輪椅嘅人;坐電動輪椅嘅人|無障礙|輪椅
	🧑🏻‍🦼;坐電動輪椅嘅人: 淺膚色;坐電動輪椅嘅人|坐電動輪椅嘅人: 淺膚色|淺膚色|無障礙|輪椅
	🧑🏼‍🦼;坐電動輪椅嘅人: 中淺膚色;中淺膚色|坐電動輪椅嘅人|坐電動輪椅嘅人: 中淺膚色|無障礙|輪椅
	🧑🏽‍🦼;坐電動輪椅嘅人: 中膚色;中膚色|坐電動輪椅嘅人|坐電動輪椅嘅人: 中膚色|無障礙|輪椅
	🧑🏾‍🦼;坐電動輪椅嘅人: 中深膚色;中深膚色|坐電動輪椅嘅人|坐電動輪椅嘅人: 中深膚色|無障礙|輪椅
	🧑🏿‍🦼;坐電動輪椅嘅人: 深膚色;坐電動輪椅嘅人|坐電動輪椅嘅人: 深膚色|深膚色|無障礙|輪椅
🧑‍🦼‍➡️;坐電動輪椅嘅人 向右;坐電動輪椅嘅人|坐電動輪椅嘅人 向右|無障礙|輪椅
	🧑🏻‍🦼‍➡️;坐電動輪椅嘅人 向右;坐電動輪椅嘅人|坐電動輪椅嘅人 向右|無障礙|輪椅
	🧑🏼‍🦼‍➡️;坐電動輪椅嘅人 向右;坐電動輪椅嘅人|坐電動輪椅嘅人 向右|無障礙|輪椅
	🧑🏽‍🦼‍➡️;坐電動輪椅嘅人 向右;坐電動輪椅嘅人|坐電動輪椅嘅人 向右|無障礙|輪椅
	🧑🏾‍🦼‍➡️;坐電動輪椅嘅人 向右;坐電動輪椅嘅人|坐電動輪椅嘅人 向右|無障礙|輪椅
	🧑🏿‍🦼‍➡️;坐電動輪椅嘅人 向右;坐電動輪椅嘅人|坐電動輪椅嘅人 向右|無障礙|輪椅
👨‍🦼;坐電動輪椅嘅男人;坐電動輪椅嘅男人|無障礙|男人|輪椅
	👨🏻‍🦼;坐電動輪椅嘅男人: 淺膚色;坐電動輪椅嘅男人|坐電動輪椅嘅男人: 淺膚色|淺膚色|無障礙|男人|輪椅
	👨🏼‍🦼;坐電動輪椅嘅男人: 中淺膚色;中淺膚色|坐電動輪椅嘅男人|坐電動輪椅嘅男人: 中淺膚色|無障礙|男人|輪椅
	👨🏽‍🦼;坐電動輪椅嘅男人: 中膚色;中膚色|坐電動輪椅嘅男人|坐電動輪椅嘅男人: 中膚色|無障礙|男人|輪椅
