[smileys_emotion]
😀;笑臉;微笑|笑臉|臉
	🙌🏾;舉高雙手: 中深膚色;中深膚色|慶祝|手|手勢|萬歲|舉起|舉高雙手|舉高雙手: 中深膚色
	🙌🏿;舉高雙手: 深膚色;慶祝|手|手勢|深膚色|萬歲|舉起|舉高雙手|舉高雙手: 深膚色
🫶;心形手勢;心形手勢|愛情
	🫶🏻;心形手勢: 淺膚色;心形手勢|心形手勢: 淺膚色|愛情|淺膚色
	🫶🏼;心形手勢: 中淺膚色;中淺膚色|心形手勢|心形手勢: 中淺膚色|愛情
	🫶🏽;心形手勢: 中膚色;中膚色|心形手勢|心形手勢: 中膚色|愛情
	🫶🏾;心形手勢: 中深膚色;中深膚色|心形手勢|心形手勢: 中深膚色|愛情
	🫶🏿;心形手勢: 深膚色;心形手勢|心形手勢: 深膚色|愛情|深膚色
👐;打開手;手|打開|打開手
	👐🏻;打開手: 淺膚色;手|打開|打開手|打開手: 淺膚色|淺膚色
	👐🏼;打開手: 中淺膚色;中淺膚色|手|打開|打開手|打開手: 中淺膚色
	👐🏽;打開手: 中膚色;中膚色|手|打開|打開手|打開手: 中膚色
	👐🏾;打開手: 中深膚色;中深膚色|手|打開|打開手|打開手: 中深膚色
	👐🏿;打開手: 深膚色;手|打開|打開手|打開手: 深膚色|深膚色
🤲;手掌一起;手掌一起|祈禱
	🤲🏻;手掌一起: 淺膚色;手掌一起|手掌一起: 淺膚色|淺膚色|祈禱
	🤲🏼;手掌一起: 中淺膚色;中淺膚色|手掌一起|手掌一起: 中淺膚色|祈禱
	🤲🏽;手掌一起: 中膚色;中膚色|手掌一起|手掌一起: 中膚色|祈禱
	🤲🏾;手掌一起: 中深膚色;中深膚色|手掌一起|手掌一起: 中深膚色|祈禱
	🤲🏿;手掌一起: 深膚色;手掌一起|手掌一起: 深膚色|深膚色|祈禱
🤝;握手;同意|手|握|握手|開會
	🤝🏻;握手: 淺膚色;同意|手|握|握手|握手: 淺膚色|淺膚色|開會
	🤝🏼;握手: 中淺膚色;中淺膚色|同意|手|握|握手|握手: 中淺膚色|開會
	🤝🏽;握手: 中膚色;中膚色|同意|手|握|握手|握手: 中膚色|開會
	🤝🏾;握手: 中深膚色;中深膚色|同意|手|握|握手|握手: 中深膚色|開會
	🤝🏿;握手: 深膚色;同意|手|握|握手|握手: 深膚色|深膚色|開會
	🫱🏻‍🫲🏼;握手: 淺膚色 中淺膚色;中淺膚色|同意|手|握|握手|握手: 淺膚色 中淺膚色|淺膚色|開會
	🫱🏻‍🫲🏽;握手: 淺膚色 中膚色;中膚色|同意|手|握|握手|握手: 淺膚色 中膚色|淺膚色|開會
	🫱🏻‍🫲🏾;握手: 淺膚色 中深膚色;中深膚色|同意|手|握|握手|握手: 淺膚色 中深膚色|淺膚色|開會
	🫱🏻‍🫲🏿;握手: 淺膚色 深膚色;同意|手|握|握手|握手: 淺膚色 深膚色|深膚色|淺膚色|開會
	🫱🏼‍🫲🏻;握手: 中淺膚色 淺膚色;中淺膚色|同意|手|握|握手|握手: 中淺膚色 淺膚色|淺膚色|開會
	🫱🏼‍🫲🏽;握手: 中淺膚色 中膚色;中淺膚色|中膚色|同意|手|握|握手|握手: 中淺膚色 中膚色|開會
	🫱🏼‍🫲🏾;握手: 中淺膚色 中深膚色;中深膚色|中淺膚色|同意|手|握|握手|握手: 中淺膚色 中深膚色|開會
	🫱🏼‍🫲🏿;握手: 中淺膚色 深膚色;中淺膚色|同意|手|握|握手|握手: 中淺膚色 深膚色|深膚色|開會
	🫱🏽‍🫲🏻;握手: 中膚色 淺膚色;中膚色|同意|手|握|握手|握手: 中膚色 淺膚色|淺膚色|開會
	🫱🏽‍🫲🏼;握手: 中膚色 中淺膚色;中淺膚色|中膚色|同意|手|握|握手|握手: 中膚色 中淺膚色|開會
	🫱🏽‍🫲🏾;握手: 中膚色 中深膚色;中深膚色|中膚色|同意|手|握|握手|握手: 中膚色 中深膚色|開會
	🫱🏽‍🫲🏿;握手: 中膚色 深膚色;中膚色|同意|手|握|握手|握手: 中膚色 深膚色|深膚色|開會
	🫱🏾‍🫲🏻;握手: 中深膚色 淺膚色;中深膚色|同意|手|握|握手|握手: 中深膚色 淺膚色|淺膚色|開會
	🫱🏾‍🫲🏼;握手: 中深膚色 中淺膚色;中深膚色|中淺膚色|同意|手|握|握手|握手: 中深膚色 中淺膚色|開會
	🫱🏾‍🫲🏽;握手: 中深膚色 中膚色;中深膚色|中膚色|同意|手|握|握手|握手: 中深膚色 中膚色|開會
	🫱🏾‍🫲🏿;握手: 中深膚色 深膚色;中深膚色|同意|手|握|握手|握手: 中深膚色 深膚色|深膚色|開會
	🫱🏿‍🫲🏻;握手: 深膚色 淺膚色;同意|手|握|握手|握手: 深膚色 淺膚色|深膚色|淺膚色|開會
	🫱🏿‍🫲🏼;握手: 深膚色 中淺膚色;中淺膚色|同意|手|握|握手|握手: 深膚色 中淺膚色|深膚色|開會
	🫱🏿‍🫲🏽;握手: 深膚色 中膚色;中膚色|同意|手|握|握手|握手: 深膚色 中膚色|深膚色|開會
	🫱🏿‍🫲🏾;握手: 深膚色 中深膚色;中深膚色|同意|手|握|握手|握手: 深膚色 中深膚色|深膚色|開會
🙏;合手;合手|問|多謝|手|祈禱
	🙏🏻;合手: 淺膚色;合手|合手: 淺膚色|問|多謝|手|淺膚色|祈禱
	🙏🏼;合手: 中淺膚色;中淺膚色|合手|合手: 中淺膚色|問|多謝|手|祈禱
	🙏🏽;合手: 中膚色;中膚色|合手|合手: 中膚色|問|多謝|手|祈禱
	🙏🏾;合手: 中深膚色;中深膚色|合手|合手: 中深膚色|問|多謝|手|祈禱
	🙏🏿;合手: 深膚色;合手|合手: 深膚色|問|多謝|手|深膚色|祈禱
✍️;寫字嘅手;寫字|寫字嘅手|手
	✍🏻;寫字嘅手: 淺膚色;寫字|寫字嘅手|寫字嘅手: 淺膚色|手|淺膚色
	✍🏼;寫字嘅手: 中淺膚色;中淺膚色|寫字|寫字嘅手|寫字嘅手: 中淺膚色|手
	✍🏽;寫字嘅手: 中膚色;中膚色|寫字|寫字嘅手|寫字嘅手: 中膚色|手
	✍🏾;寫字嘅手: 中深膚色;中深膚色|寫字|寫字嘅手|寫字嘅手: 中深膚色|手
	✍🏿;寫字嘅手: 深膚色;寫字|寫字嘅手|寫字嘅手: 深膚色|手|深膚色
💅;指甲油;修甲|化妝品|指甲|指甲油|護理
	💅🏻;指甲油: 淺膚色;修甲|化妝品|指甲|指甲油|指甲油: 淺膚色|淺膚色|護理
	💅🏼;指甲油: 中淺膚色;中淺膚色|修甲|化妝品|指甲|指甲油|指甲油: 中淺膚色|護理
	💅🏽;指甲油: 中膚色;中膚色|修甲|化妝品|指甲|指甲油|指甲油: 中膚色|護理
	💅🏾;指甲油: 中深膚色;中深膚色|修甲|化妝品|指甲|指甲油|指甲油: 中深膚色|護理
	💅🏿;指甲油: 深膚色;修甲|化妝品|指甲|指甲油|指甲油: 深膚色|深膚色|護理
🤳;自拍;手機|相機|自拍
	🤳🏻;自拍: 淺膚色;手機|淺膚色|相機|自拍|自拍: 淺膚色
	🤳🏼;自拍: 中淺膚色;中淺膚色|手機|相機|自拍|自拍: 中淺膚色
	🤳🏽;自拍: 中膚色;中膚色|手機|相機|自拍|自拍: 中膚色
	🤳🏾;自拍: 中深膚色;中深膚色|手機|相機|自拍|自拍: 中深膚色
	🤳🏿;自拍: 深膚色;手機|深膚色|相機|自拍|自拍: 深膚色
💪;手瓜;二頭肌|手瓜|漫畫|肌肉
	💪🏻;手瓜: 淺膚色;二頭肌|手瓜|手瓜: 淺膚色|淺膚色|漫畫|肌肉
	💪🏼;手瓜: 中淺膚色;中淺膚色|二頭肌|手瓜|手瓜: 中淺膚色|漫畫|肌肉
	💪🏽;手瓜: 中膚色;中膚色|二頭肌|手瓜|手瓜: 中膚色|漫畫|肌肉
	💪🏾;手瓜: 中深膚色;中深膚色|二頭肌|手瓜|手瓜: 中深膚色|漫畫|肌肉
	💪🏿;手瓜: 深膚色;二頭肌|手瓜|手瓜: 深膚色|深膚色|漫畫|肌肉
🦾;機械臂;機械臂|義肢|輔助
🦿;機械腳;機械腳|義肢|輔助
🦵;腳;肢|腳|踢
	🦵🏻;腳: 淺膚色;淺膚色|肢|腳|腳: 淺膚色|踢
	🦵🏼;腳: 中淺膚色;中淺膚色|肢|腳|腳: 中淺膚色|踢
	🦵🏽;腳: 中膚色;中膚色|肢|腳|腳: 中膚色|踢
	🦵🏾;腳: 中深膚色;中深膚色|肢|腳|腳: 中深膚色|踢
	🦵🏿;腳: 深膚色;深膚色|肢|腳|腳: 深膚色|踢
🦶;腳掌;腳掌|踏|踢
	🦶🏻;腳掌: 淺膚色;淺膚色|腳掌|腳掌: 淺膚色|踏|踢
	🦶🏼;腳掌: 中淺膚色;中淺膚色|腳掌|腳掌: 中淺膚色|踏|踢
	🦶🏽;腳掌: 中膚色;中膚色|腳掌|腳掌: 中膚色|踏|踢
	🦶🏾;腳掌: 中深膚色;中深膚色|腳掌|腳掌: 中深膚色|踏|踢
	🦶🏿;腳掌: 深膚色;深膚色|腳掌|腳掌: 深膚色|踏|踢
👂;耳仔;耳仔|身體
	👂🏻;耳仔: 淺膚色;淺膚色|耳仔|耳仔: 淺膚色|身體
	👂🏼;耳仔: 中淺膚色;中淺膚色|耳仔|耳仔: 中淺膚色|身體
	👂🏽;耳仔: 中膚色;中膚色|耳仔|耳仔: 中膚色|身體
	👂🏾;耳仔: 中深膚色;中深膚色|耳仔|耳仔: 中深膚色|身體
	👂🏿;耳仔: 深膚色;深膚色|耳仔|耳仔: 深膚色|身體
🦻;戴助聽器嘅耳仔;戴助聽器嘅耳仔|無障礙|聽障
	🦻🏻;戴助聽器嘅耳仔: 淺膚色;戴助聽器嘅耳仔|戴助聽器嘅耳仔: 淺膚色|淺膚色|無障礙|聽障
	🦻🏼;戴助聽器嘅耳仔: 中淺膚色;中淺膚色|戴助聽器嘅耳仔|戴助聽器嘅耳仔: 中淺膚色|無障礙|聽障
	🦻🏽;戴助聽器嘅耳仔: 中膚色;中膚色|戴助聽器嘅耳仔|戴助聽器嘅耳仔: 中膚色|無障礙|聽障
	🦻🏾;戴助聽器嘅耳仔: 中深膚色;中深膚色|戴助聽器嘅耳仔|戴助聽器嘅耳仔: 中深膚色|無障礙|聽障
	🦻🏿;戴助聽器嘅耳仔: 深膚色;戴助聽器嘅耳仔|戴助聽器嘅耳仔: 深膚色|深膚色|無障礙|聽障
👃;鼻;身體|鼻
	👃🏻;鼻: 淺膚色;淺膚色|身體|鼻|鼻: 淺膚色
	👃🏼;鼻: 中淺膚色;中淺膚色|身體|鼻|鼻: 中淺膚色
	👃🏽;鼻: 中膚色;中膚色|身體|鼻|鼻: 中膚色
	👃🏾;鼻: 中深膚色;中深膚色|身體|鼻|鼻: 中深膚色
	👃🏿;鼻: 深膚色;深膚色|身體|鼻|鼻: 深膚色
🧠;腦;智力|腦
🫀;心臟;中心|器官|心臟|心跳|脈衝
