[smileys_emotion]
😀;grijnzend gezicht;gezicht|grijns|grijnzend gezicht
	🫲🏽;hand naar links: getinte huidskleur;getinte huidskleur|hand|hand naar links|hand naar links: getinte huidskleur|links|naar links
	🫲🏾;hand naar links: donkergetinte huidskleur;donkergetinte huidskleur|hand|hand naar links|hand naar links: donkergetinte huidskleur|links|naar links
	🫲🏿;hand naar links: donkere huidskleur;donkere huidskleur|hand|hand naar links|hand naar links: donkere huidskleur|links|naar links
🫳;handpalm omlaag;handpalm omlaag|laten vallen|wegjagen|wegsturen
	🫳🏻;handpalm omlaag: lichte huidskleur;handpalm omlaag|handpalm omlaag: lichte huidskleur|laten vallen|lichte huidskleur|wegjagen|wegsturen
	🫳🏼;handpalm omlaag: lichtgetinte huidskleur;handpalm omlaag|handpalm omlaag: lichtgetinte huidskleur|laten vallen|lichtgetinte huidskleur|wegjagen|wegsturen
	🫳🏽;handpalm omlaag: getinte huidskleur;getinte huidskleur|handpalm omlaag|handpalm omlaag: getinte huidskleur|laten vallen|wegjagen|wegsturen
	🫳🏾;handpalm omlaag: donkergetinte huidskleur;donkergetinte huidskleur|handpalm omlaag|handpalm omlaag: donkergetinte huidskleur|laten vallen|wegjagen|wegsturen
	🫳🏿;handpalm omlaag: donkere huidskleur;donkere huidskleur|handpalm omlaag|handpalm omlaag: donkere huidskleur|laten vallen|wegjagen|wegsturen
🫴;handpalm omhoog;aanbieden|handpalm omhoog|kom|vangen|wenken
	🫴🏻;handpalm omhoog: lichte huidskleur;aanbieden|handpalm omhoog|handpalm omhoog: lichte huidskleur|kom|lichte huidskleur|vangen|wenken
	🫴🏼;handpalm omhoog: lichtgetinte huidskleur;aanbieden|handpalm omhoog|handpalm omhoog: lichtgetinte huidskleur|kom|lichtgetinte huidskleur|vangen|wenken
	🫴🏽;handpalm omhoog: getinte huidskleur;aanbieden|getinte huidskleur|handpalm omhoog|handpalm omhoog: getinte huidskleur|kom|vangen|wenken
	🫴🏾;handpalm omhoog: donkergetinte huidskleur;aanbieden|donkergetinte huidskleur|handpalm omhoog|handpalm omhoog: donkergetinte huidskleur|kom|vangen|wenken
	🫴🏿;handpalm omhoog: donkere huidskleur;aanbieden|donkere huidskleur|handpalm omhoog|handpalm omhoog: donkere huidskleur|kom|vangen|wenken
🫷;hand die naar links duwt;duwen|hand die naar links duwt|high five|naar links|stoppen|wachten|weigeren
