[smileys_emotion]
😀;grijnzend gezicht;gezicht|grijns|grijnzend gezicht
🧗;klimmende persoon;klimmende persoon|klimmer
	🧗🏻;klimmende persoon: lichte huidskleur;klimmende persoon|klimmende persoon: lichte huidskleur|klimmer|lichte huidskleur
	🧗🏼;klimmende persoon: lichtgetinte huidskleur;klimmende persoon|klimmende persoon: lichtgetinte huidskleur|klimmer|lichtgetinte huidskleur
	🧗🏽;klimmende persoon: getinte huidskleur;getinte huidskleur|klimmende persoon|klimmende persoon: getinte huidskleur|klimmer
	🧗🏾;klimmende persoon: donkergetinte huidskleur;donkergetinte huidskleur|klimmende persoon|klimmende persoon: donkergetinte huidskleur|klimmer
	🧗🏿;klimmende persoon: donkere huidskleur;donkere huidskleur|klimmende persoon|klimmende persoon: donkere huidskleur|klimmer
🧗‍♂️;klimmende man;klimmende man|klimmer
	🧗🏻‍♂️;klimmende man: lichte huidskleur;klimmende man|klimmende man: lichte huidskleur|klimmer|lichte huidskleur
	🧗🏼‍♂️;klimmende man: lichtgetinte huidskleur;klimmende man|klimmende man: lichtgetinte huidskleur|klimmer|lichtgetinte huidskleur
	🧗🏽‍♂️;klimmende man: getinte huidskleur;getinte huidskleur|klimmende man|klimmende man: getinte huidskleur|klimmer
	🧗🏾‍♂️;klimmende man: donkergetinte huidskleur;donkergetinte huidskleur|klimmende man|klimmende man: donkergetinte huidskleur|klimmer
	🧗🏿‍♂️;klimmende man: donkere huidskleur;donkere huidskleur|klimmende man|klimmende man: donkere huidskleur|klimmer
🧗‍♀️;klimmende vrouw;klimmende vrouw|klimmer
	🧗🏻‍♀️;klimmende vrouw: lichte huidskleur;klimmende vrouw|klimmende vrouw: lichte huidskleur|klimmer|lichte huidskleur
	🧗🏼‍♀️;klimmende vrouw: lichtgetinte huidskleur;klimmende vrouw|klimmende vrouw: lichtgetinte huidskleur|klimmer|lichtgetinte huidskleur
	🧗🏽‍♀️;klimmende vrouw: getinte huidskleur;getinte huidskleur|klimmende vrouw|klimmende vrouw: getinte huidskleur|klimmer
	🧗🏾‍♀️;klimmende vrouw: donkergetinte huidskleur;donkergetinte huidskleur|klimmende vrouw|klimmende vrouw: donkergetinte huidskleur|klimmer
	🧗🏿‍♀️;klimmende vrouw: donkere huidskleur;donkere huidskleur|klimmende vrouw|klimmende vrouw: donkere huidskleur|klimmer
🤺;schermer;degen|schermen|schermende persoon|schermer
🏇;jockey op renpaard;jockey|jockey op renpaard|paard|racen|renpaard
	🏇🏻;jockey op renpaard: lichte huidskleur;jockey|jockey op renpaard|jockey op renpaard: lichte huidskleur|lichte huidskleur|paard|racen|renpaard
	🏇🏼;jockey op renpaard: lichtgetinte huidskleur;jockey|jockey op renpaard|jockey op renpaard: lichtgetinte huidskleur|lichtgetinte huidskleur|paard|racen|renpaard
	🏇🏽;jockey op renpaard: getinte huidskleur;getinte huidskleur|jockey|jockey op renpaard|jockey op renpaard: getinte huidskleur|paard|racen|renpaard
	🏇🏾;jockey op renpaard: donkergetinte huidskleur;donkergetinte huidskleur|jockey|jockey op renpaard|jockey op renpaard: donkergetinte huidskleur|paard|racen|renpaard
	🏇🏿;jockey op renpaard: donkere huidskleur;donkere huidskleur|jockey|jockey op renpaard|jockey op renpaard: donkere huidskleur|paard|racen|renpaard
⛷️;skiër;ski|skiër|sneeuw
🏂;snowboarder;ski|sneeuw|snowboard|snowboarder
	🏂🏻;snowboarder: lichte huidskleur;lichte huidskleur|ski|sneeuw|snowboard|snowboarder|snowboarder: lichte huidskleur
	🏂🏼;snowboarder: lichtgetinte huidskleur;lichtgetinte huidskleur|ski|sneeuw|snowboard|snowboarder|snowboarder: lichtgetinte huidskleur
	🏂🏽;snowboarder: getinte huidskleur;getinte huidskleur|ski|sneeuw|snowboard|snowboarder|snowboarder: getinte huidskleur
	🏂🏾;snowboarder: donkergetinte huidskleur;donkergetinte huidskleur|ski|sneeuw|snowboard|snowboarder|snowboarder: donkergetinte huidskleur
	🏂🏿;snowboarder: donkere huidskleur;donkere huidskleur|ski|sneeuw|snowboard|snowboarder|snowboarder: donkere huidskleur
🏌️;golfer;bal|golf|golfer
	🏌🏻;golfer: lichte huidskleur;bal|golf|golfer|golfer: lichte huidskleur|lichte huidskleur
	🏌🏼;golfer: lichtgetinte huidskleur;bal|golf|golfer|golfer: lichtgetinte huidskleur|lichtgetinte huidskleur
	🏌🏽;golfer: getinte huidskleur;bal|getinte huidskleur|golf|golfer|golfer: getinte huidskleur
	🏌🏾;golfer: donkergetinte huidskleur;bal|donkergetinte huidskleur|golf|golfer|golfer: donkergetinte huidskleur
	🏌🏿;golfer: donkere huidskleur;bal|donkere huidskleur|golf|golfer|golfer: donkere huidskleur
🏌️‍♂️;golfende man;golfen|golfende man|man
	🏌🏻‍♂️;golfende man: lichte huidskleur;golfen|golfende man|golfende man: lichte huidskleur|lichte huidskleur|man
	🏌🏼‍♂️;golfende man: lichtgetinte huidskleur;golfen|golfende man|golfende man: lichtgetinte huidskleur|lichtgetinte huidskleur|man
	🏌🏽‍♂️;golfende man: getinte huidskleur;getinte huidskleur|golfen|golfende man|golfende man: getinte huidskleur|man
	🏌🏾‍♂️;golfende man: donkergetinte huidskleur;donkergetinte huidskleur|golfen|golfende man|golfende man: donkergetinte huidskleur|man
	🏌🏿‍♂️;golfende man: donkere huidskleur;donkere huidskleur|golfen|golfende man|golfende man: donkere huidskleur|man
🏌️‍♀️;golfende vrouw;golfen|golfende vrouw|vrouw
	🏌🏻‍♀️;golfende vrouw: lichte huidskleur;golfen|golfende vrouw|golfende vrouw: lichte huidskleur|lichte huidskleur|vrouw
	🏌🏼‍♀️;golfende vrouw: lichtgetinte huidskleur;golfen|golfende vrouw|golfende vrouw: lichtgetinte huidskleur|lichtgetinte huidskleur|vrouw
	🏌🏽‍♀️;golfende vrouw: getinte huidskleur;getinte huidskleur|golfen|golfende vrouw|golfende vrouw: getinte huidskleur|vrouw
	🏌🏾‍♀️;golfende vrouw: donkergetinte huidskleur;donkergetinte huidskleur|golfen|golfende vrouw|golfende vrouw: donkergetinte huidskleur|vrouw
	🏌🏿‍♀️;golfende vrouw: donkere huidskleur;donkere huidskleur|golfen|golfende vrouw|golfende vrouw: donkere huidskleur|vrouw
🏄;surfer;surfen|surfer
	🏄🏻;surfer: lichte huidskleur;lichte huidskleur|surfen|surfer|surfer: lichte huidskleur
	🏄🏼;surfer: lichtgetinte huidskleur;lichtgetinte huidskleur|surfen|surfer|surfer: lichtgetinte huidskleur
	🏄🏽;surfer: getinte huidskleur;getinte huidskleur|surfen|surfer|surfer: getinte huidskleur
	🏄🏾;surfer: donkergetinte huidskleur;donkergetinte huidskleur|surfen|surfer|surfer: donkergetinte huidskleur
	🏄🏿;surfer: donkere huidskleur;donkere huidskleur|surfen|surfer|surfer: donkere huidskleur
🏄‍♂️;mannelijke surfer;man|mannelijke surfer|surfen
	🏄🏻‍♂️;mannelijke surfer: lichte huidskleur;lichte huidskleur|man|mannelijke surfer|mannelijke surfer: lichte huidskleur|surfen
	🏄🏼‍♂️;mannelijke surfer: lichtgetinte huidskleur;lichtgetinte huidskleur|man|mannelijke surfer|mannelijke surfer: lichtgetinte huidskleur|surfen
	🏄🏽‍♂️;mannelijke surfer: getinte huidskleur;getinte huidskleur|man|mannelijke surfer|mannelijke surfer: getinte huidskleur|surfen
	🏄🏾‍♂️;mannelijke surfer: donkergetinte huidskleur;donkergetinte huidskleur|man|mannelijke surfer|mannelijke surfer: donkergetinte huidskleur|surfen
	🏄🏿‍♂️;mannelijke surfer: donkere huidskleur;donkere huidskleur|man|mannelijke surfer|mannelijke surfer: donkere huidskleur|surfen
🏄‍♀️;vrouwelijke surfer;surfen|vrouw|vrouwelijke surfer
	🏄🏻‍♀️;vrouwelijke surfer: lichte huidskleur;lichte huidskleur|surfen|vrouw|vrouwelijke surfer|vrouwelijke surfer: lichte huidskleur
	🏄🏼‍♀️;vrouwelijke surfer: lichtgetinte huidskleur;lichtgetinte huidskleur|surfen|vrouw|vrouwelijke surfer|vrouwelijke surfer: lichtgetinte huidskleur
	🏄🏽‍♀️;vrouwelijke surfer: getinte huidskleur;getinte huidskleur|surfen|vrouw|vrouwelijke surfer|vrouwelijke surfer: getinte huidskleur
	🏄🏾‍♀️;vrouwelijke surfer: donkergetinte huidskleur;donkergetinte huidskleur|surfen|vrouw|vrouwelijke surfer|vrouwelijke surfer: donkergetinte huidskleur
	🏄🏿‍♀️;vrouwelijke surfer: donkere huidskleur;donkere huidskleur|surfen|vrouw|vrouwelijke surfer|vrouwelijke surfer: donkere huidskleur
🚣;persoon in roeiboot;boot|persoon in roeiboot|roeiboot
	🚣🏻;persoon in roeiboot: lichte huidskleur;boot|lichte huidskleur|persoon in roeiboot|persoon in roeiboot: lichte huidskleur|roeiboot
	🚣🏼;persoon in roeiboot: lichtgetinte huidskleur;boot|lichtgetinte huidskleur|persoon in roeiboot|persoon in roeiboot: lichtgetinte huidskleur|roeiboot
	🚣🏽;persoon in roeiboot: getinte huidskleur;boot|getinte huidskleur|persoon in roeiboot|persoon in roeiboot: getinte huidskleur|roeiboot
	🚣🏾;persoon in roeiboot: donkergetinte huidskleur;boot|donkergetinte huidskleur|persoon in roeiboot|persoon in roeiboot: donkergetinte huidskleur|roeiboot
	🚣🏿;persoon in roeiboot: donkere huidskleur;boot|donkere huidskleur|persoon in roeiboot|persoon in roeiboot: donkere huidskleur|roeiboot
🚣‍♂️;man in roeiboot;boot|man|man in roeiboot|roeiboot
	🚣🏻‍♂️;man in roeiboot: lichte huidskleur;boot|lichte huidskleur|man|man in roeiboot|man in roeiboot: lichte huidskleur|roeiboot
	🚣🏼‍♂️;man in roeiboot: lichtgetinte huidskleur;boot|lichtgetinte huidskleur|man|man in roeiboot|man in roeiboot: lichtgetinte huidskleur|roeiboot
	🚣🏽‍♂️;man in roeiboot: getinte huidskleur;boot|getinte huidskleur|man|man in roeiboot|man in roeiboot: getinte huidskleur|roeiboot
	🚣🏾‍♂️;man in roeiboot: donkergetinte huidskleur;boot|donkergetinte huidskleur|man|man in roeiboot|man in roeiboot: donkergetinte huidskleur|roeiboot
	🚣🏿‍♂️;man in roeiboot: donkere huidskleur;boot|donkere huidskleur|man|man in roeiboot|man in roeiboot: donkere huidskleur|roeiboot
🚣‍♀️;vrouw in roeiboot;boot|roeiboot|vrouw|vrouw in roeiboot
	🚣🏻‍♀️;vrouw in roeiboot: lichte huidskleur;boot|lichte huidskleur|roeiboot|vrouw|vrouw in roeiboot|vrouw in roeiboot: lichte huidskleur
	🚣🏼‍♀️;vrouw in roeiboot: lichtgetinte huidskleur;boot|lichtgetinte huidskleur|roeiboot|vrouw|vrouw in roeiboot|vrouw in roeiboot: lichtgetinte huidskleur
	🚣🏽‍♀️;vrouw in roeiboot: getinte huidskleur;boot|getinte huidskleur|roeiboot|vrouw|vrouw in roeiboot|vrouw in roeiboot: getinte huidskleur
	🚣🏾‍♀️;vrouw in roeiboot: donkergetinte huidskleur;boot|donkergetinte huidskleur|roeiboot|vrouw|vrouw in roeiboot|vrouw in roeiboot: donkergetinte huidskleur
	🚣🏿‍♀️;vrouw in roeiboot: donkere huidskleur;boot|donkere huidskleur|roeiboot|vrouw|vrouw in roeiboot|vrouw in roeiboot: donkere huidskleur
🏊;zwemmende persoon;zwemmen|zwemmende persoon
	🏊🏻;zwemmende persoon: lichte huidskleur;lichte huidskleur|zwemmen|zwemmende persoon|zwemmende persoon: lichte huidskleur
	🏊🏼;zwemmende persoon: lichtgetinte huidskleur;lichtgetinte huidskleur|zwemmen|zwemmende persoon|zwemmende persoon: lichtgetinte huidskleur
	🏊🏽;zwemmende persoon: getinte huidskleur;getinte huidskleur|zwemmen|zwemmende persoon|zwemmende persoon: getinte huidskleur
	🏊🏾;zwemmende persoon: donkergetinte huidskleur;donkergetinte huidskleur|zwemmen|zwemmende persoon|zwemmende persoon: donkergetinte huidskleur
	🏊🏿;zwemmende persoon: donkere huidskleur;donkere huidskleur|zwemmen|zwemmende persoon|zwemmende persoon: donkere huidskleur
🏊‍♂️;zwemmende man;man|zwemmen|zwemmende man
	🏊🏻‍♂️;zwemmende man: lichte huidskleur;lichte huidskleur|man|zwemmen|zwemmende man|zwemmende man: lichte huidskleur
	🏊🏼‍♂️;zwemmende man: lichtgetinte huidskleur;lichtgetinte huidskleur|man|zwemmen|zwemmende man|zwemmende man: lichtgetinte huidskleur
	🏊🏽‍♂️;zwemmende man: getinte huidskleur;getinte huidskleur|man|zwemmen|zwemmende man|zwemmende man: getinte huidskleur
	🏊🏾‍♂️;zwemmende man: donkergetinte huidskleur;donkergetinte huidskleur|man|zwemmen|zwemmende man|zwemmende man: donkergetinte huidskleur
	🏊🏿‍♂️;zwemmende man: donkere huidskleur;donkere huidskleur|man|zwemmen|zwemmende man|zwemmende man: donkere huidskleur
🏊‍♀️;zwemmende vrouw;vrouw|zwemmen|zwemmende vrouw
	🏊🏻‍♀️;zwemmende vrouw: lichte huidskleur;lichte huidskleur|vrouw|zwemmen|zwemmende vrouw|zwemmende vrouw: lichte huidskleur
	🏊🏼‍♀️;zwemmende vrouw: lichtgetinte huidskleur;lichtgetinte huidskleur|vrouw|zwemmen|zwemmende vrouw|zwemmende vrouw: lichtgetinte huidskleur
	🏊🏽‍♀️;zwemmende vrouw: getinte huidskleur;getinte huidskleur|vrouw|zwemmen|zwemmende vrouw|zwemmende vrouw: getinte huidskleur
	🏊🏾‍♀️;zwemmende vrouw: donkergetinte huidskleur;donkergetinte huidskleur|vrouw|zwemmen|zwemmende vrouw|zwemmende vrouw: donkergetinte huidskleur
	🏊🏿‍♀️;zwemmende vrouw: donkere huidskleur;donkere huidskleur|vrouw|zwemmen|zwemmende vrouw|zwemmende vrouw: donkere huidskleur
⛹️;basketbalspeler;bal|basketbalspeler
	⛹🏻;basketbalspeler: lichte huidskleur;bal|basketbalspeler|basketbalspeler: lichte huidskleur|lichte huidskleur
	⛹🏼;basketbalspeler: lichtgetinte huidskleur;bal|basketbalspeler|basketbalspeler: lichtgetinte huidskleur|lichtgetinte huidskleur
	⛹🏽;basketbalspeler: getinte huidskleur;bal|basketbalspeler|basketbalspeler: getinte huidskleur|getinte huidskleur
	⛹🏾;basketbalspeler: donkergetinte huidskleur;bal|basketbalspeler|basketbalspeler: donkergetinte huidskleur|donkergetinte huidskleur
	⛹🏿;basketbalspeler: donkere huidskleur;bal|basketbalspeler|basketbalspeler: donkere huidskleur|donkere huidskleur
⛹️‍♂️;basketballer;bal|basketballer|man
	⛹🏻‍♂️;basketballer: lichte huidskleur;bal|basketballer|basketballer: lichte huidskleur|lichte huidskleur|man
	⛹🏼‍♂️;basketballer: lichtgetinte huidskleur;bal|basketballer|basketballer: lichtgetinte huidskleur|lichtgetinte huidskleur|man
	⛹🏽‍♂️;basketballer: getinte huidskleur;bal|basketballer|basketballer: getinte huidskleur|getinte huidskleur|man
	⛹🏾‍♂️;basketballer: donkergetinte huidskleur;bal|basketballer|basketballer: donkergetinte huidskleur|donkergetinte huidskleur|man
	⛹🏿‍♂️;basketballer: donkere huidskleur;bal|basketballer|basketballer: donkere huidskleur|donkere huidskleur|man
⛹️‍♀️;basketbalster;bal|basketbalster|vrouw
	⛹🏻‍♀️;basketbalster: lichte huidskleur;bal|basketbalster|basketbalster: lichte huidskleur|lichte huidskleur|vrouw
	⛹🏼‍♀️;basketbalster: lichtgetinte huidskleur;bal|basketbalster|basketbalster: lichtgetinte huidskleur|lichtgetinte huidskleur|vrouw
	⛹🏽‍♀️;basketbalster: getinte huidskleur;bal|basketbalster|basketbalster: getinte huidskleur|getinte huidskleur|vrouw
	⛹🏾‍♀️;basketbalster: donkergetinte huidskleur;bal|basketbalster|basketbalster: donkergetinte huidskleur|donkergetinte huidskleur|vrouw
	⛹🏿‍♀️;basketbalster: donkere huidskleur;bal|basketbalster|basketbalster: donkere huidskleur|donkere huidskleur|vrouw
🏋️;gewichtheffer;gewicht|gewichtheffer|heffer
	🏋🏻;gewichtheffer: lichte huidskleur;gewicht|gewichtheffer|gewichtheffer: lichte huidskleur|heffer|lichte huidskleur
	🏋🏼;gewichtheffer: lichtgetinte huidskleur;gewicht|gewichtheffer|gewichtheffer: lichtgetinte huidskleur|heffer|lichtgetinte huidskleur
	🏋🏽;gewichtheffer: getinte huidskleur;getinte huidskleur|gewicht|gewichtheffer|gewichtheffer: getinte huidskleur|heffer
	🏋🏾;gewichtheffer: donkergetinte huidskleur;donkergetinte huidskleur|gewicht|gewichtheffer|gewichtheffer: donkergetinte huidskleur|heffer
	🏋🏿;gewichtheffer: donkere huidskleur;donkere huidskleur|gewicht|gewichtheffer|gewichtheffer: donkere huidskleur|heffer
🏋️‍♂️;mannelijke gewichtheffer;gewichtheffen|man|mannelijke gewichtheffer
	🏋🏻‍♂️;mannelijke gewichtheffer: lichte huidskleur;gewichtheffen|lichte huidskleur|man|mannelijke gewichtheffer|mannelijke gewichtheffer: lichte huidskleur
	🏋🏼‍♂️;mannelijke gewichtheffer: lichtgetinte huidskleur;gewichtheffen|lichtgetinte huidskleur|man|mannelijke gewichtheffer|mannelijke gewichtheffer: lichtgetinte huidskleur
	🏋🏽‍♂️;mannelijke gewichtheffer: getinte huidskleur;getinte huidskleur|gewichtheffen|man|mannelijke gewichtheffer|mannelijke gewichtheffer: getinte huidskleur
	🏋🏾‍♂️;mannelijke gewichtheffer: donkergetinte huidskleur;donkergetinte huidskleur|gewichtheffen|man|mannelijke gewichtheffer|mannelijke gewichtheffer: donkergetinte huidskleur
	🏋🏿‍♂️;mannelijke gewichtheffer: donkere huidskleur;donkere huidskleur|gewichtheffen|man|mannelijke gewichtheffer|mannelijke gewichtheffer: donkere huidskleur
🏋️‍♀️;vrouwelijke gewichtheffer;gewichtheffen|vrouw|vrouwelijke gewichtheffer
	🏋🏻‍♀️;vrouwelijke gewichtheffer: lichte huidskleur;gewichtheffen|lichte huidskleur|vrouw|vrouwelijke gewichtheffer|vrouwelijke gewichtheffer: lichte huidskleur
	🏋🏼‍♀️;vrouwelijke gewichtheffer: lichtgetinte huidskleur;gewichtheffen|lichtgetinte huidskleur|vrouw|vrouwelijke gewichtheffer|vrouwelijke gewichtheffer: lichtgetinte huidskleur
	🏋🏽‍♀️;vrouwelijke gewichtheffer: getinte huidskleur;getinte huidskleur|gewichtheffen|vrouw|vrouwelijke gewichtheffer|vrouwelijke gewichtheffer: getinte huidskleur
	🏋🏾‍♀️;vrouwelijke gewichtheffer: donkergetinte huidskleur;donkergetinte huidskleur|gewichtheffen|vrouw|vrouwelijke gewichtheffer|vrouwelijke gewichtheffer: donkergetinte huidskleur
	🏋🏿‍♀️;vrouwelijke gewichtheffer: donkere huidskleur;donkere huidskleur|gewichtheffen|vrouw|vrouwelijke gewichtheffer|vrouwelijke gewichtheffer: donkere huidskleur
🚴;fietsende persoon;fiets|fietsen|fietsende persoon|wielrennen|wielrenner
	🚴🏻;fietsende persoon: lichte huidskleur;fiets|fietsen|fietsende persoon|fietsende persoon: lichte huidskleur|lichte huidskleur|wielrennen|wielrenner
	🚴🏼;fietsende persoon: lichtgetinte huidskleur;fiets|fietsen|fietsende persoon|fietsende persoon: lichtgetinte huidskleur|lichtgetinte huidskleur|wielrennen|wielrenner
	🚴🏽;fietsende persoon: getinte huidskleur;fiets|fietsen|fietsende persoon|fietsende persoon: getinte huidskleur|getinte huidskleur|wielrennen|wielrenner
	🚴🏾;fietsende persoon: donkergetinte huidskleur;donkergetinte huidskleur|fiets|fietsen|fietsende persoon|fietsende persoon: donkergetinte huidskleur|wielrennen|wielrenner
	🚴🏿;fietsende persoon: donkere huidskleur;donkere huidskleur|fiets|fietsen|fietsende persoon|fietsende persoon: donkere huidskleur|wielrennen|wielrenner
🚴‍♂️;fietsende man;fiets|fietsen|fietsende man|man|wielrenner
	🚴🏻‍♂️;fietsende man: lichte huidskleur;fiets|fietsen|fietsende man|fietsende man: lichte huidskleur|lichte huidskleur|man|wielrenner
	🚴🏼‍♂️;fietsende man: lichtgetinte huidskleur;fiets|fietsen|fietsende man|fietsende man: lichtgetinte huidskleur|lichtgetinte huidskleur|man|wielrenner
	🚴🏽‍♂️;fietsende man: getinte huidskleur;fiets|fietsen|fietsende man|fietsende man: getinte huidskleur|getinte huidskleur|man|wielrenner
	🚴🏾‍♂️;fietsende man: donkergetinte huidskleur;donkergetinte huidskleur|fiets|fietsen|fietsende man|fietsende man: donkergetinte huidskleur|man|wielrenner
	🚴🏿‍♂️;fietsende man: donkere huidskleur;donkere huidskleur|fiets|fietsen|fietsende man|fietsende man: donkere huidskleur|man|wielrenner
🚴‍♀️;fietsende vrouw;fiets|fietsen|fietsende vrouw|vrouw|wielrenner
	🚴🏻‍♀️;fietsende vrouw: lichte huidskleur;fiets|fietsen|fietsende vrouw|fietsende vrouw: lichte huidskleur|lichte huidskleur|vrouw|wielrenner
	🚴🏼‍♀️;fietsende vrouw: lichtgetinte huidskleur;fiets|fietsen|fietsende vrouw|fietsende vrouw: lichtgetinte huidskleur|lichtgetinte huidskleur|vrouw|wielrenner
	🚴🏽‍♀️;fietsende vrouw: getinte huidskleur;fiets|fietsen|fietsende vrouw|fietsende vrouw: getinte huidskleur|getinte huidskleur|vrouw|wielrenner
	🚴🏾‍♀️;fietsende vrouw: donkergetinte huidskleur;donkergetinte huidskleur|fiets|fietsen|fietsende vrouw|fietsende vrouw: donkergetinte huidskleur|vrouw|wielrenner
	🚴🏿‍♀️;fietsende vrouw: donkere huidskleur;donkere huidskleur|fiets|fietsen|fietsende vrouw|fietsende vrouw: donkere huidskleur|vrouw|wielrenner
🚵;persoon op mountainbike;berg|fiets|fietsen|fietser|persoon op mountainbike|wielrenner
	🚵🏻;persoon op mountainbike: lichte huidskleur;berg|fiets|fietsen|fietser|lichte huidskleur|persoon op mountainbike|persoon op mountainbike: lichte huidskleur|wielrenner
	🚵🏼;persoon op mountainbike: lichtgetinte huidskleur;berg|fiets|fietsen|fietser|lichtgetinte huidskleur|persoon op mountainbike|persoon op mountainbike: lichtgetinte huidskleur|wielrenner
	🚵🏽;persoon op mountainbike: getinte huidskleur;berg|fiets|fietsen|fietser|getinte huidskleur|persoon op mountainbike|persoon op mountainbike: getinte huidskleur|wielrenner
	🚵🏾;persoon op mountainbike: donkergetinte huidskleur;berg|donkergetinte huidskleur|fiets|fietsen|fietser|persoon op mountainbike|persoon op mountainbike: donkergetinte huidskleur|wielrenner
	🚵🏿;persoon op mountainbike: donkere huidskleur;berg|donkere huidskleur|fiets|fietsen|fietser|persoon op mountainbike|persoon op mountainbike: donkere huidskleur|wielrenner
🚵‍♂️;man op mountainbike;berg|fiets|fietsen|fietser|man|man op mountainbike
	🚵🏻‍♂️;man op mountainbike: lichte huidskleur;berg|fiets|fietsen|fietser|lichte huidskleur|man|man op mountainbike|man op mountainbike: lichte huidskleur
	🚵🏼‍♂️;man op mountainbike: lichtgetinte huidskleur;berg|fiets|fietsen|fietser|lichtgetinte huidskleur|man|man op mountainbike|man op mountainbike: lichtgetinte huidskleur
	🚵🏽‍♂️;man op mountainbike: getinte huidskleur;berg|fiets|fietsen|fietser|getinte huidskleur|man|man op mountainbike|man op mountainbike: getinte huidskleur
	🚵🏾‍♂️;man op mountainbike: donkergetinte huidskleur;berg|donkergetinte huidskleur|fiets|fietsen|fietser|man|man op mountainbike|man op mountainbike: donkergetinte huidskleur
	🚵🏿‍♂️;man op mountainbike: donkere huidskleur;berg|donkere huidskleur|fiets|fietsen|fietser|man|man op mountainbike|man op mountainbike: donkere huidskleur
🚵‍♀️;vrouw op mountainbike;berg|biken|fiets|fietsen|fietser|vrouw|vrouw op mountainbike
	🚵🏻‍♀️;vrouw op mountainbike: lichte huidskleur;berg|biken|fiets|fietsen|fietser|lichte huidskleur|vrouw|vrouw op mountainbike|vrouw op mountainbike: lichte huidskleur
	🚵🏼‍♀️;vrouw op mountainbike: lichtgetinte huidskleur;berg|biken|fiets|fietsen|fietser|lichtgetinte huidskleur|vrouw|vrouw op mountainbike|vrouw op mountainbike: lichtgetinte huidskleur
	🚵🏽‍♀️;vrouw op mountainbike: getinte huidskleur;berg|biken|fiets|fietsen|fietser|getinte huidskleur|vrouw|vrouw op mountainbike|vrouw op mountainbike: getinte huidskleur
	🚵🏾‍♀️;vrouw op mountainbike: donkergetinte huidskleur;berg|biken|donkergetinte huidskleur|fiets|fietsen|fietser|vrouw|vrouw op mountainbike|vrouw op mountainbike: donkergetinte huidskleur
	🚵🏿‍♀️;vrouw op mountainbike: donkere huidskleur;berg|biken|donkere huidskleur|fiets|fietsen|fietser|vrouw|vrouw op mountainbike|vrouw op mountainbike: donkere huidskleur
🤸;persoon die een radslag doet;gymnastiek|persoon die een radslag doet|radslag
	🤸🏻;persoon die een radslag doet: lichte huidskleur;gymnastiek|lichte huidskleur|persoon die een radslag doet|persoon die een radslag doet: lichte huidskleur|radslag
	🤸🏼;persoon die een radslag doet: lichtgetinte huidskleur;gymnastiek|lichtgetinte huidskleur|persoon die een radslag doet|persoon die een radslag doet: lichtgetinte huidskleur|radslag
	🤸🏽;persoon die een radslag doet: getinte huidskleur;getinte huidskleur|gymnastiek|persoon die een radslag doet|persoon die een radslag doet: getinte huidskleur|radslag
	🤸🏾;persoon die een radslag doet: donkergetinte huidskleur;donkergetinte huidskleur|gymnastiek|persoon die een radslag doet|persoon die een radslag doet: donkergetinte huidskleur|radslag
	🤸🏿;persoon die een radslag doet: donkere huidskleur;donkere huidskleur|gymnastiek|persoon die een radslag doet|persoon die een radslag doet: donkere huidskleur|radslag
🤸‍♂️;man die een radslag doet;gymnastiek|man|man die een radslag doet|radslag
	🤸🏻‍♂️;man die een radslag doet: lichte huidskleur;gymnastiek|lichte huidskleur|man|man die een radslag doet|man die een radslag doet: lichte huidskleur|radslag
	🤸🏼‍♂️;man die een radslag doet: lichtgetinte huidskleur;gymnastiek|lichtgetinte huidskleur|man|man die een radslag doet|man die een radslag doet: lichtgetinte huidskleur|radslag
	🤸🏽‍♂️;man die een radslag doet: getinte huidskleur;getinte huidskleur|gymnastiek|man|man die een radslag doet|man die een radslag doet: getinte huidskleur|radslag
	🤸🏾‍♂️;man die een radslag doet: donkergetinte huidskleur;donkergetinte huidskleur|gymnastiek|man|man die een radslag doet|man die een radslag doet: donkergetinte huidskleur|radslag
	🤸🏿‍♂️;man die een radslag doet: donkere huidskleur;donkere huidskleur|gymnastiek|man|man die een radslag doet|man die een radslag doet: donkere huidskleur|radslag
🤸‍♀️;vrouw die een radslag doet;gymnastiek|radslag|vrouw|vrouw die een radslag doet
	🤸🏻‍♀️;vrouw die een radslag doet: lichte huidskleur;gymnastiek|lichte huidskleur|radslag|vrouw|vrouw die een radslag doet|vrouw die een radslag doet: lichte huidskleur
	🤸🏼‍♀️;vrouw die een radslag doet: lichtgetinte huidskleur;gymnastiek|lichtgetinte huidskleur|radslag|vrouw|vrouw die een radslag doet|vrouw die een radslag doet: lichtgetinte huidskleur
	🤸🏽‍♀️;vrouw die een radslag doet: getinte huidskleur;getinte huidskleur|gymnastiek|radslag|vrouw|vrouw die een radslag doet|vrouw die een radslag doet: getinte huidskleur
	🤸🏾‍♀️;vrouw die een radslag doet: donkergetinte huidskleur;donkergetinte huidskleur|gymnastiek|radslag|vrouw|vrouw die een radslag doet|vrouw die een radslag doet: donkergetinte huidskleur
	🤸🏿‍♀️;vrouw die een radslag doet: donkere huidskleur;donkere huidskleur|gymnastiek|radslag|vrouw|vrouw die een radslag doet|vrouw die een radslag doet: donkere huidskleur
🤼;personen die worstelen;personen die worstelen|worstelaar|worstelen
🤼‍♂️;worstelende mannen;mannen|worstelen|worstelende mannen
🤼‍♀️;worstelende vrouwen;vrouwen|worstelen|worstelende vrouwen
🤽;persoon die waterpolo speelt;persoon die waterpolo speelt|polo|water
